Freq (Hz)	micro/hp_Mod	micro/hp_Phase(rad)
49.000000000000007E+0	724.649814180293280E-3	-17.222348140608716E+0
50.000000000000007E+0	1.049492186446463E+0	-17.984653740166333E+0
51.000000000000007E+0	823.621350269448270E-3	-15.697951576304771E+0
52.000000000000007E+0	280.775498440844650E-3	-17.778102000341054E+0
53.000000000000007E+0	250.771508856389440E-3	-19.776791647739806E+0
54.000000000000007E+0	90.996775698225424E-3	-21.208163277145939E+0
55.000000000000007E+0	134.595436281546100E-3	-21.626575903132839E+0
56.000000000000007E+0	162.767078088606080E-3	-23.516037992276310E+0
57.000000000000007E+0	115.873043855475810E-3	-25.508468822570705E+0
58.000000000000007E+0	94.552228786594167E-3	-27.705752316523537E+0
59.000000000000007E+0	35.251231693656911E-3	-29.992544417272708E+0
60.000000000000007E+0	60.268063569661953E-3	-31.186310827090622E+0
61.000000000000007E+0	65.021890351779590E-3	-34.183213514619780E+0
62.000000000000007E+0	12.291091526992514E-3	-31.979276423517788E+0
63.000000000000007E+0	37.148124639851891E-3	-29.954051388308525E+0
64.000000000000014E+0	74.258811037861291E-3	-33.081433377576864E+0
65.000000000000014E+0	86.475264323407186E-3	-35.527632610239181E+0
66.000000000000014E+0	26.586120729981576E-3	-38.236731534763493E+0
67.000000000000014E+0	22.492803727191382E-3	-37.516418892986294E+0
68.000000000000014E+0	21.674858813223404E-3	-35.060941410908157E+0
69.000000000000014E+0	28.286840169854062E-3	-32.225466884208913E+0
70.000000000000014E+0	11.685969655431963E-3	-34.900650702865455E+0
71.000000000000014E+0	6.487331711605434E-3	-34.479391385448629E+0
72.000000000000014E+0	9.241457791378775E-3	-36.308208246004035E+0
73.000000000000014E+0	19.728772394364581E-3	-37.950080025032840E+0
74.000000000000014E+0	22.241078167275642E-3	-40.187125636437557E+0
75.000000000000014E+0	12.730719864530506E-3	-42.262306281721457E+0
76.000000000000014E+0	4.764386483516038E-3	-45.258807079180876E+0
77.000000000000014E+0	1.810882507636637E-3	-44.547769434700747E+0
78.000000000000014E+0	8.864441771279227E-3	-47.098030224351795E+0
79.000000000000014E+0	4.873447786718911E-3	-48.063858618789574E+0
80.000000000000014E+0	10.515490241718044E-3	-49.437637985662178E+0
81.000000000000014E+0	15.686239770311725E-3	-51.432378324784565E+0
82.000000000000014E+0	17.674825341213101E-3	-52.897146704647469E+0
83.000000000000014E+0	21.755843154612282E-3	-54.754584759227271E+0
84.000000000000014E+0	15.648844661956068E-3	-57.069974635161415E+0
85.000000000000014E+0	10.646343482030531E-3	-59.168671173460993E+0
86.000000000000014E+0	13.792684087325207E-3	-61.433584975428630E+0
87.000000000000014E+0	9.493899164776836E-3	-63.699297377940439E+0
88.000000000000014E+0	4.351549128246719E-3	-64.940376982479577E+0
89.000000000000014E+0	4.515901637880449E-3	-66.961937685681065E+0
90.000000000000014E+0	1.644061017302383E-3	-65.282267778003657E+0
91.000000000000014E+0	3.990149416250379E-3	-67.880511592504945E+0
92.000000000000014E+0	6.032051833137990E-3	-70.729791090055841E+0
93.000000000000014E+0	8.049240437185939E-3	-72.520422550550350E+0
94.000000000000014E+0	9.832635887302769E-3	-72.967385941231953E+0
95.000000000000014E+0	11.827466570638861E-3	-74.487408368617522E+0
96.000000000000014E+0	2.519613457700863E-3	-76.154165903864651E+0
97.000000000000014E+0	1.602048034999492E-3	-75.960262406256689E+0
98.000000000000014E+0	4.865646886707170E-3	-73.870793412814578E+0
99.000000000000014E+0	7.943130006052138E-3	-71.933420302168272E+0
100.000000000000010E+0	22.042382620937065E-3	-74.365872767538860E+0
101.000000000000010E+0	9.445404786608871E-3	-76.638270655239097E+0
102.000000000000010E+0	4.125627508232524E-3	-74.079599307951412E+0
103.000000000000010E+0	1.824254555503385E-3	-74.599210474675729E+0
104.000000000000010E+0	4.102446202104735E-3	-75.506844491466836E+0
105.000000000000010E+0	4.300635464884557E-3	-77.416296537270369E+0
