Freq (Hz)	micro/hp_Real	micro/hp_Imag
49.000000000000007E+0	-24.889865674689138E-3	424.994707745745440E-3
50.000000000000007E+0	150.162974085590730E-3	572.219550007873170E-3
51.000000000000007E+0	-136.417759398511950E-3	-76.744035979207856E-3
52.000000000000007E+0	40.032461580127833E-3	-277.408061752351050E-3
53.000000000000007E+0	-120.021981007580380E-3	138.554813171033350E-3
54.000000000000007E+0	98.075231369587623E-3	-85.030526923177641E-3
55.000000000000007E+0	-77.640089038980481E-3	-35.622213697677374E-3
56.000000000000007E+0	5.519251106615414E-3	75.478046075702229E-3
57.000000000000007E+0	22.459561516360901E-3	-91.178358414114966E-3
58.000000000000007E+0	-50.929698473608433E-3	101.712970049432350E-3
59.000000000000007E+0	40.606938283123561E-3	-54.482174644480089E-3
60.000000000000007E+0	13.787237755990091E-3	8.433755829797640E-3
61.000000000000007E+0	-63.494518992694593E-3	-9.743234047014087E-3
62.000000000000007E+0	17.789844434946311E-3	5.419661970672028E-3
63.000000000000007E+0	-2.495912686742169E-3	50.299766390076342E-3
64.000000000000014E+0	19.150660414971241E-3	-44.042444113276756E-3
65.000000000000014E+0	-20.274361314397579E-3	10.125466312278999E-3
66.000000000000014E+0	20.599417566710403E-3	-16.778216099581036E-3
67.000000000000014E+0	-25.906935613818429E-3	18.456212572907731E-3
68.000000000000014E+0	18.202459574250374E-3	-3.945562904531998E-3
69.000000000000014E+0	-8.825457698337794E-3	-8.438895286164589E-3
70.000000000000014E+0	-6.377477977812045E-3	27.713483286266213E-3
71.000000000000014E+0	29.381188962284213E-3	-10.075263410859051E-3
72.000000000000014E+0	-208.811480928074100E-6	-4.391764631805082E-3
73.000000000000014E+0	-11.663974149965856E-3	-12.976537053447316E-3
74.000000000000014E+0	-7.381258515086454E-3	11.922966883671242E-3
75.000000000000014E+0	15.524323146755980E-3	6.853708866680615E-3
76.000000000000014E+0	-6.480196949006024E-3	-7.905343578282504E-3
77.000000000000014E+0	10.504349929985141E-3	3.162171275484744E-3
78.000000000000014E+0	-20.324345353801364E-3	1.173188740791190E-3
79.000000000000014E+0	30.266840921652480E-3	5.857127628286721E-3
80.000000000000014E+0	-7.367133770926675E-3	-13.992686719683841E-3
81.000000000000014E+0	-4.262982738086158E-3	-1.332535337250347E-3
82.000000000000014E+0	-5.318384163285797E-3	-2.820172089336058E-3
83.000000000000014E+0	-240.309427623080900E-6	20.251066258129738E-3
84.000000000000014E+0	19.218423460201962E-3	-14.207194974136717E-3
85.000000000000014E+0	-14.555918382566545E-3	-3.463256136940603E-3
86.000000000000014E+0	5.493707332297827E-3	3.589830039154029E-3
87.000000000000014E+0	-5.172196073041742E-3	-3.700262757141541E-3
88.000000000000014E+0	-3.219411747887518E-3	4.769506947176993E-3
89.000000000000014E+0	5.349720950611417E-3	4.422376076814337E-3
90.000000000000014E+0	938.834335514912880E-6	-2.216036198202601E-3
91.000000000000014E+0	782.614711092984140E-6	-6.418730400050386E-3
92.000000000000014E+0	-9.201088489793641E-3	1.457670094903379E-3
93.000000000000014E+0	4.958089742543694E-3	5.722830481259670E-3
94.000000000000014E+0	957.889183084078350E-6	-5.491385056989980E-3
95.000000000000014E+0	-3.002051376803118E-3	-279.082139878818540E-6
96.000000000000014E+0	1.296398086861753E-3	523.640433921793050E-6
97.000000000000014E+0	5.354806691671657E-3	422.850554746817720E-6
98.000000000000014E+0	247.464805832133580E-6	-11.165477108732665E-3
99.000000000000014E+0	-22.347447030003312E-3	-155.276394381563140E-6
100.000000000000010E+0	10.179052330632701E-3	27.917812547168318E-3
101.000000000000010E+0	12.907490236156303E-3	-5.760105982630936E-3
102.000000000000010E+0	1.004979815585475E-3	-4.421373978168802E-3
103.000000000000010E+0	215.896063606422440E-6	-1.038862981937071E-3
