Freq (Hz)	micro(Pa^2 )	hp(V^2 )
49.000000000000007E+0	268.264732008019750E-12	882.334780076942980E-12
50.000000000000007E+0	700.922161363255270E-12	1.204315962329371E-9
51.000000000000007E+0	200.605461913743390E-12	3.009707909480787E-9
52.000000000000007E+0	61.070932480302291E-12	1.000198033481690E-9
53.000000000000007E+0	72.887527363272865E-12	1.529240982587561E-9
54.000000000000007E+0	3.781551604097569E-12	1.813281344715225E-9
55.000000000000007E+0	29.074676235969934E-12	2.806647450542033E-9
56.000000000000007E+0	14.321595694550945E-12	3.740973346886741E-9
57.000000000000007E+0	39.161248472962377E-12	5.719524836634826E-9
58.000000000000007E+0	19.012832398923752E-12	7.088876508329448E-9
59.000000000000007E+0	4.073178005941658E-12	7.718551373890941E-9
60.000000000000007E+0	16.728813535228252E-12	11.873474083429182E-9
61.000000000000007E+0	19.286712747508166E-12	14.774619842269342E-9
62.000000000000007E+0	103.263429034839010E-12	23.183015529301844E-9
63.000000000000007E+0	221.535626644060230E-12	21.570982600724027E-9
64.000000000000014E+0	77.666218028683136E-12	31.304732167326675E-9
65.000000000000014E+0	57.375440792623563E-12	42.155368119726817E-9
66.000000000000014E+0	41.717044715004923E-12	45.272928341506831E-9
67.000000000000014E+0	81.191330299102407E-12	61.088518356938119E-9
68.000000000000014E+0	130.940607062988570E-12	68.206274625444771E-9
69.000000000000014E+0	11.351149531345708E-12	91.991567213982861E-9
70.000000000000014E+0	71.313300573170057E-12	103.805233013122350E-9
71.000000000000014E+0	70.591167374740354E-12	124.175457873489280E-9
72.000000000000014E+0	94.784839167386178E-12	133.005650165927770E-9
73.000000000000014E+0	107.485575598651840E-12	153.732008764470410E-9
74.000000000000014E+0	66.769888354827065E-12	185.565205641994340E-9
75.000000000000014E+0	76.168211440479675E-12	189.323000548913860E-9
76.000000000000014E+0	14.800365523095381E-12	222.606309786547840E-9
77.000000000000014E+0	60.042498360756407E-12	262.032918479911840E-9
78.000000000000014E+0	82.867280319772632E-12	262.160794934012680E-9
79.000000000000014E+0	55.638802106094238E-12	296.796673863526170E-9
80.000000000000014E+0	144.883136595975740E-12	341.813008431687560E-9
81.000000000000014E+0	61.928244042589572E-12	403.055767561466700E-9
82.000000000000014E+0	25.513459610853806E-12	437.903887832924540E-9
83.000000000000014E+0	29.922806860612651E-12	522.988295761364150E-9
84.000000000000014E+0	42.237436706151152E-12	614.499783544930130E-9
85.000000000000014E+0	58.167699707618590E-12	682.090256607056880E-9
86.000000000000014E+0	145.930676478291190E-12	751.040502005003270E-9
87.000000000000014E+0	84.576670232925863E-12	867.500559332539280E-9
88.000000000000014E+0	13.015400572741442E-12	917.842368937243630E-9
89.000000000000014E+0	6.842256183963495E-12	1.017590111986678E-6
