Freq (Hz)	Gxymicro/hp_Real	Gxymicro/hp_Imag
49.000000000000007E+0	146.715002086061040E-12	157.179736589728720E-12
50.000000000000007E+0	-929.890158820611120E-12	1.438206446611190E-9
51.000000000000007E+0	294.627169506322840E-12	525.027086459998740E-12
52.000000000000007E+0	396.998878818235900E-12	-284.300234925572980E-12
53.000000000000007E+0	-228.652103884019750E-12	123.362662994077020E-12
54.000000000000007E+0	-67.992341757190137E-12	-166.552601282207300E-12
55.000000000000007E+0	28.193096851446727E-12	91.147024831182051E-12
56.000000000000007E+0	212.494961168204280E-12	344.049578676766880E-12
57.000000000000007E+0	213.941201168799210E-12	-507.614312141505290E-12
58.000000000000007E+0	144.338096509247260E-12	-516.825341055171630E-12
59.000000000000007E+0	-939.385750031731570E-12	165.146745481833990E-12
60.000000000000007E+0	-487.854534964662700E-12	714.474086624400860E-12
61.000000000000007E+0	1.062279006466216E-9	-747.095887583848680E-12
62.000000000000007E+0	-664.255035128569140E-12	520.370516785113200E-12
63.000000000000007E+0	191.474324605106990E-12	514.621608384015570E-12
64.000000000000014E+0	-57.109354211651646E-12	-1.172717929677391E-9
65.000000000000014E+0	-615.535427956934850E-12	13.639874341198063E-12
66.000000000000014E+0	568.677106475664020E-12	1.476811305150914E-9
67.000000000000014E+0	828.698426767411750E-12	-2.579979625782812E-9
68.000000000000014E+0	-2.625207490296777E-9	2.107437652329285E-9
69.000000000000014E+0	1.455715122323689E-9	-1.611386921237358E-9
70.000000000000014E+0	-319.907927318352120E-12	2.091178556803926E-9
71.000000000000014E+0	-1.179511391087364E-9	120.760891217809410E-12
72.000000000000014E+0	2.562503849317365E-9	2.162839888176516E-9
73.000000000000014E+0	2.427418320084958E-9	-3.348503039051965E-9
74.000000000000014E+0	-2.875447104683124E-9	-811.864893277088880E-12
75.000000000000014E+0	-285.648109916547040E-12	1.364471803715435E-9
76.000000000000014E+0	4.670788974841780E-9	779.456629145206020E-12
77.000000000000014E+0	-1.923258093103342E-9	-6.992482837751403E-9
78.000000000000014E+0	-3.507146390439220E-9	4.991528607671330E-9
79.000000000000014E+0	5.339486752364070E-9	-5.059723419932458E-9
80.000000000000014E+0	-6.976634989214098E-9	-438.259802774716190E-12
81.000000000000014E+0	-3.828864187773082E-9	5.850594387203173E-9
82.000000000000014E+0	5.161658130225203E-9	5.481151516740076E-9
83.000000000000014E+0	2.476443518374226E-9	-3.714510028876406E-9
84.000000000000014E+0	6.144317158715278E-9	8.727334937781002E-9
85.000000000000014E+0	1.511030241641649E-9	-16.886168939511724E-9
86.000000000000014E+0	-9.040806364895680E-9	3.767114369513165E-9
87.000000000000014E+0	-2.020752569566251E-9	8.924742154423353E-9
88.000000000000014E+0	13.898236276519132E-9	-32.522880445660521E-12
89.000000000000014E+0	-6.331518896866055E-9	-9.569239752176971E-9
90.000000000000014E+0	5.994762184424361E-9	1.728648696024665E-9
91.000000000000014E+0	-15.156473981957952E-9	-6.783790190305444E-9
92.000000000000014E+0	11.795309708679519E-9	10.792864767554913E-9
93.000000000000014E+0	205.101907539248780E-12	-11.710657126621557E-9
94.000000000000014E+0	-7.295398295876645E-9	-9.425902938367360E-9
95.000000000000014E+0	-13.659588792592780E-9	-407.560066063706670E-12
96.000000000000014E+0	-3.658406965510179E-9	13.233779185937194E-9
97.000000000000014E+0	1.213809210709383E-9	-1.532982493302357E-9
98.000000000000014E+0	-189.055473228610810E-12	-1.001563432076398E-9
99.000000000000014E+0	-35.439798574218650E-9	1.457856922271851E-9
100.000000000000010E+0	33.581582912985131E-9	57.847949675094685E-9
101.000000000000010E+0	16.353863232344497E-9	-28.147542404948897E-9
102.000000000000010E+0	5.189740584654365E-9	338.191774827686590E-12
103.000000000000010E+0	-4.764964707266244E-9	4.016678635654508E-9
104.000000000000010E+0	20.812332987438182E-9	3.489227892940072E-9
105.000000000000010E+0	-9.676903987619244E-9	-10.361809058027857E-9
106.000000000000010E+0	369.414488777589660E-12	4.234957490068710E-9
107.000000000000010E+0	8.925125272909018E-9	9.039088643393674E-9
108.000000000000010E+0	-3.558556581463131E-9	-173.592427182429720E-12
109.000000000000010E+0	18.234158965087026E-9	-11.473855216022377E-9
110.000000000000010E+0	-20.598940056070235E-9	-230.842150401845260E-12
111.000000000000010E+0	5.465333331620209E-9	9.089060350257437E-9
112.000000000000010E+0	3.728369146442447E-9	-10.248839083385797E-9
113.000000000000010E+0	-2.561520846065864E-9	10.173017538917994E-9
