Freq (Hz)	micro/hp_Mod	micro/hp_Phase(rad)
49.000000000000007E+0	270.433497598965620E-3	-10.366501285763704E+0
50.000000000000007E+0	151.518562001026900E-3	-10.914789023075581E+0
51.000000000000007E+0	538.305274266270390E-3	-12.488020502208808E+0
52.000000000000007E+0	163.762267758594900E-3	-12.102660710077565E+0
53.000000000000007E+0	127.973026691820870E-3	-15.014967919084363E+0
54.000000000000007E+0	23.760468904146591E-3	-17.246447035877839E+0
55.000000000000007E+0	54.700493213519580E-3	-18.810316336861280E+0
56.000000000000007E+0	34.028992664094176E-3	-15.757871552406886E+0
57.000000000000007E+0	27.659030420256636E-3	-13.865305680371037E+0
58.000000000000007E+0	25.196364212534569E-3	-15.084512331422079E+0
59.000000000000007E+0	61.539437473502358E-3	-17.422683510781948E+0
60.000000000000007E+0	57.833096988004443E-3	-19.799431583779018E+0
61.000000000000007E+0	42.752260307727968E-3	-20.776872775352366E+0
62.000000000000007E+0	34.732823473406622E-3	-22.580477890731828E+0
63.000000000000007E+0	26.947917158240006E-3	-22.410785183756303E+0
64.000000000000014E+0	39.758692211580821E-3	-24.535537286765436E+0
65.000000000000014E+0	20.126567913527859E-3	-26.647467397423703E+0
66.000000000000014E+0	20.427955007684462E-3	-25.954354059375486E+0
67.000000000000014E+0	29.207344920932844E-3	-28.293565694735349E+0
68.000000000000014E+0	9.523932056411572E-3	-30.734940051780924E+0
69.000000000000014E+0	7.709954481317173E-3	-32.378290114246504E+0
70.000000000000014E+0	17.628132787546869E-3	-34.686069419870037E+0
71.000000000000014E+0	14.772656330141588E-3	-36.546913605552206E+0
72.000000000000014E+0	15.003580302027777E-3	-38.642926032345038E+0
73.000000000000014E+0	8.626750221199988E-3	-40.993139973271177E+0
74.000000000000014E+0	3.794682130319874E-3	-42.606913415403646E+0
75.000000000000014E+0	3.509360833419450E-3	-44.646211978989115E+0
76.000000000000014E+0	9.395027397518739E-3	-45.985048256003239E+0
77.000000000000014E+0	7.300365963585579E-3	-47.498240960432703E+0
78.000000000000014E+0	6.757447487114003E-3	-48.599805803778224E+0
79.000000000000014E+0	4.425362330655594E-3	-46.674349901333137E+0
80.000000000000014E+0	3.499639395346536E-3	-48.836016508868141E+0
81.000000000000014E+0	4.914517234913794E-3	-49.075599670437974E+0
82.000000000000014E+0	9.297158634581443E-3	-51.959519562465360E+0
83.000000000000014E+0	10.637821613026906E-3	-54.178807292962219E+0
84.000000000000014E+0	7.333207749459873E-3	-55.925893070462756E+0
85.000000000000014E+0	6.605228227021287E-3	-58.411070172944576E+0
86.000000000000014E+0	5.861036564196575E-3	-61.445161610469363E+0
87.000000000000014E+0	2.544223082564239E-3	-64.573890424392573E+0
88.000000000000014E+0	2.711603972151706E-3	-62.931759081527502E+0
89.000000000000014E+0	4.253077193751836E-3	-65.862787450077178E+0
90.000000000000014E+0	5.199135966341943E-3	-67.988902853193863E+0
91.000000000000014E+0	7.859359859876954E-3	-69.368178575492138E+0
92.000000000000014E+0	7.326504115170641E-3	-70.848133597663278E+0
93.000000000000014E+0	5.967690419020628E-3	-72.109893311149392E+0
94.000000000000014E+0	2.520450010125517E-3	-75.059415024518202E+0
95.000000000000014E+0	3.445067052084233E-3	-72.101296030021260E+0
96.000000000000014E+0	1.965406378320579E-3	-71.845397417824557E+0
97.000000000000014E+0	6.114062838934317E-3	-73.653693442539605E+0
98.000000000000014E+0	5.832374973040616E-3	-75.826116828750074E+0
99.000000000000014E+0	8.312161681427515E-3	-75.797021702426917E+0
100.000000000000010E+0	24.143595773435774E-3	-77.757700060282531E+0
101.000000000000010E+0	15.267712864632309E-3	-79.990229976348829E+0
102.000000000000010E+0	2.100334077925768E-3	-82.886330997978405E+0
103.000000000000010E+0	925.397103028475290E-6	-85.113773954986868E+0
104.000000000000010E+0	1.475251092780512E-3	-88.250071457096311E+0
105.000000000000010E+0	2.732482939710671E-3	-91.024340372792835E+0
106.000000000000010E+0	929.295111182073760E-6	-90.880436965355500E+0
107.000000000000010E+0	4.957229451978218E-3	-92.179937616315115E+0
108.000000000000010E+0	4.915637484941325E-3	-94.149780458374238E+0
109.000000000000010E+0	2.790278933517524E-3	-97.095667521892324E+0
110.000000000000010E+0	4.274866050020421E-3	-99.595316972775521E+0
111.000000000000010E+0	4.617985764826960E-3	-100.589216700948500E+0
112.000000000000010E+0	5.166882039437877E-3	-102.013453179685130E+0
113.000000000000010E+0	2.707806093758413E-3	-104.217801676246380E+0
114.000000000000010E+0	399.423010110015840E-6	-103.160750830688810E+0
115.000000000000010E+0	3.280283995575769E-3	-105.023687973913980E+0
116.000000000000010E+0	2.112745738685703E-3	-103.968005780942150E+0
117.000000000000010E+0	13.225179971028813E-3	-105.199521842162940E+0
118.000000000000010E+0	11.931377587023333E-3	-106.702965663611290E+0
119.000000000000010E+0	2.056901934991143E-3	-107.491565787777050E+0
120.000000000000010E+0	1.389788644184829E-3	-107.425588567615320E+0
121.000000000000010E+0	347.760729666421650E-6	-108.889514230132730E+0
122.000000000000010E+0	1.320317693272991E-3	-106.175769337034180E+0
123.000000000000010E+0	1.463272654229422E-3	-108.259277516082930E+0
124.000000000000010E+0	867.418527858944060E-6	-105.480530090255120E+0
125.000000000000010E+0	666.265025438050620E-6	-107.655964312374040E+0
126.000000000000010E+0	887.678217370101990E-6	-106.048712893418820E+0
127.000000000000010E+0	1.527290986794560E-3	-107.601574572181650E+0
128.000000000000030E+0	1.425468717635755E-3	-109.081934914951620E+0
129.000000000000030E+0	99.670580506561711E-6	-106.466751540628220E+0
130.000000000000030E+0	1.013449828751334E-3	-109.473130503839950E+0
131.000000000000030E+0	606.260405549803980E-6	-111.666508663459640E+0
132.000000000000030E+0	284.468004777654900E-6	-112.849711048152220E+0
133.000000000000030E+0	232.791520681985470E-6	-110.010904594784260E+0
134.000000000000030E+0	227.360840236657560E-6	-112.518382478175350E+0
135.000000000000030E+0	920.478939605479650E-6	-109.775489196784420E+0
136.000000000000030E+0	1.036192675031811E-3	-111.459433079064200E+0
137.000000000000030E+0	352.924296441904020E-6	-113.780934300803030E+0
138.000000000000030E+0	744.225902535178160E-6	-115.976672952188710E+0
139.000000000000030E+0	1.063236881133232E-3	-117.304257467957230E+0
140.000000000000030E+0	474.993373018569640E-6	-118.676813460920290E+0
141.000000000000030E+0	261.646903720413160E-6	-119.823840524928830E+0
142.000000000000030E+0	612.315878896778810E-6	-121.511973561694750E+0
143.000000000000030E+0	476.920662384219720E-6	-122.235384156954110E+0
144.000000000000030E+0	672.601203173308250E-6	-122.338607752164110E+0
145.000000000000030E+0	458.120744760681900E-6	-123.799572004085490E+0
146.000000000000030E+0	460.509486070017470E-6	-126.691739571904250E+0
147.000000000000030E+0	415.189144944855810E-6	-128.211279498316710E+0
148.000000000000030E+0	360.688702618889730E-6	-130.008212880881670E+0
149.000000000000030E+0	328.480598614831070E-6	-130.106557199629860E+0
150.000000000000030E+0	949.109064469265060E-6	-130.583505635394290E+0
151.000000000000030E+0	505.169817459189290E-6	-131.707355209773710E+0
152.000000000000030E+0	81.716399803435382E-6	-129.675798075609290E+0
153.000000000000030E+0	242.559734876925850E-6	-128.881643892916090E+0
154.000000000000030E+0	292.588960050267890E-6	-129.800892640200170E+0
155.000000000000030E+0	123.454693363999410E-6	-127.743914036721820E+0
156.000000000000030E+0	279.115770749643880E-6	-130.048335715152490E+0
157.000000000000030E+0	502.253630189647030E-6	-132.471046325156100E+0
158.000000000000030E+0	520.830019056265150E-6	-133.963263860271780E+0
159.000000000000030E+0	367.609534599548680E-6	-135.138458270273990E+0
160.000000000000030E+0	412.233881683081220E-6	-137.027298419527340E+0
161.000000000000030E+0	596.658570081864760E-6	-138.560128760708350E+0
162.000000000000030E+0	413.715128641427200E-6	-139.506954315959260E+0
163.000000000000030E+0	138.463928619576760E-6	-140.189367038471970E+0
164.000000000000030E+0	93.223775032402905E-6	-139.692353087510040E+0
165.000000000000030E+0	206.210671159431030E-6	-141.749693371666470E+0
166.000000000000030E+0	142.811189996425910E-6	-143.900074480257670E+0
167.000000000000030E+0	103.815070258701320E-6	-146.932338682393120E+0
168.000000000000030E+0	22.776204088813422E-6	-147.109921363590980E+0
169.000000000000030E+0	48.045898867007503E-6	-148.702636391891790E+0
170.000000000000030E+0	130.560877930041110E-6	-151.818529839640660E+0
171.000000000000030E+0	258.229669265349530E-6	-154.064320114299420E+0
172.000000000000030E+0	317.115903277375830E-6	-155.703338720623830E+0
173.000000000000030E+0	117.643371754094100E-6	-156.995622631876330E+0
174.000000000000030E+0	74.915717886299285E-6	-155.633563605001310E+0
175.000000000000030E+0	161.243738280794230E-6	-157.727183590507220E+0
176.000000000000030E+0	192.023299087853350E-6	-158.877872569652960E+0
177.000000000000030E+0	150.444437171431530E-6	-158.605132788613100E+0
178.000000000000030E+0	194.048587732010460E-6	-159.576185694093340E+0
179.000000000000030E+0	153.936819542419550E-6	-162.387281747270920E+0
180.000000000000030E+0	235.208180671053000E-6	-164.448656608060870E+0
181.000000000000030E+0	174.429843835769520E-6	-166.488447082339920E+0
182.000000000000030E+0	297.738625074592860E-6	-168.604312731141530E+0
183.000000000000030E+0	339.770108181795700E-6	-169.778688816819480E+0
184.000000000000030E+0	144.819885362219080E-6	-170.960597312292010E+0
185.000000000000030E+0	74.817733256359045E-6	-173.046923624596530E+0
186.000000000000030E+0	57.846750884730643E-6	-170.135117410154240E+0
187.000000000000030E+0	110.070291619945800E-6	-171.475967624763770E+0
188.000000000000030E+0	56.118295038254902E-6	-172.094538176113300E+0
189.000000000000030E+0	157.012457121312670E-6	-173.014094121515910E+0
190.000000000000030E+0	210.439831482936850E-6	-174.027791123541330E+0
191.000000000000030E+0	146.090535934895560E-6	-174.637864866802120E+0
192.000000000000030E+0	164.837244844962210E-6	-174.697167003966200E+0
193.000000000000030E+0	142.062128005632500E-6	-174.938810645235750E+0
194.000000000000030E+0	108.934713056042190E-6	-174.812525877325360E+0
195.000000000000030E+0	158.392354520963540E-6	-175.176990372255830E+0
196.000000000000030E+0	161.441541974416860E-6	-175.848460142567970E+0
197.000000000000030E+0	45.021926721041568E-6	-177.415291091881470E+0
198.000000000000030E+0	41.162869225030884E-6	-180.122916962287890E+0
199.000000000000030E+0	57.842259537326878E-6	-182.487622281178060E+0
200.000000000000030E+0	101.974925752980830E-6	-181.714131670370560E+0
201.000000000000030E+0	166.079175162362090E-6	-182.410971040787470E+0
202.000000000000030E+0	95.701787485469273E-6	-184.262692865966220E+0
203.000000000000030E+0	139.853588296757070E-6	-185.627854289916310E+0
204.000000000000030E+0	100.189051473757220E-6	-185.759829451202560E+0
205.000000000000030E+0	147.059323242318060E-6	-185.883531620480540E+0
206.000000000000030E+0	251.118768390097360E-6	-186.912183713027960E+0
207.000000000000030E+0	214.492867704101700E-6	-187.299211524759270E+0
208.000000000000030E+0	147.470238600186320E-6	-187.562763430331810E+0
209.000000000000030E+0	120.710444149884350E-6	-188.973170392359320E+0
210.000000000000030E+0	80.369113147577817E-6	-190.590485851801730E+0
211.000000000000030E+0	103.792422012097300E-6	-193.635716573803360E+0
212.000000000000030E+0	244.200201784370220E-6	-194.986423935950650E+0
213.000000000000030E+0	176.849707951457850E-6	-196.026874002014070E+0
214.000000000000030E+0	72.846936899695534E-6	-199.064136852473670E+0
215.000000000000030E+0	238.702969000123830E-6	-200.047095541377270E+0
216.000000000000030E+0	345.928321349334310E-6	-199.335177208758520E+0
217.000000000000030E+0	819.326468706552080E-6	-199.153664615452700E+0
218.000000000000030E+0	676.679126505172670E-6	-199.563339044612410E+0
219.000000000000030E+0	166.239955244272370E-6	-200.400206340805600E+0
220.000000000000030E+0	96.688268693888367E-6	-201.121992356692170E+0
221.000000000000030E+0	196.392394586674110E-6	-200.701876235467410E+0
222.000000000000030E+0	246.658547073720490E-6	-200.756416084525340E+0
223.000000000000030E+0	139.403253673296880E-6	-200.835077903481870E+0
224.000000000000030E+0	109.895280404872070E-6	-201.051548649128680E+0
225.000000000000030E+0	165.910479972952480E-6	-202.430096391372130E+0
226.000000000000030E+0	77.301879623171919E-6	-203.838327351107040E+0
227.000000000000030E+0	135.280231283757110E-6	-206.119182067271770E+0
228.000000000000030E+0	52.707613875322153E-6	-206.571567223134650E+0
229.000000000000030E+0	67.337581590420892E-6	-204.016348594366380E+0
230.000000000000030E+0	121.814202042539830E-6	-204.998551770390410E+0
231.000000000000030E+0	165.006942097304230E-6	-205.806856515409920E+0
232.000000000000030E+0	107.813118145741380E-6	-207.545672071563810E+0
233.000000000000030E+0	178.216043005699370E-6	-209.129608039252360E+0
234.000000000000030E+0	60.231727830830869E-6	-211.371359284151370E+0
235.000000000000030E+0	224.540704749601140E-6	-213.195195025164280E+0
236.000000000000030E+0	238.539915433915970E-6	-214.250438823573600E+0
237.000000000000030E+0	328.101985094104780E-6	-214.840782796996420E+0
238.000000000000030E+0	479.521382088753760E-6	-214.970547033336340E+0
239.000000000000030E+0	473.174050350217410E-6	-215.329180144188680E+0
240.000000000000030E+0	120.750398502631080E-6	-215.488402247720960E+0
241.000000000000030E+0	136.518526714950730E-6	-213.117610027052850E+0
242.000000000000030E+0	119.381229743077540E-6	-212.781460658554410E+0
243.000000000000030E+0	34.942965957081004E-6	-212.798345522230310E+0
244.000000000000030E+0	45.133747790355262E-6	-213.218288005606180E+0
245.000000000000030E+0	107.554103966170870E-6	-213.813776353355390E+0
246.000000000000030E+0	74.678826467976879E-6	-216.437292426466060E+0
247.000000000000030E+0	86.242181825123756E-6	-216.826617041714770E+0
248.000000000000030E+0	30.499157555640976E-6	-214.582722950227860E+0
249.000000000000030E+0	44.807787433003865E-6	-216.568505134792450E+0
250.000000000000030E+0	237.963017853382890E-6	-215.883549282945890E+0
251.000000000000030E+0	364.565337574151700E-6	-215.911692762539730E+0
252.000000000000030E+0	279.745401384162480E-6	-216.540653321417380E+0
253.000000000000030E+0	94.532537363526786E-6	-217.635972715026670E+0
254.000000000000030E+0	191.439328594003820E-6	-220.231396300180930E+0
255.000000000000030E+0	86.700712641181967E-6	-220.442663120644940E+0
256.000000000000060E+0	185.990623806593190E-6	-223.173714829606550E+0
257.000000000000060E+0	250.053824605232270E-6	-222.986294560372560E+0
258.000000000000060E+0	158.419322783895750E-6	-222.772966449068180E+0
259.000000000000060E+0	83.819070825056491E-6	-220.927041438972880E+0
260.000000000000060E+0	432.802711239018830E-6	-219.941740666345400E+0
261.000000000000060E+0	418.994578979978230E-6	-219.067268811172170E+0
262.000000000000060E+0	660.938723080593690E-6	-218.073048322985020E+0
263.000000000000060E+0	372.116767410470920E-6	-217.904182365956870E+0
264.000000000000060E+0	152.930348342442660E-6	-215.006639543343200E+0
265.000000000000060E+0	48.688913069227389E-6	-215.669298070029530E+0
266.000000000000060E+0	271.496893480039390E-6	-217.066467939529470E+0
267.000000000000060E+0	461.224272248779660E-6	-216.287006788365660E+0
268.000000000000060E+0	774.279347771639070E-6	-216.066708706313990E+0
269.000000000000060E+0	818.001664909477140E-6	-216.261790657307270E+0
270.000000000000060E+0	329.216887731561240E-6	-216.097939896606650E+0
271.000000000000060E+0	204.168805290797760E-6	-214.975999143616120E+0
272.000000000000060E+0	387.816220879297250E-6	-216.141895850537570E+0
273.000000000000060E+0	529.557384179446990E-6	-216.049433543927340E+0
274.000000000000060E+0	499.888449219767050E-6	-215.329797094960070E+0
275.000000000000060E+0	403.072294855923080E-6	-214.244553310953900E+0
276.000000000000060E+0	258.328049467607310E-6	-212.590118739345510E+0
277.000000000000060E+0	377.307479348816570E-6	-211.684982493854820E+0
278.000000000000060E+0	574.616252683820060E-6	-212.789991380446880E+0
279.000000000000060E+0	822.761922051420330E-6	-213.345660224735500E+0
280.000000000000060E+0	332.696795459106410E-6	-213.995115245067810E+0
281.000000000000060E+0	397.598041791030360E-6	-215.896503739671320E+0
282.000000000000060E+0	397.226965622847830E-6	-216.217246518686550E+0
283.000000000000060E+0	699.199713967926510E-6	-217.711151745894680E+0
284.000000000000060E+0	765.998195767112530E-6	-217.659401964230620E+0
285.000000000000060E+0	147.123023248213660E-6	-216.237856512331010E+0
286.000000000000060E+0	602.008666162539750E-6	-216.080646710647440E+0
287.000000000000060E+0	1.103522028182830E-3	-216.055424414114040E+0
288.000000000000060E+0	1.146724011507093E-3	-215.456309977932360E+0
289.000000000000060E+0	1.396774313951008E-3	-214.847184780241380E+0
290.000000000000060E+0	866.415912795242430E-6	-214.476976449722260E+0
291.000000000000060E+0	207.623928003872600E-6	-214.547815673290810E+0
292.000000000000060E+0	487.612870525836050E-6	-216.976593983077150E+0
293.000000000000060E+0	961.821470672538240E-6	-216.798691627403370E+0
294.000000000000060E+0	952.482507329350020E-6	-216.169924728591160E+0
295.000000000000060E+0	719.394003036578850E-6	-215.689799426803350E+0
296.000000000000060E+0	611.015925764228320E-6	-216.018068611738210E+0
297.000000000000060E+0	411.632798687866380E-6	-216.388337558642800E+0
298.000000000000060E+0	554.809058778697590E-6	-218.181039043801630E+0
299.000000000000060E+0	394.049010225370840E-6	-219.374689509881190E+0
300.000000000000060E+0	982.335140607373810E-6	-221.063595643373730E+0
301.000000000000060E+0	1.523566466918392E-3	-221.493376495095700E+0
302.000000000000060E+0	1.522357870713346E-3	-221.190667099048820E+0
303.000000000000060E+0	1.069661119031368E-3	-220.877607724981770E+0
304.000000000000060E+0	237.490287067032340E-6	-223.275973400322410E+0
305.000000000000060E+0	1.120037152138510E-3	-223.395363240793470E+0
306.000000000000060E+0	664.241142859851650E-6	-223.541817463360130E+0
307.000000000000060E+0	552.165535878247240E-6	-224.565118174324570E+0
308.000000000000060E+0	728.176807843994470E-6	-225.032437971027660E+0
309.000000000000060E+0	623.049746122868870E-6	-225.182088188464520E+0
310.000000000000060E+0	723.087584398048150E-6	-225.691708745269840E+0
311.000000000000060E+0	846.212988449368850E-6	-225.127715518960800E+0
312.000000000000060E+0	484.601431893207860E-6	-222.718380323688390E+0
313.000000000000060E+0	633.168535170560030E-6	-221.060787688676670E+0
314.000000000000060E+0	432.821752813424560E-6	-218.408353883223700E+0
315.000000000000060E+0	521.213965148232250E-6	-215.974885449721680E+0
316.000000000000060E+0	364.423524718484760E-6	-215.011734865805950E+0
317.000000000000060E+0	654.348705842885570E-6	-216.193983555874980E+0
318.000000000000060E+0	375.833779358544610E-6	-215.079933956876940E+0
319.000000000000060E+0	199.748165312632480E-6	-212.740452761212940E+0
320.000000000000060E+0	394.908146783976160E-6	-215.453400993122190E+0
321.000000000000060E+0	641.412266468339750E-6	-214.528439195501250E+0
322.000000000000060E+0	498.934826444961110E-6	-212.992738938072650E+0
323.000000000000060E+0	616.563048416558070E-6	-212.356165976434230E+0
324.000000000000060E+0	505.891477869041710E-6	-211.873139629946170E+0
325.000000000000060E+0	553.829855253569720E-6	-213.843074733484060E+0
326.000000000000060E+0	895.730051081217240E-6	-212.666796690650870E+0
327.000000000000060E+0	764.325057675457020E-6	-210.886768500767150E+0
328.000000000000060E+0	536.028257397368640E-6	-210.924060813870030E+0
329.000000000000060E+0	370.119788358692640E-6	-210.400109604037310E+0
330.000000000000060E+0	781.488795641657590E-6	-207.681924294300270E+0
331.000000000000060E+0	988.310781500623390E-6	-206.834364734361570E+0
332.000000000000060E+0	643.341093161917920E-6	-205.667853798522710E+0
333.000000000000060E+0	603.002542471024750E-6	-204.944452689706280E+0
334.000000000000060E+0	669.837844597579000E-6	-204.281931200220750E+0
335.000000000000060E+0	501.711123428695710E-6	-203.861050278565810E+0
336.000000000000060E+0	577.975615841450100E-6	-203.449077387827600E+0
337.000000000000060E+0	388.660633712280330E-6	-202.125953994681280E+0
338.000000000000060E+0	279.349139016505800E-6	-199.953741624088540E+0
339.000000000000060E+0	395.434681222765540E-6	-198.786986042180960E+0
340.000000000000060E+0	244.457741102866470E-6	-198.317460049909040E+0
341.000000000000060E+0	187.562812809972330E-6	-196.173279883585050E+0
342.000000000000060E+0	440.662405236016110E-6	-195.350706855480640E+0
343.000000000000060E+0	680.072148197765460E-6	-194.864894203175110E+0
344.000000000000060E+0	779.854519529782010E-6	-193.689440443337390E+0
345.000000000000060E+0	649.696304743023630E-6	-191.967543394885690E+0
346.000000000000060E+0	603.931492248850120E-6	-190.842146026298760E+0
347.000000000000060E+0	906.095906253206260E-6	-190.153301388618980E+0
348.000000000000060E+0	878.136939244168510E-6	-189.150056423420320E+0
349.000000000000060E+0	337.368728357854060E-6	-188.012344033017680E+0
350.000000000000060E+0	609.496543312948190E-6	-191.027707364538600E+0
351.000000000000060E+0	935.913652947449710E-6	-190.004245613419360E+0
352.000000000000060E+0	503.300626493752310E-6	-188.526683328590220E+0
353.000000000000060E+0	654.134048970485990E-6	-187.778713905493220E+0
354.000000000000060E+0	1.201795478002239E-3	-187.152926196046140E+0
355.000000000000060E+0	605.809826489978680E-6	-185.654706139828420E+0
356.000000000000060E+0	566.885369145649420E-6	-182.561163644493180E+0
357.000000000000060E+0	332.472851663270940E-6	-180.477154240613170E+0
358.000000000000060E+0	249.888073369914400E-6	-183.254656364778870E+0
359.000000000000060E+0	116.422332686352470E-6	-185.731271798369500E+0
360.000000000000060E+0	508.355997354447990E-6	-183.708083266395700E+0
361.000000000000060E+0	444.560617494471990E-6	-182.057745848878710E+0
362.000000000000060E+0	425.815483230617210E-6	-181.026402821873290E+0
363.000000000000060E+0	647.113147489340020E-6	-180.844110379165760E+0
364.000000000000060E+0	1.059447020583853E-3	-180.079713585040110E+0
365.000000000000060E+0	890.032150830902040E-6	-179.009581514973490E+0
366.000000000000060E+0	486.770903705911840E-6	-177.712224639623770E+0
367.000000000000060E+0	651.973598988215390E-6	-175.295160077987930E+0
368.000000000000060E+0	1.232690452459533E-3	-173.524176365974740E+0
369.000000000000060E+0	909.925528298173670E-6	-171.875126714424140E+0
370.000000000000060E+0	165.071168475335220E-6	-169.219065683740550E+0
371.000000000000060E+0	53.355569780739896E-6	-166.858885174501270E+0
