Freq (Hz)	Gxymicro/hp_Real	Gxymicro/hp_Imag
49.000000000000007E+0	-190.987205853604550E-12	-877.714565794853180E-12
50.000000000000007E+0	-1.210527681120860E-9	1.560994132201570E-9
51.000000000000007E+0	22.377620609973831E-12	-109.064213281866410E-12
52.000000000000007E+0	194.954060365738890E-12	173.084254280323260E-12
53.000000000000007E+0	6.081737785361305E-12	-572.091598575523570E-12
54.000000000000007E+0	-801.633454447179100E-12	837.416878663758220E-12
55.000000000000007E+0	1.298531199634986E-9	17.378916441372670E-12
56.000000000000007E+0	-370.707420878632170E-12	-761.197954889662800E-12
57.000000000000007E+0	443.115265661730860E-12	8.333671428194642E-12
58.000000000000007E+0	-1.687691867819162E-9	-437.915515367675680E-12
59.000000000000007E+0	542.886944675487030E-12	1.888261168164165E-9
60.000000000000007E+0	2.316444572385612E-9	-3.450027472823045E-9
61.000000000000007E+0	-5.689061322360980E-9	1.319431235925478E-9
62.000000000000007E+0	859.519350144186310E-12	1.605279332710284E-9
63.000000000000007E+0	1.956223878707771E-9	2.624233634998376E-9
64.000000000000014E+0	3.018642217604451E-9	-3.089430062131699E-9
65.000000000000014E+0	-3.060328148080435E-9	-2.362833010734162E-9
66.000000000000014E+0	117.372839577005290E-12	1.536657395566603E-9
67.000000000000014E+0	2.263588876553294E-9	-589.322599342200940E-12
68.000000000000014E+0	-4.537020301977091E-9	-701.362688623165970E-12
69.000000000000014E+0	2.078139343143718E-9	1.977645951525609E-9
70.000000000000014E+0	1.531373414036414E-9	-2.314650787425975E-9
71.000000000000014E+0	-1.901788280488799E-9	-953.778203911515050E-12
72.000000000000014E+0	-1.732294056525035E-9	-1.301345378979291E-9
73.000000000000014E+0	264.876827841055460E-12	3.504045610660756E-9
74.000000000000014E+0	-3.368004450735377E-9	-6.561279218601574E-9
75.000000000000014E+0	3.549428137066174E-9	7.355909422088870E-9
76.000000000000014E+0	-5.870509252325033E-9	-6.402295758585870E-9
77.000000000000014E+0	-459.947073343865610E-12	2.707758334772981E-9
78.000000000000014E+0	-718.916567805803910E-12	6.277044137318246E-9
79.000000000000014E+0	4.161468096191231E-9	-1.315936114779779E-9
80.000000000000014E+0	6.861999641987579E-9	-3.920489183820908E-9
81.000000000000014E+0	-12.327512691686954E-9	-1.484803537698750E-9
82.000000000000014E+0	9.910425740073886E-9	6.264257235849517E-9
83.000000000000014E+0	5.207616594773310E-9	-4.872713919402784E-9
84.000000000000014E+0	-2.099685219135567E-9	-2.767601505486492E-9
85.000000000000014E+0	1.912412026808418E-9	-7.590189207926638E-9
86.000000000000014E+0	-82.020181919051659E-12	10.423079208206635E-9
87.000000000000014E+0	4.793207141725621E-9	-11.931683966326686E-9
88.000000000000014E+0	1.796542256827682E-9	-3.986155826420444E-9
89.000000000000014E+0	-17.775156947328602E-9	-4.614346447506491E-9
90.000000000000014E+0	3.976583003537563E-9	11.032314180166361E-9
91.000000000000014E+0	-2.664740184451901E-9	676.401536347106720E-12
92.000000000000014E+0	10.788237984366042E-9	10.321253584626081E-9
93.000000000000014E+0	4.371496908248836E-9	-17.010672638029606E-9
94.000000000000014E+0	-2.386674277844762E-9	9.168486793022125E-9
95.000000000000014E+0	13.299981922474240E-9	-15.620477645070200E-9
96.000000000000014E+0	-7.131660741833685E-9	-173.520472127021800E-12
97.000000000000014E+0	-2.145220756800293E-9	-22.169246085022729E-9
98.000000000000014E+0	-15.239556327584302E-9	8.019025539518938E-9
99.000000000000014E+0	31.298637242500147E-9	-37.782670744466577E-9
100.000000000000010E+0	-108.856849754346080E-9	-21.537650022187775E-9
101.000000000000010E+0	18.824041513402134E-9	54.251613881482367E-9
102.000000000000010E+0	-9.265448684804295E-9	-4.417573549383227E-9
103.000000000000010E+0	-583.088830268779780E-12	5.408303656447415E-9
104.000000000000010E+0	-4.733451468779718E-9	-3.678397973235296E-9
105.000000000000010E+0	6.297333260175352E-9	3.315634327978967E-9
106.000000000000010E+0	-18.773267076303409E-9	-20.778458978794963E-9
107.000000000000010E+0	-6.273141340784984E-9	31.950762502580795E-9
108.000000000000010E+0	7.482978465263614E-9	-15.744568255684265E-9
109.000000000000010E+0	-10.940786120823494E-9	17.427785809635870E-9
110.000000000000010E+0	-7.367624047758548E-9	9.453267310774249E-9
111.000000000000010E+0	32.125553750060975E-9	21.124247221443698E-9
112.000000000000010E+0	-11.198717282175943E-9	-25.777348769607103E-9
113.000000000000010E+0	2.605827083938897E-9	13.746162848111301E-9
114.000000000000010E+0	-8.856437141186552E-9	-3.617569952267963E-9
115.000000000000010E+0	-17.008061234082414E-9	14.399697561967763E-9
116.000000000000010E+0	11.689415794691201E-9	-23.097421907532977E-9
117.000000000000010E+0	-116.586736004238290E-9	45.640328096899493E-9
118.000000000000010E+0	50.130420808239924E-9	97.905031809118014E-9
119.000000000000010E+0	20.996571558799803E-9	8.677288582433450E-9
120.000000000000010E+0	27.737524151861407E-9	23.447510690245447E-9
121.000000000000010E+0	5.560214072393180E-9	-10.546492652809732E-9
122.000000000000010E+0	15.316150639668705E-9	29.412979736653526E-9
123.000000000000010E+0	327.714708229055720E-12	-8.329892161460991E-9
124.000000000000010E+0	-6.735905608908487E-9	35.856759506975888E-9
125.000000000000010E+0	-11.542419516416153E-9	21.344408704613291E-9
126.000000000000010E+0	11.642373363123076E-9	67.863644455179396E-9
127.000000000000010E+0	36.420357338929860E-9	29.722746705487018E-9
128.000000000000030E+0	35.584291268623681E-9	-32.055278760081151E-9
129.000000000000030E+0	-28.311716996852582E-9	-28.370234360291251E-9
130.000000000000030E+0	-41.066035280095677E-9	-17.464285800111115E-9
131.000000000000030E+0	-17.109775462790294E-9	-39.107100221148311E-9
132.000000000000030E+0	-99.539082960089474E-9	19.436175332932936E-9
133.000000000000030E+0	87.513167878035724E-9	67.456132918695224E-9
134.000000000000030E+0	130.954624581169700E-9	-81.780701048127562E-9
135.000000000000030E+0	51.248795814160467E-9	-222.528845705813620E-9
136.000000000000030E+0	-137.235919566332340E-9	-95.516079017790407E-9
137.000000000000030E+0	-47.643724735975696E-9	39.179705403863105E-9
138.000000000000030E+0	-90.779834575574732E-9	29.489413860113011E-9
139.000000000000030E+0	-13.310979076758669E-9	204.546523255388460E-9
140.000000000000030E+0	86.168085276284914E-9	82.251204287350566E-9
141.000000000000030E+0	151.198321397224840E-9	-25.629444216940646E-9
142.000000000000030E+0	-91.926031277558567E-9	-169.218348480971480E-9
143.000000000000030E+0	-111.006233426101430E-9	78.037457430635325E-9
144.000000000000030E+0	18.086209247648188E-9	36.285190496342869E-9
145.000000000000030E+0	-19.682070732593786E-9	-93.817975560684011E-9
146.000000000000030E+0	-171.690333677041360E-9	-63.467337056428567E-9
147.000000000000030E+0	-189.722102528924730E-9	93.058123190761317E-9
148.000000000000030E+0	98.657363969487019E-9	158.200336329085430E-9
149.000000000000030E+0	3.931573823372690E-9	82.030937139890467E-9
150.000000000000030E+0	340.992581629198440E-9	396.304140255898930E-9
151.000000000000030E+0	535.460835274215180E-9	-153.185189571380400E-9
152.000000000000030E+0	26.567498802475307E-9	-187.103973623317290E-9
153.000000000000030E+0	111.922297502391960E-9	-69.205416652409899E-9
154.000000000000030E+0	-39.602766709073586E-9	-210.951723814235330E-9
155.000000000000030E+0	-82.795792610912146E-9	-195.632821880820640E-9
156.000000000000030E+0	-403.937237402404800E-9	-205.597512903379240E-9
157.000000000000030E+0	-407.775383728674600E-9	261.521448435702990E-9
158.000000000000030E+0	-69.142298952519764E-9	398.986257001189000E-9
159.000000000000030E+0	356.154983098912320E-9	298.466446710867180E-9
160.000000000000030E+0	448.317479070742230E-9	-515.849540851792670E-9
161.000000000000030E+0	-579.689806608239440E-9	-500.822743526979700E-9
162.000000000000030E+0	-336.419546789268200E-9	356.572367805800000E-9
163.000000000000030E+0	16.607726150087142E-9	123.195538575606990E-9
164.000000000000030E+0	-140.479506579467240E-9	107.211655021036670E-9
165.000000000000030E+0	-95.183285641962407E-9	74.899016953090372E-9
166.000000000000030E+0	-102.493656337524020E-9	-61.656705384580549E-9
167.000000000000030E+0	-380.747492475030130E-9	-90.862881285086160E-9
168.000000000000030E+0	-240.057486332028050E-9	237.148458512413560E-9
169.000000000000030E+0	-35.232282932016489E-9	78.108877742507313E-9
170.000000000000030E+0	-14.357213384596899E-9	-183.759229998683220E-9
171.000000000000030E+0	-374.939753940975520E-9	-142.118993267704190E-9
172.000000000000030E+0	-123.914660137493900E-9	18.777281582998302E-9
173.000000000000030E+0	-379.546200876988920E-9	151.377948057497120E-9
174.000000000000030E+0	121.578567625434810E-9	620.335200934408640E-9
175.000000000000030E+0	313.192533159449230E-9	144.955095330947670E-9
176.000000000000030E+0	182.428448930257890E-9	4.555687148764965E-9
177.000000000000030E+0	221.414896335355350E-9	-224.781389645398250E-9
178.000000000000030E+0	112.966318490006470E-9	-389.559650602180870E-9
179.000000000000030E+0	-103.984109205278750E-9	-154.616376458233680E-9
180.000000000000030E+0	73.202078204970645E-9	117.508646231147810E-9
181.000000000000030E+0	258.355564799590360E-9	122.109293827929100E-9
182.000000000000030E+0	-157.140470267496740E-9	-278.188784051873210E-9
183.000000000000030E+0	-653.282603536196480E-9	914.861850132486560E-9
184.000000000000030E+0	586.844037544478830E-9	980.983235977029290E-9
185.000000000000030E+0	441.066361048354890E-9	294.289165608504670E-9
186.000000000000030E+0	555.745279895717290E-9	-108.588391001576970E-9
187.000000000000030E+0	61.760666252734593E-9	-781.370823722142480E-9
188.000000000000030E+0	-326.085837080868630E-9	-347.652452213491970E-9
189.000000000000030E+0	-45.119632282439018E-9	-242.487960534266410E-9
190.000000000000030E+0	-262.149596053217350E-9	-38.502763498086870E-9
191.000000000000030E+0	93.256014125183299E-9	464.004454059736400E-9
192.000000000000030E+0	441.806621751480780E-9	286.131063828427680E-9
193.000000000000030E+0	357.160491289481750E-9	40.408570023073525E-9
194.000000000000030E+0	-42.519909201451745E-9	-360.167503451122310E-9
195.000000000000030E+0	-425.077590404275360E-9	64.319806662859934E-9
196.000000000000030E+0	197.637419678344140E-9	196.161083184659840E-9
197.000000000000030E+0	178.030504906972030E-9	-180.414003318152700E-9
198.000000000000030E+0	-65.097171819004589E-9	13.679543040188994E-9
199.000000000000030E+0	585.045683338340350E-9	58.699493480430851E-9
200.000000000000030E+0	630.307444377965400E-9	-1.166618801954504E-6
201.000000000000030E+0	-458.370611539990270E-9	-875.002192701737250E-9
202.000000000000030E+0	-327.275309550414910E-9	-137.994225559414530E-9
