Freq (Hz)	micro/hp_Real	micro/hp_Imag
49.000000000000007E+0	-245.424010750837920E-3	142.755448323443310E-3
50.000000000000007E+0	-497.383685305989140E-3	53.506191485899197E-3
51.000000000000007E+0	-117.225643316815880E-3	176.281413377576630E-3
52.000000000000007E+0	130.945853622617040E-3	-338.065786066949150E-3
53.000000000000007E+0	-179.642234381787450E-3	66.166705035490561E-3
54.000000000000007E+0	108.189456194132460E-3	50.023069111784398E-3
55.000000000000007E+0	3.442970253606706E-3	23.745257265684976E-3
56.000000000000007E+0	37.645820478231763E-3	-74.760675034676982E-3
57.000000000000007E+0	-49.926811660627457E-3	-48.450039673520982E-3
58.000000000000007E+0	-49.571079870306275E-3	77.166175916040122E-3
59.000000000000007E+0	45.504226764127048E-3	-1.682363742486308E-3
60.000000000000007E+0	-54.070087449977725E-3	45.545201691109573E-3
61.000000000000007E+0	122.954605069195630E-3	-11.573056400334493E-3
62.000000000000007E+0	-58.029479122115570E-3	-63.404619775005250E-3
63.000000000000007E+0	15.561496778084183E-3	24.586108107556213E-3
64.000000000000014E+0	-22.062504129233995E-3	-6.477836289089899E-3
65.000000000000014E+0	4.401559765274793E-3	9.839458408627488E-3
66.000000000000014E+0	23.425557590761495E-3	-11.057074394927030E-3
67.000000000000014E+0	-35.376663657459902E-3	-405.217909645847830E-6
68.000000000000014E+0	19.328737046521587E-3	3.263720359623383E-3
69.000000000000014E+0	-9.996138354366295E-3	8.046001216990832E-3
70.000000000000014E+0	10.149841337846799E-3	-5.066288025450507E-3
71.000000000000014E+0	-5.771578735648507E-3	6.594110631548232E-3
72.000000000000014E+0	8.012305179632136E-3	-5.716487946121023E-3
73.000000000000014E+0	7.389203868532786E-3	-3.916094406559423E-3
74.000000000000014E+0	-13.250089858218671E-3	-4.725775323185348E-3
75.000000000000014E+0	11.222826558937297E-3	3.702371629762064E-3
76.000000000000014E+0	-2.746246412015371E-3	-3.449809600227156E-3
77.000000000000014E+0	-14.522968464427452E-3	-11.287371426237106E-3
78.000000000000014E+0	7.745371617595424E-3	20.595550168300641E-3
79.000000000000014E+0	250.690987933028540E-6	-3.083478283021159E-3
80.000000000000014E+0	6.597835734143792E-3	-3.334685484316761E-3
81.000000000000014E+0	-10.211389488861168E-3	-53.008279269126370E-6
82.000000000000014E+0	7.248528678311919E-3	8.556352687623054E-3
83.000000000000014E+0	2.819425810023010E-3	-4.654228381155304E-3
84.000000000000014E+0	-3.606665170657627E-3	5.011987459045124E-3
85.000000000000014E+0	9.301965346634793E-3	-199.501680677901890E-6
86.000000000000014E+0	-2.989373068077252E-3	-2.090966754614684E-3
87.000000000000014E+0	7.328244387984974E-3	-200.665481475364750E-6
88.000000000000014E+0	-4.573994712009664E-3	-8.145023752504227E-3
89.000000000000014E+0	-5.043537515534278E-3	2.008899917435484E-3
90.000000000000014E+0	1.338138768005145E-3	7.967232660369252E-3
91.000000000000014E+0	2.058207957174444E-3	-7.314656565998208E-3
92.000000000000014E+0	1.271931825625444E-3	6.382373331045240E-3
93.000000000000014E+0	1.910091939883519E-3	-6.349485124393078E-3
94.000000000000014E+0	-3.293355391936239E-3	-1.146709238753594E-3
95.000000000000014E+0	946.151586143807430E-6	1.895979162545275E-3
96.000000000000014E+0	-1.484746585514898E-3	-177.811185934627340E-6
