Freq (Hz)	micro(Pa^2 )	hp(V^2 )
49.000000000000007E+0	658.550295502628890E-12	4.788099628105020E-9
50.000000000000007E+0	2.052702776766181E-9	12.166025869894086E-9
51.000000000000007E+0	414.423110929490340E-12	1.021568295506245E-9
52.000000000000007E+0	21.281046167015846E-12	2.381983524649023E-9
53.000000000000007E+0	68.258531578530370E-12	7.449627472024748E-9
54.000000000000007E+0	35.019116183518497E-12	10.432308825339572E-9
55.000000000000007E+0	12.234374674945636E-12	10.753551614848548E-9
56.000000000000007E+0	34.191069526399134E-12	13.814642768806358E-9
57.000000000000007E+0	160.829394627586220E-12	19.254392603208820E-9
58.000000000000007E+0	259.582998661064060E-12	26.656137264560929E-9
59.000000000000007E+0	77.259118069865789E-12	35.208753249790471E-9
60.000000000000007E+0	175.257473652511580E-12	46.741760976429908E-9
61.000000000000007E+0	385.368357927320270E-12	69.237859911275902E-9
62.000000000000007E+0	234.355176150386100E-12	76.521821112691938E-9
63.000000000000007E+0	140.968819913747030E-12	85.077255579259124E-9
64.000000000000014E+0	25.510217435069615E-12	138.619550605466600E-9
65.000000000000014E+0	37.232622289766033E-12	152.814518391116920E-9
66.000000000000014E+0	2.276943555597184E-12	174.735936385027390E-9
67.000000000000014E+0	35.230834232913349E-12	240.912208342573710E-9
68.000000000000014E+0	97.979922226472604E-12	286.511612948413750E-9
69.000000000000014E+0	104.870979508839420E-12	325.995072434108250E-9
70.000000000000014E+0	190.414876575618430E-12	381.488889053408500E-9
71.000000000000014E+0	203.414969730314700E-12	440.314180849941160E-9
72.000000000000014E+0	108.706061879769190E-12	486.588441325813260E-9
73.000000000000014E+0	8.289094338926923E-12	578.047167190303010E-9
74.000000000000014E+0	71.488614781388997E-12	682.300549794969750E-9
75.000000000000014E+0	105.238574455663060E-12	666.716857211972070E-9
76.000000000000014E+0	154.276507379430790E-12	740.300231474107130E-9
77.000000000000014E+0	58.052276170910221E-12	815.114945027575310E-9
78.000000000000014E+0	21.328849147902546E-12	900.641603581325320E-9
79.000000000000014E+0	135.933249759437900E-12	1.018112427238671E-6
80.000000000000014E+0	137.567083021586800E-12	1.118472860157157E-6
81.000000000000014E+0	1.564635251302684E-12	1.217444833782230E-6
82.000000000000014E+0	77.298501714231518E-12	1.438720844507647E-6
83.000000000000014E+0	224.790870873393390E-12	1.654220523824285E-6
84.000000000000014E+0	35.013459235633368E-12	1.899484089607213E-6
85.000000000000014E+0	8.101050771106984E-12	2.131233683287654E-6
86.000000000000014E+0	35.011925205626667E-12	2.277858426081213E-6
87.000000000000014E+0	30.110030807187765E-12	2.621794251277953E-6
88.000000000000014E+0	50.470562568779266E-12	2.889462612057432E-6
89.000000000000014E+0	126.608401005718630E-12	2.934187846936450E-6
90.000000000000014E+0	72.767670495911796E-12	2.894806692932684E-6
91.000000000000014E+0	166.859968018382240E-12	3.041018760312726E-6
92.000000000000014E+0	173.742369102562900E-12	3.143349354002026E-6
93.000000000000014E+0	2.823091378847479E-12	3.182427099009465E-6
94.000000000000014E+0	150.372250494377840E-12	3.405690479757006E-6
95.000000000000014E+0	151.414593571039310E-12	3.687540165751043E-6
96.000000000000014E+0	115.322543514596840E-12	4.108468867855843E-6
97.000000000000014E+0	59.983978885393647E-12	4.518573701395147E-6
98.000000000000014E+0	27.177579264592898E-12	4.984175948569105E-6
99.000000000000014E+0	519.857622982490630E-12	5.293869531690454E-6
100.000000000000010E+0	2.491255932815043E-9	5.082502911559692E-6
101.000000000000010E+0	864.176214677554140E-12	5.050524124814122E-6
102.000000000000010E+0	20.288129714414409E-12	4.892798978364226E-6
103.000000000000010E+0	15.242694360429840E-12	4.852224656229645E-6
104.000000000000010E+0	48.995127287780765E-12	5.164865493785523E-6
105.000000000000010E+0	18.235454837395165E-12	5.692910873524462E-6
106.000000000000010E+0	14.376859600095676E-12	6.450605203952176E-6
107.000000000000010E+0	75.146369185704475E-12	7.144722524648275E-6
108.000000000000010E+0	113.650618830235000E-12	7.582681642167450E-6
109.000000000000010E+0	153.177725895685260E-12	7.407289934273058E-6
110.000000000000010E+0	183.046494435531900E-12	7.128064296844713E-6
111.000000000000010E+0	109.366426029712650E-12	7.177358045997327E-6
112.000000000000010E+0	39.443539692458161E-12	7.798985940046308E-6
113.000000000000010E+0	103.412048406040980E-12	9.241976194047674E-6
114.000000000000010E+0	118.414526355824170E-12	10.914168525092729E-6
115.000000000000010E+0	76.463199113786440E-12	12.328081257591672E-6
116.000000000000010E+0	40.386699496795134E-12	13.259358687113229E-6
117.000000000000010E+0	1.735056496836438E-9	13.583867136543744E-6
118.000000000000010E+0	2.275501011222807E-9	13.962954554572077E-6
119.000000000000010E+0	148.649240619200240E-12	15.307697328719410E-6
120.000000000000010E+0	27.674380340874634E-12	18.465702520114527E-6
121.000000000000010E+0	407.873819895879250E-15	22.747188759015018E-6
122.000000000000010E+0	3.841041068962438E-12	26.662473051261432E-6
123.000000000000010E+0	766.360427060108680E-15	28.957874720819232E-6
124.000000000000010E+0	122.351684943492430E-12	30.471781465541336E-6
125.000000000000010E+0	116.346372910572530E-12	33.386667165319316E-6
126.000000000000010E+0	8.939556253263913E-12	38.578315021145267E-6
127.000000000000010E+0	20.253090623479294E-12	45.779714319049410E-6
128.000000000000030E+0	39.268823023730845E-12	54.167841144514736E-6
129.000000000000030E+0	95.775303823419759E-12	61.926055178030320E-6
130.000000000000030E+0	40.126119396632777E-12	67.485602187876626E-6
131.000000000000030E+0	14.490811557503470E-12	73.412419674212789E-6
132.000000000000030E+0	57.092586512478307E-12	82.657292143596374E-6
133.000000000000030E+0	59.539219358805142E-12	95.290887006603859E-6
134.000000000000030E+0	48.914075035446197E-12	109.257769497530660E-6
135.000000000000030E+0	75.206814363201915E-12	122.790108299575530E-6
136.000000000000030E+0	54.566994430510927E-12	135.026541629899550E-6
137.000000000000030E+0	204.532601214583640E-12	148.717902631894850E-6
138.000000000000030E+0	243.215539926442080E-12	166.692744376628280E-6
139.000000000000030E+0	276.369209083837650E-12	190.405092661817550E-6
140.000000000000030E+0	173.253744034449060E-12	213.208839146482090E-6
141.000000000000030E+0	7.138321085826616E-12	228.909932528755480E-6
142.000000000000030E+0	6.731029527847964E-12	243.633059971425900E-6
143.000000000000030E+0	182.838011932406630E-12	268.708427330086350E-6
144.000000000000030E+0	250.387273769500450E-12	305.642611258557400E-6
145.000000000000030E+0	99.322568383711181E-12	344.283573301723880E-6
146.000000000000030E+0	92.310713576853083E-12	374.921550408017840E-6
147.000000000000030E+0	32.586232614242781E-12	396.878361684751680E-6
148.000000000000030E+0	147.611296527594550E-12	421.424065504496030E-6
149.000000000000030E+0	891.123189157961630E-12	464.882202558670100E-6
150.000000000000030E+0	1.572371631525364E-9	518.395213046447720E-6
151.000000000000030E+0	631.712085133439810E-12	564.279412884676100E-6
152.000000000000030E+0	216.415261819972050E-12	601.660820709919680E-6
153.000000000000030E+0	94.115081873289745E-12	638.734037507551390E-6
154.000000000000030E+0	48.004592190555081E-12	690.871610381742130E-6
155.000000000000030E+0	141.059591535309890E-12	747.430682993407050E-6
156.000000000000030E+0	96.124342136820428E-12	798.699818566569390E-6
157.000000000000030E+0	13.951680807975606E-12	848.451521192663750E-6
158.000000000000030E+0	68.356698959374133E-12	910.463557784449190E-6
159.000000000000030E+0	60.332505124831550E-12	987.688669942372220E-6
160.000000000000030E+0	54.251452179679951E-12	1.055823818073610E-3
161.000000000000030E+0	185.874252478988320E-12	1.096375160268264E-3
162.000000000000030E+0	217.710212741875810E-12	1.138160458896057E-3
163.000000000000030E+0	41.091470930227050E-12	1.218351003556267E-3
164.000000000000030E+0	62.620920627868355E-12	1.321158525035326E-3
165.000000000000030E+0	265.247934090989190E-12	1.404586800365332E-3
166.000000000000030E+0	84.358100639333073E-12	1.457229480472957E-3
167.000000000000030E+0	11.152862440267798E-12	1.505239943444445E-3
168.000000000000030E+0	9.843778799163306E-12	1.580811409188135E-3
169.000000000000030E+0	5.802424059395237E-12	1.675087000675232E-3
170.000000000000030E+0	58.239655065765846E-12	1.757232647759802E-3
171.000000000000030E+0	94.709865396826025E-12	1.843149560941638E-3
172.000000000000030E+0	48.565930763218028E-12	1.937673676751270E-3
173.000000000000030E+0	62.955159175702156E-12	1.996670611201129E-3
174.000000000000030E+0	13.888954432637570E-12	2.035844765723318E-3
175.000000000000030E+0	49.861421059396669E-12	2.118842366387105E-3
176.000000000000030E+0	339.198507615889290E-12	2.249732423885459E-3
177.000000000000030E+0	295.148359022359880E-12	2.365450074352007E-3
178.000000000000030E+0	73.573213121835999E-12	2.414182674697555E-3
179.000000000000030E+0	25.363681149105237E-12	2.441315093447146E-3
180.000000000000030E+0	215.120542462699050E-12	2.524449558145544E-3
181.000000000000030E+0	160.853877759013460E-12	2.626029518763342E-3
182.000000000000030E+0	98.943390940141252E-12	2.711491808440543E-3
183.000000000000030E+0	281.712441481778530E-12	2.816233261416853E-3
184.000000000000030E+0	16.702868824339912E-12	2.890424976789360E-3
185.000000000000030E+0	115.761714062370070E-12	2.896268616513989E-3
186.000000000000030E+0	34.042881734256986E-12	2.921910869653177E-3
187.000000000000030E+0	3.509927008832520E-12	3.046272355876441E-3
188.000000000000030E+0	7.109945715751191E-12	3.196873949087695E-3
189.000000000000030E+0	49.064708535610530E-12	3.227704315575571E-3
190.000000000000030E+0	9.071777000631262E-12	3.192353281351263E-3
191.000000000000030E+0	258.361056498035740E-12	3.251133682347216E-3
192.000000000000030E+0	617.033197999525080E-12	3.351228733920051E-3
193.000000000000030E+0	336.738000788297130E-12	3.422266944106858E-3
194.000000000000030E+0	87.533241277121710E-12	3.493709587346538E-3
195.000000000000030E+0	43.705454920345716E-12	3.524237924967895E-3
196.000000000000030E+0	9.881287203394580E-12	3.487402618404972E-3
197.000000000000030E+0	751.988899575986810E-15	3.484162061928921E-3
198.000000000000030E+0	34.059119023780375E-12	3.612678966928070E-3
199.000000000000030E+0	141.976807645882120E-12	3.723836945114503E-3
200.000000000000030E+0	188.569852111539510E-12	3.662779794243004E-3
201.000000000000030E+0	107.199777725615860E-12	3.595115027974989E-3
202.000000000000030E+0	106.379723992072660E-12	3.626890942224154E-3
203.000000000000030E+0	151.356431420029800E-12	3.708891414921986E-3
204.000000000000030E+0	84.291064324716749E-12	3.776703507437231E-3
205.000000000000030E+0	7.177861009346664E-12	3.746213090917557E-3
206.000000000000030E+0	275.320548669977640E-12	3.655911357967325E-3
207.000000000000030E+0	217.374746391197910E-12	3.633581037908104E-3
208.000000000000030E+0	17.722435295405979E-12	3.722419509525090E-3
209.000000000000030E+0	111.637047039799170E-12	3.766640992761821E-3
210.000000000000030E+0	355.429884991360240E-12	3.698287507970267E-3
211.000000000000030E+0	201.835628196373800E-12	3.623130176071336E-3
212.000000000000030E+0	32.867366392170732E-12	3.563241949952748E-3
213.000000000000030E+0	26.852124876837494E-12	3.614817511422486E-3
214.000000000000030E+0	49.985150929371060E-12	3.697571181189804E-3
215.000000000000030E+0	222.628241639895030E-12	3.583117753780310E-3
216.000000000000030E+0	78.532690790274761E-12	3.402910705789106E-3
217.000000000000030E+0	467.558749220123260E-12	3.422290694492188E-3
218.000000000000030E+0	789.947887036210890E-12	3.513997452294952E-3
219.000000000000030E+0	101.422837314853400E-12	3.433369230326811E-3
220.000000000000030E+0	36.516928034789353E-12	3.313303292581108E-3
221.000000000000030E+0	37.107206801262218E-12	3.221341576169157E-3
222.000000000000030E+0	46.146315927245410E-12	3.190510247734534E-3
223.000000000000030E+0	2.220147567240996E-12	3.241731158166553E-3
224.000000000000030E+0	81.604984582756266E-12	3.190647073135384E-3
225.000000000000030E+0	175.015805334550600E-12	3.016120740162447E-3
226.000000000000030E+0	58.111086190877012E-12	2.914276907471461E-3
227.000000000000030E+0	3.551286201037676E-12	2.965520853361120E-3
228.000000000000030E+0	125.398890966398080E-12	2.978300463628749E-3
229.000000000000030E+0	141.408274827776320E-12	2.831191330640970E-3
230.000000000000030E+0	61.872994564072139E-12	2.642204801803038E-3
231.000000000000030E+0	36.618169972924377E-12	2.663897633388874E-3
232.000000000000030E+0	52.993314700922022E-12	2.708675666729294E-3
233.000000000000030E+0	65.670500176263783E-12	2.567394885296166E-3
234.000000000000030E+0	25.052860113935489E-12	2.431700573416194E-3
235.000000000000030E+0	139.588046813245130E-12	2.367754161380340E-3
236.000000000000030E+0	91.605120685642056E-12	2.353153452575673E-3
237.000000000000030E+0	94.435639999628895E-12	2.355810743633690E-3
238.000000000000030E+0	25.312267308046077E-12	2.218386942613791E-3
239.000000000000030E+0	239.494136169762980E-12	2.039501229355130E-3
240.000000000000030E+0	255.445860618333060E-12	2.073529412219044E-3
241.000000000000030E+0	94.662333295735689E-12	2.093679952964248E-3
242.000000000000030E+0	69.134451582356078E-12	1.941074754901391E-3
243.000000000000030E+0	194.123989675456370E-12	1.779813042086878E-3
244.000000000000030E+0	152.444746289827830E-12	1.788366332284188E-3
245.000000000000030E+0	18.295111195316671E-12	1.798696555095401E-3
246.000000000000030E+0	4.513708434519150E-12	1.678304106903812E-3
247.000000000000030E+0	7.141625564868046E-12	1.556615155599114E-3
248.000000000000030E+0	6.220049223934919E-12	1.508852568377414E-3
249.000000000000030E+0	54.982065737152747E-12	1.498997519785731E-3
250.000000000000030E+0	314.179005225919780E-12	1.479309203088343E-3
251.000000000000030E+0	20.740433321898229E-12	1.311213492945572E-3
252.000000000000030E+0	131.531550261762820E-12	1.228201369444099E-3
253.000000000000030E+0	73.125210784129207E-12	1.292162257789500E-3
254.000000000000030E+0	91.565322165197223E-12	1.224165669722904E-3
255.000000000000030E+0	162.409032885955770E-12	1.066242623229147E-3
256.000000000000060E+0	177.160696631552710E-12	1.037377819389319E-3
257.000000000000060E+0	20.223845082963099E-12	1.057035282082223E-3
258.000000000000060E+0	23.819751998235537E-12	991.378831146816090E-6
259.000000000000060E+0	3.356775333663164E-12	891.890073835280450E-6
260.000000000000060E+0	52.053562554538262E-12	845.761886597414730E-6
261.000000000000060E+0	40.348272339446785E-12	839.649145437913490E-6
262.000000000000060E+0	35.732522816936928E-12	835.876063818077820E-6
263.000000000000060E+0	73.312908979289707E-12	710.565243112240320E-6
264.000000000000060E+0	81.480388315078915E-12	655.949558593809840E-6
265.000000000000060E+0	315.435700939711110E-12	714.400942006449640E-6
266.000000000000060E+0	216.952246015358340E-12	645.383156060573560E-6
267.000000000000060E+0	66.493666141693768E-12	547.378560615079590E-6
268.000000000000060E+0	78.111006564211134E-12	550.142229404554910E-6
269.000000000000060E+0	10.529385708544699E-12	550.378512044681310E-6
270.000000000000060E+0	86.695298836321522E-12	497.275831416682500E-6
271.000000000000060E+0	206.382793071726040E-12	440.222830988673800E-6
272.000000000000060E+0	230.357142489412460E-12	414.662590061097690E-6
273.000000000000060E+0	90.230579761411624E-12	431.756337730945520E-6
274.000000000000060E+0	13.818207459944935E-15	390.945015728640250E-6
275.000000000000060E+0	6.477555158309170E-12	309.670077496071150E-6
276.000000000000060E+0	9.655458970317179E-12	336.499927807232710E-6
277.000000000000060E+0	24.698861524094745E-12	338.513663488288050E-6
278.000000000000060E+0	275.360818543451060E-12	263.494492598024780E-6
279.000000000000060E+0	169.327766301394460E-12	251.798566770909680E-6
280.000000000000060E+0	23.462726215771984E-12	262.084999267955650E-6
281.000000000000060E+0	129.140733256424910E-12	240.031330448361440E-6
282.000000000000060E+0	316.870788576573660E-12	209.631827596266880E-6
283.000000000000060E+0	365.212844667616630E-12	185.421818155011390E-6
284.000000000000060E+0	198.785133126820610E-12	202.627740564699930E-6
285.000000000000060E+0	37.055247992414995E-12	190.781565493554710E-6
286.000000000000060E+0	4.421823624061101E-12	138.083339347555210E-6
287.000000000000060E+0	12.959196464353585E-12	159.830932024964440E-6
288.000000000000060E+0	3.078613217311445E-12	167.319650134064400E-6
289.000000000000060E+0	6.251808771410464E-12	126.122798371010490E-6
290.000000000000060E+0	40.727211593079765E-12	123.468678127372380E-6
291.000000000000060E+0	173.419058122366110E-12	131.591889298801960E-6
292.000000000000060E+0	137.841363866179390E-12	123.328902060928340E-6
293.000000000000060E+0	283.222310775491990E-12	107.959862970727430E-6
294.000000000000060E+0	443.752559360132080E-12	96.009942308775790E-6
295.000000000000060E+0	163.919806665687010E-12	119.170661837956930E-6
296.000000000000060E+0	71.052222268424457E-12	103.972431198963290E-6
297.000000000000060E+0	70.106120479514081E-12	81.082447889386773E-6
298.000000000000060E+0	18.975429744070005E-12	109.396309786117830E-6
299.000000000000060E+0	78.338749452684729E-12	103.570321115785980E-6
300.000000000000060E+0	475.430177886979900E-12	83.810945466434458E-6
301.000000000000060E+0	470.474358554009930E-12	94.970313518771512E-6
302.000000000000060E+0	202.238857881457180E-12	98.591941884556872E-6
303.000000000000060E+0	78.160072590023440E-12	100.549440801887290E-6
304.000000000000060E+0	3.568484990228475E-12	86.716313087493744E-6
305.000000000000060E+0	9.275289292775714E-12	101.363034676310620E-6
306.000000000000060E+0	54.422018961270363E-12	117.296125820627280E-6
307.000000000000060E+0	13.857562465792682E-12	87.535319889290046E-6
308.000000000000060E+0	124.093484417459700E-12	107.719595996447980E-6
309.000000000000060E+0	76.874536404583249E-12	120.255101150224340E-6
310.000000000000060E+0	9.770826826759627E-12	104.230481426090630E-6
311.000000000000060E+0	2.061959511446241E-12	113.901381236669110E-6
312.000000000000060E+0	4.346002554690764E-12	122.102523035932860E-6
313.000000000000060E+0	63.814967419346865E-12	130.781864501870890E-6
314.000000000000060E+0	47.924386448790932E-12	118.049327731534570E-6
315.000000000000060E+0	87.185084192063923E-12	133.431762044065180E-6
316.000000000000060E+0	99.171028255533013E-12	152.069090996068380E-6
317.000000000000060E+0	108.062984619775200E-12	124.410079699829180E-6
318.000000000000060E+0	197.686486935510530E-12	148.944029242955040E-6
319.000000000000060E+0	80.668540112983154E-12	157.492916812160300E-6
320.000000000000060E+0	12.687905601913837E-12	144.211022468313470E-6
321.000000000000060E+0	23.525261398768380E-12	157.201922190442300E-6
322.000000000000060E+0	5.896304723513315E-12	164.482784160468330E-6
323.000000000000060E+0	118.011403211561600E-12	171.696938867258450E-6
324.000000000000060E+0	61.237754177873451E-12	155.979475536404350E-6
325.000000000000060E+0	53.717054063578668E-12	186.377937934307530E-6
326.000000000000060E+0	113.368010095083780E-12	181.848365607533420E-6
327.000000000000060E+0	165.123982767782920E-12	171.580264877128730E-6
328.000000000000060E+0	79.824078888008480E-12	203.635131213222280E-6
329.000000000000060E+0	89.044860295389051E-12	189.082504319040470E-6
330.000000000000060E+0	27.311808407817723E-12	196.544677390951350E-6
331.000000000000060E+0	10.682683220292613E-12	200.085010304522470E-6
332.000000000000060E+0	14.796117025084405E-12	214.262533957310880E-6
333.000000000000060E+0	104.447952285512330E-12	202.399766961142140E-6
334.000000000000060E+0	31.934101519950839E-12	214.694057028629460E-6
335.000000000000060E+0	14.989135557863161E-12	230.893243506123090E-6
336.000000000000060E+0	63.127595200971033E-12	206.317498375967770E-6
337.000000000000060E+0	93.079001983472811E-12	236.136758540210640E-6
338.000000000000060E+0	45.928106679913579E-12	227.724461674768620E-6
339.000000000000060E+0	63.024483176942995E-12	232.090990550406460E-6
340.000000000000060E+0	154.613836304822820E-12	234.744024556157460E-6
341.000000000000060E+0	50.124664384360691E-12	245.583705156328680E-6
342.000000000000060E+0	13.001646700266498E-12	236.964030279054430E-6
343.000000000000060E+0	66.946357539871094E-12	240.086858941251380E-6
344.000000000000060E+0	113.124957874777000E-12	257.381611762806260E-6
