Freq (Hz)	micro/hp_Mod	micro/hp_Phase(rad)
49.000000000000007E+0	197.057876075688030E-3	-22.545967787795359E+0
50.000000000000007E+0	222.967177966499090E-3	-23.419895655357266E+0
51.000000000000007E+0	1.264518392683744E+0	-22.244589491706254E+0
52.000000000000007E+0	87.518874057280788E-3	-25.343835632546643E+0
53.000000000000007E+0	90.462585208553048E-3	-27.511467482949900E+0
54.000000000000007E+0	128.456240676853820E-3	-29.086204861324223E+0
55.000000000000007E+0	51.837467647468612E-3	-30.910150223767182E+0
56.000000000000007E+0	103.259165806178620E-3	-31.318036182982947E+0
57.000000000000007E+0	95.469347214012221E-3	-28.386086276376304E+0
58.000000000000007E+0	104.589035208402600E-3	-25.377585353302873E+0
59.000000000000007E+0	47.713944391790830E-3	-28.243304492587484E+0
60.000000000000007E+0	65.573481879566312E-3	-30.285527275212711E+0
61.000000000000007E+0	88.599503208879993E-3	-32.824686083406469E+0
62.000000000000007E+0	34.382209080969110E-3	-35.955052222834830E+0
63.000000000000007E+0	38.718546881198745E-3	-34.320657983746244E+0
64.000000000000014E+0	21.658492860655115E-3	-31.675914629576720E+0
65.000000000000014E+0	16.045019254636691E-3	-29.678022473806322E+0
66.000000000000014E+0	26.996623008940672E-3	-26.927753388967286E+0
67.000000000000014E+0	3.966173667948597E-3	-29.484009762497951E+0
68.000000000000014E+0	21.051708970285500E-3	-28.248165245997963E+0
69.000000000000014E+0	23.137914714666780E-3	-30.751538864592646E+0
70.000000000000014E+0	11.852617640586514E-3	-33.540141087788051E+0
71.000000000000014E+0	6.215170762652313E-3	-30.560779176106422E+0
72.000000000000014E+0	8.698320853870439E-3	-33.691643250082521E+0
73.000000000000014E+0	2.470519837225764E-3	-32.812861862224025E+0
74.000000000000014E+0	14.021242467608330E-3	-35.364683106188778E+0
75.000000000000014E+0	8.378124054233984E-3	-37.944282418306031E+0
76.000000000000014E+0	4.052636429978858E-3	-40.838160005775165E+0
77.000000000000014E+0	21.970703486353809E-3	-42.352603486507220E+0
78.000000000000014E+0	37.286601277039561E-3	-44.454545543286017E+0
79.000000000000014E+0	24.342682391648787E-3	-46.628860210217830E+0
80.000000000000014E+0	5.102966422898971E-3	-49.657483760398293E+0
81.000000000000014E+0	17.240402647939978E-3	-46.772568219538229E+0
82.000000000000014E+0	23.390557365063135E-3	-48.970399761194969E+0
83.000000000000014E+0	10.497672288376923E-3	-51.585934310228957E+0
84.000000000000014E+0	3.577384936335886E-3	-53.772032361298088E+0
85.000000000000014E+0	11.681570099525635E-3	-55.124024001728067E+0
86.000000000000014E+0	5.790448438028385E-3	-57.525456244356938E+0
87.000000000000014E+0	4.718496604893296E-3	-55.781936167070370E+0
88.000000000000014E+0	3.275214645758558E-3	-57.485432799815761E+0
89.000000000000014E+0	2.331071770235373E-3	-58.670274980770195E+0
90.000000000000014E+0	2.015527767051922E-3	-61.091968231446820E+0
91.000000000000014E+0	2.170148052110746E-3	-62.150439460329267E+0
92.000000000000014E+0	4.741308822123629E-3	-62.654196889566855E+0
93.000000000000014E+0	5.855676671588404E-3	-64.671299044386700E+0
94.000000000000014E+0	3.800454338735666E-3	-61.721319377236114E+0
95.000000000000014E+0	4.019825527781059E-3	-62.878146737553436E+0
96.000000000000014E+0	8.229490712462775E-3	-64.788661090125132E+0
97.000000000000014E+0	5.466551364948070E-3	-67.277376028834851E+0
98.000000000000014E+0	1.971000149494516E-3	-69.792527361809363E+0
99.000000000000014E+0	12.126596042706848E-3	-70.716502543940408E+0
100.000000000000010E+0	28.675473738293347E-3	-72.803865221140541E+0
101.000000000000010E+0	20.837810561359655E-3	-75.012768843692598E+0
102.000000000000010E+0	5.432611345417438E-3	-76.720649693024356E+0
103.000000000000010E+0	5.799932938784201E-3	-77.918284831996559E+0
104.000000000000010E+0	5.085701618749808E-3	-80.415873641209373E+0
105.000000000000010E+0	4.225450258139891E-3	-82.292489997364456E+0
106.000000000000010E+0	3.954205390932791E-3	-84.305943204294095E+0
107.000000000000010E+0	3.131870776455849E-3	-87.420019829919752E+0
108.000000000000010E+0	1.389295854180524E-3	-84.960500783357574E+0
109.000000000000010E+0	3.510311232528034E-3	-82.384273323227902E+0
110.000000000000010E+0	2.601832845793801E-3	-85.077632295425147E+0
111.000000000000010E+0	1.539911781409444E-3	-87.486000599421814E+0
112.000000000000010E+0	1.812044017787241E-3	-88.767910611919447E+0
113.000000000000010E+0	962.548216609046370E-6	-85.970998502424877E+0
114.000000000000010E+0	1.763961133366874E-3	-88.485179582504088E+0
115.000000000000010E+0	1.003145813551721E-3	-87.477640569189390E+0
116.000000000000010E+0	1.196816916475222E-3	-87.291775568944743E+0
117.000000000000010E+0	4.017891478829131E-3	-88.078408646490004E+0
118.000000000000010E+0	2.320100562839646E-3	-88.824655782479198E+0
119.000000000000010E+0	3.795235775172376E-3	-89.309368687993867E+0
120.000000000000010E+0	3.244546660446904E-3	-91.329564678356078E+0
121.000000000000010E+0	5.626745959719025E-3	-94.276082399183224E+0
122.000000000000010E+0	10.384008051302527E-3	-96.226375806271676E+0
123.000000000000010E+0	5.458133660120743E-3	-98.131405328024357E+0
124.000000000000010E+0	1.264956756644810E-3	-95.725279866940468E+0
125.000000000000010E+0	557.617171599305240E-6	-95.869679774511184E+0
126.000000000000010E+0	1.046303806369861E-3	-97.859623110866209E+0
127.000000000000010E+0	648.833330459820670E-6	-99.803532455181994E+0
128.000000000000030E+0	496.134598256683090E-6	-99.610341042654880E+0
129.000000000000030E+0	1.282187049912578E-3	-98.324086781042567E+0
130.000000000000030E+0	1.969852347133394E-3	-100.124336817438770E+0
131.000000000000030E+0	1.169386033624453E-3	-102.738871845063670E+0
132.000000000000030E+0	1.252254688483803E-3	-104.423359495506910E+0
133.000000000000030E+0	753.186039270825290E-6	-105.524519187753900E+0
134.000000000000030E+0	720.364927448540090E-6	-104.875929069140080E+0
135.000000000000030E+0	989.664814635617990E-6	-106.713357657808770E+0
136.000000000000030E+0	462.608016290839320E-6	-109.608123628809780E+0
137.000000000000030E+0	233.850160856465510E-6	-107.781760543078580E+0
