Freq (Hz)	Gxymicro/hp_Real	Gxymicro/hp_Imag
49.000000000000007E+0	-628.037158473481810E-12	344.626344454379080E-12
50.000000000000007E+0	-1.430163448456704E-9	3.427352366743383E-9
51.000000000000007E+0	442.594365686050490E-12	369.783245861071260E-12
52.000000000000007E+0	-244.749563064842840E-12	-1.281830286201105E-12
53.000000000000007E+0	-254.810320003322370E-12	302.571072656101950E-12
54.000000000000007E+0	176.551321253374320E-12	40.575264703649224E-12
55.000000000000007E+0	79.518351788961183E-12	-20.733493887192892E-12
56.000000000000007E+0	-79.535674675323281E-12	412.173945662304680E-12
57.000000000000007E+0	832.345202718618050E-12	-549.736120459575640E-12
58.000000000000007E+0	-1.200661260188485E-9	-678.842533269018610E-12
59.000000000000007E+0	1.293559998193576E-9	1.374262824019758E-9
60.000000000000007E+0	-762.004650516777560E-12	-1.222055898744754E-9
61.000000000000007E+0	-976.815507991343670E-12	-900.218746189276760E-12
62.000000000000007E+0	486.983014628814900E-12	2.322322503560879E-9
63.000000000000007E+0	214.325631891201900E-12	-1.666497620942912E-9
64.000000000000014E+0	-3.176058535165358E-9	142.726654722850750E-12
65.000000000000014E+0	1.727759338394141E-9	1.765428950233907E-9
66.000000000000014E+0	-1.663326402749605E-9	3.061697407224666E-9
67.000000000000014E+0	4.345862444448335E-9	-1.794172142533092E-9
68.000000000000014E+0	299.388725666809460E-12	166.788466287212960E-12
69.000000000000014E+0	1.328632134698429E-9	16.116328038739115E-12
70.000000000000014E+0	-797.188224290621550E-12	-4.705143158609180E-9
71.000000000000014E+0	-1.283498451142036E-9	1.685277672416058E-9
72.000000000000014E+0	982.922482992334380E-12	2.882388090612807E-9
73.000000000000014E+0	1.535397524526436E-9	-5.216828506375611E-9
74.000000000000014E+0	-2.208185308271152E-9	-1.634902946442946E-9
75.000000000000014E+0	-749.890688304423940E-12	2.463536629555024E-9
76.000000000000014E+0	5.082398298193759E-9	2.724200022891243E-9
77.000000000000014E+0	550.516742692962100E-12	-15.626033591349502E-9
78.000000000000014E+0	-12.261058447221012E-9	1.156179789646149E-9
79.000000000000014E+0	-500.824561894959400E-12	7.030515191963252E-9
80.000000000000014E+0	903.663927368105980E-12	2.675257955792492E-9
81.000000000000014E+0	1.485329439137969E-9	-5.439384325413257E-9
82.000000000000014E+0	292.804701265645900E-12	6.967774326179533E-9
83.000000000000014E+0	-1.384340739274379E-9	-11.401763607559022E-9
