Freq (Hz)	micro(Pa^2 )	hp(V^2 )
49.000000000000007E+0	139.577272685254460E-12	649.410435449655700E-12
50.000000000000007E+0	435.086411730596080E-12	19.883566562418973E-9
51.000000000000007E+0	203.962774802087800E-12	3.899775502611157E-9
52.000000000000007E+0	14.711259223771468E-12	1.393803037830352E-9
53.000000000000007E+0	57.557203894185719E-12	5.127783933421909E-9
54.000000000000007E+0	135.040713891810640E-12	4.164701042416782E-9
55.000000000000007E+0	78.795041646436338E-12	5.555847451461650E-9
56.000000000000007E+0	103.895946418975710E-12	7.643333932652941E-9
57.000000000000007E+0	242.433473070661220E-12	11.722892421500488E-9
58.000000000000007E+0	95.080393343738571E-12	11.705874918363739E-9
59.000000000000007E+0	170.447023924794160E-12	18.942048657967511E-9
60.000000000000007E+0	15.058390073048587E-12	28.360955082902702E-9
61.000000000000007E+0	30.917446096869694E-12	37.140062121895804E-9
62.000000000000007E+0	50.699204220886468E-12	39.308956885748696E-9
63.000000000000007E+0	59.358568858420939E-12	43.491619595599235E-9
64.000000000000014E+0	4.457296808520172E-12	82.013570292122060E-9
65.000000000000014E+0	38.910853423840230E-12	83.728048538092684E-9
66.000000000000014E+0	26.969884263644122E-12	92.118502807660684E-9
67.000000000000014E+0	2.417332726639642E-12	136.677068256933240E-9
68.000000000000014E+0	31.278925979495939E-12	163.839858693421780E-9
69.000000000000014E+0	57.567855993115729E-12	180.910771531814310E-9
70.000000000000014E+0	59.515707684135573E-12	219.243909093535640E-9
71.000000000000014E+0	1.769090127366965E-12	251.287944023524410E-9
72.000000000000014E+0	43.019789407356833E-12	281.721997620369580E-9
73.000000000000014E+0	59.946089742415558E-12	341.793846122251120E-9
74.000000000000014E+0	54.016469191416090E-12	412.317069790116710E-9
75.000000000000014E+0	3.887036947028096E-12	403.120879115805960E-9
76.000000000000014E+0	5.340605794323386E-12	451.857628819764570E-9
77.000000000000014E+0	431.205428695669050E-12	509.042532184475660E-9
78.000000000000014E+0	443.696051872652800E-12	575.960126232334210E-9
79.000000000000014E+0	30.691482351969023E-12	661.605366470980210E-9
80.000000000000014E+0	85.008039576414087E-12	730.481548130247110E-9
81.000000000000014E+0	216.225169633411880E-12	792.939796285297120E-9
82.000000000000014E+0	125.771283808532080E-12	938.676438519271940E-9
83.000000000000014E+0	55.850658588204487E-12	1.085070221612674E-6
84.000000000000014E+0	4.710764340196045E-12	1.243139778390084E-6
85.000000000000014E+0	541.576862261629010E-15	1.390876339405675E-6
86.000000000000014E+0	3.162450747848410E-12	1.467670603806742E-6
87.000000000000014E+0	42.347598694546968E-12	1.713926652566687E-6
88.000000000000014E+0	199.931800670070150E-12	1.922487942868996E-6
89.000000000000014E+0	28.388531275525216E-12	1.959635999865156E-6
90.000000000000014E+0	104.701940134193890E-12	1.956543559953076E-6
91.000000000000014E+0	74.757430148918280E-12	2.095909794562860E-6
92.000000000000014E+0	19.266384100536738E-12	2.210944573500251E-6
93.000000000000014E+0	2.902856237678380E-12	2.250890451426606E-6
94.000000000000014E+0	5.095526042061618E-12	2.443478349415247E-6
95.000000000000014E+0	160.008502811425720E-12	2.612677416110798E-6
96.000000000000014E+0	267.130832511307940E-12	2.905913897827776E-6
97.000000000000014E+0	43.383028943206555E-12	3.167072812777870E-6
98.000000000000014E+0	34.907713541110605E-12	3.456122837968004E-6
99.000000000000014E+0	318.837335792760570E-12	3.679820791804302E-6
100.000000000000010E+0	1.606416046070072E-9	3.721523932179217E-6
101.000000000000010E+0	592.013964993577760E-12	3.668130948725320E-6
102.000000000000010E+0	151.097441195551230E-12	3.612108241621500E-6
103.000000000000010E+0	173.426393900101590E-12	3.631676878425519E-6
104.000000000000010E+0	67.056652799714408E-12	3.933566624642515E-6
105.000000000000010E+0	38.151157517839259E-12	4.255319170825532E-6
106.000000000000010E+0	38.007344761060600E-12	4.720786884990326E-6
107.000000000000010E+0	15.761057791935020E-12	5.202266410095149E-6
108.000000000000010E+0	31.128238055613289E-12	5.576993113184521E-6
109.000000000000010E+0	68.515439385444436E-12	5.571068548349829E-6
110.000000000000010E+0	140.544510214704960E-12	5.459437798152420E-6
111.000000000000010E+0	168.391174789668510E-12	5.599787897418782E-6
112.000000000000010E+0	89.655347208197753E-12	6.097821081861293E-6
113.000000000000010E+0	27.727659482654091E-12	7.166547197865087E-6
114.000000000000010E+0	65.737018608975234E-12	8.285689275369826E-6
115.000000000000010E+0	78.520532453466952E-12	9.219285501367318E-6
116.000000000000010E+0	55.827059358515630E-12	10.051369264419285E-6
117.000000000000010E+0	3.416813699385783E-12	10.637402748924236E-6
118.000000000000010E+0	73.293684236784037E-12	11.166064777955585E-6
119.000000000000010E+0	72.980279429119345E-12	12.143794108038291E-6
120.000000000000010E+0	30.484450784735007E-12	14.571547475318113E-6
121.000000000000010E+0	219.680420475951450E-12	17.705721454593902E-6
122.000000000000010E+0	2.062979117449199E-9	20.618292540280230E-6
123.000000000000010E+0	1.348198821762881E-9	22.403075961914532E-6
124.000000000000010E+0	21.975870345117780E-12	24.036133611305699E-6
125.000000000000010E+0	112.518817533276770E-12	27.002807350275419E-6
126.000000000000010E+0	52.132261305629328E-12	31.177713040547854E-6
127.000000000000010E+0	31.109108431562025E-12	36.276027090818395E-6
128.000000000000030E+0	207.497659860560610E-12	42.524867124545922E-6
129.000000000000030E+0	391.024296194255310E-12	49.104637760473111E-6
130.000000000000030E+0	429.026996849727860E-12	53.969740317674417E-6
131.000000000000030E+0	387.569708668125100E-12	59.134539026270511E-6
132.000000000000030E+0	187.846081321798030E-12	67.115524454332661E-6
133.000000000000030E+0	26.294800826382531E-12	77.249032187645797E-6
134.000000000000030E+0	8.581271878887493E-12	87.541230029283186E-6
135.000000000000030E+0	10.730585172292199E-12	98.468907631000299E-6
136.000000000000030E+0	27.329933639886466E-12	110.035398607768390E-6
137.000000000000030E+0	63.463070794371651E-12	122.451849125407390E-6
138.000000000000030E+0	4.504101791175563E-12	136.272819382719690E-6
139.000000000000030E+0	99.356253148308542E-12	154.704233712445720E-6
140.000000000000030E+0	53.049060799711974E-12	173.826574170695440E-6
141.000000000000030E+0	137.319846825665040E-12	187.627957012123710E-6
142.000000000000030E+0	10.795026269951044E-12	201.317141236150440E-6
143.000000000000030E+0	46.966510371714878E-12	223.862434408038720E-6
144.000000000000030E+0	3.246885472769555E-12	253.574325040597150E-6
145.000000000000030E+0	6.476952426608435E-12	282.343937288043140E-6
146.000000000000030E+0	19.936897460555001E-12	308.590488970106130E-6
147.000000000000030E+0	41.388550642529286E-12	331.882395388976370E-6
148.000000000000030E+0	13.198333195213087E-12	354.455231593765640E-6
