Freq (Hz)	micro/hp_Real	micro/hp_Imag
49.000000000000007E+0	-97.994692125966731E-3	119.326637743600010E-3
50.000000000000007E+0	-203.922788995587440E-3	364.933358898422040E-3
51.000000000000007E+0	31.933554094900771E-3	69.142324666814359E-3
52.000000000000007E+0	-325.097932284972970E-3	-41.040485851792388E-3
53.000000000000007E+0	57.507514819705029E-3	65.980030260520531E-3
54.000000000000007E+0	-1.368726555033227E-3	16.413994161054386E-3
55.000000000000007E+0	-21.439850629150804E-3	-74.128772169308049E-3
56.000000000000007E+0	-20.198927754331058E-3	100.933085843224650E-3
57.000000000000007E+0	99.298739418785392E-3	-39.448854937672653E-3
58.000000000000007E+0	-103.292332006226170E-3	5.064722495348077E-3
59.000000000000007E+0	65.946027355666931E-3	-3.592797127484302E-3
60.000000000000007E+0	-11.658518543136443E-3	14.281166569293294E-3
61.000000000000007E+0	-7.584546936308397E-3	-17.444389985050317E-3
62.000000000000007E+0	15.659041402633980E-3	-39.187512191167090E-3
63.000000000000007E+0	-15.309718552001500E-3	71.727671528736339E-3
64.000000000000014E+0	9.116671349838694E-3	-25.908764120028412E-3
65.000000000000014E+0	1.082015140289066E-3	8.227426493860081E-3
66.000000000000014E+0	-1.284174475063393E-3	-6.513449211967077E-3
67.000000000000014E+0	3.142429623167614E-3	1.658830386445391E-3
68.000000000000014E+0	8.508754897456778E-3	-1.488662609115012E-3
69.000000000000014E+0	-20.069200053866358E-3	-17.774776631082803E-3
70.000000000000014E+0	10.060116328889547E-3	38.956585989870368E-3
71.000000000000014E+0	16.967936173859617E-3	-31.097771113209126E-3
72.000000000000014E+0	-15.411562276295841E-3	10.428325308522522E-3
73.000000000000014E+0	3.148820381580633E-3	-10.340744127913786E-3
74.000000000000014E+0	1.841677695080841E-3	10.394604090226902E-3
75.000000000000014E+0	840.419649154777690E-6	-6.740005794320443E-3
76.000000000000014E+0	-434.412671945598790E-6	-5.592693859618585E-3
77.000000000000014E+0	-14.115999753569999E-3	-7.575232017334422E-3
78.000000000000014E+0	-91.171211896083794E-6	24.275343978493638E-3
79.000000000000014E+0	9.712022018241831E-3	-7.959503860750320E-3
80.000000000000014E+0	-4.688292935804764E-3	-1.738303349986553E-3
