Freq (Hz)	micro(Pa^2 )
49.000000000000007E+0	368.256870546462490E-12
50.000000000000007E+0	2.034519372733279E-9
51.000000000000007E+0	899.768527212071340E-12
52.000000000000007E+0	199.356830807628790E-12
53.000000000000007E+0	5.834846054265282E-12
54.000000000000007E+0	355.578436910679510E-12
55.000000000000007E+0	216.427234239973690E-12
56.000000000000007E+0	87.052250100869033E-12
57.000000000000007E+0	41.905146448631748E-12
58.000000000000007E+0	228.964059751723570E-12
59.000000000000007E+0	726.092776378282540E-12
60.000000000000007E+0	609.608549304765940E-12
61.000000000000007E+0	247.969426950221240E-12
62.000000000000007E+0	193.461235869739900E-12
63.000000000000007E+0	146.206889858935980E-12
64.000000000000014E+0	213.046790397621040E-12
65.000000000000014E+0	260.022089332679540E-12
66.000000000000014E+0	259.666418982897290E-12
67.000000000000014E+0	65.803500097267069E-12
68.000000000000014E+0	123.523428287912950E-12
69.000000000000014E+0	6.089315042400212E-12
70.000000000000014E+0	47.020556883404674E-12
71.000000000000014E+0	12.449964446723342E-12
72.000000000000014E+0	95.505842182619965E-12
73.000000000000014E+0	356.036365578446810E-12
74.000000000000014E+0	191.088495538990290E-12
75.000000000000014E+0	25.088692634296206E-12
76.000000000000014E+0	136.063949204661510E-12
77.000000000000014E+0	660.034226279901570E-12
78.000000000000014E+0	1.012891970852072E-9
79.000000000000014E+0	81.092135372447182E-12
80.000000000000014E+0	253.726646544605380E-12
81.000000000000014E+0	188.870779139667510E-12
82.000000000000014E+0	376.368743362240240E-12
83.000000000000014E+0	300.146578318309980E-12
84.000000000000014E+0	82.353073014898972E-12
85.000000000000014E+0	116.599860998000970E-12
86.000000000000014E+0	8.506546805546868E-12
87.000000000000014E+0	36.987038434754048E-12
88.000000000000014E+0	49.343678563674543E-12
89.000000000000014E+0	133.592334967425900E-12
90.000000000000014E+0	144.903715874970760E-12
91.000000000000014E+0	74.387886320639874E-12
92.000000000000014E+0	4.040987764806159E-12
93.000000000000014E+0	155.928430382878880E-12
94.000000000000014E+0	49.489619502215285E-12
95.000000000000014E+0	131.854415517864680E-12
96.000000000000014E+0	193.032598547803380E-12
97.000000000000014E+0	171.325558681624460E-12
98.000000000000014E+0	92.892765715135123E-12
99.000000000000014E+0	2.849522212050624E-9
100.000000000000010E+0	10.585823800522252E-9
101.000000000000010E+0	2.413135855627458E-9
102.000000000000010E+0	173.769602698255670E-12
103.000000000000010E+0	13.789919900922246E-12
104.000000000000010E+0	25.652526415271322E-12
105.000000000000010E+0	96.678687498545846E-12
106.000000000000010E+0	24.889975502204261E-12
107.000000000000010E+0	282.406443844346420E-12
108.000000000000010E+0	253.416076680321490E-12
109.000000000000010E+0	34.137453253431558E-12
110.000000000000010E+0	36.729200652584643E-12
111.000000000000010E+0	169.868791643339680E-12
112.000000000000010E+0	75.090194053317275E-12
113.000000000000010E+0	75.773760165486929E-12
114.000000000000010E+0	169.203679193244960E-12
115.000000000000010E+0	881.982928673523770E-12
116.000000000000010E+0	825.366330860168580E-12
117.000000000000010E+0	4.572931446745055E-9
118.000000000000010E+0	6.962260744127465E-9
119.000000000000010E+0	1.272556023326710E-9
120.000000000000010E+0	316.817596103744090E-12
121.000000000000010E+0	60.243617004628881E-12
122.000000000000010E+0	164.670211215593680E-12
123.000000000000010E+0	331.098548545704480E-12
124.000000000000010E+0	206.493537749604900E-12
125.000000000000010E+0	12.000857212182279E-12
126.000000000000010E+0	21.571861580377923E-12
127.000000000000010E+0	40.026992798567374E-12
128.000000000000030E+0	160.444375926070610E-12
129.000000000000030E+0	82.951021603574703E-12
130.000000000000030E+0	58.447400848361465E-12
131.000000000000030E+0	163.858983206194370E-12
132.000000000000030E+0	159.184101175780010E-12
133.000000000000030E+0	69.506907955005652E-12
134.000000000000030E+0	697.517722322226260E-15
135.000000000000030E+0	22.411575908698717E-12
136.000000000000030E+0	144.916514165229680E-12
137.000000000000030E+0	385.030703116608280E-12
138.000000000000030E+0	188.999168935550120E-12
139.000000000000030E+0	90.402124737692327E-12
140.000000000000030E+0	103.017023822806210E-12
141.000000000000030E+0	26.609021841625350E-12
142.000000000000030E+0	14.356269577900102E-12
143.000000000000030E+0	33.966092499476288E-12
144.000000000000030E+0	166.121469029171430E-12
145.000000000000030E+0	106.801806264327000E-12
146.000000000000030E+0	84.266279540454881E-12
147.000000000000030E+0	121.372510916350300E-12
148.000000000000030E+0	95.223820391868727E-12
149.000000000000030E+0	1.457943599473186E-9
150.000000000000030E+0	4.862550858779075E-9
151.000000000000030E+0	777.740557902178210E-12
152.000000000000030E+0	201.343305369834640E-12
153.000000000000030E+0	182.326587733977710E-12
154.000000000000030E+0	84.489558449149250E-12
155.000000000000030E+0	20.975351205748382E-12
156.000000000000030E+0	15.279908358909638E-12
157.000000000000030E+0	258.542998908543290E-12
158.000000000000030E+0	271.852210026264240E-12
159.000000000000030E+0	31.397232500111907E-12
160.000000000000030E+0	315.667156800085790E-12
161.000000000000030E+0	738.282861373111520E-12
162.000000000000030E+0	392.637603388728610E-12
163.000000000000030E+0	120.133596029580350E-12
164.000000000000030E+0	87.617741306877595E-12
165.000000000000030E+0	155.890661795993090E-12
166.000000000000030E+0	43.709045268883312E-12
167.000000000000030E+0	140.371014784297270E-12
168.000000000000030E+0	305.478658964126260E-12
169.000000000000030E+0	37.246957302642582E-12
170.000000000000030E+0	17.649087719286771E-12
171.000000000000030E+0	9.622084224203939E-12
172.000000000000030E+0	199.409505753507470E-12
173.000000000000030E+0	686.512572455490210E-12
174.000000000000030E+0	186.330805589442790E-12
175.000000000000030E+0	63.749622098982423E-12
176.000000000000030E+0	26.602792310642994E-12
177.000000000000030E+0	282.738337590781400E-12
178.000000000000030E+0	152.246434550989800E-12
179.000000000000030E+0	52.614455360890299E-12
180.000000000000030E+0	63.173156775062508E-12
181.000000000000030E+0	12.130904205193232E-12
182.000000000000030E+0	11.434066994222867E-12
183.000000000000030E+0	101.557489498536470E-12
184.000000000000030E+0	148.943308691018590E-12
185.000000000000030E+0	235.271109874341010E-12
186.000000000000030E+0	2.472724003350720E-12
187.000000000000030E+0	65.558080543031387E-12
188.000000000000030E+0	46.376167834474584E-12
189.000000000000030E+0	190.569537271805970E-12
190.000000000000030E+0	88.796190234434802E-12
191.000000000000030E+0	66.969418887924714E-12
192.000000000000030E+0	231.957272839187340E-12
193.000000000000030E+0	186.454896314371930E-12
194.000000000000030E+0	65.839091692143973E-12
195.000000000000030E+0	21.499245807703088E-12
196.000000000000030E+0	26.615046345778761E-12
197.000000000000030E+0	93.346138751434171E-12
198.000000000000030E+0	68.107452906013497E-12
199.000000000000030E+0	562.302542087250540E-12
200.000000000000030E+0	1.830611095733929E-9
201.000000000000030E+0	1.092403382190605E-9
202.000000000000030E+0	30.992082295914243E-12
203.000000000000030E+0	111.083669692398160E-12
204.000000000000030E+0	49.225300706417557E-12
205.000000000000030E+0	108.846790240414850E-12
206.000000000000030E+0	378.896067756044150E-12
207.000000000000030E+0	289.136074449565110E-12
208.000000000000030E+0	12.745790952737646E-12
209.000000000000030E+0	14.887992037236961E-12
210.000000000000030E+0	65.922490765776171E-12
211.000000000000030E+0	244.230391847783730E-12
212.000000000000030E+0	316.223803122635600E-12
213.000000000000030E+0	609.318924839633860E-12
214.000000000000030E+0	1.005691266873439E-9
215.000000000000030E+0	1.111360204408475E-9
216.000000000000030E+0	817.859299041796860E-12
217.000000000000030E+0	1.788837596290765E-9
218.000000000000030E+0	1.109340197049960E-9
219.000000000000030E+0	11.195292639376998E-12
220.000000000000030E+0	34.008629394853687E-12
221.000000000000030E+0	194.313562591307010E-12
222.000000000000030E+0	269.362654941642640E-12
223.000000000000030E+0	74.130774442630227E-12
224.000000000000030E+0	4.216274602642940E-12
225.000000000000030E+0	22.946758534504452E-12
226.000000000000030E+0	93.171330404512728E-12
227.000000000000030E+0	152.089351161194480E-12
228.000000000000030E+0	17.414340456181360E-12
229.000000000000030E+0	309.112611936850460E-12
230.000000000000030E+0	314.606190133130430E-12
231.000000000000030E+0	72.737719399698474E-12
232.000000000000030E+0	31.527497870386805E-12
233.000000000000030E+0	319.824571524070170E-12
234.000000000000030E+0	4.461876488174243E-12
235.000000000000030E+0	262.136814408388600E-12
236.000000000000030E+0	119.690518587439690E-12
237.000000000000030E+0	43.703937029678878E-12
238.000000000000030E+0	163.873828446921510E-12
239.000000000000030E+0	220.594423045328530E-12
240.000000000000030E+0	193.716115274877230E-12
241.000000000000030E+0	68.964366411702241E-12
242.000000000000030E+0	190.880595445556090E-12
243.000000000000030E+0	174.198393128417460E-12
244.000000000000030E+0	167.007256103747620E-12
245.000000000000030E+0	118.207296710293030E-12
246.000000000000030E+0	101.956947658516290E-12
247.000000000000030E+0	99.539459673530202E-12
248.000000000000030E+0	301.764086696557670E-12
249.000000000000030E+0	113.131294153424720E-12
250.000000000000030E+0	41.579522885495865E-12
251.000000000000030E+0	18.257620628531870E-12
252.000000000000030E+0	37.495175539316531E-12
253.000000000000030E+0	99.821778299499652E-12
254.000000000000030E+0	632.858705398887220E-12
255.000000000000030E+0	507.722688188974350E-12
256.000000000000060E+0	51.928256493833769E-12
257.000000000000060E+0	148.974922078124410E-12
258.000000000000060E+0	50.886691597559230E-12
259.000000000000060E+0	41.122863853804475E-12
260.000000000000060E+0	10.850927825241971E-12
261.000000000000060E+0	117.614983011659870E-12
262.000000000000060E+0	295.940334549513880E-12
263.000000000000060E+0	91.555722990919300E-12
264.000000000000060E+0	83.821001296396240E-12
265.000000000000060E+0	152.322479911464250E-12
266.000000000000060E+0	73.606922416087654E-12
267.000000000000060E+0	74.152153595878882E-12
268.000000000000060E+0	31.808760417125417E-12
269.000000000000060E+0	179.469123852517040E-12
270.000000000000060E+0	82.060838529904597E-12
271.000000000000060E+0	14.731230734012516E-12
272.000000000000060E+0	211.783157799757250E-12
273.000000000000060E+0	52.383184035364356E-12
274.000000000000060E+0	448.365106265320170E-12
275.000000000000060E+0	176.967197469231840E-12
276.000000000000060E+0	209.162125480012040E-12
277.000000000000060E+0	102.756587007325990E-12
278.000000000000060E+0	127.321466952293790E-12
279.000000000000060E+0	206.827024130333410E-12
280.000000000000060E+0	10.326614120398394E-12
281.000000000000060E+0	65.754770726428702E-12
282.000000000000060E+0	85.038329462363753E-12
283.000000000000060E+0	81.124494248837211E-12
284.000000000000060E+0	40.421648998406562E-12
285.000000000000060E+0	257.217109524202630E-12
286.000000000000060E+0	166.146443495652090E-12
287.000000000000060E+0	14.944585068565395E-12
288.000000000000060E+0	46.163340627869241E-12
289.000000000000060E+0	50.851549210555800E-12
290.000000000000060E+0	47.185754141299786E-12
291.000000000000060E+0	168.985342587530970E-12
292.000000000000060E+0	176.643405720611900E-12
293.000000000000060E+0	41.535805148158221E-12
294.000000000000060E+0	159.759202754827970E-12
295.000000000000060E+0	56.752884005476584E-12
296.000000000000060E+0	74.900344534483334E-12
297.000000000000060E+0	41.398430934059642E-12
298.000000000000060E+0	104.587830056285440E-12
299.000000000000060E+0	376.206301974108870E-12
300.000000000000060E+0	445.395245699604230E-12
301.000000000000060E+0	142.111478974408110E-12
302.000000000000060E+0	74.763570308368824E-12
303.000000000000060E+0	130.583062748166330E-12
304.000000000000060E+0	244.002361037308530E-12
305.000000000000060E+0	132.935958278287770E-12
306.000000000000060E+0	12.299644774096363E-12
307.000000000000060E+0	15.316691291337856E-12
308.000000000000060E+0	28.733175180616507E-12
309.000000000000060E+0	19.260552132381208E-12
310.000000000000060E+0	197.400925985351160E-12
311.000000000000060E+0	201.367608530637380E-12
312.000000000000060E+0	215.693259207943390E-12
313.000000000000060E+0	582.407743160224010E-12
314.000000000000060E+0	65.695642166360466E-12
315.000000000000060E+0	417.018199201938020E-12
316.000000000000060E+0	389.003327626331760E-12
317.000000000000060E+0	353.474771409991310E-12
318.000000000000060E+0	218.367093427435070E-12
319.000000000000060E+0	21.454311464298802E-12
320.000000000000060E+0	5.060801305490408E-12
321.000000000000060E+0	76.765403397444645E-12
322.000000000000060E+0	257.365546741644410E-12
323.000000000000060E+0	363.688717861051190E-12
324.000000000000060E+0	285.666155769371950E-12
325.000000000000060E+0	45.937392098086106E-12
326.000000000000060E+0	10.498331558132088E-12
327.000000000000060E+0	144.836528007789590E-12
328.000000000000060E+0	144.112742975597050E-12
329.000000000000060E+0	149.823060798021350E-12
330.000000000000060E+0	231.047155410931660E-12
331.000000000000060E+0	49.968586601463096E-12
332.000000000000060E+0	130.400860497912340E-12
333.000000000000060E+0	109.406196169970880E-12
334.000000000000060E+0	357.316153469513620E-12
335.000000000000060E+0	264.775202724757090E-12
336.000000000000060E+0	224.746876936244980E-12
337.000000000000060E+0	344.931408978439840E-12
338.000000000000060E+0	157.508576796151580E-12
339.000000000000060E+0	119.894699659069480E-12
340.000000000000060E+0	164.329021586604910E-12
341.000000000000060E+0	35.513708303860284E-12
342.000000000000060E+0	62.102629727631387E-12
343.000000000000060E+0	117.557951217877380E-12
344.000000000000060E+0	52.286777266165785E-12
345.000000000000060E+0	20.747424876135457E-12
346.000000000000060E+0	11.083781162085355E-12
347.000000000000060E+0	75.107994533578287E-12
348.000000000000060E+0	254.283357962960780E-12
349.000000000000060E+0	418.702298578866560E-12
350.000000000000060E+0	406.882745833450820E-12
351.000000000000060E+0	209.005434423328750E-12
352.000000000000060E+0	251.477000946865190E-12
353.000000000000060E+0	327.598215665141720E-12
354.000000000000060E+0	124.483957816943650E-12
355.000000000000060E+0	53.772563894830175E-12
356.000000000000060E+0	228.733989915555800E-12
357.000000000000060E+0	181.400934816631910E-12
358.000000000000060E+0	1.292833932042455E-12
359.000000000000060E+0	41.480661343394669E-12
360.000000000000060E+0	197.693026824199420E-12
361.000000000000060E+0	220.736190075085530E-12
362.000000000000060E+0	83.572675598578498E-12
363.000000000000060E+0	121.774049234469140E-12
364.000000000000060E+0	41.970774586564312E-12
365.000000000000060E+0	371.922021010189360E-12
366.000000000000060E+0	449.521618848938470E-12
367.000000000000060E+0	31.148655747617001E-12
368.000000000000060E+0	68.124092918191809E-12
369.000000000000060E+0	427.495840989991570E-12
370.000000000000060E+0	270.863956006061700E-12
371.000000000000060E+0	38.935255788423877E-12
372.000000000000060E+0	42.208457220193776E-12
373.000000000000060E+0	8.871596023178201E-12
374.000000000000060E+0	4.638315011519710E-12
375.000000000000060E+0	104.446934543747760E-12
376.000000000000060E+0	111.353680779363960E-12
377.000000000000060E+0	40.251474449653753E-12
378.000000000000060E+0	73.613547056182369E-12
379.000000000000060E+0	38.872595372686932E-12
380.000000000000060E+0	51.996569885116922E-12
381.000000000000060E+0	159.663637426788950E-12
382.000000000000060E+0	186.868244497424250E-12
383.000000000000060E+0	310.673596750656850E-12
384.000000000000060E+0	421.545219272678400E-12
385.000000000000060E+0	63.532144185958999E-12
