Freq (Hz)	micro/hp_Real	micro/hp_Imag
49.000000000000007E+0	-252.440563551540600E-3	28.238286126289917E-3
50.000000000000007E+0	-222.355333030863940E-3	23.201387973274597E-3
51.000000000000007E+0	61.268752567638210E-3	228.500565366633020E-3
52.000000000000007E+0	38.795152853198428E-3	-278.513672087234270E-3
53.000000000000007E+0	-173.005504177554590E-3	186.166676107860220E-3
54.000000000000007E+0	104.778008344202910E-3	-92.120239437741808E-3
55.000000000000007E+0	17.242892605986809E-3	182.963087995075300E-3
56.000000000000007E+0	54.889712951627770E-3	-173.711175311753420E-3
57.000000000000007E+0	21.449748201462192E-3	105.239880219743770E-3
58.000000000000007E+0	-48.631271573954568E-3	-132.078772157981560E-3
59.000000000000007E+0	-6.997720311509281E-3	94.781462732420635E-3
60.000000000000007E+0	24.682543528895068E-3	-6.912982906086172E-3
61.000000000000007E+0	2.245898577306874E-3	-92.268032120355115E-3
62.000000000000007E+0	-35.395915707039871E-3	48.542264581845802E-3
63.000000000000007E+0	-27.244388802533336E-3	-9.935919725054540E-3
64.000000000000014E+0	23.497899620962853E-3	28.578255211100481E-3
65.000000000000014E+0	4.468835306433870E-3	-34.200315601494731E-3
66.000000000000014E+0	1.744546002287200E-3	24.513720316905907E-3
67.000000000000014E+0	-18.139646038987781E-3	-9.016467867494207E-3
68.000000000000014E+0	14.513552550482445E-3	7.740646516797558E-3
69.000000000000014E+0	-9.911534610395881E-3	807.677986785997230E-6
70.000000000000014E+0	13.862946004203723E-3	-3.313607149363663E-3
71.000000000000014E+0	-7.835636539331446E-3	5.352280187736951E-3
72.000000000000014E+0	-5.479417978852194E-3	-14.169839320371077E-3
73.000000000000014E+0	-2.090010577169223E-3	18.541382954012815E-3
74.000000000000014E+0	4.668596240908215E-3	3.552183015417464E-3
75.000000000000014E+0	8.037551201846311E-3	4.600581903569376E-3
76.000000000000014E+0	9.928617250274862E-3	-18.530905726108566E-3
77.000000000000014E+0	-22.720968550615537E-3	-1.935636417405740E-3
78.000000000000014E+0	5.809324028172083E-3	7.457249118724643E-3
79.000000000000014E+0	-11.472596858448824E-3	7.986912999820595E-3
80.000000000000014E+0	11.407916318677019E-3	3.729574548333473E-3
81.000000000000014E+0	-693.283895406777530E-6	4.527230341939467E-3
82.000000000000014E+0	13.684131448322361E-3	-2.522935660008486E-3
83.000000000000014E+0	608.844790091992140E-6	-9.563981294792611E-3
84.000000000000014E+0	-7.479974045946536E-3	-5.217352067978564E-3
85.000000000000014E+0	3.139981010624621E-3	612.897104983273970E-6
86.000000000000014E+0	-7.394082603449337E-3	-1.655645486698652E-3
87.000000000000014E+0	133.275136220130910E-6	-2.742468816043039E-3
88.000000000000014E+0	-6.939026798977696E-3	6.608912276190913E-3
89.000000000000014E+0	6.573401274412774E-3	1.242171184258295E-3
90.000000000000014E+0	-3.926048358966223E-3	3.648821280281827E-3
91.000000000000014E+0	10.291437872919074E-3	-4.734903230924127E-3
92.000000000000014E+0	-6.116111346769471E-3	-326.998337703812450E-6
93.000000000000014E+0	2.054664350759176E-3	776.547487504514880E-6
94.000000000000014E+0	2.207166469262608E-3	-283.841566346592950E-6
95.000000000000014E+0	804.903966833896300E-6	-86.991119793671220E-6
96.000000000000014E+0	6.310784138599237E-3	-3.996691900717919E-3
97.000000000000014E+0	-6.380397591526642E-3	-6.898585147026274E-3
98.000000000000014E+0	-1.990706316655068E-3	289.639643434676430E-6
99.000000000000014E+0	-12.985787162273905E-3	1.193489507316655E-3
100.000000000000010E+0	9.873744232301107E-3	15.202913991381828E-3
101.000000000000010E+0	-876.572369735188700E-6	-4.449988264637402E-3
102.000000000000010E+0	5.497313166382346E-3	962.021805104529780E-6
