Freq (Hz)	micro(Pa^2 )	hp(V^2 )
49.000000000000007E+0	17.704776890806455E-12	23.981563813169994E-12
50.000000000000007E+0	13.183301433385332E-12	4.178045257917792E-9
51.000000000000007E+0	86.779895373780682E-12	834.592159033270100E-12
52.000000000000007E+0	5.098903642128846E-12	1.683166482765006E-9
53.000000000000007E+0	73.538457750153379E-12	1.443723053632247E-9
54.000000000000007E+0	19.087577850234290E-12	2.278228550022248E-9
55.000000000000007E+0	84.935089578561160E-12	3.529702756685272E-9
56.000000000000007E+0	69.470298263413660E-12	4.751388756957228E-9
57.000000000000007E+0	122.700264163254430E-12	6.233075919115568E-9
58.000000000000007E+0	10.850316242632852E-12	8.377736577368045E-9
59.000000000000007E+0	155.721945823518950E-12	11.079302824388883E-9
60.000000000000007E+0	139.633174732653850E-12	13.299005380265329E-9
61.000000000000007E+0	68.449775648458276E-12	16.852054330389812E-9
62.000000000000007E+0	180.937137455012300E-12	29.094630706942735E-9
63.000000000000007E+0	26.767160608946608E-12	26.340725651172558E-9
64.000000000000014E+0	34.308628915175652E-12	37.061293209741869E-9
65.000000000000014E+0	4.585441651378142E-12	51.740236327956223E-9
66.000000000000014E+0	129.427098156932090E-12	54.578437717313733E-9
67.000000000000014E+0	110.690690297787930E-12	73.495032154285629E-9
68.000000000000014E+0	40.467208298196460E-12	81.088666783847133E-9
69.000000000000014E+0	110.915170511871340E-12	108.655420620668680E-9
70.000000000000014E+0	15.220298074513513E-12	126.482756657300370E-9
71.000000000000014E+0	50.780627372634498E-12	145.884136121236780E-9
72.000000000000014E+0	38.076205244629553E-12	155.872583084726410E-9
73.000000000000014E+0	12.188001546427333E-12	180.721047988730900E-9
74.000000000000014E+0	51.495114295739390E-12	218.382340361102820E-9
75.000000000000014E+0	169.730057990066090E-12	222.524096311502210E-9
76.000000000000014E+0	181.776930032399410E-12	257.502435595765190E-9
77.000000000000014E+0	98.364788942315554E-12	299.821069917933160E-9
78.000000000000014E+0	109.110822863378520E-12	301.788245845648040E-9
79.000000000000014E+0	218.137572803876840E-12	336.199524750810720E-9
80.000000000000014E+0	463.014270778211760E-12	398.662972841359020E-9
81.000000000000014E+0	182.032182260718690E-12	458.427824354329450E-9
82.000000000000014E+0	74.756140702629885E-12	504.060299861902240E-9
83.000000000000014E+0	244.729463756976030E-12	593.102933514968860E-9
84.000000000000014E+0	215.284938383718670E-12	698.822475381699930E-9
85.000000000000014E+0	46.998837105207887E-12	781.703242699758770E-9
86.000000000000014E+0	71.791148400682639E-12	861.319961009866560E-9
87.000000000000014E+0	157.064167174258090E-12	986.578246341015120E-9
88.000000000000014E+0	68.651616403692385E-12	1.048220925013229E-6
89.000000000000014E+0	67.366794063269449E-12	1.145751064422212E-6
90.000000000000014E+0	109.095671589127540E-12	1.120412263211640E-6
91.000000000000014E+0	24.834412424440619E-12	1.167653812880319E-6
92.000000000000014E+0	135.389223803715680E-12	1.310868156594256E-6
93.000000000000014E+0	390.569351920103620E-12	1.344246177390141E-6
94.000000000000014E+0	258.650370681758000E-12	1.467049956670758E-6
95.000000000000014E+0	2.270611282496261E-12	1.641879012604113E-6
96.000000000000014E+0	80.823774316241119E-12	1.861671634125972E-6
97.000000000000014E+0	68.131258696865187E-12	2.014826579773558E-6
98.000000000000014E+0	190.132307620423630E-12	2.240757486284567E-6
99.000000000000014E+0	19.635640403796332E-12	2.421469383004630E-6
100.000000000000010E+0	741.432338092309820E-12	2.436729022627517E-6
101.000000000000010E+0	303.366728903859150E-12	2.432969213050852E-6
102.000000000000010E+0	82.415121790384923E-12	2.561687142943212E-6
103.000000000000010E+0	21.605498939288633E-12	2.672272647475110E-6
104.000000000000010E+0	5.577326120633917E-12	2.907681624760747E-6
105.000000000000010E+0	7.765328964910814E-12	3.244223047920801E-6
106.000000000000010E+0	20.113058981553692E-12	3.697931162836090E-6
107.000000000000010E+0	19.695443211356447E-12	4.035881399856625E-6
108.000000000000010E+0	5.305892098057491E-12	4.279199589174339E-6
109.000000000000010E+0	35.880143493726299E-12	4.465314676841984E-6
110.000000000000010E+0	56.973592601435944E-12	4.544811886110612E-6
111.000000000000010E+0	44.280888017577662E-12	4.717920523080068E-6
112.000000000000010E+0	71.867575020317878E-12	5.138449807053283E-6
113.000000000000010E+0	844.225433665474180E-12	6.010847602947391E-6
114.000000000000010E+0	722.642412232391190E-12	6.877297045132004E-6
115.000000000000010E+0	79.281808831949664E-12	7.600101280042517E-6
116.000000000000010E+0	14.701136297422988E-12	8.173771724491720E-6
117.000000000000010E+0	148.480958001500230E-12	8.593178943700415E-6
118.000000000000010E+0	3.888163468115470E-12	9.183401068495213E-6
119.000000000000010E+0	96.716332514568566E-12	9.795926993835653E-6
120.000000000000010E+0	118.498005367386800E-12	11.197299779902924E-6
121.000000000000010E+0	230.107943207824250E-12	13.297702557460538E-6
122.000000000000010E+0	317.671230202228860E-12	14.980707014431015E-6
123.000000000000010E+0	102.497978766683930E-12	16.064067861293605E-6
124.000000000000010E+0	56.484142449875626E-12	17.208221635616048E-6
125.000000000000010E+0	65.631497911704928E-12	18.910407396702148E-6
126.000000000000010E+0	5.100179174024775E-12	21.114708815105458E-6
127.000000000000010E+0	15.808986953549878E-12	23.787977764367787E-6
128.000000000000030E+0	91.468994396407473E-12	27.239726702591489E-6
129.000000000000030E+0	54.697674342603376E-12	30.766247656942259E-6
130.000000000000030E+0	28.680695407009980E-12	33.305176324182367E-6
131.000000000000030E+0	20.712426042425871E-12	35.713092566192425E-6
132.000000000000030E+0	34.760287980989337E-12	39.545056398942918E-6
133.000000000000030E+0	66.002767420427748E-12	44.796901079066203E-6
134.000000000000030E+0	15.564049653621784E-12	50.436911418853254E-6
135.000000000000030E+0	38.107861456450415E-12	55.835932770290549E-6
136.000000000000030E+0	88.451519482612667E-12	60.750870291308250E-6
137.000000000000030E+0	51.808410868089405E-12	66.115408236728357E-6
138.000000000000030E+0	164.866608025323750E-12	73.017322427550082E-6
139.000000000000030E+0	146.468229929776950E-12	82.144959703954102E-6
140.000000000000030E+0	4.713722926057583E-12	91.370800892708165E-6
141.000000000000030E+0	170.738826938064280E-12	98.566853972931979E-6
142.000000000000030E+0	293.978293913499980E-12	104.675031928719470E-6
143.000000000000030E+0	86.064439128197170E-12	113.704098508386430E-6
144.000000000000030E+0	36.911303171141808E-12	126.809317700754650E-6
145.000000000000030E+0	52.384254630686324E-12	140.906079733166520E-6
146.000000000000030E+0	81.092780250066551E-12	153.324685629716780E-6
147.000000000000030E+0	18.029315584147921E-12	163.103249028639800E-6
148.000000000000030E+0	14.310793494742452E-12	172.746865853625850E-6
149.000000000000030E+0	181.776025183610360E-12	187.270049972308720E-6
150.000000000000030E+0	400.277365768879510E-12	208.142309912137130E-6
151.000000000000030E+0	93.116206609750402E-12	226.672023787578460E-6
152.000000000000030E+0	1.296415119610952E-12	239.669172082850790E-6
153.000000000000030E+0	59.893523997309444E-12	253.796975227240580E-6
154.000000000000030E+0	185.455548023316140E-12	273.193277688679100E-6
155.000000000000030E+0	63.758067926757348E-12	294.317864229560580E-6
156.000000000000030E+0	33.868219369716867E-12	314.297417355498090E-6
157.000000000000030E+0	97.763312505169933E-12	333.604992422453660E-6
158.000000000000030E+0	77.219295853417146E-12	355.047509649987840E-6
159.000000000000030E+0	84.080775893165414E-12	382.080645395710480E-6
160.000000000000030E+0	5.844322532506126E-12	409.016141824721350E-6
161.000000000000030E+0	55.111553600148992E-12	426.159289816137190E-6
162.000000000000030E+0	71.211624625814077E-12	442.397353987387610E-6
163.000000000000030E+0	79.829155266384657E-12	471.822192963421550E-6
164.000000000000030E+0	3.854737243083353E-12	507.513881472468710E-6
165.000000000000030E+0	22.408817587201793E-12	538.326004833503060E-6
166.000000000000030E+0	25.818511323263448E-12	561.315216590022670E-6
167.000000000000030E+0	34.473174333753213E-12	580.350691747089390E-6
168.000000000000030E+0	40.893298784804839E-12	607.107482830854680E-6
169.000000000000030E+0	60.060240963900456E-12	642.106662204491800E-6
170.000000000000030E+0	27.188387491359738E-12	671.427874234368970E-6
171.000000000000030E+0	51.790119617387150E-12	701.657107688263210E-6
172.000000000000030E+0	9.870890452552488E-12	737.356287223560140E-6
173.000000000000030E+0	17.855874146036007E-12	761.480161238233410E-6
174.000000000000030E+0	6.930993830172597E-12	780.076005363027830E-6
175.000000000000030E+0	34.126122356150006E-12	811.499872691368090E-6
176.000000000000030E+0	36.272717902594132E-12	854.058973823363620E-6
177.000000000000030E+0	3.131886359535019E-12	894.195305322160760E-6
178.000000000000030E+0	10.802716793417169E-12	916.487246788336090E-6
179.000000000000030E+0	8.441802095960134E-12	929.827615179150500E-6
180.000000000000030E+0	56.809020114158432E-12	962.208235044654190E-6
181.000000000000030E+0	12.615140529069004E-12	999.008140343509400E-6
182.000000000000030E+0	4.031842841277527E-12	1.027821190013392E-3
183.000000000000030E+0	1.885780129735330E-12	1.065993596773713E-3
184.000000000000030E+0	14.901441170399329E-12	1.095277118172396E-3
185.000000000000030E+0	77.380044089271666E-12	1.104707592534850E-3
186.000000000000030E+0	83.326226665621127E-12	1.120722769895402E-3
187.000000000000030E+0	19.649906487488928E-12	1.160620032786334E-3
188.000000000000030E+0	25.658621313543681E-12	1.210444879987000E-3
189.000000000000030E+0	37.204886630620321E-12	1.225272234296238E-3
190.000000000000030E+0	161.359169071900790E-12	1.219104219863848E-3
191.000000000000030E+0	200.346692310876490E-12	1.245931648951622E-3
192.000000000000030E+0	90.512506065388089E-12	1.279203343840504E-3
193.000000000000030E+0	55.982654045960498E-12	1.300100281686974E-3
194.000000000000030E+0	40.891734186950444E-12	1.325863529278556E-3
195.000000000000030E+0	58.061405951992623E-12	1.339700463324741E-3
196.000000000000030E+0	129.055359599867020E-12	1.336702017399922E-3
197.000000000000030E+0	98.454235286911552E-12	1.339004319898672E-3
198.000000000000030E+0	8.577847686454211E-12	1.379670493995115E-3
199.000000000000030E+0	2.485096052425021E-12	1.419806442572557E-3
200.000000000000030E+0	30.818785350252944E-12	1.401993625707695E-3
201.000000000000030E+0	9.780765496049612E-12	1.385378372857209E-3
202.000000000000030E+0	59.115510575140623E-12	1.399736539594436E-3
203.000000000000030E+0	21.859186055391330E-12	1.425202427379392E-3
204.000000000000030E+0	18.553240806186051E-12	1.446607514127084E-3
205.000000000000030E+0	54.137966884380567E-12	1.435832694137346E-3
206.000000000000030E+0	497.786500771959910E-12	1.414393591902371E-3
207.000000000000030E+0	48.644568987441020E-12	1.410281871893751E-3
208.000000000000030E+0	77.553038526662874E-12	1.436603446993533E-3
209.000000000000030E+0	95.937361304944180E-12	1.450174452113756E-3
210.000000000000030E+0	28.518135861637501E-12	1.426489185631667E-3
211.000000000000030E+0	53.886666601590567E-12	1.406597008182898E-3
212.000000000000030E+0	4.667483099168957E-12	1.387321230589950E-3
213.000000000000030E+0	495.919482726801960E-12	1.403374407106643E-3
214.000000000000030E+0	471.163047411693850E-12	1.426355658607334E-3
215.000000000000030E+0	57.680752207115378E-12	1.387931156233835E-3
216.000000000000030E+0	23.955357813403162E-12	1.336182214289132E-3
217.000000000000030E+0	18.586028529975089E-12	1.343595562632630E-3
218.000000000000030E+0	68.102285863202102E-12	1.370791702966707E-3
219.000000000000030E+0	128.358948838167300E-12	1.336077932480818E-3
220.000000000000030E+0	42.771308801807626E-12	1.299035558553528E-3
221.000000000000030E+0	71.157957073027970E-12	1.273170984279810E-3
222.000000000000030E+0	49.672520204134703E-12	1.261340234675453E-3
223.000000000000030E+0	249.214477953310850E-12	1.272264482901989E-3
224.000000000000030E+0	224.463824551164020E-12	1.251019574359312E-3
225.000000000000030E+0	166.268158961394540E-12	1.197142509318912E-3
226.000000000000030E+0	63.610508065853267E-12	1.164471574931742E-3
227.000000000000030E+0	221.411562392323700E-12	1.181293600846200E-3
228.000000000000030E+0	144.431818794627740E-12	1.174684351968907E-3
229.000000000000030E+0	50.625733509428637E-12	1.123075325651580E-3
230.000000000000030E+0	32.256949075744764E-12	1.066426534838395E-3
231.000000000000030E+0	9.937379066343571E-12	1.076018960679772E-3
232.000000000000030E+0	36.439124850301471E-12	1.079449498474251E-3
233.000000000000030E+0	128.331105449628830E-12	1.026043943253914E-3
234.000000000000030E+0	64.629961174574100E-12	985.341583267406420E-6
235.000000000000030E+0	90.302063606003124E-12	964.795848376013170E-6
236.000000000000030E+0	89.898352293099378E-12	954.972904537468040E-6
237.000000000000030E+0	14.792304115377520E-12	946.111936722582990E-6
238.000000000000030E+0	4.255806140585169E-12	896.848666455060200E-6
239.000000000000030E+0	49.246815627109612E-12	838.782325289487130E-6
240.000000000000030E+0	149.536314303328020E-12	852.091472991260660E-6
241.000000000000030E+0	326.051648032807840E-12	846.225660250649870E-6
242.000000000000030E+0	214.396906978755400E-12	788.688438696325100E-6
243.000000000000030E+0	11.344958148752635E-12	740.568836922179500E-6
244.000000000000030E+0	308.862211215391110E-15	746.769433994429900E-6
245.000000000000030E+0	8.857655577682553E-12	735.604948437381850E-6
246.000000000000030E+0	20.792422555344932E-12	689.325615239864660E-6
247.000000000000030E+0	33.588441333586970E-12	650.120384837137650E-6
248.000000000000030E+0	88.065186084685794E-12	634.271999156752610E-6
249.000000000000030E+0	189.041434261697320E-12	623.723055677411000E-6
250.000000000000030E+0	85.126548369135118E-12	608.702206963673330E-6
251.000000000000030E+0	9.287759224792773E-12	548.161722577242640E-6
252.000000000000030E+0	59.485888605286774E-12	528.549040755071960E-6
253.000000000000030E+0	18.224518049887877E-12	544.013179171014060E-6
254.000000000000030E+0	4.520211928992660E-12	506.961160138926640E-6
255.000000000000030E+0	45.278742968325971E-12	454.826217551938400E-6
256.000000000000060E+0	41.070277646612104E-12	452.727568342195290E-6
257.000000000000060E+0	13.999201450024178E-12	447.070403652668030E-6
258.000000000000060E+0	22.938863954659520E-12	415.401472898822020E-6
259.000000000000060E+0	107.820843294384250E-12	382.247200594082200E-6
260.000000000000060E+0	42.448973577406836E-12	367.698694033820770E-6
261.000000000000060E+0	3.674110013230298E-12	361.581979096992050E-6
262.000000000000060E+0	23.560220128809558E-12	350.726364786621310E-6
263.000000000000060E+0	29.608591467696897E-12	303.782896681387830E-6
264.000000000000060E+0	49.081892308969989E-12	294.885315611263630E-6
265.000000000000060E+0	71.941583909966776E-12	306.177177290181970E-6
266.000000000000060E+0	79.102909796387815E-12	267.804718430291130E-6
267.000000000000060E+0	74.490283035750935E-12	241.053510516994720E-6
268.000000000000060E+0	43.115856323344909E-12	244.598396194066000E-6
269.000000000000060E+0	28.965202651981824E-12	233.295922228961070E-6
270.000000000000060E+0	78.828926195430545E-12	209.867633798067420E-6
271.000000000000060E+0	82.078623385191776E-12	191.989381621784460E-6
272.000000000000060E+0	212.003312440822270E-12	182.862302905712750E-6
273.000000000000060E+0	116.519089572607390E-12	182.635355513303210E-6
274.000000000000060E+0	93.568040250259758E-12	156.770570826957670E-6
275.000000000000060E+0	333.455894870678080E-12	136.086188426453640E-6
276.000000000000060E+0	171.631423038019450E-12	147.537964783168770E-6
277.000000000000060E+0	7.720478659593777E-12	131.410796443634070E-6
278.000000000000060E+0	88.131958055495123E-12	107.205481060620420E-6
279.000000000000060E+0	59.596726404434014E-12	109.262859673660480E-6
280.000000000000060E+0	41.642992694712413E-12	103.394652936855450E-6
281.000000000000060E+0	51.687655615498865E-12	89.780940527375977E-6
282.000000000000060E+0	4.448699096502558E-12	79.072351717156110E-6
283.000000000000060E+0	12.942930868280058E-12	72.954366947678304E-6
284.000000000000060E+0	73.123321695368309E-12	75.291094468057137E-6
285.000000000000060E+0	115.430253310622130E-12	59.452756793750950E-6
286.000000000000060E+0	37.220894262017971E-12	49.506476314899093E-6
287.000000000000060E+0	6.719933362447723E-12	57.325917012421704E-6
288.000000000000060E+0	92.125983102070207E-12	44.255560647377057E-6
289.000000000000060E+0	110.016956982498080E-12	35.130714202631318E-6
290.000000000000060E+0	14.143771129684108E-12	36.723206693477689E-6
291.000000000000060E+0	74.519864114968583E-12	31.921126715987632E-6
292.000000000000060E+0	2.990275220561546E-12	26.344779635464806E-6
293.000000000000060E+0	48.098435695998758E-12	20.729306246976448E-6
294.000000000000060E+0	25.188514485846996E-12	20.910382215200443E-6
295.000000000000060E+0	534.185094005499410E-15	19.445636427766615E-6
296.000000000000060E+0	44.422478782200814E-12	10.836114779375844E-6
297.000000000000060E+0	76.725036865711325E-12	12.713995685613099E-6
298.000000000000060E+0	25.076889752113677E-12	11.900302409967374E-6
299.000000000000060E+0	29.226558593953034E-12	5.746397084048076E-6
300.000000000000060E+0	47.617609895408313E-12	5.958778960661408E-6
301.000000000000060E+0	19.379734800686806E-12	5.257768392022133E-6
302.000000000000060E+0	19.927458953255238E-12	3.388654322887737E-6
303.000000000000060E+0	4.997353689509080E-12	1.955640910752463E-6
304.000000000000060E+0	22.049143301243466E-12	1.438762788298451E-6
305.000000000000060E+0	78.510989635913337E-12	1.769088984461688E-6
306.000000000000060E+0	138.664360184272210E-12	174.214864418789190E-9
307.000000000000060E+0	61.118217333907768E-12	287.265639510908000E-9
308.000000000000060E+0	34.371300292676166E-12	256.869801747413310E-9
309.000000000000060E+0	64.766552582452468E-12	294.240890480204120E-9
310.000000000000060E+0	42.546683628450389E-12	247.315560646180210E-9
311.000000000000060E+0	57.730221051097385E-12	427.737907332408890E-9
312.000000000000060E+0	7.653928049820232E-12	948.759478416956730E-9
313.000000000000060E+0	68.827107652490317E-12	1.981950435264065E-6
314.000000000000060E+0	118.850326600632490E-12	2.203009500670248E-6
315.000000000000060E+0	117.956682366136280E-12	2.164822009380314E-6
316.000000000000060E+0	173.195751506840510E-12	5.594244125924655E-6
317.000000000000060E+0	103.420985696744800E-12	3.981925757327488E-6
318.000000000000060E+0	45.878441323168620E-12	5.265773613212853E-6
319.000000000000060E+0	35.052029464015158E-12	8.079006345785236E-6
320.000000000000060E+0	6.774277285750574E-12	7.124660614066584E-6
321.000000000000060E+0	81.686739147710549E-12	8.816531113367031E-6
322.000000000000060E+0	48.102593985843720E-12	9.851144174036748E-6
323.000000000000060E+0	1.800304121238530E-12	12.750698057492115E-6
324.000000000000060E+0	31.624362956926923E-12	11.152213029551711E-6
