Freq (Hz)	micro/hp_Mod	micro/hp_Phase(rad)
49.000000000000007E+0	664.147454373275380E-3	252.344614679152090E-3
50.000000000000007E+0	676.263447895082970E-3	1.477692111532277E+0
51.000000000000007E+0	321.347630926658020E-3	34.508399473918080E-3
52.000000000000007E+0	337.426077541627790E-3	-2.826549708353530E+0
53.000000000000007E+0	242.850685444464200E-3	-4.578916698653998E+0
54.000000000000007E+0	62.524055379241869E-3	-6.120363055274577E+0
55.000000000000007E+0	110.734347038030480E-3	-6.942876914350752E+0
56.000000000000007E+0	94.165005706496316E-3	-9.475196289396232E+0
57.000000000000007E+0	97.264785384430050E-3	-6.677892269359654E+0
58.000000000000007E+0	29.760501620328322E-3	-3.780939978467812E+0
59.000000000000007E+0	115.318058935552910E-3	-2.240311763235474E+0
60.000000000000007E+0	126.847267470470120E-3	-4.851088213131635E+0
61.000000000000007E+0	58.034781266030892E-3	-2.032626188815098E+0
62.000000000000007E+0	71.196131649854652E-3	997.005655650828330E-3
63.000000000000007E+0	82.231246835170288E-3	-974.019321890792430E-3
64.000000000000014E+0	91.779251493468619E-3	-2.808258744552204E+0
65.000000000000014E+0	70.311004531464522E-3	-4.898506591447678E+0
66.000000000000014E+0	21.871604179531188E-3	-7.946433699462634E+0
67.000000000000014E+0	10.186969242846034E-3	-11.035224056752112E+0
68.000000000000014E+0	20.735797591833752E-3	-12.170171560173562E+0
69.000000000000014E+0	37.595779662728694E-3	-14.485693322289750E+0
70.000000000000014E+0	40.441013215189198E-3	-16.678982559680552E+0
71.000000000000014E+0	25.178380286651512E-3	-18.969507439992871E+0
72.000000000000014E+0	1.514354927180592E-3	-20.682501315705764E+0
73.000000000000014E+0	22.882696550345728E-3	-20.988302575364507E+0
74.000000000000014E+0	18.582807326175968E-3	-23.717369469329085E+0
75.000000000000014E+0	15.479783910104012E-3	-21.719884182750071E+0
76.000000000000014E+0	12.506073967137892E-3	-19.133538082433009E+0
77.000000000000014E+0	17.221765693648198E-3	-16.635334140151631E+0
78.000000000000014E+0	11.231159272822240E-3	-19.765122882964846E+0
79.000000000000014E+0	4.343934885979708E-3	-16.964976692590234E+0
80.000000000000014E+0	7.358713383488953E-3	-15.537961978607779E+0
81.000000000000014E+0	8.903201691512923E-3	-17.725826290189609E+0
82.000000000000014E+0	2.671379802756567E-3	-16.645374940914884E+0
83.000000000000014E+0	7.812475541375690E-3	-18.894305142216705E+0
84.000000000000014E+0	10.432487238565106E-3	-21.720728180539798E+0
85.000000000000014E+0	15.772012059312876E-3	-18.642614872546947E+0
86.000000000000014E+0	25.217270855449236E-3	-21.702473894780340E+0
87.000000000000014E+0	20.135600679419552E-3	-24.088060002209751E+0
88.000000000000014E+0	7.476304884050555E-3	-26.341607668942128E+0
89.000000000000014E+0	1.649840656304513E-3	-24.707295492343892E+0
90.000000000000014E+0	6.989311645530447E-3	-27.584486087579329E+0
91.000000000000014E+0	13.586888639625743E-3	-28.962222091739168E+0
92.000000000000014E+0	18.142418536520970E-3	-30.810650365260205E+0
93.000000000000014E+0	11.857954591218198E-3	-33.158261872826714E+0
94.000000000000014E+0	7.344755147844409E-3	-30.038101749658434E+0
95.000000000000014E+0	5.798173098855903E-3	-32.969873480735124E+0
96.000000000000014E+0	1.749858687197667E-3	-33.045277043394627E+0
97.000000000000014E+0	4.712508400300104E-3	-34.379056242286332E+0
98.000000000000014E+0	3.550523132510561E-3	-35.375614336934056E+0
99.000000000000014E+0	9.265720381763997E-3	-34.347842679339138E+0
100.000000000000010E+0	18.745046982174968E-3	-36.234159485111348E+0
101.000000000000010E+0	5.568335843247348E-3	-37.300385232282515E+0
102.000000000000010E+0	6.344233134610187E-3	-37.849216836254143E+0
103.000000000000010E+0	2.950719287044209E-3	-37.675810248814372E+0
104.000000000000010E+0	5.532133159238881E-3	-39.811878467680174E+0
105.000000000000010E+0	5.657332285190365E-3	-42.804739407702172E+0
106.000000000000010E+0	4.779206573019985E-3	-45.102168258037977E+0
107.000000000000010E+0	2.397511504775834E-3	-46.000467259324886E+0
108.000000000000010E+0	1.855819534056170E-3	-48.357754808026414E+0
109.000000000000010E+0	2.768134864230805E-3	-45.288113323535185E+0
110.000000000000010E+0	3.719334293580295E-3	-46.740256279133518E+0
111.000000000000010E+0	4.220105053973749E-3	-48.037444755828048E+0
112.000000000000010E+0	1.754269813782406E-3	-50.261757180779945E+0
113.000000000000010E+0	9.035672269834337E-3	-47.321505467220163E+0
114.000000000000010E+0	14.231258336229801E-3	-49.387147080652731E+0
115.000000000000010E+0	7.461212665869205E-3	-51.623174598686901E+0
116.000000000000010E+0	2.738958550608133E-3	-48.682881259947351E+0
117.000000000000010E+0	2.243001528770750E-3	-51.198892552201300E+0
118.000000000000010E+0	469.706432905718070E-6	-54.014261270487594E+0
119.000000000000010E+0	1.035184946418045E-3	-51.288987577636298E+0
120.000000000000010E+0	388.163909580476170E-6	-52.611825090445365E+0
121.000000000000010E+0	1.328698714140820E-3	-51.910574377999104E+0
122.000000000000010E+0	963.274828294554760E-6	-53.339122161579475E+0
123.000000000000010E+0	893.581424339702550E-6	-53.030822184453896E+0
124.000000000000010E+0	1.232002034510312E-3	-55.936045173415074E+0
125.000000000000010E+0	1.586119533378796E-3	-58.482816767638020E+0
126.000000000000010E+0	612.629894464688680E-6	-56.715011464011738E+0
127.000000000000010E+0	1.666221574760401E-3	-58.616159599997296E+0
128.000000000000030E+0	1.567804173930205E-3	-60.103930300886979E+0
129.000000000000030E+0	1.408693942543035E-3	-61.945181844411529E+0
130.000000000000030E+0	212.509030055133340E-6	-63.120665367458329E+0
131.000000000000030E+0	1.046024959828300E-3	-61.856231244217426E+0
132.000000000000030E+0	1.259804725670465E-3	-63.344764753795204E+0
133.000000000000030E+0	810.863698575741840E-6	-65.334927635058477E+0
134.000000000000030E+0	466.068494496435920E-6	-67.721459114336696E+0
135.000000000000030E+0	568.297285970270410E-6	-70.121937295729850E+0
136.000000000000030E+0	741.455471724059470E-6	-67.382090016800035E+0
137.000000000000030E+0	1.291940770393475E-3	-69.942637770667801E+0
138.000000000000030E+0	1.254475948092956E-3	-72.798053238881366E+0
139.000000000000030E+0	933.781130940549270E-6	-75.095886777341576E+0
140.000000000000030E+0	739.257315587355290E-6	-76.320271105846046E+0
141.000000000000030E+0	1.164737541260010E-3	-77.654117442227061E+0
142.000000000000030E+0	711.092944064481290E-6	-78.998378741298850E+0
143.000000000000030E+0	311.669910790205450E-6	-79.243826468826043E+0
144.000000000000030E+0	28.222632184545163E-6	-79.649873544529200E+0
145.000000000000030E+0	528.326607811009610E-6	-77.369042877252710E+0
146.000000000000030E+0	916.159327303392450E-6	-78.634740803108329E+0
147.000000000000030E+0	528.348139973187550E-6	-80.191507123290748E+0
148.000000000000030E+0	332.700829497968040E-6	-80.888868748507150E+0
149.000000000000030E+0	442.387139811279120E-6	-78.483515350361415E+0
150.000000000000030E+0	1.424772903971093E-3	-80.220435664263661E+0
151.000000000000030E+0	735.673307374350640E-6	-81.518517728195135E+0
152.000000000000030E+0	417.556471348152270E-6	-81.404266910808090E+0
153.000000000000030E+0	438.253249930459620E-6	-82.100656245913839E+0
154.000000000000030E+0	329.526272900300950E-6	-82.472035889978485E+0
155.000000000000030E+0	370.748099106488810E-6	-82.711234899115141E+0
156.000000000000030E+0	239.044386346534810E-6	-84.907946657726129E+0
157.000000000000030E+0	374.485174541572580E-6	-87.364237830020585E+0
158.000000000000030E+0	114.292811387233790E-6	-90.079191187829394E+0
159.000000000000030E+0	182.326912028660640E-6	-92.231535306389304E+0
160.000000000000030E+0	336.544452088002540E-6	-92.008783303445625E+0
161.000000000000030E+0	230.899527667847230E-6	-92.783390204874934E+0
162.000000000000030E+0	404.615032097608250E-6	-92.678194748456121E+0
163.000000000000030E+0	343.684172243817430E-6	-93.844848030290549E+0
164.000000000000030E+0	254.380187608869530E-6	-94.177494713053349E+0
165.000000000000030E+0	348.588242112526200E-6	-95.668333682848697E+0
166.000000000000030E+0	242.226413536094830E-6	-97.729700140400808E+0
167.000000000000030E+0	315.762882747868320E-6	-100.296695058304920E+0
168.000000000000030E+0	141.504721176737660E-6	-101.055484301034640E+0
169.000000000000030E+0	221.951202926606630E-6	-100.871008297293330E+0
170.000000000000030E+0	258.863180938246070E-6	-98.435683204885564E+0
171.000000000000030E+0	647.861819819869770E-6	-99.797711889207889E+0
172.000000000000030E+0	545.879548692853720E-6	-100.589546936771440E+0
173.000000000000030E+0	479.860262490497630E-6	-101.305027015720920E+0
174.000000000000030E+0	418.430005180963530E-6	-102.583274418822010E+0
175.000000000000030E+0	445.411529379335990E-6	-103.454978480797320E+0
176.000000000000030E+0	499.969344399392320E-6	-104.086614113411120E+0
177.000000000000030E+0	162.909315181304760E-6	-105.718466622578060E+0
178.000000000000030E+0	228.027043890773480E-6	-108.725870998972410E+0
179.000000000000030E+0	71.840353885957597E-6	-111.844507510653320E+0
180.000000000000030E+0	74.155268483620885E-6	-114.015695263998810E+0
181.000000000000030E+0	289.649034668374400E-6	-111.352776728869140E+0
182.000000000000030E+0	441.684989586448180E-6	-112.382500847545500E+0
183.000000000000030E+0	301.620868685058130E-6	-113.245390312637580E+0
184.000000000000030E+0	148.640321572995890E-6	-113.110505528576910E+0
185.000000000000030E+0	149.750166794949250E-6	-114.558816534823440E+0
186.000000000000030E+0	497.541031692528270E-6	-116.924013866465510E+0
187.000000000000030E+0	443.285468081297000E-6	-118.639377373604110E+0
188.000000000000030E+0	215.468776992204370E-6	-121.233785950728690E+0
189.000000000000030E+0	189.863899704447390E-6	-124.334029741919650E+0
190.000000000000030E+0	173.911077270953100E-6	-126.419873633408260E+0
191.000000000000030E+0	97.949348100705047E-6	-129.461963544604320E+0
192.000000000000030E+0	188.192579157443250E-6	-131.316124424287270E+0
193.000000000000030E+0	316.157196649269800E-6	-133.157973594536630E+0
194.000000000000030E+0	575.390333971520530E-6	-134.167431720453780E+0
195.000000000000030E+0	625.147833798220410E-6	-134.843475425706970E+0
196.000000000000030E+0	308.036349227563940E-6	-135.765243371438290E+0
197.000000000000030E+0	220.545371252679910E-6	-138.802686194448770E+0
198.000000000000030E+0	364.187550597971540E-6	-140.077417802362050E+0
199.000000000000030E+0	360.769694791899190E-6	-141.548628284300180E+0
200.000000000000030E+0	328.450400025437350E-6	-142.760728985291850E+0
201.000000000000030E+0	159.051878041797590E-6	-144.043789927540020E+0
202.000000000000030E+0	98.487390626775563E-6	-146.265904426934750E+0
203.000000000000030E+0	142.863912806570200E-6	-148.344078969068990E+0
204.000000000000030E+0	157.294511131274530E-6	-149.547633577877780E+0
205.000000000000030E+0	336.376665566340690E-6	-150.616541430016160E+0
206.000000000000030E+0	579.338487926901450E-6	-151.537125590293300E+0
207.000000000000030E+0	234.131810179374890E-6	-152.126747985888980E+0
208.000000000000030E+0	265.077892344034770E-6	-150.703987568344360E+0
209.000000000000030E+0	94.149282763475553E-6	-152.675109586603810E+0
210.000000000000030E+0	421.264850466424850E-6	-154.998064537151550E+0
211.000000000000030E+0	303.066392873212750E-6	-156.423149903759760E+0
212.000000000000030E+0	330.990621609038580E-6	-158.606672667150410E+0
213.000000000000030E+0	517.053309481014340E-6	-160.562289409417360E+0
214.000000000000030E+0	773.930455741043680E-6	-161.724101328825530E+0
215.000000000000030E+0	425.240460733884760E-6	-162.704720352144700E+0
216.000000000000030E+0	132.941719870263040E-6	-163.986433998628000E+0
217.000000000000030E+0	103.499368410077220E-6	-162.792990869469350E+0
218.000000000000030E+0	166.211735229154400E-6	-162.486263280823810E+0
219.000000000000030E+0	222.067928864035570E-6	-162.112551694825190E+0
220.000000000000030E+0	293.663852380847700E-6	-162.711004302336850E+0
221.000000000000030E+0	195.965372212114090E-6	-163.341316808533610E+0
222.000000000000030E+0	78.739608097475335E-6	-162.389041768202190E+0
223.000000000000030E+0	108.272658967999290E-6	-163.473523489858620E+0
224.000000000000030E+0	116.618082500387720E-6	-163.730999862440230E+0
225.000000000000030E+0	140.257761528210120E-6	-163.522443024787550E+0
226.000000000000030E+0	41.152813103695717E-6	-160.776992804933340E+0
227.000000000000030E+0	138.844861098429220E-6	-161.096200964472250E+0
228.000000000000030E+0	206.852926678741140E-6	-160.989375066982150E+0
229.000000000000030E+0	314.725741993635170E-6	-161.816100740980400E+0
230.000000000000030E+0	226.157674984536120E-6	-162.526513790807230E+0
231.000000000000030E+0	57.584848436368467E-6	-164.909089357438060E+0
232.000000000000030E+0	151.475187243061590E-6	-165.628328034603670E+0
233.000000000000030E+0	185.523719699813270E-6	-166.122542683828210E+0
234.000000000000030E+0	303.124033064160940E-6	-166.600881377118440E+0
235.000000000000030E+0	439.795818723979660E-6	-167.172303072151210E+0
236.000000000000030E+0	470.891008360598540E-6	-167.740571063365540E+0
237.000000000000030E+0	305.251372367254630E-6	-168.371030189753240E+0
238.000000000000030E+0	214.650284249874300E-6	-169.534418473013970E+0
239.000000000000030E+0	276.894187793160010E-6	-169.902475125523610E+0
240.000000000000030E+0	310.888520271842420E-6	-169.647307657208980E+0
241.000000000000030E+0	304.948110049429460E-6	-169.211758151219640E+0
242.000000000000030E+0	315.944034748886570E-6	-169.603827812848380E+0
243.000000000000030E+0	417.839606437579770E-6	-170.061769967011030E+0
244.000000000000030E+0	526.753858304961100E-6	-170.035683763710470E+0
245.000000000000030E+0	432.061256235758600E-6	-170.465588289383110E+0
246.000000000000030E+0	187.609769784635900E-6	-171.286958753814560E+0
247.000000000000030E+0	123.556179601420770E-6	-171.871596912425790E+0
248.000000000000030E+0	241.274569706701070E-6	-171.681844988663160E+0
249.000000000000030E+0	396.607609450471530E-6	-172.718499554575490E+0
250.000000000000030E+0	617.633646141975670E-6	-173.569916355181420E+0
251.000000000000030E+0	479.067653150683020E-6	-174.419461762497720E+0
252.000000000000030E+0	252.225004946382730E-6	-176.019832407248340E+0
253.000000000000030E+0	303.082347961568020E-6	-177.928648986596240E+0
254.000000000000030E+0	321.531068390999850E-6	-179.641053644977430E+0
255.000000000000030E+0	333.481671579653380E-6	-180.982298752998130E+0
256.000000000000060E+0	345.897387142816300E-6	-182.022360853961090E+0
257.000000000000060E+0	240.255748168577100E-6	-181.735552809522600E+0
258.000000000000060E+0	196.621400971349750E-6	-181.153139250866990E+0
259.000000000000060E+0	220.064432845831940E-6	-180.190343882451830E+0
260.000000000000060E+0	541.319709435838480E-6	-179.424047589030270E+0
261.000000000000060E+0	718.820462930293390E-6	-178.799464954089100E+0
262.000000000000060E+0	343.528948027079640E-6	-178.582492743494920E+0
