Freq (Hz)	Gxymicro/hp_Real	Gxymicro/hp_Imag
49.000000000000007E+0	-14.149636422939296E-12	-6.919953957844085E-12
50.000000000000007E+0	-361.283402247993870E-12	-11.294491680111386E-12
51.000000000000007E+0	43.100610781007496E-12	66.953824902079758E-12
52.000000000000007E+0	123.098658951291960E-12	100.438717793064230E-12
53.000000000000007E+0	47.893148010174984E-12	-188.336454243771630E-12
54.000000000000007E+0	-80.215420277366430E-12	-5.121350666438153E-12
55.000000000000007E+0	188.093810994028300E-12	9.771320382158908E-12
56.000000000000007E+0	-379.397281213312690E-12	-140.899347842051910E-12
57.000000000000007E+0	153.180236828888630E-12	123.637708920168740E-12
58.000000000000007E+0	140.935197749133660E-12	149.275059798883280E-12
59.000000000000007E+0	-366.777504545748340E-12	-363.063441431347600E-12
60.000000000000007E+0	347.996421467108590E-12	594.329476439368390E-12
61.000000000000007E+0	345.742056285492070E-12	-676.399669157623500E-12
62.000000000000007E+0	-688.022395122253450E-12	263.573433588240920E-12
63.000000000000007E+0	-13.350966203984225E-12	-572.234186367462650E-12
64.000000000000014E+0	618.725204118708990E-12	80.222623134583194E-12
65.000000000000014E+0	-861.115152869864180E-12	-196.209970342915230E-12
66.000000000000014E+0	-1.210370436638278E-9	825.879899371604340E-12
67.000000000000014E+0	2.264763447532562E-9	-610.203633516347430E-12
68.000000000000014E+0	2.983801461983837E-12	1.034868388538429E-9
69.000000000000014E+0	-980.066573549522300E-12	-3.089698436996947E-9
70.000000000000014E+0	1.748787604350649E-9	1.193491321346446E-9
71.000000000000014E+0	-4.027661090951148E-9	-3.040748396738941E-9
72.000000000000014E+0	-346.977295784823660E-12	3.220426207644824E-9
73.000000000000014E+0	363.401951266459170E-12	771.090129909752970E-12
74.000000000000014E+0	909.649048386631740E-12	2.738807142413513E-9
75.000000000000014E+0	4.270052033759867E-9	-5.289004603800486E-9
76.000000000000014E+0	-6.023037033775243E-9	2.681823546683848E-9
77.000000000000014E+0	4.294029503769881E-9	3.057575353699561E-9
78.000000000000014E+0	2.379246921276974E-9	-3.824224494255911E-9
79.000000000000014E+0	-1.354884822012170E-9	1.352893690210992E-9
80.000000000000014E+0	3.543872980193602E-9	-1.103298858231766E-9
81.000000000000014E+0	-1.620037325922258E-9	-1.474867408928659E-9
82.000000000000014E+0	4.202182751487251E-9	-71.767964557484438E-12
83.000000000000014E+0	-12.186037676738822E-12	-3.987107609792690E-9
84.000000000000014E+0	-2.130090312382951E-9	-3.583564980778956E-9
85.000000000000014E+0	-3.054474533998418E-9	2.749907476438352E-9
86.000000000000014E+0	3.644359934893136E-9	1.693499615491488E-9
87.000000000000014E+0	425.969264414773760E-12	-1.313212024302882E-9
88.000000000000014E+0	4.028343479004360E-9	-4.565680023369196E-9
89.000000000000014E+0	-8.447017430191158E-9	6.932981884991444E-9
90.000000000000014E+0	10.405870448045069E-9	-340.664918969778220E-12
91.000000000000014E+0	-752.304591008551900E-12	-7.697136921795529E-9
92.000000000000014E+0	-8.522617602205088E-9	10.308976353453317E-9
93.000000000000014E+0	8.706190771095232E-9	-3.751598491551881E-9
94.000000000000014E+0	-6.036600728336451E-9	3.116570810902012E-9
95.000000000000014E+0	3.535915784092696E-9	5.150230435199776E-9
96.000000000000014E+0	10.023035495238223E-9	-953.616372568316210E-12
97.000000000000014E+0	-3.745819293996068E-9	-8.979597333397941E-9
98.000000000000014E+0	1.282012063479385E-9	-4.489859081626809E-9
99.000000000000014E+0	11.945648375693028E-9	-3.769056985511459E-9
100.000000000000010E+0	-23.511625637282515E-9	-35.072180851655321E-9
101.000000000000010E+0	-16.471424401203285E-9	21.530701448467083E-9
102.000000000000010E+0	7.865885974600738E-9	-370.292617829077620E-12
103.000000000000010E+0	-11.007098031903796E-9	-3.084853625204158E-9
104.000000000000010E+0	7.261677522274867E-9	17.262564354097687E-9
105.000000000000010E+0	6.850614560933649E-9	-16.352694997992402E-9
106.000000000000010E+0	-7.580672239592479E-9	7.563759918773419E-9
107.000000000000010E+0	1.646659123220034E-9	4.717288142351627E-9
108.000000000000010E+0	5.377855716353401E-9	-7.151274703547668E-9
109.000000000000010E+0	-16.857977199400688E-9	5.709751844118052E-9
110.000000000000010E+0	-1.867101197179851E-9	11.868971652343779E-9
111.000000000000010E+0	3.042111809559459E-9	7.419430198247339E-9
112.000000000000010E+0	3.195389225391187E-9	395.351893539975500E-12
113.000000000000010E+0	-23.813662137696540E-9	-34.782110252932934E-9
114.000000000000010E+0	-50.349505462257962E-9	58.230968909165153E-9
115.000000000000010E+0	52.825340573804934E-9	11.846973409267232E-9
116.000000000000010E+0	-16.550611768551158E-9	-31.354381853519092E-9
117.000000000000010E+0	-30.540004914556298E-9	8.840029016715032E-9
118.000000000000010E+0	2.329175418913666E-9	43.848195105304958E-9
119.000000000000010E+0	9.063544251746400E-9	-14.307118424705999E-9
120.000000000000010E+0	-5.113984934810677E-9	44.851693929664996E-9
121.000000000000010E+0	47.276196845691990E-9	-8.872882789381612E-9
