Freq (Hz)	micro/hp_Mod	micro/hp_Phase(rad)
49.000000000000007E+0	450.157937433130150E-3	-11.769661742337574E+0
50.000000000000007E+0	1.054752155602339E+0	-14.365685937158243E+0
51.000000000000007E+0	186.367503420125760E-3	-16.802784613478732E+0
52.000000000000007E+0	143.452343019842780E-3	-15.515222294701330E+0
53.000000000000007E+0	71.840443469557855E-3	-15.860277547442411E+0
54.000000000000007E+0	112.224128350951720E-3	-17.325313449724074E+0
55.000000000000007E+0	60.610473618622415E-3	-19.075096130723313E+0
56.000000000000007E+0	45.342190926234274E-3	-21.210588861228654E+0
57.000000000000007E+0	19.891280275190385E-3	-24.002803304160778E+0
58.000000000000007E+0	31.119340749368528E-3	-23.721943793110501E+0
59.000000000000007E+0	67.395127061776139E-3	-26.534294392980549E+0
60.000000000000007E+0	40.722805258033595E-3	-28.671390987723726E+0
61.000000000000007E+0	50.397843214251177E-3	-29.651372712338709E+0
62.000000000000007E+0	55.383602500650955E-3	-31.644888909707106E+0
63.000000000000007E+0	38.294717073789480E-3	-33.582086554775614E+0
64.000000000000014E+0	5.234138907016518E-3	-35.798241233406713E+0
65.000000000000014E+0	14.619716057132368E-3	-35.233014911829571E+0
66.000000000000014E+0	7.104466882309464E-3	-32.835331828341829E+0
67.000000000000014E+0	10.398913013156388E-3	-30.538119787487393E+0
68.000000000000014E+0	10.498251913299422E-3	-32.812283035651738E+0
69.000000000000014E+0	14.576213636102371E-3	-34.493169448684384E+0
70.000000000000014E+0	15.406551876977349E-3	-36.947285177512263E+0
71.000000000000014E+0	5.332249431644578E-3	-39.596557827415815E+0
72.000000000000014E+0	9.855206071408889E-3	-39.607790635589311E+0
73.000000000000014E+0	16.799433791131205E-3	-41.874852158691311E+0
74.000000000000014E+0	15.508512700760453E-3	-43.604424260325018E+0
75.000000000000014E+0	10.499408695708264E-3	-45.875957529664653E+0
76.000000000000014E+0	7.092646281985480E-3	-48.266232397065494E+0
77.000000000000014E+0	8.699700493185171E-3	-49.366637575615748E+0
78.000000000000014E+0	7.879268839199540E-3	-50.125831950580256E+0
79.000000000000014E+0	5.865414923809611E-3	-51.578497204462728E+0
80.000000000000014E+0	4.603124355051001E-3	-51.873541938479548E+0
81.000000000000014E+0	7.919925231005790E-3	-54.664551707831364E+0
82.000000000000014E+0	2.057941895257723E-3	-57.743880923079089E+0
83.000000000000014E+0	1.001740996252992E-3	-58.296064334370691E+0
84.000000000000014E+0	10.021818828898747E-3	-61.253550366319935E+0
85.000000000000014E+0	9.591889339151918E-3	-63.689536313310441E+0
86.000000000000014E+0	6.521710325460536E-3	-60.634177776227808E+0
87.000000000000014E+0	5.870652068738967E-3	-63.317127550916631E+0
88.000000000000014E+0	2.798179090131505E-3	-65.479610644549211E+0
