Freq (Hz)	Gxymicro/hp_Real	Gxymicro/hp_Imag
49.000000000000007E+0	545.213117174377460E-12	557.688245118887780E-12
50.000000000000007E+0	-276.194309039251870E-12	-1.187515193649182E-9
51.000000000000007E+0	-354.197263760198790E-12	687.087168068494140E-12
52.000000000000007E+0	-268.827052366749360E-12	-52.465281448671421E-12
53.000000000000007E+0	-521.438724394549200E-12	80.042508865926789E-12
54.000000000000007E+0	38.959603917991722E-12	836.267042799006720E-12
55.000000000000007E+0	536.900188024220780E-12	-123.188498838202890E-12
56.000000000000007E+0	-422.463814758264260E-12	-418.395328510397440E-12
57.000000000000007E+0	156.236842370441770E-12	331.129799145681620E-12
58.000000000000007E+0	102.445487043844700E-12	634.815662417660110E-12
59.000000000000007E+0	355.049559665427190E-12	-2.077798235747092E-9
60.000000000000007E+0	-1.608532484087804E-9	674.503627157645010E-12
61.000000000000007E+0	-578.823592833367950E-12	2.949883314914111E-9
62.000000000000007E+0	3.587678604444755E-9	-836.105326252166030E-12
63.000000000000007E+0	-1.586637693472600E-9	-2.342412423699078E-9
64.000000000000014E+0	-213.473090561818750E-12	623.082861579289000E-12
65.000000000000014E+0	-1.491707094495285E-9	1.195213285384265E-9
66.000000000000014E+0	163.761157904380580E-12	-1.073433104949119E-9
67.000000000000014E+0	1.442425302478862E-9	1.737077884387765E-9
68.000000000000014E+0	466.087596106626860E-12	-2.644753894796290E-9
69.000000000000014E+0	-4.111752671311966E-9	-264.956037505574380E-12
70.000000000000014E+0	3.816175630127910E-9	3.568178622378904E-9
71.000000000000014E+0	-671.407806725010210E-12	-1.981806639300016E-9
72.000000000000014E+0	-1.407248981436434E-9	-4.005192320897536E-9
73.000000000000014E+0	-4.459694972755019E-9	7.496757096722447E-9
74.000000000000014E+0	8.788698794753499E-9	3.488659594166039E-9
75.000000000000014E+0	-2.004841693520327E-9	-5.992275519414186E-9
76.000000000000014E+0	-1.938039924164489E-9	4.243100854069324E-9
77.000000000000014E+0	3.980315610523770E-9	5.003945782906331E-9
78.000000000000014E+0	6.424559883537063E-9	903.071336217668610E-12
79.000000000000014E+0	1.402484079521134E-9	-5.319541955592596E-9
80.000000000000014E+0	-173.893483229458100E-12	-4.664473341354123E-9
81.000000000000014E+0	-2.713242473607288E-9	8.374417584707452E-9
82.000000000000014E+0	988.491026035089440E-12	-2.506949996992336E-9
83.000000000000014E+0	-264.950740498183830E-12	-1.484655941276604E-9
84.000000000000014E+0	-130.613470501514540E-12	17.400003766445565E-9
85.000000000000014E+0	12.173211253493339E-9	-14.073789137904587E-9
86.000000000000014E+0	-7.926737826160925E-9	10.943312622967010E-9
87.000000000000014E+0	12.418033938723926E-9	-6.548444274203848E-9
88.000000000000014E+0	-6.529438649223082E-9	-3.514956410686942E-9
89.000000000000014E+0	-2.476492139827494E-9	-809.759460824120220E-12
90.000000000000014E+0	-3.259645433150046E-9	3.511740993872473E-9
91.000000000000014E+0	292.096854586947830E-12	6.150741423326992E-9
92.000000000000014E+0	5.850868942903149E-9	-978.889631323909310E-12
93.000000000000014E+0	3.389003594757003E-9	-7.973203651836891E-9
94.000000000000014E+0	-6.216719658701349E-9	557.316756126521470E-12
95.000000000000014E+0	-4.399627122185566E-9	1.898251005136170E-9
96.000000000000014E+0	10.563462017278443E-9	5.488082227436677E-9
97.000000000000014E+0	129.953643401668530E-12	-509.095508360296400E-12
98.000000000000014E+0	12.558380522080608E-9	-2.842648454522708E-9
99.000000000000014E+0	10.579365694892361E-9	-30.738063641375800E-9
100.000000000000010E+0	-48.886768828678959E-9	-6.078231204954239E-9
101.000000000000010E+0	8.496587399892269E-9	24.802490184096315E-9
102.000000000000010E+0	5.538933535702043E-9	-18.159462777608667E-9
103.000000000000010E+0	-17.121507540715136E-9	-6.114872313108748E-9
104.000000000000010E+0	-7.985970649528409E-9	20.493630791168870E-9
105.000000000000010E+0	30.969584412937864E-9	-24.296753160711955E-9
106.000000000000010E+0	-31.760778523401329E-9	-6.296272961920898E-9
107.000000000000010E+0	1.495503424707832E-9	3.207049668605764E-9
108.000000000000010E+0	-4.067836431765183E-9	2.906692377170855E-9
109.000000000000010E+0	-9.186927925822175E-9	22.835032669026964E-9
110.000000000000010E+0	29.270597354563057E-9	16.235319447428146E-9
111.000000000000010E+0	20.911219663006097E-9	-10.425274851292074E-9
112.000000000000010E+0	-11.886104805830196E-9	-3.499551062270664E-9
113.000000000000010E+0	25.607049350629650E-9	60.077206103925895E-9
114.000000000000010E+0	79.496564144628818E-9	-49.126218552884288E-9
115.000000000000010E+0	-25.622497200749375E-9	-20.306986601230411E-9
116.000000000000010E+0	-437.947540455214370E-12	-6.884649867426739E-9
117.000000000000010E+0	-5.893137149223860E-9	15.932905535764073E-9
118.000000000000010E+0	4.432786232197432E-9	-8.788716121806030E-9
119.000000000000010E+0	-17.949629778336457E-9	17.662067149071652E-9
120.000000000000010E+0	2.328766983416863E-9	8.508604267308957E-9
121.000000000000010E+0	24.716730361758046E-9	18.975334776544166E-9
122.000000000000010E+0	11.548369115480609E-9	-26.562560036799250E-9
123.000000000000010E+0	2.523675398001171E-9	229.936353630397590E-12
124.000000000000010E+0	27.262558109159345E-9	907.844565195771940E-12
125.000000000000010E+0	18.727555296049110E-9	-9.749471419813169E-9
126.000000000000010E+0	29.695137852484418E-9	-40.309823113435474E-9
127.000000000000010E+0	-41.448813987339229E-9	-47.907693497615967E-9
128.000000000000030E+0	-61.485752614618911E-9	-23.925812450730085E-9
129.000000000000030E+0	-140.254875018706220E-9	47.054919400666083E-9
130.000000000000030E+0	55.915664288327852E-9	157.741654234975140E-9
131.000000000000030E+0	53.873332807893965E-9	-61.667280613559765E-9
132.000000000000030E+0	-19.242150176735280E-9	25.289555771691425E-9
133.000000000000030E+0	2.733908895250097E-9	-22.687872418338386E-9
134.000000000000030E+0	-8.463366200215818E-9	62.191151572714057E-9
135.000000000000030E+0	51.253361894712069E-9	-25.783838128800547E-9
136.000000000000030E+0	-35.284476545705760E-9	-4.928832926977660E-9
137.000000000000030E+0	61.704243416828330E-9	-4.056869448356943E-9
138.000000000000030E+0	-18.663010867608704E-9	-52.155949272169282E-9
139.000000000000030E+0	62.437943208399273E-9	-34.863491062477137E-9
140.000000000000030E+0	-23.247747342610695E-9	-53.676098685837226E-9
141.000000000000030E+0	-2.245731288421605E-9	28.618451641268703E-9
142.000000000000030E+0	99.212974345020806E-9	18.025181074387700E-9
143.000000000000030E+0	23.425815505787607E-9	-66.199197438321004E-9
144.000000000000030E+0	72.575932342817294E-9	-61.121179602967758E-9
145.000000000000030E+0	-78.534484116079846E-9	-153.635925928316720E-9
146.000000000000030E+0	-161.619487906300880E-9	96.459808237698286E-9
147.000000000000030E+0	208.506868485693850E-9	169.553404105950370E-9
148.000000000000030E+0	106.016008502736320E-9	-179.971722168480430E-9
149.000000000000030E+0	176.197356772189160E-9	130.001714764519600E-9
150.000000000000030E+0	322.206398893457850E-9	-411.598865638052570E-9
151.000000000000030E+0	-264.071335953509100E-9	-104.127871510986970E-9
152.000000000000030E+0	130.016697896303910E-9	206.637296779923040E-9
153.000000000000030E+0	193.112459997251020E-9	-40.932817459697034E-9
154.000000000000030E+0	-12.864447050790334E-9	-52.916724246165749E-9
155.000000000000030E+0	17.831936507077266E-9	125.552998829987630E-9
156.000000000000030E+0	203.842504347279120E-9	-93.730795703197003E-9
157.000000000000030E+0	-67.373825924544779E-9	-130.945428507453920E-9
158.000000000000030E+0	77.267152964305686E-9	-92.786070800497126E-9
159.000000000000030E+0	-157.793449329696460E-9	-68.788920531410520E-9
160.000000000000030E+0	95.377168651046432E-9	16.799410106577205E-9
161.000000000000030E+0	-393.740029330871430E-9	-135.872743881043260E-9
162.000000000000030E+0	-323.398642940724580E-9	575.751393475499020E-9
163.000000000000030E+0	137.156605300276790E-9	333.038693833573910E-9
164.000000000000030E+0	114.537164059923060E-9	208.745095805152600E-9
165.000000000000030E+0	248.419057446275000E-9	-68.562774923140291E-9
166.000000000000030E+0	113.312904032911560E-9	-90.705695315271682E-9
167.000000000000030E+0	105.566691179567240E-9	-247.832355317728130E-9
168.000000000000030E+0	-151.798934590559200E-9	-208.110832500274150E-9
169.000000000000030E+0	-304.531919782074960E-9	35.358040879521774E-9
170.000000000000030E+0	35.705180768396928E-9	163.018931727956210E-9
171.000000000000030E+0	72.411308440573458E-9	-93.018537514947336E-9
172.000000000000030E+0	56.324628182184879E-9	-197.602940480453360E-9
173.000000000000030E+0	-52.098722980176130E-9	-239.692583818647650E-9
174.000000000000030E+0	-410.367651076851980E-9	-192.361111597846040E-9
175.000000000000030E+0	-304.122139792546050E-9	546.247448877602280E-9
176.000000000000030E+0	250.358423348245660E-9	229.881263933441180E-9
177.000000000000030E+0	142.005839117801590E-9	346.594650661136120E-9
178.000000000000030E+0	657.333303478223620E-9	-131.572543894228270E-9
179.000000000000030E+0	-137.974384820900560E-9	-557.073289404911730E-9
180.000000000000030E+0	-432.691351781682370E-9	14.142655287761802E-9
181.000000000000030E+0	-28.321923165484323E-9	249.121812591896620E-9
182.000000000000030E+0	43.039539024438378E-9	107.677730484837150E-9
183.000000000000030E+0	-52.818110058235936E-9	253.778579080732480E-9
184.000000000000030E+0	283.203407016007620E-9	108.013729158464370E-9
185.000000000000030E+0	174.261715291279570E-9	-703.047743135653440E-9
186.000000000000030E+0	-238.335938273774640E-9	-818.363821574366820E-9
187.000000000000030E+0	-618.458134948458740E-9	-648.501479818285160E-9
188.000000000000030E+0	-640.062000736882800E-9	226.789191381407750E-9
189.000000000000030E+0	-148.449654060789380E-9	313.346060284054340E-9
190.000000000000030E+0	-342.939430205484600E-9	302.740371404433820E-9
191.000000000000030E+0	-9.845415995159524E-9	400.099492870895140E-9
192.000000000000030E+0	66.216076773837534E-9	-137.161368939247070E-9
193.000000000000030E+0	-120.373783862285310E-9	-43.167682566691277E-9
194.000000000000030E+0	29.256420439936315E-9	-187.035345536152940E-9
195.000000000000030E+0	-387.053106753443280E-9	-117.155885601901530E-9
196.000000000000030E+0	-141.531559273940770E-9	179.971503374622940E-9
197.000000000000030E+0	-239.870249460795920E-9	12.121341078408906E-9
198.000000000000030E+0	-42.469403616405980E-9	485.058359925914750E-9
199.000000000000030E+0	683.566188821527370E-9	264.428132225702190E-9
200.000000000000030E+0	441.187582719160050E-9	-136.359336405858790E-9
201.000000000000030E+0	23.112822132603712E-9	-24.923580373930236E-9
202.000000000000030E+0	-111.196496457448080E-9	131.916822245296470E-9
203.000000000000030E+0	-105.381372837496500E-9	351.231879422281070E-9
204.000000000000030E+0	-253.739550325685020E-9	625.353843846047890E-9
205.000000000000030E+0	178.509569711597120E-9	347.367023291734310E-9
206.000000000000030E+0	-289.291534391103990E-9	-988.426479564685270E-9
207.000000000000030E+0	-1.028681196015523E-6	-267.463998416138060E-9
208.000000000000030E+0	-15.552746333542876E-9	340.863204404832170E-9
209.000000000000030E+0	94.955529803394887E-9	234.159922016635970E-9
210.000000000000030E+0	477.268218907949840E-9	249.060433255318830E-9
211.000000000000030E+0	423.247221627761590E-9	-367.840450221907530E-9
212.000000000000030E+0	47.405802019355355E-9	-427.537956189341060E-9
213.000000000000030E+0	-839.238760936843050E-9	-100.655782541535110E-9
214.000000000000030E+0	-796.671853273225190E-9	1.032254461034849E-6
215.000000000000030E+0	257.317736160940570E-9	597.721056744876910E-9
216.000000000000030E+0	137.142515279954700E-9	-172.013964364100440E-9
217.000000000000030E+0	-92.708983864738587E-9	-203.579730312732080E-9
218.000000000000030E+0	-60.254041067720093E-9	-313.052925017468710E-9
219.000000000000030E+0	-104.698867880421120E-9	-413.084901464115860E-9
220.000000000000030E+0	-71.995690912649789E-9	-214.434977818568480E-9
221.000000000000030E+0	-17.483133796555003E-9	-32.433923864049888E-9
222.000000000000030E+0	-60.008334380847755E-9	59.133427995364944E-9
223.000000000000030E+0	123.068433476640700E-9	-34.724896918733851E-9
224.000000000000030E+0	136.810811836985760E-9	-521.740135810058180E-9
225.000000000000030E+0	-212.410406846444130E-9	-519.874542341316450E-9
226.000000000000030E+0	144.234924531619540E-9	78.752819241316440E-9
227.000000000000030E+0	611.704000757988720E-9	58.419714450974838E-9
228.000000000000030E+0	24.245114918021170E-9	-248.543313611241710E-9
229.000000000000030E+0	-737.605176933038000E-9	146.398871953072120E-9
230.000000000000030E+0	-537.664013436676890E-9	601.131280475402560E-9
231.000000000000030E+0	-147.324680910823270E-9	471.529252166781930E-9
232.000000000000030E+0	-149.591736111800280E-9	593.068636686257020E-9
233.000000000000030E+0	58.737113138775977E-9	842.780311415419100E-9
234.000000000000030E+0	426.272708679634610E-9	446.649702148231740E-9
235.000000000000030E+0	462.700937214089740E-9	-66.316927257903729E-9
236.000000000000030E+0	251.950979689891320E-9	-99.365872884116304E-9
237.000000000000030E+0	182.982196836592350E-9	-112.270021368817950E-9
238.000000000000030E+0	-76.663989244406450E-9	-254.142478205219260E-9
239.000000000000030E+0	-247.541568338534160E-9	58.635541677309765E-9
240.000000000000030E+0	-148.516530043312790E-9	172.621235876677300E-9
241.000000000000030E+0	-91.637399806608174E-9	118.634053825474790E-9
242.000000000000030E+0	15.244845921300788E-9	20.385611403923936E-9
243.000000000000030E+0	-132.072600436421580E-9	-213.187216520035620E-9
244.000000000000030E+0	-129.777307473423850E-9	-306.160093725724860E-9
245.000000000000030E+0	67.835089097835737E-9	-50.287898401143859E-9
246.000000000000030E+0	57.207218295279193E-9	340.194866890933870E-9
247.000000000000030E+0	158.574780283669960E-9	396.854730305390390E-9
248.000000000000030E+0	320.338431302699240E-9	181.319517727717850E-9
249.000000000000030E+0	359.450260600866850E-9	382.582006916745930E-9
250.000000000000030E+0	473.168038687900890E-9	438.105497583513770E-9
251.000000000000030E+0	300.525281125089180E-9	-21.657195055705915E-9
252.000000000000030E+0	244.061940627216650E-9	-211.266634386366250E-9
253.000000000000030E+0	373.480876440839760E-9	-10.789167556206382E-9
254.000000000000030E+0	312.429390152234490E-9	22.886029266399548E-9
