Freq (Hz)	micro(Pa^2 )	hp(V^2 )
49.000000000000007E+0	351.086692423679070E-12	1.732545080770942E-9
50.000000000000007E+0	1.285965503473941E-9	1.155921855973367E-9
51.000000000000007E+0	144.063945998225650E-12	4.147772532809524E-9
52.000000000000007E+0	39.291434351989579E-12	1.909337011462004E-9
53.000000000000007E+0	37.899163402841864E-12	7.343305802441485E-9
54.000000000000007E+0	93.951129890253349E-12	7.459840221484670E-9
55.000000000000007E+0	33.387361676314755E-12	9.088385631911555E-9
56.000000000000007E+0	26.959748595049854E-12	13.113264927267942E-9
57.000000000000007E+0	7.282949767754700E-12	18.406950352683110E-9
58.000000000000007E+0	20.010631502519951E-12	20.663316048489155E-9
59.000000000000007E+0	142.063200076796910E-12	31.276964730418359E-9
60.000000000000007E+0	71.029863933643220E-12	42.831729176007946E-9
61.000000000000007E+0	151.502726152919310E-12	59.648090517578187E-9
62.000000000000007E+0	204.023072919963880E-12	66.514584312243314E-9
63.000000000000007E+0	108.343024350972810E-12	73.879376923411228E-9
64.000000000000014E+0	3.447398799016014E-12	125.834879594339280E-9
65.000000000000014E+0	27.945176539465897E-12	130.746171818474580E-9
66.000000000000014E+0	7.714405401817416E-12	152.840858915855720E-9
67.000000000000014E+0	23.479516678333420E-12	217.126715149324350E-9
68.000000000000014E+0	28.193154340976515E-12	255.805388927431420E-9
69.000000000000014E+0	60.058089397992936E-12	282.671525218700680E-9
70.000000000000014E+0	80.491080382132215E-12	339.107078593059240E-9
71.000000000000014E+0	11.157464043990106E-12	392.414080945506650E-9
72.000000000000014E+0	41.837543889736629E-12	430.759398081002460E-9
73.000000000000014E+0	146.540996068985520E-12	519.242043239931170E-9
74.000000000000014E+0	146.645245661850130E-12	609.716134098501930E-9
75.000000000000014E+0	66.343267101592765E-12	601.820770380623210E-9
76.000000000000014E+0	33.085430139174951E-12	657.688399816039080E-9
77.000000000000014E+0	55.625306528942792E-12	734.960188244058630E-9
78.000000000000014E+0	51.118488052043147E-12	823.391088809196930E-9
79.000000000000014E+0	32.267506553137282E-12	937.924601046609720E-9
80.000000000000014E+0	21.486066274918009E-12	1.014031615510136E-6
81.000000000000014E+0	69.718987370183638E-12	1.111498567702732E-6
82.000000000000014E+0	5.545728743731302E-12	1.309460511241267E-6
