Freq (Hz)	micro/hp_Real	micro/hp_Imag
49.000000000000007E+0	19.868443434020236E-3	710.385913928849980E-3
50.000000000000007E+0	-458.421561716945700E-3	-164.832863852709700E-3
51.000000000000007E+0	-29.058988183853798E-3	107.539731779656570E-3
52.000000000000007E+0	-91.952854731031611E-3	228.728562144327740E-3
53.000000000000007E+0	116.980366636240740E-3	-72.671761001784366E-3
54.000000000000007E+0	-72.105085848090958E-3	-20.668617162684848E-3
55.000000000000007E+0	-16.845160635037180E-3	24.174639970808050E-3
56.000000000000007E+0	51.944718304270943E-3	-5.152704166585649E-3
57.000000000000007E+0	-62.242382324692334E-3	2.748358533233277E-3
58.000000000000007E+0	40.587872216464684E-3	-11.755776348171067E-3
59.000000000000007E+0	-2.763136282422148E-3	23.284139395618984E-3
60.000000000000007E+0	-31.340306601328423E-3	-7.950221021433572E-3
61.000000000000007E+0	43.748072704265270E-3	36.700822324766770E-3
62.000000000000007E+0	-4.210623283107404E-3	-45.153426341168562E-3
63.000000000000007E+0	-893.052888055343100E-6	9.224640430334174E-3
64.000000000000014E+0	2.710860649078299E-3	-3.173727645310461E-3
65.000000000000014E+0	-9.743334025022095E-3	7.067784214850723E-3
66.000000000000014E+0	-4.423286881517672E-3	-11.999867759703780E-3
67.000000000000014E+0	9.106658676330998E-3	22.936693888285568E-3
68.000000000000014E+0	1.457836107609992E-3	-11.571346655369984E-3
69.000000000000014E+0	4.511481679315585E-3	-8.942204927566554E-3
70.000000000000014E+0	-14.335506456313563E-3	12.156880391545539E-3
71.000000000000014E+0	9.953629025632080E-3	-4.744421634873685E-3
72.000000000000014E+0	1.156910157160371E-3	-3.642515437966630E-3
73.000000000000014E+0	-18.922991038317703E-3	3.555994748969877E-3
74.000000000000014E+0	15.540063354105954E-3	8.942254847215222E-3
75.000000000000014E+0	-7.273782619022950E-3	-9.025751169736919E-3
76.000000000000014E+0	-2.294091473480784E-3	4.580104533675277E-3
77.000000000000014E+0	9.604841636400852E-3	7.687222115270460E-3
78.000000000000014E+0	-6.054748980804632E-3	-17.789534809455158E-3
79.000000000000014E+0	-4.454066233512501E-3	9.590879249684168E-3
80.000000000000014E+0	3.878582711310195E-3	-1.229714917689210E-3
81.000000000000014E+0	-5.936210295909705E-3	-343.562470166385810E-6
82.000000000000014E+0	1.913896393967316E-3	955.784481930635910E-6
83.000000000000014E+0	-1.682945611881370E-3	2.570263994278673E-3
84.000000000000014E+0	7.150394731568794E-3	-126.147554993072590E-6
85.000000000000014E+0	-7.162819127480224E-3	-8.547385750999257E-3
86.000000000000014E+0	-2.145483414832786E-3	8.996436520862258E-3
87.000000000000014E+0	2.854535478706312E-3	505.986920964595540E-6
88.000000000000014E+0	121.443451508541350E-6	1.288924474220213E-3
89.000000000000014E+0	6.828041670118257E-3	2.661407380476901E-3
90.000000000000014E+0	-479.484741235877660E-6	-8.189513823134540E-3
91.000000000000014E+0	-2.457169544924390E-3	2.350757794806360E-3
92.000000000000014E+0	498.834067038332000E-6	373.976138825490370E-6
93.000000000000014E+0	1.420564811896164E-3	2.815373042380497E-3
94.000000000000014E+0	945.880831729707860E-6	-3.394424294079276E-3
95.000000000000014E+0	347.252971532687460E-6	3.363782767730776E-3
96.000000000000014E+0	3.267299130962228E-3	-1.332609145552849E-3
97.000000000000014E+0	-43.062836154128828E-6	-2.323980938434764E-3
98.000000000000014E+0	-1.385164177169727E-3	-2.259452856333831E-3
99.000000000000014E+0	-6.637071202306612E-3	-3.058428819572903E-3
100.000000000000010E+0	-5.675362601971923E-3	15.338684204184333E-3
101.000000000000010E+0	9.989764310124830E-3	500.386424298876320E-6
102.000000000000010E+0	492.074124741760980E-6	-1.319213257201122E-3
103.000000000000010E+0	1.543413257253500E-3	-993.544312468003360E-6
104.000000000000010E+0	-3.348452649677366E-3	-1.712239400597114E-3
105.000000000000010E+0	1.416406080395183E-3	629.878612933907680E-6
106.000000000000010E+0	-3.321181777793918E-3	-1.437471574994475E-3
107.000000000000010E+0	439.012830356329340E-6	4.564266524312501E-3
108.000000000000010E+0	3.041951210450124E-3	-1.319406552352787E-3
109.000000000000010E+0	1.207607759066710E-3	-2.643068857577003E-3
110.000000000000010E+0	-2.550769138811791E-3	-2.154167376187472E-3
111.000000000000010E+0	-1.135475334921349E-3	1.112321120693224E-3
112.000000000000010E+0	993.951079795046520E-6	2.046569446967073E-3
113.000000000000010E+0	10.238919744975487E-3	-5.184407418347936E-3
114.000000000000010E+0	-11.556293625273276E-3	-10.368568732857030E-3
115.000000000000010E+0	-1.399249311525592E-3	9.454014975840924E-3
116.000000000000010E+0	3.971754659202279E-3	-1.502060163807987E-3
117.000000000000010E+0	1.238327217906959E-3	-833.667273569262250E-6
118.000000000000010E+0	-824.989443641738510E-6	-2.019008939274242E-3
119.000000000000010E+0	-195.684256058860620E-6	161.313471369837130E-6
120.000000000000010E+0	-787.958002052662460E-6	1.817456531150345E-3
121.000000000000010E+0	3.140988863105055E-3	-1.310526688247962E-3
122.000000000000010E+0	-2.198091657905398E-3	-557.689857992352610E-6
