Freq (Hz)	micro(Pa^2 )	hp(V^2 )
49.000000000000007E+0	182.034880996705940E-12	3.169148616339105E-9
50.000000000000007E+0	916.668860768657980E-12	4.223057654386916E-9
51.000000000000007E+0	266.321024351767900E-12	2.569384571065049E-9
52.000000000000007E+0	26.160078822289652E-12	2.429895935917695E-9
53.000000000000007E+0	28.808381499031983E-12	8.485864744966927E-9
54.000000000000007E+0	34.343727556111710E-12	10.190070603194581E-9
55.000000000000007E+0	77.735926103879999E-12	10.122097166036130E-9
56.000000000000007E+0	129.526843883744320E-12	14.059299236403704E-9
57.000000000000007E+0	184.194237320499470E-12	21.928592365553387E-9
58.000000000000007E+0	44.848001297702944E-12	25.714972245791359E-9
59.000000000000007E+0	55.547752752603895E-12	36.236473659313839E-9
60.000000000000007E+0	62.928591665335672E-12	51.115097883550879E-9
61.000000000000007E+0	101.534004509763440E-15	66.192628943505106E-9
62.000000000000007E+0	64.732589970049730E-12	77.576657987988818E-9
63.000000000000007E+0	50.324197203702402E-12	87.823508087567478E-9
64.000000000000014E+0	2.787750271022045E-12	146.057186005644050E-9
65.000000000000014E+0	26.564423098068802E-12	152.010307923157910E-9
66.000000000000014E+0	27.565611214500716E-12	177.999079171812750E-9
67.000000000000014E+0	16.018130255076018E-12	250.765845189273040E-9
68.000000000000014E+0	17.076905681435396E-12	296.677455554438560E-9
69.000000000000014E+0	48.930086131857640E-12	326.478178034577800E-9
70.000000000000014E+0	46.187566009315263E-12	391.844836349000190E-9
71.000000000000014E+0	103.338071100605540E-12	448.023371867910780E-9
72.000000000000014E+0	23.115780501227834E-12	498.052688399081640E-9
73.000000000000014E+0	42.326535409337500E-12	593.778457840240200E-9
74.000000000000014E+0	62.254205151214182E-12	696.104502101149520E-9
75.000000000000014E+0	39.439630596710453E-12	680.360885632992240E-9
76.000000000000014E+0	108.956796973884960E-12	745.514618268347640E-9
77.000000000000014E+0	123.270248089062240E-12	826.811748428193280E-9
78.000000000000014E+0	51.034078703116289E-12	924.238282534768360E-9
79.000000000000014E+0	12.820094090394588E-12	1.044389209209501E-6
80.000000000000014E+0	19.462717838612686E-12	1.139027151069579E-6
81.000000000000014E+0	55.542684985013150E-12	1.243100753479261E-6
82.000000000000014E+0	115.846650128552190E-12	1.455236756249291E-6
83.000000000000014E+0	21.774296801524802E-12	1.675914644157883E-6
84.000000000000014E+0	24.004406649191994E-12	1.937141660529170E-6
85.000000000000014E+0	26.941172965732086E-12	2.171723618586254E-6
86.000000000000014E+0	77.459050994079272E-12	2.308170984653494E-6
87.000000000000014E+0	533.623140637614480E-12	2.665300230711570E-6
88.000000000000014E+0	300.520518996275630E-12	2.936525939650781E-6
89.000000000000014E+0	279.042231409245640E-12	2.977917899700020E-6
90.000000000000014E+0	209.373618141318410E-12	2.946141268350196E-6
