Freq (Hz)	micro/hp_Mod	micro/hp_Phase(rad)
49.000000000000007E+0	697.858658316586220E-3	-29.577519885768019E+0
50.000000000000007E+0	2.155732738520734E+0	-26.590229597423466E+0
51.000000000000007E+0	221.519749486679800E-3	-28.461774412937725E+0
52.000000000000007E+0	354.422251724456020E-3	-28.087558035568648E+0
53.000000000000007E+0	103.945076253683210E-3	-31.122670418069287E+0
54.000000000000007E+0	113.481475143036150E-3	-28.686690354304680E+0
55.000000000000007E+0	86.985623208786639E-3	-31.535574566958072E+0
56.000000000000007E+0	45.165930007886740E-3	-33.352920266778376E+0
57.000000000000007E+0	38.195786380384185E-3	-34.262073715776964E+0
58.000000000000007E+0	60.676060844608443E-3	-35.931936230959948E+0
59.000000000000007E+0	13.176162912724353E-3	-38.625499184916400E+0
60.000000000000007E+0	21.621448376805734E-3	-36.846504193576912E+0
61.000000000000007E+0	27.917140658614066E-3	-38.642831659087726E+0
62.000000000000007E+0	48.611217322879319E-3	-40.791396193132506E+0
63.000000000000007E+0	57.534990475254670E-3	-42.875628575467836E+0
64.000000000000014E+0	43.622949901207055E-3	-45.238991507300170E+0
65.000000000000014E+0	36.572113113452230E-3	-48.097704482750046E+0
66.000000000000014E+0	26.751807882816815E-3	-50.381482440417798E+0
67.000000000000014E+0	25.440953356566542E-3	-51.905281438811080E+0
68.000000000000014E+0	24.643253119499844E-3	-53.722472964903474E+0
69.000000000000014E+0	16.583533551310470E-3	-55.539166812356150E+0
70.000000000000014E+0	5.665338276139282E-3	-56.797442121096211E+0
71.000000000000014E+0	7.689062943102058E-3	-57.631549920238385E+0
72.000000000000014E+0	3.772547533551023E-3	-56.882629951903574E+0
73.000000000000014E+0	15.830531209922939E-3	-58.532322674253258E+0
74.000000000000014E+0	16.120498180671339E-3	-60.214817018332461E+0
75.000000000000014E+0	11.425132920171981E-3	-62.252967574409617E+0
76.000000000000014E+0	16.215453610963260E-3	-64.444301486826006E+0
77.000000000000014E+0	13.503557071223506E-3	-66.593215841234667E+0
78.000000000000014E+0	6.152609832903153E-3	-65.804748706684336E+0
79.000000000000014E+0	14.298478061846842E-3	-67.717349832804643E+0
80.000000000000014E+0	14.829521742016736E-3	-69.733229645741972E+0
81.000000000000014E+0	7.013260951884666E-3	-72.047791130222322E+0
82.000000000000014E+0	6.313228241468536E-3	-71.429965012281428E+0
83.000000000000014E+0	9.992567329014925E-3	-73.950935907692823E+0
84.000000000000014E+0	7.875084536498879E-3	-76.602395926791033E+0
85.000000000000014E+0	3.240158621224953E-3	-78.889749504544127E+0
86.000000000000014E+0	1.415003780855643E-3	-76.548633429710392E+0
87.000000000000014E+0	5.577531377604184E-3	-78.319229599750031E+0
88.000000000000014E+0	8.893560780534184E-3	-80.073308918281981E+0
89.000000000000014E+0	7.138545069310226E-3	-81.730307369030029E+0
90.000000000000014E+0	3.651743822743389E-3	-83.226320796362060E+0
91.000000000000014E+0	2.458803371353849E-3	-85.293123334469328E+0
92.000000000000014E+0	3.729751571524251E-3	-87.602672653581123E+0
93.000000000000014E+0	1.450259372027425E-3	-89.162728912244589E+0
94.000000000000014E+0	1.801210693623693E-3	-91.805656679578149E+0
95.000000000000014E+0	7.889570071914799E-3	-94.471840833213363E+0
96.000000000000014E+0	6.471705534478055E-3	-96.771370883935035E+0
97.000000000000014E+0	2.889050731278363E-3	-93.634586762038225E+0
98.000000000000014E+0	3.048054946645352E-3	-96.385514305539004E+0
99.000000000000014E+0	10.504566585845336E-3	-93.820204633271359E+0
100.000000000000010E+0	21.388762976492223E-3	-95.939561625212548E+0
101.000000000000010E+0	12.007478268013894E-3	-98.030050489886562E+0
102.000000000000010E+0	1.658718901577228E-3	-98.230357816369121E+0
103.000000000000010E+0	4.565450414542199E-3	-100.322580930762540E+0
104.000000000000010E+0	824.100501296366970E-6	-97.245017033315776E+0
105.000000000000010E+0	1.394256823055009E-3	-94.880395028170469E+0
106.000000000000010E+0	1.186077281090412E-3	-97.879912426767603E+0
107.000000000000010E+0	1.051709462537229E-3	-100.058737320505950E+0
108.000000000000010E+0	2.690187309672281E-3	-98.082926977699600E+0
109.000000000000010E+0	4.435044138295817E-3	-100.526078772435580E+0
110.000000000000010E+0	4.496474646194687E-3	-102.398322724094920E+0
111.000000000000010E+0	3.950481108046175E-3	-104.045293512639050E+0
112.000000000000010E+0	5.255768036655528E-3	-104.371170427470670E+0
113.000000000000010E+0	16.284858844015260E-3	-105.929572405593490E+0
114.000000000000010E+0	12.750807168214334E-3	-107.790046532672730E+0
115.000000000000010E+0	3.512694802322983E-3	-110.238581429624390E+0
116.000000000000010E+0	3.248308235735627E-3	-112.780737507115160E+0
117.000000000000010E+0	1.879077463716123E-3	-114.657890132160180E+0
118.000000000000010E+0	957.379539004782600E-6	-117.024336333807200E+0
119.000000000000010E+0	1.597982887604479E-3	-119.279359965204560E+0
120.000000000000010E+0	1.074431489560268E-3	-119.698473583458440E+0
121.000000000000010E+0	2.578031673422861E-3	-121.059316356484970E+0
122.000000000000010E+0	2.422712280039937E-3	-123.716251763504500E+0
123.000000000000010E+0	2.523587419385222E-3	-126.017433576813940E+0
124.000000000000010E+0	2.070751826716980E-3	-127.755408129611170E+0
125.000000000000010E+0	1.122635931416731E-3	-129.800603128114180E+0
126.000000000000010E+0	835.173021962652220E-6	-132.008024787454250E+0
127.000000000000010E+0	1.319757996862323E-3	-132.986321022864500E+0
128.000000000000030E+0	1.544640012338032E-3	-134.648550968715170E+0
129.000000000000030E+0	1.213939137017366E-3	-136.433874716020940E+0
130.000000000000030E+0	1.022907025543229E-3	-137.434000484162740E+0
131.000000000000030E+0	233.024981977657690E-6	-137.933339156913920E+0
132.000000000000030E+0	928.639600842554400E-6	-137.331460075498510E+0
133.000000000000030E+0	517.074149453657310E-6	-137.521474716974440E+0
134.000000000000030E+0	967.405237958657190E-6	-138.312729152526230E+0
135.000000000000030E+0	351.093370208915900E-6	-139.172832179113190E+0
136.000000000000030E+0	530.896433857730770E-6	-139.544160343457800E+0
137.000000000000030E+0	177.000604333648950E-6	-140.297008662699990E+0
138.000000000000030E+0	319.401186089912660E-6	-140.878673198373970E+0
139.000000000000030E+0	496.962321212144760E-6	-142.981999180064150E+0
140.000000000000030E+0	778.895583885948100E-6	-143.769072335788590E+0
141.000000000000030E+0	943.367044876719610E-6	-144.852907735201400E+0
142.000000000000030E+0	354.752880420741960E-6	-145.980398919491480E+0
143.000000000000030E+0	288.821040997432370E-6	-146.642284705733170E+0
144.000000000000030E+0	429.956767890114240E-6	-148.230249586166710E+0
145.000000000000030E+0	397.510113144296620E-6	-149.286577259048020E+0
146.000000000000030E+0	430.214574050835020E-6	-150.317144670335860E+0
147.000000000000030E+0	202.347145096545830E-6	-151.934987917058410E+0
148.000000000000030E+0	253.462633956268810E-6	-149.601049291688640E+0
149.000000000000030E+0	706.166879886896780E-6	-149.666314550676390E+0
150.000000000000030E+0	1.437312724683915E-3	-150.690494113798930E+0
151.000000000000030E+0	649.928790760214070E-6	-152.069792058895980E+0
152.000000000000030E+0	398.304706880120070E-6	-149.239691900063090E+0
153.000000000000030E+0	539.742530333526290E-6	-150.370994653194880E+0
154.000000000000030E+0	365.486405326416080E-6	-151.733324269145950E+0
155.000000000000030E+0	204.239455669265500E-6	-153.896720462820500E+0
156.000000000000030E+0	145.794413855690990E-6	-156.773322605470210E+0
157.000000000000030E+0	214.555869073666200E-6	-159.379040642397850E+0
158.000000000000030E+0	236.108790513444640E-6	-160.134026580965010E+0
159.000000000000030E+0	318.812337861859340E-6	-160.618954081608220E+0
160.000000000000030E+0	124.734869695755370E-6	-162.400089739946880E+0
161.000000000000030E+0	98.013438501774047E-6	-164.638678886073080E+0
162.000000000000030E+0	231.532221948249990E-6	-163.749762148674450E+0
163.000000000000030E+0	361.591038557200270E-6	-164.614730707347720E+0
164.000000000000030E+0	298.669718652267140E-6	-165.866829543814190E+0
165.000000000000030E+0	257.620029938009820E-6	-167.415265601877140E+0
166.000000000000030E+0	179.703970469949030E-6	-168.543750225020460E+0
167.000000000000030E+0	160.370622064786760E-6	-171.677744081944610E+0
168.000000000000030E+0	507.137010692937590E-6	-172.921153849070720E+0
169.000000000000030E+0	552.945869249472100E-6	-174.182740923330870E+0
170.000000000000030E+0	336.999341330702520E-6	-175.927089398741740E+0
171.000000000000030E+0	59.883467532856589E-6	-177.658932586524600E+0
172.000000000000030E+0	184.008294516572390E-6	-175.908721441938180E+0
173.000000000000030E+0	158.120906000175930E-6	-177.055868538757070E+0
174.000000000000030E+0	31.948667072692575E-6	-179.909302956464050E+0
175.000000000000030E+0	106.641516164154670E-6	-181.552409549543310E+0
176.000000000000030E+0	57.074568995390351E-6	-183.156812147188420E+0
177.000000000000030E+0	250.523208246951530E-6	-185.602001977520870E+0
178.000000000000030E+0	369.694720994756200E-6	-186.699898537686010E+0
179.000000000000030E+0	225.456996374214330E-6	-187.648904981600340E+0
180.000000000000030E+0	177.631042826963800E-6	-188.471211162660920E+0
181.000000000000030E+0	187.731418928782270E-6	-189.734933242919790E+0
182.000000000000030E+0	124.942218417302430E-6	-191.453392302061020E+0
183.000000000000030E+0	85.701474871262672E-6	-192.801004313162560E+0
184.000000000000030E+0	136.372612013537070E-6	-192.388656447128430E+0
185.000000000000030E+0	272.726565237901990E-6	-192.955477872304560E+0
186.000000000000030E+0	444.945044812147240E-6	-193.785525005953900E+0
187.000000000000030E+0	414.878860479205830E-6	-194.845441812465050E+0
188.000000000000030E+0	146.320176397279540E-6	-196.748770516409540E+0
189.000000000000030E+0	141.000774706060710E-6	-198.094850662723640E+0
190.000000000000030E+0	147.821269218047100E-6	-198.296039990093050E+0
191.000000000000030E+0	130.466610126717110E-6	-200.143876547174240E+0
192.000000000000030E+0	159.168334667734580E-6	-201.188267088289340E+0
193.000000000000030E+0	123.101454110913020E-6	-201.052356320535780E+0
194.000000000000030E+0	86.252849828195486E-6	-201.418361614886490E+0
195.000000000000030E+0	19.861817478438669E-6	-202.704227503021260E+0
196.000000000000030E+0	77.175145012713011E-6	-204.835003386389160E+0
197.000000000000030E+0	161.927591878243730E-6	-205.751973837344650E+0
198.000000000000030E+0	68.534624622395681E-6	-206.245133657520710E+0
199.000000000000030E+0	180.371934997784250E-6	-204.334627541309690E+0
200.000000000000030E+0	333.420543549527670E-6	-205.091175882399880E+0
201.000000000000030E+0	245.470528786281550E-6	-206.061793247977990E+0
202.000000000000030E+0	25.117685421174181E-6	-208.736060711709200E+0
203.000000000000030E+0	158.728941570325520E-6	-210.861205763443420E+0
204.000000000000030E+0	47.212273865617827E-6	-211.045801117545320E+0
205.000000000000030E+0	60.545237393389530E-6	-210.728627161236030E+0
206.000000000000030E+0	268.766804612380340E-6	-212.741495427028180E+0
207.000000000000030E+0	340.452743287193990E-6	-213.288186774656510E+0
208.000000000000030E+0	216.740566635586560E-6	-213.369941340424050E+0
209.000000000000030E+0	165.140578161946280E-6	-213.518492485509990E+0
210.000000000000030E+0	135.833794247910550E-6	-213.865466652720530E+0
211.000000000000030E+0	29.109579957872147E-6	-215.449708469517500E+0
212.000000000000030E+0	138.207470654857590E-6	-215.962312662233730E+0
213.000000000000030E+0	507.174499448689210E-6	-216.217789779133770E+0
214.000000000000030E+0	436.392387947662890E-6	-216.688243283062520E+0
215.000000000000030E+0	97.378583142287945E-6	-216.847060042101700E+0
216.000000000000030E+0	28.233292025708722E-6	-219.424587324469510E+0
217.000000000000030E+0	52.571274043926063E-6	-217.978118996315430E+0
218.000000000000030E+0	84.844129438448583E-6	-217.964689371841730E+0
219.000000000000030E+0	125.021337534560500E-6	-217.962141758164340E+0
220.000000000000030E+0	117.922333790998110E-6	-218.744157160574390E+0
221.000000000000030E+0	33.861714723683930E-6	-220.492593292933010E+0
222.000000000000030E+0	36.314932191211814E-6	-218.652792012968600E+0
223.000000000000030E+0	24.957699403937067E-6	-218.112717405261690E+0
224.000000000000030E+0	111.514230138285090E-6	-217.837529698312810E+0
225.000000000000030E+0	126.610287113393350E-6	-218.940696420041180E+0
226.000000000000030E+0	122.219608479673160E-6	-220.032258010847560E+0
227.000000000000030E+0	66.555701258085660E-6	-220.972188925120580E+0
228.000000000000030E+0	15.758305111908439E-6	-218.827358740987560E+0
229.000000000000030E+0	107.197312520097050E-6	-220.766501956674570E+0
230.000000000000030E+0	228.075093388542230E-6	-221.754764936581690E+0
231.000000000000030E+0	234.393457735078960E-6	-222.597084998778510E+0
232.000000000000030E+0	66.013967141100678E-6	-223.670612720770920E+0
233.000000000000030E+0	145.358355064824360E-6	-226.538835282636310E+0
234.000000000000030E+0	93.197134511465032E-6	-226.505391419056620E+0
235.000000000000030E+0	97.024544557261071E-6	-224.087281888937950E+0
236.000000000000030E+0	73.699146620308993E-6	-224.292174801071130E+0
237.000000000000030E+0	276.367391016192480E-6	-226.876962693860090E+0
238.000000000000030E+0	335.970439013449340E-6	-227.491262184931430E+0
239.000000000000030E+0	121.502544563544800E-6	-228.175068726335950E+0
240.000000000000030E+0	164.999212488590370E-6	-226.440855378577960E+0
241.000000000000030E+0	219.070856319319870E-6	-226.602637417449440E+0
242.000000000000030E+0	91.248042419599020E-6	-227.446027731514680E+0
243.000000000000030E+0	83.552737379221094E-6	-228.129144345082780E+0
244.000000000000030E+0	157.649508691098760E-6	-227.391476495426100E+0
245.000000000000030E+0	199.649539245677120E-6	-227.620559430044210E+0
246.000000000000030E+0	149.314844901457200E-6	-228.427261191578170E+0
247.000000000000030E+0	171.121364711491630E-6	-228.818506622456850E+0
248.000000000000030E+0	245.056501575795880E-6	-228.219539427057210E+0
249.000000000000030E+0	250.810609192724500E-6	-228.545209800627110E+0
250.000000000000030E+0	193.728145538278150E-6	-229.229524998575160E+0
251.000000000000030E+0	53.517337160936509E-6	-228.322996399233830E+0
252.000000000000030E+0	124.707725066951380E-6	-230.552576659658110E+0
253.000000000000030E+0	490.691372510562240E-6	-230.203636083530140E+0
254.000000000000030E+0	567.709806666948200E-6	-230.059706682607580E+0
255.000000000000030E+0	420.316464169758620E-6	-230.093648094326400E+0
256.000000000000060E+0	175.351631237081050E-6	-230.495666527514030E+0
257.000000000000060E+0	102.339403145580260E-6	-230.743370291709030E+0
258.000000000000060E+0	299.225789566080620E-6	-230.576770968943630E+0
259.000000000000060E+0	331.920258062536060E-6	-231.136943673685550E+0
260.000000000000060E+0	334.594473706749460E-6	-232.715668491930440E+0
261.000000000000060E+0	341.874705408935190E-6	-234.341066673022960E+0
262.000000000000060E+0	569.740151673235170E-6	-235.440475139117270E+0
263.000000000000060E+0	188.550788056997430E-6	-235.494727059418860E+0
264.000000000000060E+0	366.673525101497690E-6	-232.680498302737080E+0
265.000000000000060E+0	275.344313479178070E-6	-233.015197042549860E+0
266.000000000000060E+0	247.206402330848250E-6	-234.372153805195040E+0
