Freq (Hz)	Gxymicro/hp_Real	Gxymicro/hp_Imag
49.000000000000007E+0	296.480313916852070E-12	893.890101959179900E-12
50.000000000000007E+0	-656.977977211514630E-12	-114.573556254465140E-12
51.000000000000007E+0	-347.385971303943650E-12	24.874611622628960E-12
52.000000000000007E+0	55.395297153372394E-12	229.591855518115560E-12
53.000000000000007E+0	286.172430195223900E-12	-338.261098092154200E-12
54.000000000000007E+0	-85.580043195897212E-12	-70.813906769742281E-12
55.000000000000007E+0	-673.566217961791400E-12	-645.823665509714210E-12
56.000000000000007E+0	-288.846203725740350E-12	1.164088256045378E-9
57.000000000000007E+0	1.590121841922486E-9	-40.914910458742911E-12
58.000000000000007E+0	-547.498840474883170E-12	-670.307800810348990E-12
59.000000000000007E+0	-879.795479613893110E-12	-168.541701460491950E-12
60.000000000000007E+0	537.907632148157590E-12	434.143211968048320E-12
61.000000000000007E+0	647.117114236453780E-12	333.417888002450460E-12
62.000000000000007E+0	-1.795305300065677E-9	-2.358287357879221E-9
63.000000000000007E+0	437.868198577222310E-12	2.656189913597904E-9
64.000000000000014E+0	1.167864406465414E-9	949.129882908322670E-12
65.000000000000014E+0	-866.820649247971650E-12	-1.238136368495447E-9
66.000000000000014E+0	3.418624481521455E-9	-83.596231926915682E-12
67.000000000000014E+0	-3.850225632414534E-9	-2.378643235240221E-9
68.000000000000014E+0	1.044161898066237E-9	3.359663934344846E-9
69.000000000000014E+0	1.872489933888745E-9	-1.114750014066551E-9
70.000000000000014E+0	-1.023572043301258E-9	-1.844140293153288E-9
71.000000000000014E+0	-21.843700878799787E-12	-2.439656342924007E-9
72.000000000000014E+0	-6.208675927899700E-9	-843.003172594895710E-12
73.000000000000014E+0	1.486238565730544E-9	10.322066473025453E-9
74.000000000000014E+0	5.744796388233978E-9	-4.068464126290144E-9
75.000000000000014E+0	-6.021818740065774E-9	-5.403724626167073E-9
76.000000000000014E+0	2.109650303326648E-9	12.255881817873386E-9
77.000000000000014E+0	4.901720890476289E-9	-5.044589717613123E-9
78.000000000000014E+0	-280.393566484636540E-12	-3.610448566302299E-9
79.000000000000014E+0	-3.350117035790550E-9	2.544478582115327E-9
80.000000000000014E+0	2.716634099445233E-9	-332.757026647811540E-12
81.000000000000014E+0	-2.013739589783426E-9	-173.462089768077030E-12
82.000000000000014E+0	4.237901718422143E-9	3.754322606942694E-9
