Freq (Hz)	micro/hp_Real	micro/hp_Imag
49.000000000000007E+0	-176.402007594718610E-3	316.264894737563970E-3
50.000000000000007E+0	291.408205635420580E-3	239.858119405782390E-3
51.000000000000007E+0	-239.937955248193530E-3	-86.119921154985832E-3
52.000000000000007E+0	263.022715518535680E-3	-121.209632641914640E-3
53.000000000000007E+0	-78.632582252477323E-3	-84.846691071042951E-3
54.000000000000007E+0	-91.425272892461107E-3	23.251826876520141E-3
55.000000000000007E+0	63.534281624140418E-3	73.143468494838465E-3
56.000000000000007E+0	17.344010587050786E-3	-67.213123722777504E-3
57.000000000000007E+0	-4.338990993256028E-3	17.104590473824979E-3
58.000000000000007E+0	-22.437370064238207E-3	-24.135971554761805E-3
59.000000000000007E+0	19.108686798651912E-3	3.663149325667117E-3
60.000000000000007E+0	-22.346867181804834E-3	-10.444571319137641E-3
61.000000000000007E+0	-25.159725596586659E-3	17.593973155564598E-3
62.000000000000007E+0	25.360730071684958E-3	8.273116639243063E-3
63.000000000000007E+0	-21.191468396781266E-3	-12.140654011793093E-3
64.000000000000014E+0	14.017101349487875E-3	16.417653071371354E-3
65.000000000000014E+0	-10.808746387815052E-3	-7.350478431632296E-3
66.000000000000014E+0	11.429336243002863E-3	-3.539534726366004E-3
67.000000000000014E+0	-16.954771477115355E-3	4.271054502275731E-3
68.000000000000014E+0	15.154755262113816E-3	2.949882127603505E-3
69.000000000000014E+0	-4.757159926716998E-3	-3.946350895018188E-3
70.000000000000014E+0	5.060913812767677E-3	3.762674302787487E-3
71.000000000000014E+0	3.458090482723675E-3	-10.381046915567259E-3
72.000000000000014E+0	-5.929009776126993E-3	-4.890044899766769E-3
73.000000000000014E+0	-8.874968620807335E-3	5.934533184227208E-3
74.000000000000014E+0	11.084109943200875E-3	2.962317156758118E-3
75.000000000000014E+0	-9.834777312563218E-3	-13.634623443258021E-3
76.000000000000014E+0	-3.634942024250585E-3	19.324069378926494E-3
77.000000000000014E+0	5.912211414449330E-3	-1.663041762549944E-3
78.000000000000014E+0	2.682890945144606E-3	2.836363218702587E-3
79.000000000000014E+0	3.130537720174731E-3	2.110790168435960E-3
80.000000000000014E+0	8.585985364140897E-3	-130.409063299502770E-6
81.000000000000014E+0	-2.636676407060922E-3	-8.222798024858860E-3
82.000000000000014E+0	1.697888314955169E-3	623.323485089583150E-6
83.000000000000014E+0	-10.414295492762980E-3	2.816352414147399E-3
84.000000000000014E+0	16.286036018778382E-3	5.192288319205192E-3
85.000000000000014E+0	-3.798773833224871E-3	-3.660353272708229E-3
86.000000000000014E+0	6.234287034673164E-3	-6.259849759902622E-3
87.000000000000014E+0	-6.871045248711159E-3	4.441252934399189E-3
88.000000000000014E+0	10.705588582861685E-3	-152.527278406199470E-6
89.000000000000014E+0	-5.849652270475485E-3	-8.683583461954658E-3
90.000000000000014E+0	3.421225267681287E-3	7.148237868536479E-3
91.000000000000014E+0	-2.754938889387274E-3	-7.961436888194178E-3
92.000000000000014E+0	1.619467502009393E-3	8.780589533492025E-3
93.000000000000014E+0	2.583731930624928E-3	-9.784118316917917E-3
94.000000000000014E+0	-2.032799158314157E-3	5.508650626385020E-3
95.000000000000014E+0	1.077269567354201E-3	-3.283852679001114E-3
96.000000000000014E+0	316.074008285499140E-6	1.139834658717317E-3
97.000000000000014E+0	3.545809611200277E-3	-146.949730123226420E-6
98.000000000000014E+0	19.058450403481729E-6	-3.759713763260215E-3
99.000000000000014E+0	-10.768329282182720E-3	-6.158252514034296E-3
100.000000000000010E+0	-585.206772515663100E-6	23.289319905784211E-3
101.000000000000010E+0	13.630226081455496E-3	-6.245340078712062E-3
102.000000000000010E+0	-3.457858276805185E-3	-2.476018011908471E-3
103.000000000000010E+0	1.042754557257942E-3	-66.529262061056327E-6
104.000000000000010E+0	-1.509930248323994E-3	-1.083242087649198E-3
105.000000000000010E+0	-2.137539913827443E-3	1.384081187209520E-3
106.000000000000010E+0	3.653588689686126E-3	1.181299811703115E-3
107.000000000000010E+0	2.213928900059539E-3	-4.724225360365714E-3
108.000000000000010E+0	-4.712843930555233E-3	-2.309310059903103E-3
109.000000000000010E+0	-796.091460844772900E-6	2.961260800540268E-3
110.000000000000010E+0	4.030669372630571E-3	2.108744879335983E-3
111.000000000000010E+0	758.359340805077310E-6	-6.118528712554048E-3
