Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
900.000000000000110E+0	999.968781492393320E-3	999.960610693857330E-3	999.963767631420140E-3
901.000000000000110E+0	999.979857208448510E-3	999.971506688752560E-3	999.954242183474170E-3
902.000000000000110E+0	999.993045497898800E-3	999.981813540499090E-3	999.960730772852860E-3
903.000000000000110E+0	999.989783351409530E-3	999.970157813907080E-3	999.963161403932040E-3
904.000000000000110E+0	999.988827357216610E-3	999.980636019987320E-3	999.960947373837780E-3
905.000000000000110E+0	999.986273088207760E-3	999.979234514021380E-3	999.961450308282980E-3
906.000000000000110E+0	999.988426278990870E-3	999.988185405193300E-3	999.951720673310060E-3
907.000000000000110E+0	999.991308089148820E-3	999.990330724212730E-3	999.962142295172000E-3
908.000000000000110E+0	999.986982471429700E-3	999.986448297133790E-3	999.976064563024010E-3
909.000000000000110E+0	999.984255565998130E-3	999.989291640022370E-3	999.965627398667570E-3
910.000000000000110E+0	999.990835764362760E-3	999.984036282069890E-3	999.969343030234210E-3
911.000000000000110E+0	999.992625753239990E-3	999.990140156870270E-3	999.969962084357730E-3
912.000000000000110E+0	999.991167939826900E-3	999.992236266874170E-3	999.966690325360450E-3
913.000000000000110E+0	999.991983909027770E-3	999.993456713888730E-3	999.970055913356300E-3
914.000000000000110E+0	999.994700146007220E-3	999.995264921725860E-3	999.978231841770260E-3
915.000000000000110E+0	999.996958038245620E-3	999.995330681450190E-3	999.971374793162450E-3
916.000000000000110E+0	999.991824052981040E-3	999.993563518997150E-3	999.983315092114470E-3
917.000000000000110E+0	999.996279143982590E-3	999.993448334905000E-3	999.978339334969600E-3
918.000000000000110E+0	999.994180480159200E-3	999.995433644406240E-3	999.982374434290940E-3
919.000000000000110E+0	999.996962385455100E-3	999.996555923429060E-3	999.983722885254390E-3
920.000000000000110E+0	999.996524597126510E-3	999.995275695786280E-3	999.982309328862340E-3
921.000000000000110E+0	999.992265020427930E-3	999.991954060675090E-3	999.983486036680080E-3
922.000000000000110E+0	999.991372797508710E-3	999.992801595516400E-3	999.985372736961310E-3
923.000000000000110E+0	999.992650293644920E-3	999.993004187010540E-3	999.984297534826540E-3
924.000000000000110E+0	999.988688058782050E-3	999.992499895260070E-3	999.983540721638200E-3
925.000000000000110E+0	999.992989528585510E-3	999.995657968296810E-3	999.985626215672880E-3
926.000000000000110E+0	999.995691308193880E-3	999.993635898384970E-3	999.990976334098390E-3
927.000000000000110E+0	999.994002753892610E-3	999.993987297712380E-3	999.988397475767070E-3
928.000000000000110E+0	999.994183616753180E-3	999.995547460796880E-3	999.993243244087560E-3
929.000000000000110E+0	999.995195902943500E-3	999.997270532380300E-3	999.992335328677480E-3
930.000000000000110E+0	999.994527963403160E-3	999.995816841969920E-3	999.992080052460760E-3
931.000000000000110E+0	999.993743795973170E-3	999.997220475776880E-3	999.990204793118840E-3
932.000000000000110E+0	999.995155877270840E-3	999.996308449629390E-3	999.991529275362610E-3
