Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
900.000000000000110E+0	849.397994540623040E-3	80.526620521697498E-3	662.516222618244720E-3	57.486040593850048E-3	877.563839521923850E-3	-6.282183042652988E+0
901.000000000000110E+0	847.438293582341790E-3	79.704069617055645E-3	661.535094887027330E-3	58.506926920031808E-3	877.431445987450600E-3	-6.283249450238380E+0
902.000000000000110E+0	846.799156936332680E-3	78.820819132237679E-3	661.201810059375060E-3	57.048263194354527E-3	876.274523105636690E-3	-6.283990134650350E+0
903.000000000000110E+0	845.128617356985410E-3	76.346763674831175E-3	660.499508343479810E-3	55.049556673862007E-3	874.377896292343080E-3	-6.283950713824558E+0
904.000000000000110E+0	843.896281241532150E-3	75.703855932562611E-3	658.750490006005160E-3	52.001972370326138E-3	873.497461172664470E-3	-6.283182111118526E+0
905.000000000000110E+0	843.579925520318020E-3	73.827975057682529E-3	656.290270424225940E-3	51.058584855995973E-3	873.665876315006580E-3	-6.282844140627650E+0
906.000000000000110E+0	841.813533688516970E-3	72.288498179664443E-3	655.520454007188950E-3	51.893355775599545E-3	872.275753037911830E-3	-6.283826430232632E+0
907.000000000000110E+0	840.673783256437160E-3	73.709201179902817E-3	655.237295167040990E-3	50.869112419632719E-3	871.240881648752800E-3	-6.281355903698893E+0
908.000000000000110E+0	841.100935733866680E-3	72.779237156418625E-3	654.396811965289090E-3	48.888119122695833E-3	871.474091439302540E-3	-6.281171458519993E+0
909.000000000000110E+0	839.804895783721530E-3	71.890032448040042E-3	651.853548833314370E-3	48.368873504895514E-3	870.381744235469100E-3	-6.279922305622594E+0
910.000000000000110E+0	838.676248588256290E-3	70.887124407373991E-3	651.251213039101270E-3	48.928730578546964E-3	870.639418081104680E-3	-6.278583732292037E+0
911.000000000000110E+0	837.577700527961990E-3	70.878767665750284E-3	649.293214319109690E-3	48.023877472164099E-3	870.903718668657900E-3	-6.278736654722678E+0
912.000000000000110E+0	837.373678739492980E-3	70.404032478729076E-3	648.465692571299270E-3	50.480514426535901E-3	869.565157775021860E-3	-6.278307611514307E+0
913.000000000000110E+0	837.202549842771540E-3	68.861086958010020E-3	648.730697071987380E-3	49.556608613222197E-3	870.095787691570590E-3	-6.277416155271498E+0
914.000000000000110E+0	835.851944914229760E-3	67.459161602740264E-3	647.692591230796250E-3	49.460398157894790E-3	869.270116806415750E-3	-6.278315196917701E+0
915.000000000000110E+0	834.479188469372630E-3	66.772134687376986E-3	647.186244700819090E-3	48.628720477914028E-3	867.844857106238490E-3	-6.277559715574610E+0
916.000000000000110E+0	834.016712369813120E-3	66.220779705702670E-3	646.487659969652740E-3	47.665922021197057E-3	867.415135606954820E-3	-6.275942342297717E+0
