Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
900.000000000000110E+0	846.645506210123470E-3	68.325251143600260E-3	661.421833632710230E-3	38.064461460671162E-3	877.563398750524250E-3	879.550958922271660E-6
901.000000000000110E+0	844.747941266148940E-3	67.472788265746833E-3	660.403180501032080E-3	38.682307988400964E-3	877.431444182428470E-3	-56.281136788836787E-6
902.000000000000110E+0	844.170054839479270E-3	66.676312888419492E-3	660.126159754491630E-3	37.699958005034152E-3	876.274239303442390E-3	-705.249731988157940E-6
903.000000000000110E+0	842.666758707217970E-3	64.460171001954711E-3	659.498954473303870E-3	36.341843247111892E-3	874.377640166376650E-3	-669.254586691638290E-6
904.000000000000110E+0	841.479220000463490E-3	63.825197224126551E-3	657.859992479774220E-3	34.240887512785902E-3	873.497461168203150E-3	2.791751221846770E-6
905.000000000000110E+0	841.281973891385590E-3	62.223236385447481E-3	655.434988751739440E-3	33.494694706936404E-3	873.665825470004930E-3	298.065568784987830E-6
906.000000000000110E+0	839.614989584046790E-3	60.800450384260706E-3	654.638019867956890E-3	34.001890611428658E-3	872.275573768341970E-3	-559.236055574246220E-6
907.000000000000110E+0	838.391107217608460E-3	61.909298115255862E-3	654.389710131629390E-3	33.316966423461290E-3	871.239423750783110E-3	1.593850212382819E-3
908.000000000000110E+0	838.874339797476940E-3	61.160658284009670E-3	653.614947749896810E-3	31.979486991408235E-3	871.472324270652800E-3	1.755015744644619E-3
909.000000000000110E+0	837.635700182456030E-3	60.321611070610071E-3	651.091176176144310E-3	31.517129186382088E-3	870.377110684395600E-3	2.840051946854467E-3
910.000000000000110E+0	836.569963278407600E-3	59.401569730391020E-3	650.471814114491950E-3	31.852182460590440E-3	870.630200423914370E-3	4.006298343762761E-3
911.000000000000110E+0	835.474669880136410E-3	59.316780175473559E-3	648.544628072232560E-3	31.169593508590620E-3	870.895100869067520E-3	3.874335188579209E-3
912.000000000000110E+0	835.299219137825900E-3	58.905792189308012E-3	647.639631178267620E-3	32.720980566791291E-3	869.554813485369340E-3	4.241457381977904E-3
913.000000000000110E+0	835.218389916419170E-3	57.605126583167431E-3	647.934265025561840E-3	32.135736016026026E-3	870.081307983198830E-3	5.019686928536360E-3
914.000000000000110E+0	833.950794241883230E-3	56.343114931930130E-3	646.900517495780700E-3	32.022073620464268E-3	869.259808163792220E-3	4.233424581453898E-3
915.000000000000110E+0	832.619609308361320E-3	55.678561257403725E-3	646.421177854186510E-3	31.459436605805219E-3	867.831124677466920E-3	4.882114991519445E-3
916.000000000000110E+0	832.188718957055260E-3	55.188880698623231E-3	645.753376061366180E-3	30.803762730957428E-3	867.392383173091640E-3	6.282602433413479E-3
917.000000000000110E+0	830.666250404611060E-3	53.137830336160499E-3	644.156587137122090E-3	29.676517133189001E-3	867.254163394317930E-3	7.206133831671829E-3
918.000000000000110E+0	828.497705779046470E-3	52.215821103477382E-3	642.853680121753030E-3	29.646119525460569E-3	867.888062016486270E-3	7.687582516346224E-3
919.000000000000110E+0	826.146198411099820E-3	52.222333768048697E-3	641.345373449049180E-3	29.343574020042978E-3	866.981847691275180E-3	7.562471601162355E-3
920.000000000000110E+0	825.256313781060790E-3	52.477485616787708E-3	640.354561425293120E-3	29.856384309817897E-3	866.399982974490720E-3	8.781127427101659E-3
921.000000000000110E+0	824.233283774349680E-3	52.066292900150017E-3	640.143710764147560E-3	29.301334934200188E-3	866.722075032569820E-3	9.843946285848568E-3
922.000000000000110E+0	823.192448225720570E-3	51.436836431363341E-3	638.824174652583900E-3	28.381018345586956E-3	866.791017475915690E-3	10.187040326487391E-3
923.000000000000110E+0	821.744693004014980E-3	51.092225342034850E-3	637.508053126999540E-3	27.993988070277226E-3	867.379387583180890E-3	11.211838772056941E-3
924.000000000000110E+0	820.865126933630010E-3	51.334612339449220E-3	636.114560235536700E-3	28.417176430196405E-3	868.302092279024880E-3	10.785244837675685E-3
925.000000000000110E+0	820.172762137097890E-3	51.539168201832526E-3	635.757176598053860E-3	29.019227789420083E-3	867.945286636564230E-3	10.680578628155265E-3
926.000000000000110E+0	819.737165035255840E-3	51.197641530354665E-3	635.526465790262730E-3	28.883352067106325E-3	867.651785916948140E-3	10.775423531206287E-3
