Freq (Hz)	Gxymic2/mic1_Real	Gxymic2/mic1_Imag	Gxymic3/mic1_Real	Gxymic3/mic1_Imag	Gxymic4/mic1_Real	Gxymic4/mic1_Imag
900.000000000000110E+0	15.981980107756552E-6	1.289763893654306E-6	12.485494013911386E-6	718.533289262235400E-9	16.565570262068088E-6	16.603088996010308E-9
901.000000000000110E+0	17.457446292904934E-6	1.394383483925778E-6	13.647745503765401E-6	799.399988539489880E-9	18.132646880831773E-6	-1.163083436557890E-9
902.000000000000110E+0	18.952288911224169E-6	1.496936237138612E-6	14.820273905378007E-6	846.389278170175830E-9	19.672735504627090E-6	-15.833161377813284E-9
903.000000000000110E+0	20.548654286528440E-6	1.571878510078847E-6	16.081900577649022E-6	886.196871040251280E-9	21.321648788331816E-6	-16.319734851298735E-9
904.000000000000110E+0	22.265565527309279E-6	1.688816642538655E-6	17.406923937203529E-6	906.011204953660390E-9	23.112446952085251E-6	73.868791710472090E-12
905.000000000000110E+0	24.131721524132010E-6	1.784840112332796E-6	18.800734416613969E-6	960.773944567672910E-9	25.060323864011507E-6	8.549744614817414E-9
906.000000000000110E+0	26.070997511747119E-6	1.887922929373203E-6	20.327250398408548E-6	1.055797132921210E-6	27.084648580192710E-6	-17.364594967580664E-9
907.000000000000110E+0	28.104694953684003E-6	2.075334439197885E-6	21.936556862378452E-6	1.116856694282679E-6	29.205416111716501E-6	53.428549493306092E-9
908.000000000000110E+0	30.342786692599053E-6	2.212232178586695E-6	23.641793175300816E-6	1.156724490322392E-6	31.521710982423575E-6	63.480041226311480E-9
909.000000000000110E+0	32.789765810817816E-6	2.361326648214373E-6	25.487429610130075E-6	1.233760556192777E-6	34.071131152282454E-6	111.174548563766630E-9
910.000000000000110E+0	35.370196067904014E-6	2.511499647765841E-6	27.501868811370872E-6	1.346706382012149E-6	36.809868041811525E-6	169.384559940869290E-9
911.000000000000110E+0	38.141445527404939E-6	2.707954916512865E-6	29.607598832995079E-6	1.422965792089014E-6	39.758023584878755E-6	176.870796091910960E-9
