Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
900.000000000000110E+0	18.877120902549303E-6	13.619407669312507E-6	8.285692111020408E-6	14.537616110816536E-6
901.000000000000110E+0	20.666072403954070E-6	14.841374230621717E-6	9.044066021611984E-6	15.910518620253817E-6
902.000000000000110E+0	22.450873144455281E-6	16.098820938085252E-6	9.815248592220319E-6	17.239060987968618E-6
903.000000000000110E+0	24.385392024144640E-6	17.417080433073213E-6	10.638361380656599E-6	18.643527274740526E-6
904.000000000000110E+0	26.460177960534446E-6	18.843905036184642E-6	11.482452651170672E-6	20.189057952103853E-6
905.000000000000110E+0	28.684659724478455E-6	20.412780947660693E-6	12.354968259293569E-6	21.894773101958415E-6
906.000000000000110E+0	31.051313645120799E-6	22.004514205722108E-6	13.342968869681117E-6	23.625857411753259E-6
907.000000000000110E+0	33.522322522920597E-6	23.691311780102394E-6	14.392336945178648E-6	25.445476714352002E-6
908.000000000000110E+0	36.171072054178918E-6	25.589253285106998E-6	15.489725822859932E-6	27.470738905382145E-6
909.000000000000110E+0	39.145924577822342E-6	27.608534811824503E-6	16.633614172765015E-6	29.655558100903731E-6
910.000000000000110E+0	42.280215274743014E-6	29.738966914581353E-6	17.932229167196013E-6	32.048952657788473E-6
911.000000000000110E+0	45.652594310405165E-6	32.026956864609182E-6	19.246297321308922E-6	34.626273267594598E-6
912.000000000000110E+0	49.287697067728352E-6	34.560270866488833E-6	20.725858815254439E-6	37.268574892894672E-6
913.000000000000110E+0	53.063262692719306E-6	37.192471135307592E-6	22.331754618127717E-6	40.172428094930782E-6
914.000000000000110E+0	57.118252667783076E-6	39.905580053154528E-6	23.961432153091822E-6	43.160295872064567E-6
915.000000000000110E+0	61.363253455126002E-6	42.730640022378675E-6	25.702000877500020E-6	46.216022492451423E-6
916.000000000000110E+0	65.682044214427854E-6	45.687370931150749E-6	27.451566993863632E-6	49.419762350018178E-6
917.000000000000110E+0	70.217039807597020E-6	48.648475100457896E-6	29.197537455668680E-6	52.815973228188545E-6
918.000000000000110E+0	74.966304199516624E-6	51.661899580201948E-6	31.046526213244501E-6	56.471276360612897E-6
919.000000000000110E+0	79.826860945077509E-6	54.700934441287092E-6	32.903429360545185E-6	60.007026036895421E-6
920.000000000000110E+0	84.276172546923043E-6	57.628204378137750E-6	34.632902742607429E-6	63.268317167753681E-6
921.000000000000110E+0	88.575082085602284E-6	60.414530679705083E-6	36.372696569044873E-6	66.546818659617008E-6
922.000000000000110E+0	93.097764310080090E-6	63.333622844432075E-6	38.067844176716594E-6	69.956494345547996E-6
923.000000000000110E+0	97.735279028496501E-6	66.252278420272123E-6	39.797823326603257E-6	73.543130007968404E-6
924.000000000000110E+0	102.078623454916770E-6	69.051574713246760E-6	41.387703327103441E-6	76.973901364287743E-6
925.000000000000110E+0	105.850583887697260E-6	71.485095809507190E-6	42.872588232755330E-6	79.752391565304166E-6
926.000000000000110E+0	109.218084309491550E-6	73.677451329567977E-6	44.203631761154468E-6	82.234198185319486E-6
927.000000000000110E+0	112.371794118794590E-6	75.671860748169600E-6	45.348144482973735E-6	84.409512931340900E-6
