Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
900.000000000000110E+0	832.866862203090810E-3	844.165555706554160E-3	684.077323578426210E-3
901.000000000000110E+0	714.522144737890110E-3	738.291481192471230E-3	786.801659797761510E-3
902.000000000000110E+0	873.667861026872880E-3	916.435009941276470E-3	843.395262332051310E-3
903.000000000000110E+0	881.792882523678600E-3	813.682079565207330E-3	873.142606944979920E-3
904.000000000000110E+0	932.127282803989040E-3	898.425799828132860E-3	926.511400247448490E-3
905.000000000000110E+0	840.300648731457490E-3	847.921260151090260E-3	853.970112273470190E-3
906.000000000000110E+0	852.036983870732790E-3	849.144575828319260E-3	906.537080061058490E-3
907.000000000000110E+0	853.430919161124790E-3	923.887144553446000E-3	941.931054747295770E-3
908.000000000000110E+0	846.000308156344530E-3	922.785459705731890E-3	817.336118127345860E-3
909.000000000000110E+0	923.814584636678760E-3	964.118153112580200E-3	884.057874324108980E-3
910.000000000000110E+0	892.901749323234410E-3	931.912037720985190E-3	840.474366516045350E-3
911.000000000000110E+0	902.062804495450840E-3	926.047884900356940E-3	904.639267129926700E-3
912.000000000000110E+0	962.413338254721200E-3	941.323942519198040E-3	874.954886043655680E-3
913.000000000000110E+0	877.128078822112860E-3	928.251323572016340E-3	925.035478627407200E-3
914.000000000000110E+0	887.938999681834870E-3	941.184324031866580E-3	927.058250409966370E-3
915.000000000000110E+0	899.723659738708050E-3	938.245510436233720E-3	873.139097068049150E-3
916.000000000000110E+0	915.904250329271810E-3	950.481714962623680E-3	899.688314808094410E-3
917.000000000000110E+0	910.133426031954240E-3	973.753379169470690E-3	940.177949148585320E-3
918.000000000000110E+0	903.338316824313760E-3	879.361415574173580E-3	904.437359292313950E-3
919.000000000000110E+0	911.116228708456650E-3	929.892466606812240E-3	907.476245311632180E-3
920.000000000000110E+0	930.608396051968540E-3	955.986252919109210E-3	904.324735707214720E-3
921.000000000000110E+0	929.999981677585800E-3	948.495872579545150E-3	917.342131099487810E-3
922.000000000000110E+0	928.972499620067890E-3	938.270465173934860E-3	880.930671455312670E-3
923.000000000000110E+0	948.871307157618690E-3	915.647437376048030E-3	965.147974251834410E-3
924.000000000000110E+0	936.372492909892110E-3	944.371723118044740E-3	965.709661001160180E-3
925.000000000000110E+0	951.329750335979440E-3	973.183437235009440E-3	884.984896529454670E-3
926.000000000000110E+0	937.982586651042950E-3	955.518975670625940E-3	904.000036772431130E-3
927.000000000000110E+0	918.134028593632690E-3	946.336432823014830E-3	921.592785903142530E-3
928.000000000000110E+0	924.969281641967010E-3	931.091539782732620E-3	924.456059033802120E-3
929.000000000000110E+0	891.718120131294260E-3	957.645898839232010E-3	910.543261591736040E-3
930.000000000000110E+0	896.887616659090110E-3	966.694412908650320E-3	838.620172561493020E-3
931.000000000000110E+0	891.214279661917350E-3	964.022068861985160E-3	894.125470756077730E-3
932.000000000000110E+0	884.705507527583480E-3	964.404165419297520E-3	910.551202273382490E-3
933.000000000000110E+0	915.314178172340290E-3	975.767080309401620E-3	811.598179681341070E-3
934.000000000000110E+0	940.316973582588030E-3	973.180336621274230E-3	921.387116462997090E-3
935.000000000000110E+0	908.949434972854410E-3	971.796843175141480E-3	829.470018046270740E-3
936.000000000000110E+0	879.979740908839010E-3	932.503484493940160E-3	886.683298731551940E-3
937.000000000000110E+0	878.846001742408680E-3	927.879074154980720E-3	688.972365417850230E-3
