Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
900.000000000000110E+0	508.335538167708930E-3	38.322234271132189E+0	421.867922526540150E-3	8.658688360458108E+0	450.152610314663800E-3	788.061010946080830E-3
901.000000000000110E+0	385.303670745401560E-3	38.331308569574581E+0	270.597093909938250E-3	8.263653059794370E+0	389.999633326395700E-3	396.199021351193230E-3
902.000000000000110E+0	479.272729562330410E-3	38.230072645336648E+0	463.770382919225340E-3	8.583357380473938E+0	381.312086867480140E-3	803.679492560339990E-3
903.000000000000110E+0	405.482804230343940E-3	38.356390941642459E+0	346.249798975733710E-3	8.375568289526338E+0	348.408632170386760E-3	488.375372155480940E-3
904.000000000000110E+0	427.227929156133610E-3	38.251188891105663E+0	435.959584165891700E-3	8.598814272869134E+0	385.392609884894270E-3	694.369265504749750E-3
905.000000000000110E+0	406.537442471674950E-3	38.241491603450342E+0	371.231552638170540E-3	8.687106374414061E+0	354.088177410890660E-3	749.429765449462270E-3
906.000000000000110E+0	426.653845835082310E-3	38.227729074283296E+0	357.954960157063790E-3	8.422502247985962E+0	342.979212461222820E-3	488.793411063286610E-3
907.000000000000110E+0	445.083126971895060E-3	38.361090042569089E+0	431.080380205548400E-3	8.560531565010997E+0	391.691427494844200E-3	815.372438656588590E-3
908.000000000000110E+0	401.366442430855840E-3	38.239627144871079E+0	381.112192705729440E-3	8.608634702385720E+0	287.577409452574210E-3	713.457401487099800E-3
909.000000000000110E+0	375.705495681925130E-3	38.252082565976231E+0	355.211353182620540E-3	8.587972060157556E+0	369.566156538965460E-3	693.538463497826550E-3
910.000000000000110E+0	428.005224625424120E-3	38.290808087414845E+0	397.893704739408880E-3	8.669835877620466E+0	321.304028622325880E-3	591.672254529909900E-3
911.000000000000110E+0	367.797698448439350E-3	38.249925440640283E+0	384.004458930367500E-3	8.574289608666538E+0	364.890734870816860E-3	722.046834678326310E-3
912.000000000000110E+0	400.500390392022840E-3	38.261138606937472E+0	400.634702779238130E-3	8.596546901374701E+0	281.962108782898070E-3	797.257072458166350E-3
913.000000000000110E+0	361.659939133037900E-3	38.353172373107405E+0	353.816037680024010E-3	8.652438166827022E+0	346.974010404307200E-3	565.417321836682250E-3
914.000000000000110E+0	368.538794067663710E-3	38.183228405958545E+0	431.347248772549040E-3	8.555269365472764E+0	337.243889400085540E-3	874.596457320941270E-3
915.000000000000110E+0	385.727150294861100E-3	38.274097356002450E+0	421.790794864657090E-3	8.787501700932113E+0	284.838635789222860E-3	597.700013889695510E-3
916.000000000000110E+0	366.973830037909010E-3	38.270024584504860E+0	347.569583999923710E-3	8.621304002578915E+0	325.589038584802260E-3	696.104730538688930E-3
917.000000000000110E+0	362.272323468728900E-3	38.323735774963531E+0	464.117728377944680E-3	8.660322101135934E+0	299.077760794042640E-3	917.048642928606440E-3
918.000000000000110E+0	376.602384017656110E-3	38.238076643494722E+0	347.911796541875980E-3	8.744368845651637E+0	275.453485739069410E-3	617.601670778402330E-3
919.000000000000110E+0	337.306316920150010E-3	38.305612851591349E+0	445.974954662048730E-3	8.666132742418780E+0	307.451353869858780E-3	748.089594379593550E-3
920.000000000000110E+0	348.445871554821980E-3	38.174082054392720E+0	396.094146949126420E-3	8.818280375040171E+0	302.801602239806570E-3	691.566522541361860E-3
921.000000000000110E+0	342.790387804164880E-3	38.264937163811332E+0	375.805411375366220E-3	8.702938211616551E+0	298.286933545093000E-3	894.191643487996850E-3
922.000000000000110E+0	360.746146931425870E-3	38.359303285890739E+0	451.029031892467290E-3	8.732006689796000E+0	230.720480923285510E-3	784.175699964865690E-3
