Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
900.000000000000110E+0	412.799085047395210E-3	296.651200483476260E-3	-304.009559193375410E-3	292.490567328090870E-3	317.457235555401120E-3	319.152434060321900E-3
901.000000000000110E+0	310.836558105477390E-3	227.683009544017100E-3	-107.780977607313270E-3	248.205656862440950E-3	359.788119759388400E-3	150.506554258368040E-3
902.000000000000110E+0	413.286917749948970E-3	242.685543283636150E-3	-309.058590082351090E-3	345.782816185758730E-3	264.654417496159420E-3	274.512198073239120E-3
903.000000000000110E+0	321.003517560282720E-3	247.735839636554600E-3	-172.521192861373350E-3	300.208862801258470E-3	307.678369001524620E-3	163.470475069357690E-3
904.000000000000110E+0	363.757682300536460E-3	224.062607363165990E-3	-295.514670441480050E-3	320.518078398022100E-3	296.157826933682640E-3	246.613067982637880E-3
905.000000000000110E+0	348.192299936142370E-3	209.844738787013430E-3	-274.724927369339840E-3	249.677952482908920E-3	259.219967821431250E-3	241.212449232668210E-3
906.000000000000110E+0	368.417849104049180E-3	215.178513396231650E-3	-192.717925636709170E-3	301.648064206168850E-3	302.816370068819170E-3	161.049638928078910E-3
907.000000000000110E+0	351.071698218373140E-3	273.582990379788780E-3	-279.863200717674560E-3	327.882422649062980E-3	268.542590117717470E-3	285.143913955420770E-3
908.000000000000110E+0	344.149100281514630E-3	206.534301957387950E-3	-261.075559472443870E-3	277.643756773170490E-3	217.438342417314220E-3	188.205562283011000E-3
909.000000000000110E+0	319.713355594084810E-3	197.327113545937540E-3	-237.934020164030920E-3	263.747052075299800E-3	284.192245525799580E-3	236.249680723565780E-3
910.000000000000110E+0	355.242521657779420E-3	238.728345851266430E-3	-289.790454193585120E-3	272.655263894771570E-3	266.685280622296910E-3	179.207254061723610E-3
911.000000000000110E+0	313.400044757354720E-3	192.498205004766690E-3	-253.295553471221960E-3	288.618757308168770E-3	273.833895383710780E-3	241.164355022768060E-3
912.000000000000110E+0	338.894131770732240E-3	213.427575902281790E-3	-270.901197468725820E-3	295.162169461160580E-3	196.998957656848990E-3	201.727641812950030E-3
913.000000000000110E+0	287.020512020058350E-3	220.038944856259970E-3	-253.431313587759500E-3	246.897464168376710E-3	292.972740194611670E-3	185.897653021518390E-3
914.000000000000110E+0	326.188700151134270E-3	171.527766342832230E-3	-278.306135296581210E-3	329.554462995008350E-3	216.276712698513810E-3	258.762100165425390E-3
915.000000000000110E+0	323.702294308585550E-3	209.767154564179130E-3	-339.001438586988500E-3	250.969120149295510E-3	235.456759841724870E-3	160.290868994780370E-3
