Freq (Hz)	Gxymic2/mic1_Real	Gxymic2/mic1_Imag	Gxymic3/mic1_Real	Gxymic3/mic1_Imag	Gxymic4/mic1_Real	Gxymic4/mic1_Imag
900.000000000000110E+0	1.583407250464177E-9	1.137889299465157E-9	-1.174692513317620E-9	1.130183144793095E-9	1.088523065341175E-9	1.094335699189983E-9
901.000000000000110E+0	1.292147751616527E-9	946.478402208256180E-12	-456.619931426571320E-12	1.051536667529027E-9	1.580313425019091E-9	661.076659248576480E-12
902.000000000000110E+0	2.005394431411598E-9	1.177584424241462E-9	-1.537952026606592E-9	1.720700863797123E-9	1.260045510783721E-9	1.306979366186382E-9
903.000000000000110E+0	1.698093975635674E-9	1.310511299169417E-9	-873.762102047822750E-12	1.520457415486281E-9	1.619080587095290E-9	860.222555153788240E-12
904.000000000000110E+0	2.145861689449081E-9	1.321779273877841E-9	-1.710085005011226E-9	1.854774786255531E-9	1.741616235016025E-9	1.450258220127507E-9
905.000000000000110E+0	2.085509982659473E-9	1.256872416848814E-9	-1.653549957558423E-9	1.502793982638301E-9	1.566230170862710E-9	1.457427137079755E-9
906.000000000000110E+0	2.439737019391882E-9	1.424955349441370E-9	-1.273873919333613E-9	1.993906900669312E-9	2.072589184759735E-9	1.102284330850206E-9
907.000000000000110E+0	2.574935650989680E-9	2.006594661456016E-9	-2.140738990221527E-9	2.508049234673153E-9	2.074803982543500E-9	2.203068526349613E-9
908.000000000000110E+0	2.426167211049069E-9	1.456016450300269E-9	-1.927398289915533E-9	2.049713512408714E-9	1.504308467554844E-9	1.302066681688932E-9
909.000000000000110E+0	2.837253786596101E-9	1.751153307518094E-9	-2.158415232174218E-9	2.392577800551250E-9	2.464418640939878E-9	2.048677000366624E-9
910.000000000000110E+0	2.924639260088251E-9	1.965401803574463E-9	-2.439739226015458E-9	2.295478449608626E-9	2.125521516032207E-9	1.428308579492695E-9
911.000000000000110E+0	3.167585461602544E-9	1.945610811988806E-9	-2.595441795620585E-9	2.957387824033804E-9	2.771834333187293E-9	2.441142789340907E-9
912.000000000000110E+0	3.736076189786143E-9	2.352893159896119E-9	-2.952789910683451E-9	3.217231537342946E-9	2.066518491290447E-9	2.116122374297161E-9
913.000000000000110E+0	3.053810733866878E-9	2.341147282267510E-9	-2.777936334206606E-9	2.706316858904266E-9	3.205582359693441E-9	2.034012573450857E-9
914.000000000000110E+0	3.638789537943691E-9	1.913473524208400E-9	-3.200542083129154E-9	3.789901815763205E-9	2.467827460542353E-9	2.952607373064791E-9
915.000000000000110E+0	4.188559008060621E-9	2.714290631525293E-9	-4.483419748732800E-9	3.319159689379068E-9	2.998642699655953E-9	2.041372880760805E-9
916.000000000000110E+0	4.076428457005942E-9	2.618114868956838E-9	-3.247106772662606E-9	3.366669049210646E-9	3.267626363001245E-9	2.730596398868271E-9
917.000000000000110E+0	3.907165345019943E-9	2.816725389927966E-9	-4.611507192029045E-9	4.422290983531198E-9	2.459466221272696E-9	3.210226339165538E-9
918.000000000000110E+0	4.814626387077370E-9	2.879258914721338E-9	-3.971546319291238E-9	3.214324340692073E-9	3.347321601947615E-9	2.377584164351989E-9
919.000000000000110E+0	4.313976730000796E-9	2.992706351956657E-9	-5.092012260584722E-9	4.826596929922145E-9	3.500511912387101E-9	3.248595479317158E-9
920.000000000000110E+0	5.145271414931116E-9	2.645875799071829E-9	-5.479231100238839E-9	3.801042727612703E-9	3.815231569669127E-9	3.158909196643729E-9
921.000000000000110E+0	4.903889826662458E-9	3.114433106581778E-9	-4.829155524942656E-9	4.251241486157153E-9	3.142769301406214E-9	3.913487142698393E-9
922.000000000000110E+0	4.375180098503510E-9	3.396941082340862E-9	-5.356413433526861E-9	4.445854229673242E-9	2.439099322152056E-9	2.433143180890425E-9
923.000000000000110E+0	5.888070845466666E-9	3.297165988090950E-9	-5.898106699357077E-9	5.129503386007079E-9	4.391384579105033E-9	3.925510388768311E-9
924.000000000000110E+0	5.344223291001142E-9	3.346229748966645E-9	-5.943102069230521E-9	4.523293010148720E-9	3.409897575128615E-9	3.681224935910006E-9
925.000000000000110E+0	4.624887783367586E-9	3.231571102775315E-9	-6.159562398634409E-9	4.468067793699138E-9	3.340279651497906E-9	3.071176406663796E-9
926.000000000000110E+0	5.060054551364632E-9	3.410043824919308E-9	-6.447505860099436E-9	4.700316122406014E-9	3.539813892357640E-9	3.759826670007107E-9
927.000000000000110E+0	4.985804850734477E-9	3.001950003688723E-9	-6.116154127632103E-9	4.416375328211522E-9	3.073608409716384E-9	3.020139854226785E-9
928.000000000000110E+0	5.845510495146220E-9	3.454954548518038E-9	-6.597121986603584E-9	5.247069455590544E-9	3.784820294855341E-9	3.787202996738378E-9
929.000000000000110E+0	4.130371960907902E-9	3.381623757969117E-9	-6.738420834112218E-9	4.075205631899705E-9	3.298092507407379E-9	3.559007620245496E-9
930.000000000000110E+0	4.236907205565169E-9	2.879219766147024E-9	-5.860765519825891E-9	3.642940783713763E-9	2.012860854789902E-9	3.223180174066456E-9
931.000000000000110E+0	5.611830666791569E-9	2.316716030470351E-9	-5.902513107945758E-9	5.541447096546362E-9	3.382260925685303E-9	2.928389500204463E-9
932.000000000000110E+0	4.257311523642299E-9	3.110813792033382E-9	-5.930881954296593E-9	3.187138162667046E-9	3.335537476900937E-9	3.700582610911728E-9
933.000000000000110E+0	3.778010384075329E-9	2.092386295412629E-9	-6.379947597937674E-9	3.814852226185936E-9	2.340453322742883E-9	2.063974895109199E-9
934.000000000000110E+0	4.039098154997554E-9	2.660160872734045E-9	-4.987682788379513E-9	3.294628088854079E-9	2.110090014427307E-9	3.128594354317017E-9
935.000000000000110E+0	3.614182317804668E-9	2.035004484494230E-9	-5.483189419719668E-9	3.419316084567087E-9	2.228301824558633E-9	2.594104810815971E-9
936.000000000000110E+0	3.000884452835705E-9	1.914255950237904E-9	-3.868084764472263E-9	2.820939762200202E-9	2.238268923196551E-9	2.260472895402270E-9
937.000000000000110E+0	2.866453969426780E-9	1.787226901847597E-9	-4.990871856160931E-9	2.575618800337185E-9	1.152330048874676E-9	1.706283723386147E-9
938.000000000000110E+0	2.240700610117143E-9	1.827459589864526E-9	-3.338132202824671E-9	1.851603803206960E-9	1.172220475463428E-9	1.818083616231019E-9
939.000000000000110E+0	2.212062359396021E-9	792.613686736658450E-12	-3.041805891904183E-9	1.689212816167182E-9	1.131126093005327E-9	1.517798294096137E-9
940.000000000000110E+0	1.480990510704388E-9	1.357328768803547E-9	-2.382919216791769E-9	1.835937112334808E-9	1.235871689485104E-9	915.652145267305660E-12
941.000000000000110E+0	1.296681855205776E-9	687.585306165597540E-12	-2.544610752279370E-9	1.235866945882261E-9	699.175820764790560E-12	1.095810024733276E-9
942.000000000000110E+0	729.146875496634430E-12	724.131646401659350E-12	-1.696779800428500E-9	730.893320129096270E-12	294.529913304053770E-12	557.409156294389900E-12
943.000000000000110E+0	882.247367855000930E-12	309.790026047958510E-12	-1.078729086033962E-9	705.108287026950120E-12	598.841847252259390E-12	423.377451358787000E-12
944.000000000000110E+0	704.008512545925350E-12	446.932629810291250E-12	-950.083538130113910E-12	487.459965903433680E-12	405.008588570616660E-12	538.507752127977480E-12
945.000000000000110E+0	298.487850934994100E-12	186.117730092682120E-12	-891.124804921888530E-12	550.051985434602170E-12	191.336590992075080E-12	233.172630308163930E-12
946.000000000000110E+0	507.104248038571080E-12	214.055314793432290E-12	-491.591951090127740E-12	127.056138264851500E-12	241.537983635698390E-12	209.856642888516700E-12
947.000000000000110E+0	81.311252639446195E-12	147.586455267333280E-12	-640.905864477352230E-12	394.956406339264770E-12	32.137014788033456E-12	378.702280181602040E-12
948.000000000000110E+0	437.056576709698550E-12	360.129709125088770E-12	-584.135956432050210E-12	209.852900910752530E-12	299.683805757505000E-12	216.413043442619260E-12
949.000000000000110E+0	622.484630519430190E-12	213.721330891160650E-12	-916.645808757397790E-12	407.841116438866680E-12	324.752542646162760E-12	482.792618739197900E-12
950.000000000000110E+0	323.340725605615960E-12	227.699390456291100E-12	-1.013760482259378E-9	338.716027327844310E-12	323.283623741780600E-12	311.435656428054890E-12
951.000000000000110E+0	806.291558640814900E-12	339.811787451774220E-12	-1.259325296211674E-9	611.044890469894270E-12	161.542843708149020E-12	435.320386696988540E-12
952.000000000000110E+0	757.854770284431300E-12	660.226037086597750E-12	-2.042696826557862E-9	443.687476335488080E-12	647.144543242431530E-12	431.603956437966050E-12
953.000000000000110E+0	1.602708550355702E-9	551.398170926184300E-12	-1.849467510826785E-9	896.085512498299490E-12	1.130842235049009E-9	766.743883224038800E-12
954.000000000000110E+0	767.267715650761220E-12	353.736047681773900E-12	-2.619070436726759E-9	962.937089221156980E-12	244.933829477540370E-12	806.583092979838370E-12
955.000000000000110E+0	1.307957515419130E-9	915.148799342947610E-12	-2.639168810915124E-9	745.260043875279380E-12	389.576449685778820E-12	697.308192729646130E-12
956.000000000000110E+0	1.392600613774721E-9	784.208695458785800E-12	-2.617562480823666E-9	1.267530975584806E-9	865.747488813749920E-12	981.997214974261670E-12
957.000000000000110E+0	1.857439197245827E-9	1.048730570427526E-9	-3.630743909437856E-9	962.237012222007190E-12	815.626409168934260E-12	1.440381505942999E-9
958.000000000000110E+0	1.029198234062784E-9	159.401005823741650E-12	-2.932076635825268E-9	1.178024705274694E-9	757.171569615989820E-12	821.711127486517120E-12
959.000000000000110E+0	1.418260560737561E-9	811.286446747438460E-12	-3.296616879183238E-9	898.454644872671820E-12	672.317943122118290E-12	788.833857026854260E-12
960.000000000000110E+0	1.402668465186894E-9	875.152684460279420E-12	-2.542210573109529E-9	1.264843521074683E-9	543.610884356834670E-12	961.648847283154980E-12
961.000000000000110E+0	1.760739579911729E-9	499.815100759351720E-12	-2.533086570446564E-9	459.165301237997310E-12	585.262823592377520E-12	751.040370699990860E-12
962.000000000000110E+0	655.581354219522270E-12	721.851214841187500E-12	-2.345114351775185E-9	504.643753118610790E-12	310.529715361650950E-12	630.383999996660650E-12
963.000000000000110E+0	838.634704907228590E-12	442.033615351480830E-12	-1.505067813957627E-9	672.682785196221920E-12	362.804901322702630E-12	412.738992144022850E-12
964.000000000000110E+0	822.004668965402990E-12	-180.876198324231730E-12	-1.416546034804364E-9	836.430962623562660E-12	578.339294668135710E-12	265.652825053593630E-12
965.000000000000110E+0	469.807823500450160E-12	435.017574214560540E-12	-800.182269558248950E-12	26.747223960043533E-12	53.363800352763024E-12	372.073089601215660E-12
966.000000000000110E+0	232.277750090258130E-12	207.121524920901810E-12	-489.829076040619650E-12	201.357939969967900E-12	230.470486946978430E-12	82.185120942475557E-12
967.000000000000110E+0	214.959255181214250E-12	-8.344437396129975E-12	-541.742644256807820E-12	104.780902790452480E-12	64.283698835839577E-12	219.647656254625530E-12
968.000000000000110E+0	206.719152818689230E-12	99.408088947889299E-12	-229.802990140043260E-12	216.320228172734860E-12	215.506267553125500E-12	61.513333243701439E-12
969.000000000000110E+0	198.094845658769600E-12	-93.355468506612035E-12	-165.539220417908130E-12	2.591179726352867E-12	108.203994796297340E-12	65.927685052440588E-12
970.000000000000110E+0	167.498304896372690E-12	36.267790883971213E-12	-336.541642298823300E-12	-34.012138095514921E-12	114.102441591821550E-12	-35.200367434392287E-12
971.000000000000110E+0	375.307121081473060E-12	67.493669059499666E-12	-571.052839780594620E-12	-71.035629835791509E-12	-29.512748758000189E-12	21.426969862174629E-12
972.000000000000110E+0	323.503984569051500E-12	-94.900951391745361E-12	-736.741782432108950E-12	45.413759872675746E-12	231.687806787968780E-12	24.439259174632103E-12
973.000000000000110E+0	139.485741688181330E-12	46.983858879555175E-12	-1.142479622112091E-9	-54.864630373488554E-12	20.637959957748410E-12	47.940108379185514E-12
974.000000000000110E+0	262.714359120080940E-12	134.479881021922160E-12	-1.470962770197507E-9	339.790747821847800E-12	65.604441720570172E-12	274.644470544336650E-12
975.000000000000110E+0	716.362877354098620E-12	238.057109373106230E-12	-1.433578314122041E-9	145.541616780150070E-12	83.770184153764153E-12	207.191576035063320E-12
976.000000000000110E+0	628.862279979731650E-12	-864.966698994335690E-15	-1.411898785072840E-9	277.407130017638290E-12	374.356464480323990E-12	384.678472416443410E-12
977.000000000000110E+0	596.171215567785410E-12	531.901986055366910E-12	-1.581845166948847E-9	663.987823100554080E-12	263.792317717215930E-12	238.854376664869370E-12
978.000000000000110E+0	1.354875801791996E-9	249.992132457300850E-12	-1.492222546166856E-9	390.202472754777840E-12	607.428512492780970E-12	636.054615812168290E-12
979.000000000000110E+0	870.458064731703010E-12	57.871795743504416E-12	-1.207426983833569E-9	-580.499380215949700E-12	790.645520208064100E-12	-314.184008713952540E-12
980.000000000000110E+0	568.659901424667690E-12	-246.223060781713380E-12	-1.713440463205778E-9	-172.734748617995740E-12	349.222971734229910E-12	-404.509065109540640E-12
981.000000000000110E+0	607.608109170295030E-12	-132.400651631278060E-12	-1.443020357812977E-9	-333.440779213282420E-12	-37.514298255041769E-12	-68.951153434776617E-12
982.000000000000110E+0	254.069139264131990E-12	70.240457824614407E-12	-921.275432058808450E-12	-526.248813107369200E-12	13.006878355854621E-12	-345.608239948000560E-12
983.000000000000110E+0	316.489971698628190E-12	-333.436608018307150E-12	-1.700563894947527E-9	-25.388732707959950E-12	-233.277966715441040E-12	151.665962587055700E-12
984.000000000000110E+0	56.426616105172994E-12	321.460496194330700E-12	-1.213486578505129E-9	265.190422316489010E-12	-104.221199567228870E-12	97.446450978048588E-12
985.000000000000110E+0	343.190040626071970E-12	237.302330035582860E-12	-774.120759437406320E-12	253.537653822185210E-12	101.712124828497650E-12	70.866663797254151E-12
986.000000000000110E+0	508.325581783989940E-12	-8.874030632882369E-12	-968.716342763272700E-12	-84.096161783168555E-12	-45.125386427756067E-12	157.321838398718600E-12
987.000000000000110E+0	194.807467709597650E-12	-154.616446133537460E-12	-825.055889005771330E-12	-75.248311666247997E-12	24.319770353070105E-12	-5.331467668242994E-12
988.000000000000110E+0	140.179602289058950E-12	-11.367744778856426E-12	-1.036977839339784E-9	101.517530435652350E-12	54.727048363226959E-12	59.437229979023211E-12
989.000000000000110E+0	401.295939027751970E-12	-96.283959572295512E-12	-539.743100415750070E-12	14.657675344104983E-12	-24.219654352645473E-12	162.190376822461440E-12
990.000000000000110E+0	338.204028524921690E-12	252.673687276479410E-12	-1.062391020837357E-9	-127.523132559619750E-12	-131.066656892926710E-12	-296.201817623561600E-12
991.000000000000110E+0	70.706186109961839E-12	-129.496899369100260E-12	-1.167401482266411E-9	-156.459828494617950E-12	-42.481353743578480E-12	229.248207564813960E-12
992.000000000000110E+0	356.305636939452050E-12	10.782631949591492E-12	-1.384585129474203E-9	-3.078657452333117E-12	-173.895788263087960E-12	-120.223084184814090E-12
993.000000000000110E+0	451.963645716740070E-12	-43.455848531716026E-12	-2.089875620316540E-9	-245.006005586192250E-12	-197.006434995954280E-12	-42.096814087923442E-12
994.000000000000110E+0	345.429784909808610E-12	93.863423208573764E-12	-2.819744837820548E-9	-11.209814991744530E-12	-67.199666504684307E-12	68.149188079162905E-12
995.000000000000110E+0	406.028128621108770E-12	-364.215482956954630E-12	-3.439943975996311E-9	367.709200092744080E-12	-323.322474457624230E-12	32.726238932529146E-12
996.000000000000110E+0	659.807159225204820E-12	531.198553240950550E-12	-3.820633168372387E-9	221.157367615727730E-12	-720.676413479763930E-12	453.440620711899560E-12
997.000000000000110E+0	636.729501237411400E-12	10.917730397965929E-12	-4.526951466198560E-9	-130.340730579595660E-12	-383.047588637651060E-12	280.608547611403460E-12
998.000000000000110E+0	799.978185046552320E-12	201.358750503242450E-12	-4.955403032071384E-9	-11.159049551013909E-12	-520.339445145633720E-12	-61.185300232614199E-12
999.000000000000110E+0	556.593395007125710E-12	-73.158821824328914E-12	-5.074869695478121E-9	318.343435993285470E-12	-78.029388090012020E-12	538.955273148348250E-12
1.000000000000000E+3	1.458830270253794E-9	-108.741492759772620E-12	-7.661454632770791E-9	-92.898745479897869E-12	-218.354061090540800E-12	107.992643304038650E-12
1.001000000000000E+3	224.216329891483850E-12	122.153433093200890E-12	-2.504099720709421E-9	-163.171108488508740E-12	-458.918055887077040E-12	122.006716631341790E-12
1.002000000000000E+3	608.776450460173030E-12	21.206048549344510E-12	-1.748361231567084E-9	-171.429471342145480E-12	-64.476059335756009E-12	141.159419566872780E-12
1.003000000000000E+3	289.986691591548790E-12	-102.899767461918060E-12	-1.766800700610154E-9	-12.852272621435679E-12	-117.567586114177350E-12	-212.436986448731130E-12
1.004000000000000E+3	822.111023338212640E-12	-194.023336288271490E-12	-3.483715231116291E-9	-470.771514859561220E-12	-642.081881812277360E-12	153.328781539963820E-12
1.005000000000000E+3	433.951604805205430E-12	-98.253974452084671E-12	-5.332229268127869E-9	427.046896894947540E-12	-545.501415237410580E-12	31.076475064680598E-12
1.006000000000000E+3	1.137869596097520E-9	370.580971140528470E-12	-8.558806830846313E-9	505.466327531265190E-12	-691.083979963593710E-12	1.111460166869053E-9
1.007000000000000E+3	2.974605568716733E-9	-362.980712812286880E-12	-12.815921175589475E-9	-62.740936128955537E-12	-1.800627945509632E-9	-628.741554455600320E-12
1.008000000000000E+3	2.382739295979775E-9	-30.294712631851603E-12	-16.488214343816679E-9	-889.866589641534510E-12	-2.106258696995439E-9	705.981251899745860E-12
1.009000000000000E+3	1.570717870010854E-9	-520.858281229022670E-12	-18.892460629719957E-9	460.979266550842290E-12	-1.647683677667041E-9	-22.358568236948227E-12
1.010000000000000E+3	1.907190271015474E-9	853.897127468078260E-12	-17.915211760448435E-9	-18.495948138485348E-12	-3.021480296920749E-9	732.992976999750470E-12
1.011000000000000E+3	2.514493341029230E-9	142.710627438437460E-12	-18.186272102227833E-9	58.242229862564424E-12	-2.386478305218455E-9	478.421467231030080E-12
1.012000000000000E+3	2.509612851446601E-9	1.048353015221172E-9	-15.815122119339692E-9	-898.647758847555780E-12	-2.000171890967727E-9	-284.740007655880810E-12
1.013000000000000E+3	1.107729519538618E-9	-91.134370891082876E-12	-13.787365549561456E-9	-93.648510882891317E-12	-2.512127529010187E-9	207.242837850897540E-12
1.014000000000000E+3	1.874239391179668E-9	172.083094730777080E-12	-12.903307336341333E-9	-273.783638168908470E-12	-1.556515190616457E-9	-39.561679930729715E-12
1.015000000000000E+3	1.373223750899394E-9	539.515112723174680E-12	-16.514977406783287E-9	957.568894233969300E-12	-2.589097785457574E-9	703.666081475969410E-12
1.016000000000000E+3	3.707630142671155E-9	1.777971147378663E-9	-25.118206711415868E-9	254.283900616418280E-12	-4.269293028853061E-9	-127.116065677283380E-12
1.017000000000000E+3	6.001007056592679E-9	283.558817321164440E-12	-41.502718899356681E-9	45.487339608949285E-12	-4.608172382372315E-9	2.085848101954361E-9
1.018000000000000E+3	7.950340860205300E-9	1.894350793550725E-9	-58.253854512125225E-9	-1.354841520618983E-9	-8.808623983120411E-9	-529.498166336551890E-12
1.019000000000000E+3	8.739708965253376E-9	3.229703958397805E-9	-76.919217628968373E-9	262.385966811513520E-12	-11.382576375891355E-9	2.557308927956938E-9
1.020000000000000E+3	11.169999275121828E-9	1.606197044241203E-9	-85.980111793747532E-9	-749.941235844875470E-12	-11.494798729226462E-9	2.574609819821091E-9
1.021000000000000E+3	11.734000673502696E-9	3.828213040993370E-9	-92.767654300545490E-9	-1.901816551853701E-9	-13.395074471925832E-9	-14.496365547070994E-12
1.022000000000000E+3	12.034121607397218E-9	5.841361570487285E-9	-96.403606936437401E-9	-2.686122501405933E-9	-13.555836317055331E-9	1.907395494031078E-9
1.023000000000000E+3	13.197725601098506E-9	5.109974202713342E-9	-94.826989264543761E-9	-691.281133351109440E-12	-15.393313418139344E-9	-64.785368444073842E-12
1.024000000000000E+3	13.285570804667073E-9	4.847321025516222E-9	-90.052874060843619E-9	-2.632628338655436E-9	-13.650469007593523E-9	2.299925453397977E-9
1.025000000000000E+3	12.840961841489576E-9	2.996429310523895E-9	-101.171519036618060E-9	-3.033147133520294E-9	-15.641689319878593E-9	-1.076641023986097E-9
1.026000000000000E+3	16.920124059940735E-9	9.357059085215698E-9	-130.899385585899080E-9	-3.248588357378136E-9	-17.904897300768569E-9	2.827453773111603E-9
1.027000000000000E+3	25.951322166516101E-9	9.592396108910704E-9	-188.895189490475110E-9	-2.743539567277652E-9	-29.221028122363762E-9	660.450866676053990E-12
1.028000000000000E+3	38.267797469584128E-9	18.541667290019139E-9	-265.554462633333820E-9	-10.402377257820397E-9	-39.071222839404142E-9	3.180547033989217E-9
1.029000000000000E+3	54.190556602617980E-9	17.066351790200995E-9	-352.251442844082450E-9	-4.399360171556858E-9	-52.303608699804066E-9	-468.702746398419000E-12
1.030000000000000E+3	62.139269614515582E-9	19.828409263950205E-9	-420.564349852789070E-9	-15.180963261756537E-9	-69.945917562762575E-9	3.411872306224490E-9
1.031000000000000E+3	73.608191470290967E-9	26.636414937880755E-9	-484.088258132573170E-9	-12.737981200574112E-9	-79.130817467645176E-9	2.391615606594734E-9
1.032000000000000E+3	80.301288079764005E-9	29.148989855932357E-9	-512.090842638539560E-9	-19.134685471568677E-9	-87.160765018153176E-9	-2.027611450329937E-9
1.033000000000000E+3	90.103381236268010E-9	32.070310765928399E-9	-533.760694016943850E-9	-24.516060533577399E-9	-91.457056559192557E-9	-3.565928094792483E-9
