Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
900.000000000000110E+0	4.220649072116514E-9	1.081568237598303E-9	745.796016240151340E-12	825.163328914963630E-12
901.000000000000110E+0	4.987437827262284E-9	719.901825302755270E-12	356.916311492613810E-12	747.787939684240430E-12
902.000000000000110E+0	5.203126661399114E-9	1.189737009823655E-9	1.116976124838338E-9	751.068860237324380E-12
903.000000000000110E+0	5.644521955405148E-9	924.389463322310770E-12	669.574098574973000E-12	682.037834927791290E-12
904.000000000000110E+0	6.113924478976154E-9	1.114559061132418E-9	1.158690592104368E-9	906.764328968168420E-12
905.000000000000110E+0	6.558691371033768E-9	1.075809631525787E-9	897.750282404088400E-12	817.216738058620600E-12
906.000000000000110E+0	7.197199916899167E-9	1.301769294361803E-9	916.052219087852030E-12	844.606103361551930E-12
907.000000000000110E+0	7.964318055359810E-9	1.567856869912210E-9	1.477695122519482E-9	1.220810404031948E-9
908.000000000000110E+0	7.691399024804530E-9	1.230422984219896E-9	1.115347259723839E-9	629.658460996484360E-12
909.000000000000110E+0	9.240294403109569E-9	1.302264746651975E-9	1.165506009215203E-9	1.257252201078540E-9
910.000000000000110E+0	8.726533586600355E-9	1.593482966279393E-9	1.379863466699127E-9	894.126618033821910E-12
911.000000000000110E+0	10.655832090795385E-9	1.437647601491663E-9	1.568986396050245E-9	1.415216878475635E-9
912.000000000000110E+0	11.239591663631117E-9	1.802175459746129E-9	1.802398172278686E-9	889.602593987951120E-12
913.000000000000110E+0	11.384922507273172E-9	1.482743680509342E-9	1.423257235367832E-9	1.368563256194021E-9
914.000000000000110E+0	11.859403789796041E-9	1.605079262968087E-9	2.204540320275396E-9	1.346878326293768E-9
915.000000000000110E+0	13.660611969796995E-9	2.026837085827718E-9	2.427857893976135E-9	1.103243350801752E-9
916.000000000000110E+0	13.808031932345411E-9	1.855942153165447E-9	1.666998857118671E-9	1.459683510191491E-9
917.000000000000110E+0	13.951997330676346E-9	1.827024388068445E-9	3.004802254014702E-9	1.246784943533827E-9
918.000000000000110E+0	15.693004800478790E-9	2.219988269056514E-9	1.891695371195476E-9	1.187702723806703E-9
919.000000000000110E+0	16.324922636595060E-9	1.853359436883313E-9	3.242638769368741E-9	1.539504390832150E-9
920.000000000000110E+0	17.223396644544356E-9	2.088468967547632E-9	2.700820337677500E-9	1.575206608750878E-9
921.000000000000110E+0	17.584849422780951E-9	2.063593950820831E-9	2.481767934427566E-9	1.561705764369117E-9
922.000000000000110E+0	15.941498254701007E-9	2.071778467496416E-9	3.239644917603143E-9	845.196282768665340E-12
923.000000000000110E+0	20.349236496952491E-9	2.358544611080972E-9	3.279148032392760E-9	1.766489168142640E-9
924.000000000000110E+0	18.538615202895603E-9	2.290331420523647E-9	3.186128170778102E-9	1.406408495299595E-9
925.000000000000110E+0	18.826926148589332E-9	1.777305742175877E-9	3.160335781912884E-9	1.235755286392288E-9
926.000000000000110E+0	19.151063185512018E-9	2.072693700280175E-9	3.479020316911913E-9	1.540302310670119E-9
927.000000000000110E+0	19.129407439608203E-9	1.928443873726428E-9	3.143797579376521E-9	1.053250984315727E-9
928.000000000000110E+0	20.393715394755872E-9	2.444220666724124E-9	3.741952823705048E-9	1.520587101692426E-9
929.000000000000110E+0	18.506577122009222E-9	1.726713679160104E-9	3.499097171105951E-9	1.397180868054689E-9
930.000000000000110E+0	17.856820343587994E-9	1.638487035597802E-9	2.758622755677459E-9	964.301349017603580E-12
931.000000000000110E+0	18.478176163020284E-9	2.238267199197723E-9	3.679668604850855E-9	1.211438486769024E-9
932.000000000000110E+0	16.496515544250958E-9	1.904947279591525E-9	2.849477145858075E-9	1.652370062058499E-9
933.000000000000110E+0	17.872312791129616E-9	1.140148678296553E-9	3.168538867005431E-9	671.328677589343100E-12
934.000000000000110E+0	14.220345544595813E-9	1.749283054947742E-9	2.581953566384186E-9	1.086864664176059E-9
935.000000000000110E+0	14.307434213322417E-9	1.322868791881260E-9	3.003260267127894E-9	985.432681987239920E-12
936.000000000000110E+0	12.090673159429594E-9	1.190810362996177E-9	2.032869578899264E-9	943.938530324057950E-12
937.000000000000110E+0	12.363871478743445E-9	1.050138266156289E-9	2.749487946599100E-9	497.662203819129900E-12
938.000000000000110E+0	9.070745650501812E-9	1.019897444868257E-9	1.796760640167405E-9	581.333180753024690E-12
939.000000000000110E+0	8.557451935022667E-9	747.925803716464920E-12	1.575084798651511E-9	505.344112380713840E-12
940.000000000000110E+0	7.497733246571590E-9	642.300657584647490E-12	1.311893380410213E-9	421.591268600868720E-12
941.000000000000110E+0	4.983922985013436E-9	566.565060186045900E-12	1.715831430527262E-9	453.456978922997700E-12
942.000000000000110E+0	5.082974766896732E-9	419.923335566304650E-12	782.955267771876910E-12	191.307696377582670E-12
943.000000000000110E+0	2.973036570273469E-9	425.390941313845520E-12	669.076553787855510E-12	313.501682815514910E-12
944.000000000000110E+0	3.076574791214674E-9	365.375468392763740E-12	552.609693493102540E-12	237.145019310373890E-12
945.000000000000110E+0	2.106407499963496E-9	145.488593370657480E-12	734.720563030342600E-12	109.353271044693260E-12
946.000000000000110E+0	1.484451769725374E-9	436.023166798695290E-12	349.296268657878470E-12	209.793603831718270E-12
947.000000000000110E+0	1.301625950731384E-9	142.574426045767710E-12	526.093641351280670E-12	332.261561947119280E-12
948.000000000000110E+0	1.817378065857603E-9	231.730043718241900E-12	301.421629126568520E-12	227.162662825637110E-12
949.000000000000110E+0	2.587316518056160E-9	258.781330884023470E-12	531.792856654281790E-12	277.668698249946730E-12
950.000000000000110E+0	2.441200081428351E-9	219.655450588338120E-12	658.922791975773990E-12	274.032019380313130E-12
951.000000000000110E+0	3.121738261510826E-9	469.122639104351690E-12	809.275542222715680E-12	296.959908739701760E-12
952.000000000000110E+0	4.824843465539759E-9	349.400467053439330E-12	1.314540979001877E-9	344.075836214019250E-12
953.000000000000110E+0	5.540089941061466E-9	646.658350146132730E-12	967.599817975232330E-12	484.648076216918010E-12
954.000000000000110E+0	6.217402673917860E-9	304.540546707233170E-12	1.374600836056646E-9	184.061208800508850E-12
955.000000000000110E+0	5.996269224503509E-9	662.179693878771020E-12	1.490163077029159E-9	267.809602010915570E-12
956.000000000000110E+0	6.562536664748697E-9	535.138627305053910E-12	1.526001893571980E-9	391.684011433932700E-12
957.000000000000110E+0	8.743382139376238E-9	655.719178949031410E-12	1.887766349718721E-9	401.107420293944890E-12
958.000000000000110E+0	7.245242610860740E-9	354.218929901933380E-12	1.652361200696508E-9	277.069319160672010E-12
959.000000000000110E+0	7.310790976065606E-9	514.712805201411920E-12	1.949811499623793E-9	226.537769379956360E-12
960.000000000000110E+0	6.537737483396554E-9	606.584950977133270E-12	1.509549209260712E-9	304.123744661695240E-12
961.000000000000110E+0	6.465168212309474E-9	693.560340303421730E-12	1.229643498964851E-9	267.548407509528870E-12
962.000000000000110E+0	4.850008152981848E-9	347.949979349368300E-12	1.318809712937108E-9	220.800680585118390E-12
963.000000000000110E+0	3.876100184976756E-9	439.662316675617780E-12	895.655322020636000E-12	316.636150979051400E-12
964.000000000000110E+0	3.628811460271222E-9	420.571166889939410E-12	831.380836888715420E-12	304.735699358986360E-12
965.000000000000110E+0	2.107232272024807E-9	333.066459473175510E-12	533.882369352272530E-12	210.820330359301460E-12
966.000000000000110E+0	1.426449484065665E-9	244.120399679576080E-12	354.859317787716230E-12	228.199010492469120E-12
967.000000000000110E+0	1.462697722366799E-9	150.903713902857950E-12	335.516474353546780E-12	147.731431159324130E-12
968.000000000000110E+0	971.920727129319970E-12	161.009377153375820E-12	304.348896279242030E-12	189.196598164902040E-12
969.000000000000110E+0	706.136103189569460E-12	271.070641701746090E-12	221.510930965511140E-12	158.902722624549020E-12
970.000000000000110E+0	835.267266344268860E-12	194.069433965196840E-12	236.083788989299550E-12	156.204715552359060E-12
971.000000000000110E+0	1.239778057618190E-9	217.665819695570830E-12	363.231274697368620E-12	184.293079552887820E-12
972.000000000000110E+0	2.002900319164220E-9	199.676364279642230E-12	437.633010315043870E-12	258.659973991936030E-12
