Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
500.000000000000060E+0	995.064387828566880E-3	993.448099682146980E-3	991.634077739002030E-3
501.000000000000060E+0	994.068780120185620E-3	988.429856067721930E-3	985.100158073668240E-3
502.000000000000060E+0	992.485057460890000E-3	991.233926238566880E-3	990.925612189256570E-3
503.000000000000060E+0	987.731963071379230E-3	990.024921620951790E-3	987.310857985558950E-3
504.000000000000060E+0	988.698108733815920E-3	993.071576605008670E-3	988.328660540461760E-3
505.000000000000060E+0	992.783722745377850E-3	993.990634505730660E-3	992.875294509364290E-3
506.000000000000060E+0	987.532056583785070E-3	987.274091151146060E-3	986.090342221249800E-3
507.000000000000060E+0	992.806394411014370E-3	993.917643017557920E-3	992.295233209552260E-3
508.000000000000060E+0	987.491148012171640E-3	987.271648978274570E-3	983.011095716315510E-3
509.000000000000060E+0	983.596353518201180E-3	982.594875611039310E-3	986.933535254800430E-3
510.000000000000060E+0	991.785124013494830E-3	987.527098930051530E-3	987.379438591811990E-3
511.000000000000060E+0	993.931301160298600E-3	988.986837942558590E-3	985.713397699913730E-3
512.000000000000110E+0	991.107008778910230E-3	988.620261245439670E-3	983.897355612035400E-3
513.000000000000110E+0	995.059465127478230E-3	993.315960250191640E-3	982.224021165519880E-3
514.000000000000110E+0	992.162249986019980E-3	989.470305363706500E-3	977.825050810479320E-3
515.000000000000110E+0	993.763322806228250E-3	986.133657377541110E-3	982.699947124584970E-3
516.000000000000110E+0	996.379497101075870E-3	991.003976884772820E-3	985.666986489509900E-3
517.000000000000110E+0	996.618629492239890E-3	989.047768218927260E-3	972.466334388223610E-3
518.000000000000110E+0	995.030642262492600E-3	987.925571154407160E-3	967.056348677813760E-3
519.000000000000110E+0	995.456904321860180E-3	993.539002429370540E-3	981.705342358356710E-3
520.000000000000110E+0	994.532612807299540E-3	984.795888926784820E-3	986.934430352113370E-3
521.000000000000110E+0	989.586871749064900E-3	989.551689962385960E-3	978.375128415546300E-3
522.000000000000110E+0	987.902384881073850E-3	992.800153213026280E-3	976.191663163027860E-3
523.000000000000110E+0	993.125150554013960E-3	991.106817890424430E-3	973.645596503704860E-3
524.000000000000110E+0	992.576290571272500E-3	995.694945018371860E-3	983.298637423573820E-3
525.000000000000110E+0	990.073486013217650E-3	997.385877323466730E-3	980.167101112679680E-3
526.000000000000110E+0	987.027115366600040E-3	997.056269099531160E-3	984.197998796183190E-3
527.000000000000110E+0	985.953111966276220E-3	995.708191112078870E-3	979.918278698375330E-3
528.000000000000110E+0	986.310732052970260E-3	994.814574422435150E-3	980.627618903871290E-3
529.000000000000110E+0	991.528760408740270E-3	993.310785815676670E-3	984.213415936554760E-3
530.000000000000110E+0	995.192330479722220E-3	995.153546574636390E-3	984.320524605486800E-3
531.000000000000110E+0	992.929633178421310E-3	997.015468081670630E-3	986.100155753929950E-3
532.000000000000110E+0	992.757910289321140E-3	995.998380757256770E-3	990.244797462251140E-3
533.000000000000110E+0	991.831253063325650E-3	994.570393596634790E-3	993.735292032943310E-3
534.000000000000110E+0	991.569808707347230E-3	995.407567727974120E-3	989.170546638757810E-3
535.000000000000110E+0	992.675046956893460E-3	994.163348139893380E-3	994.062781345195100E-3
536.000000000000110E+0	990.366229699858320E-3	992.153531546627000E-3	993.471254681872030E-3
537.000000000000110E+0	981.438174744820870E-3	990.575236399618310E-3	993.292098905657620E-3
538.000000000000110E+0	985.227987599458620E-3	984.001801194783980E-3	991.815039924533460E-3
539.000000000000110E+0	966.011981332586700E-3	990.218475609763280E-3	991.918783631111300E-3
540.000000000000110E+0	948.959474730150630E-3	988.908037489299340E-3	993.211983541693930E-3
541.000000000000110E+0	972.298521930943460E-3	989.625539140434050E-3	995.809568642152420E-3
542.000000000000110E+0	960.263093096778930E-3	990.403690629091500E-3	985.478552526970360E-3
543.000000000000110E+0	949.966500542546500E-3	990.769596694248020E-3	984.434160461674310E-3
544.000000000000110E+0	962.289043581056490E-3	989.753500762673100E-3	990.814596435802270E-3
545.000000000000110E+0	968.961351261667380E-3	990.601360311386900E-3	991.120733479418650E-3
546.000000000000110E+0	973.262859524807400E-3	990.204213553585450E-3	987.042740207732640E-3
547.000000000000110E+0	951.794829820875600E-3	983.498864011742910E-3	972.222791628003960E-3
548.000000000000110E+0	963.944170055043070E-3	975.736471736621260E-3	978.131135556832290E-3
549.000000000000110E+0	931.719530286399090E-3	971.979583875444250E-3	971.320364412978860E-3
550.000000000000110E+0	925.002163145058450E-3	966.535781241910090E-3	968.769803565875160E-3
551.000000000000110E+0	979.973753551317880E-3	940.961161556536640E-3	978.909030075257090E-3
552.000000000000110E+0	941.157707365910420E-3	967.119478859166050E-3	986.717869872372090E-3
553.000000000000110E+0	926.699008790355380E-3	953.347836268030880E-3	964.042007573296610E-3
554.000000000000110E+0	838.588180684691540E-3	931.393051069285490E-3	979.073054058351430E-3
555.000000000000110E+0	924.457120504027060E-3	969.401210854660020E-3	982.122449150715230E-3
556.000000000000110E+0	909.540132820349290E-3	932.526966760955480E-3	965.155713578282450E-3
557.000000000000110E+0	968.754366638033160E-3	957.794635035217330E-3	980.232038411712030E-3
558.000000000000110E+0	962.819523693092320E-3	962.371814171352650E-3	963.295105557269830E-3
559.000000000000110E+0	946.676687159343060E-3	938.921568645218470E-3	959.192723076002900E-3
560.000000000000110E+0	968.387389295380930E-3	968.064254060192250E-3	976.073574702278180E-3
561.000000000000110E+0	972.337539189613960E-3	971.669182728029710E-3	972.940385360829720E-3
562.000000000000110E+0	966.872230806964720E-3	976.221713014553520E-3	975.815172507585320E-3
563.000000000000110E+0	991.180656430143410E-3	992.455810076103060E-3	990.743096438907230E-3
564.000000000000110E+0	977.439730651855410E-3	989.930632794597360E-3	990.716021000181410E-3
565.000000000000110E+0	982.239243743002310E-3	983.656647878463740E-3	981.369047818343440E-3
566.000000000000110E+0	988.424188633390990E-3	986.609208902170520E-3	986.297296871924910E-3
567.000000000000110E+0	974.266353787370810E-3	983.329810054725310E-3	980.814026179044120E-3
568.000000000000110E+0	987.691167128635470E-3	989.775049810248550E-3	986.013880448352360E-3
569.000000000000110E+0	985.292856175965960E-3	994.471640573629360E-3	986.420197883703160E-3
570.000000000000110E+0	975.311023393585660E-3	990.586490652793800E-3	987.601873400154590E-3
571.000000000000110E+0	988.630201606801260E-3	974.068629234137620E-3	985.962792226185550E-3
572.000000000000110E+0	966.749167043037370E-3	974.625712507346640E-3	985.594280986976990E-3
573.000000000000110E+0	962.909219666343570E-3	982.962918422456750E-3	989.145130843064210E-3
574.000000000000110E+0	969.820846675808590E-3	974.986696426684900E-3	982.005285818618230E-3
575.000000000000110E+0	944.193528177721400E-3	937.702815513627220E-3	950.448237426607780E-3
576.000000000000110E+0	945.517235212087860E-3	949.433291361229000E-3	959.440158413142670E-3
577.000000000000110E+0	913.357434405288270E-3	933.108659045591150E-3	952.762556080387290E-3
578.000000000000110E+0	781.056069068439270E-3	768.536419655077460E-3	837.735869015461600E-3
579.000000000000110E+0	947.504919827091730E-3	942.994208949072710E-3	957.861022321560900E-3
580.000000000000110E+0	902.018302776646300E-3	948.400736686724090E-3	920.723746748962290E-3
581.000000000000110E+0	844.525473553849210E-3	908.302851801983330E-3	927.164261419335720E-3
582.000000000000110E+0	897.035503041259340E-3	966.488348805097370E-3	961.908069753088620E-3
583.000000000000110E+0	840.296916758309310E-3	941.381635277114160E-3	941.590545119172390E-3
584.000000000000110E+0	970.976263063348610E-3	979.610630741532760E-3	982.476395355686540E-3
585.000000000000110E+0	964.105720827520220E-3	960.442769478104920E-3	970.603381734325700E-3
586.000000000000110E+0	953.641321186751930E-3	955.088260314590930E-3	970.194487062295610E-3
587.000000000000110E+0	983.015683393789640E-3	988.217822749462570E-3	987.244167939892110E-3
588.000000000000110E+0	980.332975817934100E-3	961.782631906102690E-3	980.859971234533830E-3
589.000000000000110E+0	963.981862365944740E-3	960.300965131663300E-3	972.130191704623450E-3
590.000000000000110E+0	989.404874984057270E-3	985.435610841666420E-3	967.972128824154070E-3
591.000000000000110E+0	959.842937718854210E-3	961.057357640995200E-3	970.645525311697340E-3
592.000000000000110E+0	929.987626948589940E-3	956.635091500697480E-3	976.204993642564740E-3
593.000000000000110E+0	954.227796171681190E-3	981.089286590490880E-3	978.521787003520550E-3
594.000000000000110E+0	909.112498212575670E-3	960.149697577271090E-3	976.847209300587660E-3
595.000000000000110E+0	873.586417027281460E-3	930.766819973543600E-3	939.706537017457880E-3
596.000000000000110E+0	938.902383940207530E-3	956.224879349510730E-3	960.401295406524300E-3
597.000000000000110E+0	924.014417355791260E-3	925.490005923205630E-3	964.036170281814650E-3
598.000000000000110E+0	925.778273885970000E-3	945.863063380290910E-3	967.125328711482710E-3
599.000000000000110E+0	988.525438497198540E-3	992.022274728857290E-3	993.557441239336760E-3
600.000000000000110E+0	994.423572416972430E-3	996.503119334971820E-3	996.381689856959850E-3
601.000000000000110E+0	985.775495510356590E-3	978.462881918261030E-3	984.380174461151670E-3
602.000000000000110E+0	933.826250761725980E-3	913.740258471354540E-3	969.859288431251910E-3
603.000000000000110E+0	980.509566455357030E-3	976.035871710761230E-3	984.690240713679050E-3
604.000000000000110E+0	985.678706114282990E-3	975.261058632043260E-3	992.645909815706000E-3
605.000000000000110E+0	967.280914516107310E-3	945.514186735770700E-3	976.867688549221680E-3
606.000000000000110E+0	977.590669957044690E-3	984.083373320690850E-3	983.347337493976290E-3
607.000000000000110E+0	991.737478859785250E-3	988.798241597647060E-3	985.559409046476540E-3
608.000000000000110E+0	960.767496467105800E-3	968.861163137191280E-3	957.859496075023960E-3
609.000000000000110E+0	968.163707623883930E-3	970.997583601992400E-3	967.291212869731410E-3
610.000000000000110E+0	988.826933868877100E-3	982.398975968240770E-3	984.288266178849120E-3
611.000000000000110E+0	973.216431737396250E-3	961.867587147152920E-3	968.008625213790610E-3
612.000000000000110E+0	974.589331575315910E-3	970.205766131250650E-3	971.369122863226630E-3
613.000000000000110E+0	971.813787594308360E-3	979.573967226882840E-3	981.363038649217370E-3
614.000000000000110E+0	954.423650170654000E-3	978.427052265407380E-3	979.551154613543690E-3
615.000000000000110E+0	984.095577450262660E-3	986.440305821356560E-3	990.690944591660400E-3
616.000000000000110E+0	982.403389238618470E-3	979.162865949285140E-3	975.367361143899990E-3
617.000000000000110E+0	981.124574745987350E-3	984.069416151792660E-3	987.627539761302690E-3
618.000000000000110E+0	955.831155445800330E-3	963.072935158043490E-3	959.434016097175050E-3
619.000000000000110E+0	975.587365539151040E-3	976.874919026120890E-3	980.799519689391270E-3
620.000000000000110E+0	978.018661026594400E-3	984.457035593197300E-3	979.570396543085750E-3
621.000000000000110E+0	983.214680571570020E-3	976.630642773348430E-3	978.744294220412420E-3
622.000000000000110E+0	987.240960420692200E-3	976.056937385049280E-3	989.493588621632060E-3
623.000000000000110E+0	993.672571046299910E-3	971.356899178921650E-3	988.247032758191700E-3
624.000000000000110E+0	995.606347433675490E-3	994.982389142203270E-3	995.012112217474650E-3
625.000000000000110E+0	991.505777692606280E-3	984.139604091402330E-3	994.605609488812160E-3
626.000000000000110E+0	995.854377869947680E-3	995.735581950455530E-3	997.004040425558120E-3
627.000000000000110E+0	993.209877366052150E-3	986.692191742691960E-3	996.225225064150120E-3
628.000000000000110E+0	996.037853937224220E-3	986.011153512963980E-3	994.100058393488810E-3
629.000000000000110E+0	996.297294384743680E-3	992.723287731755220E-3	993.541790527024960E-3
630.000000000000110E+0	993.137899730958120E-3	993.050578849860810E-3	989.717019745753880E-3
631.000000000000110E+0	996.296255196531980E-3	994.554023574046540E-3	996.377352536888080E-3
632.000000000000110E+0	995.840908950834210E-3	994.471784935883950E-3	995.807112831631480E-3
633.000000000000110E+0	995.350287046289920E-3	994.445431624787820E-3	997.238144970669320E-3
634.000000000000110E+0	995.026372891900880E-3	994.529413488150050E-3	995.006222707099260E-3
635.000000000000110E+0	998.189601746963690E-3	998.155111222369000E-3	998.960904161548150E-3
636.000000000000110E+0	998.486643219207550E-3	998.536164893571550E-3	998.964303372435690E-3
637.000000000000110E+0	997.274891814960210E-3	998.443756521296910E-3	998.623395853374120E-3
638.000000000000110E+0	997.911288092112600E-3	999.092632954804550E-3	999.200349916693040E-3
639.000000000000110E+0	999.084441994119280E-3	999.289251862116480E-3	999.452338371525580E-3
640.000000000000110E+0	999.210117234450630E-3	999.537003742142940E-3	999.370258655593810E-3
641.000000000000110E+0	999.299977783600690E-3	999.750267512986120E-3	999.437509093598740E-3
642.000000000000110E+0	999.534486960336640E-3	999.654999308907440E-3	999.209492603300050E-3
643.000000000000110E+0	999.830489800050740E-3	999.691598366884810E-3	999.719759148773650E-3
644.000000000000110E+0	999.886542738221530E-3	999.654479273425100E-3	999.583220237210360E-3
645.000000000000110E+0	999.919848268256970E-3	999.874635467866030E-3	999.794684321607120E-3
646.000000000000110E+0	999.940399889229670E-3	999.930041767251750E-3	999.885529652496440E-3
647.000000000000110E+0	999.956872486887030E-3	999.919168590563400E-3	999.896054992873370E-3
648.000000000000110E+0	999.940654292237110E-3	999.878074759862340E-3	999.912052083061770E-3
649.000000000000110E+0	999.954837778188500E-3	999.924754141344850E-3	999.935550334574490E-3
650.000000000000110E+0	999.953169406043840E-3	999.924128345700440E-3	999.929528095560680E-3
651.000000000000110E+0	999.898183493772800E-3	999.930690601846580E-3	999.940368859718260E-3
652.000000000000110E+0	999.934772843592330E-3	999.933749641296660E-3	999.940092712442220E-3
653.000000000000110E+0	999.919957490234880E-3	999.823328174507920E-3	999.921309792548340E-3
654.000000000000110E+0	999.857844511753630E-3	999.748834880741730E-3	999.899526414249950E-3
655.000000000000110E+0	999.863288868827030E-3	999.872950445056640E-3	999.908219925316310E-3
656.000000000000110E+0	999.793766429634800E-3	999.844015490420790E-3	999.741893611851060E-3
657.000000000000110E+0	999.719639660769820E-3	999.627742169948210E-3	999.714019557114590E-3
658.000000000000110E+0	999.693443168736650E-3	999.593003992085620E-3	999.798476550580410E-3
659.000000000000110E+0	999.536807134259300E-3	999.529400278734940E-3	999.654817393943680E-3
660.000000000000110E+0	999.425076793422300E-3	999.606483402711740E-3	999.623327421337970E-3
661.000000000000110E+0	999.301265562058340E-3	999.328725693088610E-3	999.614074774444420E-3
662.000000000000110E+0	999.123627309872810E-3	999.055909106267960E-3	999.286886685215700E-3
663.000000000000110E+0	999.303126390787220E-3	998.832555800427620E-3	998.462895709908870E-3
664.000000000000110E+0	998.874253428009950E-3	998.913950721749040E-3	998.907240775330550E-3
665.000000000000110E+0	998.258988172169510E-3	999.021569215439280E-3	998.664339298910190E-3
666.000000000000110E+0	998.188940354418520E-3	998.735547847580340E-3	998.999966710374940E-3
667.000000000000110E+0	998.338424107377280E-3	998.279783352116310E-3	999.101397721846470E-3
668.000000000000110E+0	998.571228099357500E-3	998.233505929444820E-3	998.482481697364200E-3
669.000000000000110E+0	998.300889322165650E-3	998.111337366860200E-3	998.096571905679800E-3
670.000000000000110E+0	998.749320419680450E-3	998.931517184439620E-3	998.546245234489760E-3
671.000000000000110E+0	998.383204864776500E-3	998.747473160151550E-3	998.302101522100970E-3
672.000000000000110E+0	997.520953076833420E-3	998.522817384921100E-3	997.779173585265350E-3
673.000000000000110E+0	999.078320451029950E-3	998.588223544180640E-3	997.896535160397670E-3
674.000000000000110E+0	998.707086555452370E-3	998.458622067510240E-3	998.114475490396560E-3
675.000000000000110E+0	998.887284171152240E-3	998.532390005485770E-3	997.860483501086140E-3
676.000000000000110E+0	998.517840802425890E-3	998.248477802472060E-3	998.436093496965050E-3
677.000000000000110E+0	998.475076258632960E-3	998.186966343452720E-3	998.422669426956010E-3
678.000000000000110E+0	997.002244238841760E-3	997.811571350916140E-3	997.597151292413440E-3
679.000000000000110E+0	997.925598921618810E-3	997.771072905497270E-3	997.737284489289330E-3
680.000000000000110E+0	998.420478768064940E-3	996.087584093997110E-3	996.850581557274350E-3
681.000000000000110E+0	997.230279370673880E-3	998.374314980792320E-3	998.124701005931760E-3
682.000000000000110E+0	997.364895710367240E-3	997.648296796783800E-3	997.530092251884830E-3
683.000000000000110E+0	997.049412225182280E-3	995.832111629216920E-3	997.396892240980830E-3
684.000000000000110E+0	997.481705381250030E-3	997.341070716325490E-3	997.593087128517570E-3
685.000000000000110E+0	996.075587659356890E-3	999.030906027599470E-3	998.398402511085690E-3
686.000000000000110E+0	996.045011526098920E-3	998.187178075244150E-3	997.860719151500430E-3
687.000000000000110E+0	998.928867434184080E-3	997.957615420306920E-3	999.126834851839950E-3
688.000000000000110E+0	995.940907337311780E-3	996.464027009150490E-3	995.500180818945420E-3
689.000000000000110E+0	997.783807822225090E-3	995.948588554082530E-3	998.236550480546490E-3
690.000000000000110E+0	998.042755389574210E-3	997.016291898024990E-3	997.310799781928600E-3
691.000000000000110E+0	997.502757629945890E-3	996.536765550472770E-3	996.073745740733600E-3
692.000000000000110E+0	995.739154810650340E-3	996.391788482036910E-3	995.071514600951780E-3
693.000000000000110E+0	998.632946716001780E-3	998.329915936011280E-3	997.683324425708950E-3
694.000000000000110E+0	997.774390617367390E-3	997.569430239603090E-3	998.979027559374070E-3
695.000000000000110E+0	997.402594131838960E-3	997.474244573444250E-3	999.159626997028090E-3
696.000000000000110E+0	997.024513867532880E-3	996.208470047689310E-3	997.074892186080360E-3
697.000000000000110E+0	997.669730182109030E-3	997.618534787792940E-3	997.651950174910710E-3
698.000000000000110E+0	997.087483749624530E-3	997.923739549774420E-3	998.601758872650680E-3
699.000000000000110E+0	997.873667459287960E-3	998.141847443488110E-3	998.663116477356840E-3
700.000000000000110E+0	997.837760065331870E-3	998.615585869761290E-3	998.237445714694750E-3
701.000000000000110E+0	995.489079669657610E-3	997.896185641928060E-3	996.636692900249700E-3
702.000000000000110E+0	997.453487011025100E-3	996.343808195754850E-3	995.876119732301610E-3
703.000000000000110E+0	996.948181018277310E-3	997.108894689114790E-3	996.676809161893380E-3
704.000000000000110E+0	996.135140737647420E-3	997.278083360306100E-3	996.265981332904340E-3
