Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
500.000000000000060E+0	965.753651303037030E-3	24.809030826318624E-3	769.407409930838560E-3	31.814989243174961E-3	989.297574264252240E-3	10.137475942725679E-3
501.000000000000060E+0	969.198114074219630E-3	58.282555512410655E-3	769.417538642137910E-3	54.390424629588006E-3	1.024528915721997E+0	16.119466395776952E-3
502.000000000000060E+0	959.882108796486170E-3	16.534900881276012E-3	738.773500019836220E-3	23.489439241477204E-3	965.263977763339500E-3	-555.863593610010510E-6
503.000000000000060E+0	981.357450549640080E-3	49.498078147088981E-3	786.891426335527780E-3	31.680625954118663E-3	975.550059847255730E-3	-34.466163595337961E-3
504.000000000000060E+0	947.201106934216330E-3	21.452114589665179E-3	754.141641789984440E-3	48.795385861598844E-3	1.001163212174980E+0	13.659704155129300E-3
505.000000000000060E+0	961.956176699838680E-3	61.307080383351767E-3	770.548435182513260E-3	25.082433436692697E-3	994.496290273236270E-3	17.623109597239204E-3
506.000000000000060E+0	968.429418050395060E-3	11.160715745553201E-3	768.067527320929090E-3	33.339134210489688E-3	992.348479344538850E-3	-28.993308275133561E-3
507.000000000000060E+0	961.775741531893490E-3	49.193115921112904E-3	769.009147114723120E-3	39.701743863420014E-3	988.707590062592460E-3	24.996470686423595E-3
508.000000000000060E+0	974.792791186316230E-3	27.274749074779957E-3	760.950098666208660E-3	744.559131538211310E-6	977.403852547621190E-3	-20.122872828252241E-3
509.000000000000060E+0	973.261176842279750E-3	60.734982340139694E-3	797.159178720669210E-3	56.693688023952971E-3	1.017600843847412E+0	-6.147920385611818E-3
510.000000000000060E+0	988.213978052680300E-3	15.437803978022932E-3	778.262287181338050E-3	21.804502680793359E-3	978.396764134273120E-3	9.163635458229959E-3
511.000000000000060E+0	963.180452168679760E-3	61.691027062076027E-3	776.334245953419930E-3	54.908929727740016E-3	1.010590670722535E+0	-16.478708892085116E-3
512.000000000000110E+0	964.733105817876860E-3	1.664571648948481E-3	755.785108587782030E-3	-11.618841666693823E-3	962.882958853238930E-3	-30.711845036494111E-3
513.000000000000110E+0	997.011558558955960E-3	41.499225891196180E-3	775.051746327974240E-3	29.822634409389367E-3	1.005888273111329E+0	8.263909557383859E-3
514.000000000000110E+0	940.970224401738050E-3	20.347189043247584E-3	752.141544063229080E-3	24.589861129020743E-3	965.682859248038760E-3	-6.079741177263431E-3
515.000000000000110E+0	997.878861092040710E-3	28.601128874827495E-3	782.924592879326470E-3	-9.280682072518684E-3	996.040437776099630E-3	-26.261556855077462E-3
516.000000000000110E+0	964.025232044977140E-3	14.595791609507771E-3	756.236339643037940E-3	33.846294693875567E-3	966.752488170469770E-3	-1.064276701987313E-3
517.000000000000110E+0	990.111629064811200E-3	65.178995257945044E-3	787.144057002453270E-3	35.307836489788032E-3	1.018047036161404E+0	-11.760452881100987E-3
518.000000000000110E+0	931.990196269476320E-3	-18.689208621814724E-3	724.237437801866220E-3	-9.037991504680617E-3	952.647599387992480E-3	8.396656789117361E-3
519.000000000000110E+0	1.033630064416128E+0	41.101189654523730E-3	814.276094711157250E-3	36.209728409714023E-3	1.028796505547823E+0	6.422664800768987E-3
520.000000000000110E+0	924.854278690332540E-3	48.115828991331218E-3	721.319215222880230E-3	23.554488620751240E-3	941.362103096861190E-3	17.204346091763845E-3
521.000000000000110E+0	982.458178517231490E-3	28.885512877928607E-3	770.591947858301650E-3	-11.881855905220470E-3	962.896185802270540E-3	-37.477716710423131E-3
522.000000000000110E+0	964.469429944928240E-3	19.384248692225142E-3	798.063897195236290E-3	12.691733362195567E-3	1.012835791130773E+0	-32.745555528311397E-3
523.000000000000110E+0	972.902840629695230E-3	43.880549577609423E-3	737.036358046000210E-3	53.339395739880835E-3	997.681151747407120E-3	61.817308230515469E-3
524.000000000000110E+0	948.966518490227620E-3	48.247112030154742E-3	772.226264564170430E-3	23.710111799481952E-3	946.965974093192050E-3	-17.657697963302230E-3
525.000000000000110E+0	983.158109302315950E-3	2.608876801971178E-3	752.925978532564040E-3	3.827381817863336E-3	1.031584155931709E+0	-4.132788660527606E-3
526.000000000000110E+0	983.939193570413590E-3	41.607036918775202E-3	762.557956256833760E-3	42.631830242780028E-3	977.862148660557430E-3	38.194021994852237E-3
527.000000000000110E+0	968.236693312161000E-3	62.964036780899235E-3	769.130326649092640E-3	17.521831592976284E-3	953.673839778631400E-3	-4.840353078761301E-3
528.000000000000110E+0	968.428328402763490E-3	22.178175217327643E-3	775.294219583817940E-3	27.328895684098350E-3	988.814473731299160E-3	-35.890790434485918E-3
529.000000000000110E+0	972.918040347222180E-3	19.093310007679772E-3	753.238277859124340E-3	22.065587698899766E-3	1.030822772353304E+0	24.794349120845358E-3
530.000000000000110E+0	946.807626644361350E-3	69.139095045544191E-3	764.998715802974960E-3	28.831821853101573E-3	932.872107239017260E-3	-769.526478624251000E-6
531.000000000000110E+0	1.007117537779229E+0	-20.700335586253317E-3	782.017498813386780E-3	17.713640762298373E-3	1.025990604537433E+0	-19.630811868036224E-3
532.000000000000110E+0	958.729918125797550E-3	74.579206027522563E-3	738.285825614891640E-3	55.886340369660580E-3	973.885489783236860E-3	28.667352771267349E-3
533.000000000000110E+0	994.101781028055690E-3	17.870291526698955E-3	755.389967316704160E-3	-5.886306312036915E-3	1.023389630129562E+0	5.099254024136145E-3
534.000000000000110E+0	964.404335019760640E-3	46.789076845531269E-3	796.490052780657650E-3	23.546244431385185E-3	959.310983425614490E-3	2.265034181954932E-3
535.000000000000110E+0	977.221862075949080E-3	23.029027380169421E-3	741.346999647560460E-3	33.200495492389508E-3	1.000845112737607E+0	-8.157729334977109E-3
536.000000000000110E+0	952.346385361404480E-3	47.806045827794741E-3	770.939845014828930E-3	34.491072406296112E-3	964.619321489006980E-3	8.023757633634365E-3
537.000000000000110E+0	993.032805958714680E-3	18.032295830524406E-3	770.030169712971780E-3	11.760536549333123E-3	1.001501708449478E+0	8.821830003848133E-3
538.000000000000110E+0	967.939211366551810E-3	53.983303732578404E-3	757.481444374173640E-3	58.390329748182694E-3	987.307294335963980E-3	-11.629456071383409E-3
539.000000000000110E+0	973.350856919700470E-3	53.718274306012767E-3	739.902001480065800E-3	-12.207147172220309E-3	982.457202893157630E-3	7.271126564864797E-3
540.000000000000110E+0	957.043910768307410E-3	-15.536791630350934E-3	784.192454537873010E-3	-4.266441921568557E-3	1.010412058674708E+0	-37.699108257509766E-3
541.000000000000110E+0	964.647982856127520E-3	12.096976345406723E-3	756.774627151837190E-3	45.661797673529528E-3	977.813483729806360E-3	40.345851015325992E-3
542.000000000000110E+0	989.023443891367870E-3	56.004837288984755E-3	756.438612501238340E-3	11.450754105102252E-3	1.000488289535957E+0	-14.161347774039570E-3
543.000000000000110E+0	927.747979150276510E-3	45.160372394061010E-3	774.111733418309520E-3	55.597902616327084E-3	987.471058638420440E-3	7.282686676613274E-3
544.000000000000110E+0	1.048911505887386E+0	-10.818376797963845E-3	742.997755552162190E-3	2.557519677338634E-3	980.214139594007720E-3	643.990759625391990E-6
545.000000000000110E+0	961.443839934081000E-3	78.269203569632920E-3	765.003695174449660E-3	32.682684922666613E-3	974.112535332774860E-3	-11.431532430147563E-3
546.000000000000110E+0	958.343963898567570E-3	51.633060478455929E-3	741.226325384656940E-3	28.895532799720670E-3	1.011410042213783E+0	1.279430444161850E-3
547.000000000000110E+0	976.075266462115840E-3	31.368670357910314E-3	801.643266950827100E-3	13.999103044819779E-3	1.004203441041949E+0	-7.598477479669267E-3
548.000000000000110E+0	969.447843222083330E-3	16.008662640142182E-3	780.201928852798040E-3	8.810254512789053E-3	1.005472584120435E+0	-10.357359380084951E-3
549.000000000000110E+0	1.010570764307178E+0	17.073130200231032E-3	726.292620331875140E-3	60.277093808660066E-3	996.450481338665650E-3	28.940251080689608E-3
550.000000000000110E+0	921.033083573893910E-3	21.903455762723761E-3	765.115723242648870E-3	-6.096469571954607E-3	947.190564917972820E-3	-71.809034957096438E-3
551.000000000000110E+0	968.041754950892950E-3	54.363009779988973E-3	710.009004217507340E-3	21.479445422931131E-3	1.027859500516341E+0	21.684806406598752E-3
552.000000000000110E+0	1.050031054869988E+0	68.825830784212755E-3	796.241342900127820E-3	-19.790988800716912E-3	1.027554728157611E+0	-10.821652763514390E-3
553.000000000000110E+0	937.325260807904570E-3	116.409085893301050E-3	794.892219608073660E-3	67.976443124087169E-3	977.772126233557800E-3	32.671887983348510E-3
554.000000000000110E+0	970.512491410518100E-3	-39.858453584469974E-3	709.904054985425300E-3	12.430209977887007E-3	1.059497777266693E+0	-5.784364467837803E-3
555.000000000000110E+0	1.004195299050192E+0	8.009378227788851E-3	778.284989108951160E-3	-22.685247906192665E-3	979.296400178300770E-3	11.261013660380247E-3
556.000000000000110E+0	921.261412922160790E-3	38.723830814549103E-3	748.755745886762520E-3	34.254080457594080E-3	998.508773754283710E-3	14.763923088908287E-3
557.000000000000110E+0	974.240394502725040E-3	-57.165231530407611E-3	707.933086727723590E-3	-17.325731841785215E-3	1.002737858077317E+0	-56.482634160269961E-3
558.000000000000110E+0	1.072661809944221E+0	44.756557389943857E-3	834.532727528293220E-3	-71.465170606112210E-3	1.025448282287753E+0	-13.710109730775813E-3
559.000000000000110E+0	875.325068268212210E-3	-17.305328935223213E-3	733.332609153373950E-3	58.873466616271401E-3	933.550867540191560E-3	-31.129632911171344E-3
560.000000000000110E+0	976.854357834909590E-3	26.520479977325366E-3	750.206725549515170E-3	12.017324922040688E-3	1.014841654491939E+0	-3.204977299181200E-3
561.000000000000110E+0	978.836248551846920E-3	16.563198772058831E-3	790.057983468095640E-3	8.721119539944179E-3	983.310192859202290E-3	-16.017911265715380E-3
562.000000000000110E+0	942.119988508495880E-3	12.818343543643512E-3	723.437495179515610E-3	48.371059896175295E-3	968.142129850847580E-3	-9.594339016803911E-3
563.000000000000110E+0	948.828962678968430E-3	7.346444526911990E-3	736.180924972253290E-3	-5.295295219023279E-3	988.812052243706380E-3	-32.765273067739124E-3
564.000000000000110E+0	968.675418609210360E-3	22.166074656498780E-3	795.272138246184150E-3	22.663301438818173E-3	1.011156278715061E+0	30.534690795910445E-3
565.000000000000110E+0	946.789830133604180E-3	31.635560507235524E-3	718.350754396103630E-3	38.419248833365026E-3	979.158655757380700E-3	-21.146916102738861E-3
566.000000000000110E+0	973.782812497755780E-3	30.523224790462513E-3	779.087367355463020E-3	19.877983885253702E-3	1.024748360425633E+0	-29.776127402176639E-3
567.000000000000110E+0	904.521426831816240E-3	21.560012139460693E-3	749.593928681303920E-3	-9.616623140786483E-3	972.459368603340150E-3	38.478681871947952E-3
568.000000000000110E+0	979.741825131894010E-3	5.304203207577471E-3	764.361535288899720E-3	32.257068964162847E-3	997.343802103892730E-3	-15.521648596665960E-3
569.000000000000110E+0	949.124253790138870E-3	52.425350669830409E-3	729.199297487820200E-3	16.377744103268293E-3	975.051799703682160E-3	-13.517029354555541E-3
570.000000000000110E+0	935.547665097203440E-3	35.215161833564303E-3	784.249181195580740E-3	29.100542663642395E-3	999.133856142344180E-3	4.640786407909210E-3
571.000000000000110E+0	982.583489599419320E-3	34.455237967889074E-3	768.492757060575400E-3	6.324345806797220E-3	1.010198870825108E+0	4.504201341276515E-3
572.000000000000110E+0	958.551388438883660E-3	16.321614647267488E-3	734.861032773517440E-3	6.281900821004250E-3	943.786842486203370E-3	-25.834867959255638E-3
573.000000000000110E+0	866.756563949705570E-3	110.419604740352950E-3	765.892113662267610E-3	109.209526441501990E-3	1.008921000576816E+0	57.371749727499845E-3
574.000000000000110E+0	980.018002277142420E-3	28.433899302594670E-3	735.138606497753870E-3	26.129802353150707E-3	949.078476851850320E-3	14.688275214210676E-3
575.000000000000110E+0	948.787278975481870E-3	38.972569879759028E-3	721.668077316818700E-3	-43.978860137085921E-3	1.041855938318593E+0	15.168041366668050E-3
576.000000000000110E+0	896.330757402295400E-3	147.814830228923690E-3	740.929279801596170E-3	115.462269261295130E-3	1.043107592482116E+0	82.588751470366151E-3
577.000000000000110E+0	886.772921176708920E-3	-32.962892219956644E-3	718.234693304979350E-3	2.126551118941836E-3	966.989536832420500E-3	43.145376414194019E-3
