Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
500.000000000000060E+0	965.456461649805140E-3	23.956954392960882E-3	769.018048169766600E-3	24.474559151165986E-3	989.246740426036000E-3	10.028808583108291E-3
501.000000000000060E+0	967.552466640247970E-3	56.455368419628137E-3	768.279728194948610E-3	41.828315945321326E-3	1.024395813243322E+0	16.514144241977391E-3
502.000000000000060E+0	959.750894487326090E-3	15.870832314870430E-3	738.569698864075860E-3	17.351779487625389E-3	965.263828637619390E-3	-536.555075830636670E-6
503.000000000000060E+0	980.155503792956570E-3	48.555474806295511E-3	786.496572826833830E-3	24.925043069295064E-3	974.970681231466800E-3	-33.616811375169225E-3
504.000000000000060E+0	946.983167528393620E-3	20.317908241135194E-3	753.244018180200810E-3	36.784031283132033E-3	1.001069811348040E+0	13.675168010776163E-3
505.000000000000060E+0	960.148958758342390E-3	58.937788270703208E-3	770.306060912030350E-3	19.325203347213615E-3	994.341861928695780E-3	17.525209938927925E-3
506.000000000000060E+0	968.369104129209510E-3	10.808141071383700E-3	767.640714146340610E-3	25.601963006425966E-3	991.931418578672170E-3	-28.767434607934139E-3
507.000000000000060E+0	960.612245507001970E-3	47.293665339229102E-3	768.403159664815650E-3	30.522984179821872E-3	988.398722253843950E-3	24.711626703800282E-3
508.000000000000060E+0	974.430233666280340E-3	26.583932475977637E-3	760.949887742911950E-3	566.572292258538660E-6	977.205969148852600E-3	-19.666846081254089E-3
509.000000000000060E+0	971.466675782067690E-3	59.074666256850004E-3	795.878417567551290E-3	45.169687499277099E-3	1.017581612816563E+0	-6.256089561973440E-3
510.000000000000060E+0	988.096221952074800E-3	15.255247711506133E-3	778.077287425563810E-3	16.968277496672717E-3	978.355685350106420E-3	8.965545802686001E-3
511.000000000000060E+0	961.348205564960480E-3	59.381908835038140E-3	775.164219752933590E-3	42.606265441724939E-3	1.010453461967182E+0	-16.652475790692706E-3
512.000000000000110E+0	964.731769277531790E-3	1.605866635157329E-3	755.734094618508710E-3	-8.781149935426773E-3	962.428890552574300E-3	-29.567263649332171E-3
513.000000000000110E+0	996.153162213574860E-3	41.363332941793250E-3	774.707110420545520E-3	23.110658793969743E-3	1.005853926144647E+0	8.312475100200934E-3
514.000000000000110E+0	940.775446473543720E-3	19.144777960629189E-3	751.914160090342840E-3	18.493192300210629E-3	965.665011913196420E-3	-5.871065674444374E-3
515.000000000000110E+0	997.470744199399960E-3	28.536570933514784E-3	782.890876058895850E-3	-7.265969927939386E-3	995.696988225829420E-3	-26.154566010864643E-3
516.000000000000110E+0	963.922547282322290E-3	14.070211801222409E-3	755.803219531735020E-3	25.590911319532065E-3	966.751940657549550E-3	-1.028891955513008E-3
517.000000000000110E+0	988.009227204745930E-3	64.488797225990699E-3	786.653464032513020E-3	27.786579493150911E-3	1.017976634819837E+0	-11.972418214361586E-3
518.000000000000110E+0	931.827435201423190E-3	-17.417145241241959E-3	724.207858230491720E-3	-6.545562696677350E-3	952.614016925845910E-3	7.998960939347053E-3
519.000000000000110E+0	1.032757127654324E+0	42.471465056896071E-3	813.742336250872560E-3	29.478273542141352E-3	1.028775286372295E+0	6.607569675389753E-3
520.000000000000110E+0	923.783904888875180E-3	44.482961682839557E-3	721.119125498383530E-3	16.988734214129220E-3	941.222789872570130E-3	16.194720480491202E-3
