Freq (Hz)	Gxymic2/mic1_Real	Gxymic2/mic1_Imag	Gxymic3/mic1_Real	Gxymic3/mic1_Imag	Gxymic4/mic1_Real	Gxymic4/mic1_Imag
500.000000000000060E+0	141.079702930718900E-9	3.500768955555092E-9	112.283090697986390E-9	3.573491092314319E-9	144.305903433839940E-9	1.462947739739053E-9
501.000000000000060E+0	94.195604206615434E-9	5.496185191341371E-9	74.582127037590379E-9	4.060558490762134E-9	99.276297303471192E-9	1.600419556858864E-9
502.000000000000060E+0	114.831862843852060E-9	1.898906528836836E-9	88.312126338275535E-9	2.074783929887549E-9	115.400325301575790E-9	-64.146846132688295E-12
503.000000000000060E+0	90.810012206651721E-9	4.498595623650011E-9	72.952790902874981E-9	2.311963609382172E-9	90.310267467587024E-9	-3.113881560894029E-9
504.000000000000060E+0	105.171908058704700E-9	2.256505976826455E-9	83.840912894612126E-9	4.094299706717308E-9	111.157874199109060E-9	1.518478120268721E-9
505.000000000000060E+0	140.772822212697700E-9	8.641199591124628E-9	113.007746465322970E-9	2.835103851665178E-9	145.792782957022500E-9	2.569588213802465E-9
506.000000000000060E+0	95.138458766658436E-9	1.061857384007229E-9	75.407769847533747E-9	2.514961620008084E-9	97.381728463354495E-9	-2.824209872887458E-9
507.000000000000060E+0	138.657349537855700E-9	6.826494578368415E-9	110.975636293356420E-9	4.408242663142298E-9	142.631254720233010E-9	3.566020719759524E-9
508.000000000000060E+0	129.659498307909970E-9	3.537307473432810E-9	101.242081275633470E-9	75.380730039267631E-12	129.731358274092120E-9	-2.610920047194228E-9
509.000000000000060E+0	128.399673912198760E-9	7.807954789334553E-9	105.137984609044490E-9	5.967054520222947E-9	134.724388713966970E-9	-828.285251385178740E-12
510.000000000000060E+0	146.519754014778580E-9	2.262122951658048E-9	115.127888104845670E-9	2.510704250772511E-9	144.751107946636570E-9	1.326483514858611E-9
511.000000000000060E+0	157.916441213699410E-9	9.754404971500110E-9	127.014344825198190E-9	6.981239268569448E-9	165.291629535691510E-9	-2.724039218875622E-9
512.000000000000110E+0	135.687321739990820E-9	225.861477495745030E-12	106.158165803611290E-9	-1.233490426632098E-9	134.867090883652800E-9	-4.143319961525586E-9
513.000000000000110E+0	184.209713163871020E-9	7.648951974190296E-9	143.133743420204160E-9	4.269891242242847E-9	184.793184578798350E-9	1.527148928459017E-9
514.000000000000110E+0	162.675381124861100E-9	3.310443595196207E-9	129.840875052372660E-9	3.193412756693726E-9	165.759202418790710E-9	-1.007785465496098E-9
515.000000000000110E+0	157.469016576558570E-9	4.505020109611836E-9	123.115895813469760E-9	-1.142632292683271E-9	156.306384694939830E-9	-4.105792931751035E-9
516.000000000000110E+0	165.084073112801040E-9	2.409703850433206E-9	129.090226462988230E-9	4.370895032280206E-9	164.672167994817860E-9	-175.256818032882040E-12
517.000000000000110E+0	194.243135584335860E-9	12.678531574728888E-9	154.065824013107830E-9	5.441992518755483E-9	197.675835652163900E-9	-2.324864534557773E-9
518.000000000000110E+0	169.498460451283270E-9	-3.168160962344669E-9	131.259492192288350E-9	-1.186354478088539E-9	170.802934236157790E-9	1.434207323224007E-9
519.000000000000110E+0	195.363586265516830E-9	8.034200399382796E-9	153.784442572138820E-9	5.570927875712300E-9	193.253738807930060E-9	1.241221052952928E-9
520.000000000000110E+0	199.307035347228900E-9	9.597230661360814E-9	154.814537600978200E-9	3.647251804573347E-9	202.288665589195160E-9	3.480587625839477E-9
521.000000000000110E+0	189.808126591431180E-9	5.484230467519630E-9	148.925129400014180E-9	-1.769590205011182E-9	184.910713148083540E-9	-6.933277740771013E-9
522.000000000000110E+0	201.604706753743790E-9	3.908445317100860E-9	167.253645488799210E-9	2.122852656726129E-9	210.371550724488170E-9	-6.891196549589261E-9
523.000000000000110E+0	188.622895835665100E-9	8.282192809368364E-9	142.682429963842150E-9	7.617820432091729E-9	191.322896883534320E-9	11.842154788730107E-9
524.000000000000110E+0	215.515187594027460E-9	10.406061006827944E-9	175.807884802585670E-9	4.169205899843475E-9	214.263260669669680E-9	-3.783789204343979E-9
525.000000000000110E+0	200.072824570494870E-9	521.966534936865930E-12	153.786509415415600E-9	588.602564089236680E-12	208.865703908882810E-9	-863.202727177548320E-12
526.000000000000110E+0	216.603091199994360E-9	9.017416899870450E-9	168.715338084117330E-9	7.197004301152591E-9	214.983624268675280E-9	8.215084338387106E-9
527.000000000000110E+0	203.013999183875310E-9	12.799499794459478E-9	162.362947244987610E-9	2.845187395865766E-9	199.735838380657060E-9	-966.799530644424760E-12
528.000000000000110E+0	190.481370979893070E-9	4.225221999311897E-9	153.133152394329090E-9	4.186002130553381E-9	193.848121902928990E-9	-6.960351232141062E-9
529.000000000000110E+0	206.381959427380730E-9	3.940993645284449E-9	159.916283967791430E-9	3.529219587730242E-9	217.824790277015840E-9	5.401930905901732E-9
530.000000000000110E+0	194.288514290340960E-9	13.454377160291602E-9	157.288114826622410E-9	4.536159906476950E-9	190.830883141020740E-9	-146.849446502930170E-12
531.000000000000110E+0	208.855376435961700E-9	-4.323994014951905E-9	162.517767812644660E-9	2.879082489005895E-9	212.036988352929870E-9	-4.162993003664734E-9
532.000000000000110E+0	191.157613524502830E-9	14.282873590770490E-9	147.624970818415040E-9	8.258819367214562E-9	194.393124233714770E-9	5.574263360728985E-9
533.000000000000110E+0	189.782662144834600E-9	3.391832564473895E-9	144.430738623808620E-9	-850.173387542603430E-12	195.590775167566330E-9	997.375692089881070E-12
534.000000000000110E+0	167.183865958993800E-9	7.828092051507925E-9	138.456159633214890E-9	3.260725209902030E-9	166.280171624057810E-9	376.630916596599730E-12
535.000000000000110E+0	174.316058059114570E-9	4.015039072332819E-9	132.302461211324870E-9	4.394121892894908E-9	178.696554365832840E-9	-1.457790461699083E-9
536.000000000000110E+0	152.070001140666620E-9	7.275408738273870E-9	123.282217178811140E-9	4.253822843788062E-9	154.443469289408830E-9	1.239243560240425E-9
537.000000000000110E+0	156.451759521872430E-9	2.821490232928569E-9	121.896608839420510E-9	1.433635619591168E-9	158.761750089043860E-9	1.400605504481364E-9
538.000000000000110E+0	140.927182146669580E-9	7.615113629520225E-9	110.189068402590200E-9	6.441298089389986E-9	144.430232481885270E-9	-1.679720768901576E-9
539.000000000000110E+0	138.921487397586700E-9	7.469809041924887E-9	107.078599976407570E-9	-1.307189159573462E-9	142.310589403520540E-9	1.034776543101903E-9
540.000000000000110E+0	119.267674736789740E-9	-1.853186127724906E-9	99.806393010518094E-9	-425.820762855019320E-12	128.788398957715740E-9	-4.857509213571675E-9
541.000000000000110E+0	106.949168743703840E-9	1.293824676472675E-9	84.571991020201807E-9	3.864395270618636E-9	109.641004258381850E-9	4.425961392125832E-9
542.000000000000110E+0	94.368480087991287E-9	5.290623950573861E-9	73.424710998837495E-9	840.805059929026070E-12	96.867119432999217E-9	-1.371860673423702E-9
543.000000000000110E+0	79.809778790838717E-9	3.606691564456062E-9	67.994175124407017E-9	3.784233512650281E-9	86.586623301374735E-9	630.594396318010480E-12
544.000000000000110E+0	75.011041686937684E-9	-811.529372953307420E-12	53.899290765421619E-9	137.848797279342610E-12	71.146190757223177E-9	45.817495764070413E-12
545.000000000000110E+0	65.463976034881613E-9	5.134301912384093E-9	52.806451112831225E-9	1.726471362054709E-9	67.290001071060220E-9	-769.261338767339440E-12
546.000000000000110E+0	67.658993856803669E-9	3.496548708854165E-9	52.836581568336602E-9	1.527166236134501E-9	72.010153452368235E-9	92.132032887337548E-12
547.000000000000110E+0	41.061462239510551E-9	1.288466115216421E-9	34.303318081724017E-9	480.247057135935520E-12	42.724267315282334E-9	-324.645631061043840E-12
548.000000000000110E+0	38.303274340661395E-9	613.236584028664070E-12	31.019732425863810E-9	273.298808831502180E-12	40.025180986684143E-9	-414.570008155851840E-12
549.000000000000110E+0	30.626925001124072E-9	522.948290872827100E-12	22.456173284075579E-9	1.355234598621578E-9	30.841674471068573E-9	892.815072416305600E-12
550.000000000000110E+0	26.766194736048522E-9	586.365937246143090E-12	22.747789628094794E-9	-138.682925441208560E-12	28.122012001594416E-9	-2.022892779599606E-9
551.000000000000110E+0	20.886385883625584E-9	1.136566666494930E-9	15.023626320734626E-9	322.748798306758110E-12	22.192406428529855E-9	481.313482276945180E-12
552.000000000000110E+0	20.919930043107282E-9	1.442109372880920E-9	16.121112066934666E-9	-319.094410770364140E-12	21.019494500800027E-9	-227.474550530917440E-12
553.000000000000110E+0	15.638297372757127E-9	1.828707692682701E-9	13.517595563230471E-9	920.296003117483960E-12	16.752305060048867E-9	547.524266923030380E-12
554.000000000000110E+0	13.508666511914091E-9	-538.719874801378260E-12	10.454916862039525E-9	129.963505524400700E-12	16.008041700722097E-9	-92.597380350267558E-12
555.000000000000110E+0	20.844793713400387E-9	166.957407059784550E-12	16.550498080677135E-9	-375.516570312850650E-12	20.967014405616880E-9	236.119816541804490E-12
556.000000000000110E+0	14.132609693077720E-9	547.542500481331050E-12	11.638399906559712E-9	398.818682573725310E-12	15.804365967518197E-9	233.351398660979570E-12
557.000000000000110E+0	23.922795565355528E-9	-1.369043755131740E-9	17.308759430602955E-9	-299.916934796026540E-12	24.770840535245806E-9	-1.400612092642382E-9
558.000000000000110E+0	28.237750284074023E-9	1.264669044301085E-9	21.929709299428101E-9	-1.569883934210166E-9	27.026175534811001E-9	-370.555049863541910E-12
559.000000000000110E+0	21.677111995321816E-9	-375.167005164897060E-12	18.055362784543239E-9	1.064211631698959E-9	23.267272473529802E-9	-724.535704151279660E-12
560.000000000000110E+0	34.961117807787216E-9	927.403060277657650E-12	26.852466861415068E-9	322.710354238266790E-12	36.479189834355408E-9	-116.915375625453050E-12
561.000000000000110E+0	38.096572138572224E-9	631.058806051093380E-12	30.741598733047726E-9	268.107954679367020E-12	38.283065935180090E-9	-613.267203393526280E-12
562.000000000000110E+0	36.563280871262362E-9	468.706366608726260E-12	28.183000117695597E-9	1.364305801882840E-9	37.750443945157998E-9	-362.201671029431750E-12
563.000000000000110E+0	49.361795419941650E-9	362.640215752215430E-12	38.324238397874208E-9	-202.940053187793490E-12	51.404247490669170E-9	-1.684877189701241E-9
564.000000000000110E+0	37.529544029674535E-9	832.018945888842730E-12	31.008876316038736E-9	702.883854977967800E-12	39.433982752111254E-9	1.204478832366284E-9
565.000000000000110E+0	40.121527524012875E-9	1.269690612357881E-9	30.456010058004434E-9	1.170673071822015E-9	41.486133252835706E-9	-877.434577149809680E-12
566.000000000000110E+0	52.436080585839849E-9	1.601015510310510E-9	41.924626810058516E-9	833.486838748031300E-12	55.121927913499141E-9	-1.641802794062070E-9
567.000000000000110E+0	31.386399913395615E-9	676.796032360092460E-12	26.137369286516497E-9	-251.360978942011930E-12	33.841099921235383E-9	1.302803962614656E-9
568.000000000000110E+0	43.491792073256700E-9	230.691466490851030E-12	33.949615667802605E-9	1.095495081228392E-9	44.230599586393109E-9	-686.586962756296500E-12
569.000000000000110E+0	43.835909331680662E-9	2.300220626991608E-9	33.877847606451736E-9	554.892332771500350E-12	45.117198529877656E-9	-609.887641583232670E-12
570.000000000000110E+0	30.108554898501851E-9	1.060716136968649E-9	25.442934248993035E-9	740.612265826031710E-12	32.378535007774898E-9	150.262943906232850E-12
571.000000000000110E+0	26.554086713052821E-9	915.289604834333240E-12	20.625206590128311E-9	130.442677937718390E-12	27.279210436713558E-9	122.871887173775420E-12
572.000000000000110E+0	25.959849416689319E-9	423.744286949797140E-12	19.986167035672943E-9	125.552770647243110E-12	25.805745938285508E-9	-666.836403359939340E-12
573.000000000000110E+0	14.571024490431088E-9	1.615497754130040E-9	13.012354971887441E-9	1.426749788234367E-9	17.270159705132452E-9	991.907813271371010E-12
574.000000000000110E+0	19.212218094180512E-9	546.425541855381340E-12	14.451393318407033E-9	377.698014910080810E-12	18.729170551481036E-9	275.118997100617410E-12
575.000000000000110E+0	8.534666308088906E-9	332.786381596589590E-12	6.467277291305458E-9	-284.606997065068050E-12	9.409744196293682E-9	142.738335965240930E-12
576.000000000000110E+0	7.799802055975868E-9	1.161397306573347E-9	6.488947576519749E-9	752.575919311670260E-12	9.214567578181524E-9	762.754645595151890E-12
577.000000000000110E+0	9.131670696173953E-9	-301.115344033048080E-12	7.482909523240414E-9	15.912813606674196E-12	10.173767536452601E-9	439.223605428223330E-12
578.000000000000110E+0	2.206489766737464E-9	457.853962059016620E-12	1.890400955113699E-9	8.933189276971231E-12	2.419183639927177E-9	356.605135860333610E-12
579.000000000000110E+0	7.877834402487042E-9	1.199547820984582E-9	5.698900083153303E-9	580.699472269867230E-12	8.735319790068417E-9	776.785629031750590E-12
580.000000000000110E+0	5.183274172302850E-9	338.506933534791820E-12	4.444494291671657E-9	-24.083763314156570E-12	6.162618688138238E-9	18.169621503454295E-12
581.000000000000110E+0	4.893152567314454E-9	513.832595585701830E-12	3.962975350859968E-9	411.053533395577860E-12	4.839937728751824E-9	202.332316325947370E-12
582.000000000000110E+0	9.942908731058257E-9	-308.634459426190510E-12	7.555443956987897E-9	579.324011554987770E-12	9.841251975403700E-9	239.464420432881620E-12
583.000000000000110E+0	5.829305347560444E-9	73.689540374475596E-12	5.269409774240440E-9	-228.634225459460750E-12	7.057499029504002E-9	7.764515507537876E-12
584.000000000000110E+0	15.101048427356504E-9	-135.256902268039900E-12	11.686747506928832E-9	839.648147448154960E-12	14.300826291066439E-9	488.079078390092150E-12
585.000000000000110E+0	14.302055715524738E-9	355.110296989389120E-12	10.322481710093308E-9	259.517112508837970E-12	15.777891444101471E-9	-750.972069271029780E-12
586.000000000000110E+0	13.818236254695618E-9	1.009723025122519E-9	11.947858197034038E-9	825.430059259227570E-12	14.054684228793697E-9	1.001337441939963E-9
587.000000000000110E+0	23.528877464377908E-9	2.220443112116932E-9	17.269959988132157E-9	1.480959736041542E-9	24.683307129110279E-9	636.839418541110600E-12
588.000000000000110E+0	15.063102041974307E-9	-934.042316394700430E-12	11.758771204496439E-9	-338.457586023836940E-12	15.884263097537849E-9	-108.834492393677160E-12
589.000000000000110E+0	11.262178242766128E-9	61.087486801881838E-12	9.302759244403775E-9	-2.361870324328982E-12	12.366171378860049E-9	242.969390169479810E-12
590.000000000000110E+0	20.932905187491043E-9	397.951202988310650E-12	15.758026135823665E-9	836.245940421094170E-12	19.779446279172604E-9	543.773432388516740E-12
591.000000000000110E+0	10.780331457067029E-9	833.056637875441750E-12	9.228343224805418E-9	176.648305206912610E-12	12.069227215245064E-9	63.452660109397591E-12
592.000000000000110E+0	9.682470985779433E-9	326.276994129607360E-12	7.899949767991864E-9	479.607175615003710E-12	9.758335041512497E-9	431.657164807680480E-12
593.000000000000110E+0	17.043325034754076E-9	420.340286249985290E-12	13.135463505305894E-9	342.087455921782300E-12	17.826779208849993E-9	68.476345022188999E-12
594.000000000000110E+0	7.591462992094650E-9	-15.835975872829050E-12	6.677002377427849E-9	103.993569701190960E-12	8.510914930949788E-9	-719.702796435201940E-12
595.000000000000110E+0	6.666952654266438E-9	559.912625426089200E-12	5.114481135336027E-9	252.132234817693030E-12	7.103619323943336E-9	-185.021026107689080E-12
596.000000000000110E+0	11.429039497681084E-9	575.861767313737510E-12	9.385236247401084E-9	50.981488389985894E-12	12.938654932844206E-9	595.790196465194540E-12
597.000000000000110E+0	6.629203501793332E-9	-228.936646719031270E-12	5.116893194210591E-9	209.967628742346080E-12	6.961143932891514E-9	-70.540622844296420E-12
