Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
500.000000000000060E+0	146.489865458487950E-9	136.627348366079160E-9	86.719270879368625E-9	143.368521170402380E-9
501.000000000000060E+0	97.644956362606491E-9	91.721488514701239E-9	57.804183976354246E-9	102.488181724893910E-9
502.000000000000060E+0	120.100546935012030E-9	110.655906697355620E-9	65.547960878930407E-9	111.899503992470410E-9
503.000000000000060E+0	93.223943231285846E-9	89.777058846961845E-9	57.722639743646508E-9	88.717415707680936E-9
504.000000000000060E+0	111.694722937535530E-9	100.208144888578270E-9	63.523329225294387E-9	111.950865876986400E-9
505.000000000000060E+0	147.148461467458500E-9	136.163468531338110E-9	87.367853673278525E-9	145.531333780578580E-9
506.000000000000060E+0	98.866265762413100E-9	92.718626080306033E-9	58.321559678497497E-9	97.354323996169766E-9
507.000000000000060E+0	144.865617676141540E-9	134.000772197542540E-9	85.669117371809412E-9	141.610208909181500E-9
508.000000000000060E+0	133.904626553807430E-9	127.233946075895320E-9	77.533630724107707E-9	127.912149889526520E-9
509.000000000000060E+0	133.273072081285120E-9	126.232594134646260E-9	84.683546636309162E-9	137.999827520570120E-9
510.000000000000060E+0	148.899020544354020E-9	145.407376411704110E-9	90.183421658338279E-9	142.529362354057500E-9
511.000000000000060E+0	164.767084053928600E-9	152.855740303663420E-9	99.301230308187350E-9	168.266842021810140E-9
512.000000000000110E+0	141.278718851852420E-9	131.486888546930080E-9	80.697334074311449E-9	130.977029549809350E-9
513.000000000000110E+0	185.380147113692980E-9	184.272677219738360E-9	111.357567973718120E-9	187.554628171138280E-9
514.000000000000110E+0	173.599260370429960E-9	153.706739515469410E-9	98.205284736576604E-9	161.868491743009900E-9
515.000000000000110E+0	158.363682238811690E-9	157.691029000998870E-9	97.067600162758715E-9	157.100101746957610E-9
516.000000000000110E+0	171.573953900785860E-9	159.450811376598520E-9	98.120008891994657E-9	160.346442162543760E-9
517.000000000000110E+0	196.934045204248770E-9	193.058033901412540E-9	122.015801174365800E-9	204.066566515377290E-9
518.000000000000110E+0	182.353198208623870E-9	158.392049370587660E-9	95.644346498757130E-9	165.445938102545910E-9
519.000000000000110E+0	189.598681123039140E-9	202.564495403150660E-9	125.711242931083430E-9	200.658359938236740E-9
520.000000000000110E+0	216.343750856770960E-9	185.049413024051070E-9	112.557353412469060E-9	191.707452867902210E-9
521.000000000000110E+0	194.294686195673270E-9	187.532771091056390E-9	115.371324568233510E-9	180.122499124261810E-9
522.000000000000110E+0	210.351117531608150E-9	195.661632502409240E-9	133.972136702263470E-9	215.754500398248660E-9
523.000000000000110E+0	194.734895491110460E-9	184.322162762559360E-9	105.782284579253870E-9	193.798259526626650E-9
524.000000000000110E+0	228.220012381423390E-9	205.517815947786420E-9	136.094583468336660E-9	204.640540932494190E-9
525.000000000000110E+0	204.520997980529470E-9	197.685051045974530E-9	115.942249818317690E-9	217.622432779433840E-9
526.000000000000110E+0	221.777317527750100E-9	214.701527675454480E-9	128.962040466486160E-9	212.053210440755100E-9
527.000000000000110E+0	211.586826784225910E-9	198.348980104661540E-9	125.166033174059330E-9	192.417108740345560E-9
528.000000000000110E+0	198.104926299619460E-9	185.784559459653470E-9	119.076327726205270E-9	193.679366261496780E-9
529.000000000000110E+0	213.071769630391460E-9	201.683592049942520E-9	120.888721757175870E-9	226.394790776251340E-9
530.000000000000110E+0	206.192074807336830E-9	184.838715669394390E-9	120.667639834384040E-9	179.427525527241150E-9
531.000000000000110E+0	208.162288078087590E-9	211.133381909209710E-9	127.301647802660090E-9	219.112698884762550E-9
532.000000000000110E+0	200.671370412549890E-9	184.447273953071060E-9	109.378693591116090E-9	190.322780113983000E-9
533.000000000000110E+0	191.725460392909240E-9	189.467266086830170E-9	109.400421678653880E-9	200.797141200588210E-9
