Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
900.000000000000110E+0	999.869228600779760E-3	999.867772403290390E-3	999.902966457884350E-3
901.000000000000110E+0	999.867400490503150E-3	999.873352244509570E-3	999.885346197557640E-3
902.000000000000110E+0	999.867543816081450E-3	999.875753234784060E-3	999.894422456513500E-3
903.000000000000110E+0	999.907198718109510E-3	999.805712379020050E-3	999.943714618378390E-3
904.000000000000110E+0	999.938117660024490E-3	999.825990863947630E-3	999.960782962983300E-3
905.000000000000110E+0	999.940724514231880E-3	999.877775079261570E-3	999.949502731977580E-3
906.000000000000110E+0	999.936331151120130E-3	999.893796920466540E-3	999.970693044226700E-3
907.000000000000110E+0	999.943687749074720E-3	999.908133562787960E-3	999.960764869236800E-3
908.000000000000110E+0	999.900171097953370E-3	999.867838098589480E-3	999.955079797133380E-3
909.000000000000110E+0	999.919995364225380E-3	999.871284456029800E-3	999.960615290080510E-3
910.000000000000110E+0	999.947779198928960E-3	999.896352348168980E-3	999.964865414705310E-3
911.000000000000110E+0	999.973025084904820E-3	999.926727283985020E-3	999.974153086207960E-3
912.000000000000110E+0	999.973654743637200E-3	999.932850408451030E-3	999.980303676147540E-3
913.000000000000110E+0	999.965790666327400E-3	999.957031134642290E-3	999.978921143462100E-3
914.000000000000110E+0	999.967615558989050E-3	999.966346119235180E-3	999.976408319052660E-3
915.000000000000110E+0	999.977720512341680E-3	999.962394730007810E-3	999.971228961942680E-3
916.000000000000110E+0	999.983045324633330E-3	999.955066097174880E-3	999.965569738668120E-3
917.000000000000110E+0	999.980733636807280E-3	999.961677718008920E-3	999.971473356196740E-3
918.000000000000110E+0	999.984161469468670E-3	999.950815403000460E-3	999.977118947912520E-3
919.000000000000110E+0	999.973508004422530E-3	999.909261876527950E-3	999.970379809609010E-3
920.000000000000110E+0	999.982215971995210E-3	999.956090510441540E-3	999.985275309146940E-3
921.000000000000110E+0	999.972987311933850E-3	999.971730512515420E-3	999.988047564090760E-3
922.000000000000110E+0	999.976505746196120E-3	999.953197374720660E-3	999.988304657808520E-3
923.000000000000110E+0	999.978083604176280E-3	999.970331944921690E-3	999.987710694962280E-3
924.000000000000110E+0	999.982970377630840E-3	999.966183662017840E-3	999.982507165090740E-3
925.000000000000110E+0	999.990382909050620E-3	999.974530007201710E-3	999.984031453675540E-3
926.000000000000110E+0	999.990715162338840E-3	999.975584866326320E-3	999.986495436102960E-3
927.000000000000110E+0	999.981591649391820E-3	999.978741868307600E-3	999.985751241972640E-3
928.000000000000110E+0	999.984650751971850E-3	999.966894292552030E-3	999.984974273009920E-3
929.000000000000110E+0	999.992012299486750E-3	999.961986116344350E-3	999.989811274349160E-3
930.000000000000110E+0	999.985095028514850E-3	999.971893452449630E-3	999.986403652220360E-3
931.000000000000110E+0	999.982724627614500E-3	999.962627457358640E-3	999.980071677359580E-3
932.000000000000110E+0	999.990129030999040E-3	999.966203693008480E-3	999.982984229054070E-3
933.000000000000110E+0	999.984249717581370E-3	999.965247628979540E-3	999.983866125886190E-3
934.000000000000110E+0	999.974220182840880E-3	999.978694734095620E-3	999.983309531379040E-3
935.000000000000110E+0	999.988517719729300E-3	999.966575733212350E-3	999.973656352084790E-3
936.000000000000110E+0	999.988269306194000E-3	999.951891866073140E-3	999.986938203727970E-3
937.000000000000110E+0	999.981958059195100E-3	999.970606417151520E-3	999.984504900525040E-3
