Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
900.000000000000110E+0	746.995820560382610E-3	93.330208746840934E-3	482.819459727048150E-3	120.030331129422030E-3	760.784974935086120E-3	25.748058301034424E-3
901.000000000000110E+0	745.363800820949440E-3	95.221370506727285E-3	480.308999112840420E-3	122.323838718482530E-3	758.157950859638330E-3	27.571044169853350E-3
902.000000000000110E+0	744.338334390070580E-3	94.691520956952727E-3	477.669953068923400E-3	125.531597387490980E-3	757.280993584902530E-3	28.166321529277560E-3
903.000000000000110E+0	742.830722749119320E-3	94.746206877370537E-3	476.354900672937620E-3	126.459140581152460E-3	755.822228032724250E-3	27.810022723216702E-3
904.000000000000110E+0	742.228224218432370E-3	94.235946504336990E-3	472.763112456507590E-3	126.227592428614090E-3	754.028134373546650E-3	29.341327421674265E-3
905.000000000000110E+0	739.003212846721210E-3	91.238536811154888E-3	467.849525542454010E-3	129.995391794107910E-3	752.676116215772460E-3	30.205415878470625E-3
906.000000000000110E+0	734.726545640212340E-3	91.604838260313265E-3	464.873394196973100E-3	135.997609396209080E-3	750.391292342773130E-3	30.653430656159879E-3
907.000000000000110E+0	732.424810733536490E-3	92.501557272472723E-3	463.349494555077460E-3	136.743605678406130E-3	748.940962472414820E-3	30.064442202732595E-3
908.000000000000110E+0	728.833164288654300E-3	93.883206060898325E-3	460.732797051396690E-3	136.928735334142180E-3	746.206013161494370E-3	29.531399683098647E-3
909.000000000000110E+0	725.883700110942940E-3	94.874443037041706E-3	457.607923338246680E-3	139.515936166043570E-3	743.814500655701200E-3	30.143703810331053E-3
910.000000000000110E+0	723.531621173075120E-3	94.105349932593188E-3	454.353461885856120E-3	144.944350470071430E-3	741.655278569606450E-3	30.156659018847391E-3
911.000000000000110E+0	721.466468759066060E-3	94.450100989719149E-3	451.617281450023000E-3	150.203624808932150E-3	739.066091934051590E-3	31.736160093536907E-3
912.000000000000110E+0	719.273226366596850E-3	94.977700375947730E-3	449.414622491057130E-3	153.541822326038250E-3	736.759909882603870E-3	34.408194023712250E-3
913.000000000000110E+0	716.928200654774360E-3	95.109643713298692E-3	447.012417860150390E-3	154.185077801352240E-3	735.386641639176000E-3	34.930978063622303E-3
914.000000000000110E+0	715.451377577837170E-3	94.970476972189341E-3	444.124797918985290E-3	154.537834184265310E-3	733.389871297289160E-3	34.595532606428316E-3
915.000000000000110E+0	713.645522671944370E-3	95.204519860305925E-3	441.075724959957280E-3	155.016066323945430E-3	730.543641416515840E-3	36.063501571195658E-3
916.000000000000110E+0	711.648434189825040E-3	95.712814108742078E-3	437.860043942313930E-3	158.365864600498510E-3	727.217329451098400E-3	37.993003355907440E-3
917.000000000000110E+0	709.195271034626540E-3	94.367268221081643E-3	435.877099825283940E-3	162.009699560108630E-3	724.019438335220420E-3	38.797088472544795E-3
918.000000000000110E+0	705.583651293382630E-3	93.513736957733670E-3	433.436233867045830E-3	163.063008876536440E-3	720.945935630187050E-3	40.387880212222081E-3
919.000000000000110E+0	702.290280571075450E-3	94.976182255357922E-3	430.513722334309400E-3	164.958871091072240E-3	718.640793894722350E-3	42.168532963743385E-3
920.000000000000110E+0	700.919357694600010E-3	97.011563513006438E-3	428.119008200986690E-3	167.165629655699230E-3	715.712572010865580E-3	43.325007312848517E-3
921.000000000000110E+0	700.158216852816430E-3	96.911591280674447E-3	426.317648882744980E-3	167.590745802990550E-3	713.631189485605780E-3	46.178205977544060E-3
922.000000000000110E+0	697.553730736644510E-3	96.618516960219308E-3	423.964411741318550E-3	166.474313880624840E-3	712.751568438279470E-3	48.701236708048441E-3
923.000000000000110E+0	695.181429458449960E-3	96.523779063913684E-3	420.563009056572400E-3	166.080425144796210E-3	711.870847512332760E-3	49.893617793664038E-3
924.000000000000110E+0	692.338953097125120E-3	94.746958159958497E-3	416.756871318419210E-3	167.004918961440790E-3	710.596687816882120E-3	50.254024106979538E-3
925.000000000000110E+0	689.283089803253590E-3	94.894310253184955E-3	413.681331262648440E-3	166.600888552652950E-3	709.775214035307190E-3	51.091579307142712E-3
926.000000000000110E+0	687.383384134620970E-3	95.269594515257919E-3	410.880542621870400E-3	166.120125268625960E-3	709.280492262264310E-3	51.385842196470070E-3
927.000000000000110E+0	684.413104314382180E-3	94.375486717030915E-3	408.293505518232240E-3	166.780040298657840E-3	707.944747013698690E-3	50.548425205919879E-3
928.000000000000110E+0	680.375756978874090E-3	94.816421229108841E-3	404.079077276388590E-3	167.846285719046220E-3	704.236689304140740E-3	50.544623162144107E-3
929.000000000000110E+0	678.116143729963870E-3	95.400555103476836E-3	399.876096222845310E-3	170.772094916207710E-3	701.455975067872490E-3	54.165144748244735E-3
930.000000000000110E+0	676.066330248384690E-3	93.333084201663224E-3	397.160291631069420E-3	171.653969177305690E-3	700.493712322352020E-3	56.837829361518613E-3
931.000000000000110E+0	672.804051001680610E-3	93.239510696942737E-3	394.341580306052040E-3	170.491708670242630E-3	699.647617005040080E-3	57.982880181570745E-3
932.000000000000110E+0	670.348336872613530E-3	94.236944812865236E-3	389.960515001671230E-3	168.609233060373040E-3	698.957437713587870E-3	56.954789063610622E-3
933.000000000000110E+0	667.066765267362640E-3	93.092736099879281E-3	384.814676230043120E-3	169.306716214279810E-3	697.856733179149870E-3	55.285976321593093E-3
934.000000000000110E+0	663.082952153605580E-3	92.663159390336203E-3	380.873349095363800E-3	172.060454428052430E-3	696.002034864411810E-3	55.173374770753313E-3
935.000000000000110E+0	660.151050598228540E-3	93.859295222475075E-3	378.125496723492830E-3	175.458168415854570E-3	694.510142755394020E-3	57.322933248638838E-3
936.000000000000110E+0	657.605350660541380E-3	93.354570993061090E-3	375.931103945353340E-3	175.924662083552340E-3	694.093160378238650E-3	57.460364385914023E-3
937.000000000000110E+0	653.235540622578490E-3	91.446663947256451E-3	371.932869981421170E-3	172.859448833101950E-3	692.719684898129740E-3	55.468940264533473E-3
938.000000000000110E+0	648.436917722158830E-3	91.678198061408242E-3	367.241258309908220E-3	172.735246018280970E-3	691.378362781116860E-3	54.152903471706620E-3
939.000000000000110E+0	644.038732865628850E-3	93.533292549562164E-3	363.345692281081770E-3	174.863797129296870E-3	690.144158729688480E-3	52.265955695543903E-3
940.000000000000110E+0	639.858307304064340E-3	95.602590360620340E-3	359.308584041141960E-3	176.285347795011090E-3	687.962329773484260E-3	49.931846993715036E-3
941.000000000000110E+0	636.208579911009430E-3	96.484782774602693E-3	354.898799583325430E-3	175.469653733775020E-3	684.962234363311490E-3	48.155157774643548E-3
942.000000000000110E+0	632.925818665498680E-3	97.094575223786742E-3	351.044058289847750E-3	175.464197114781120E-3	682.868179011258510E-3	47.752777699103813E-3
943.000000000000110E+0	629.550747667059650E-3	98.433450447044907E-3	347.973320069383530E-3	175.379036842191000E-3	681.320490375707300E-3	46.430214859772868E-3
944.000000000000110E+0	625.477059039644570E-3	100.577945947801340E-3	343.823913072119850E-3	174.194668480789490E-3	678.587355195079620E-3	46.105097144082820E-3
945.000000000000110E+0	622.043715458034050E-3	102.785652371691170E-3	339.716661277288450E-3	174.201236223548330E-3	677.667279731517300E-3	45.916321257629233E-3
946.000000000000110E+0	619.370397049792350E-3	103.851168621706990E-3	337.004658283461270E-3	175.380086876810950E-3	677.853230756939710E-3	42.394718718125217E-3
947.000000000000110E+0	616.173916119398310E-3	105.103695893358450E-3	334.919624795737950E-3	175.689307729546080E-3	677.448712973468980E-3	38.971451907537646E-3
948.000000000000110E+0	612.248051384593040E-3	108.237031667840250E-3	332.771835439577450E-3	172.252031721593900E-3	676.839335147933930E-3	37.686236221765944E-3
949.000000000000110E+0	608.678301667940460E-3	111.025964927491700E-3	329.763803760041330E-3	165.785393274254460E-3	676.005830683538920E-3	36.088277691529835E-3
950.000000000000110E+0	605.828633246093040E-3	112.515171894250200E-3	326.321879291607440E-3	164.243178835962430E-3	674.135997198907160E-3	31.863897855072015E-3
951.000000000000110E+0	603.793585720610480E-3	114.248956728815580E-3	324.306686097349580E-3	161.835177117996280E-3	672.701063114376050E-3	25.969043375871068E-3
952.000000000000110E+0	600.680813925926200E-3	116.964369503674060E-3	321.369233335067890E-3	154.151556270569590E-3	670.813258358648020E-3	19.270875033799838E-3
953.000000000000110E+0	597.774406853504360E-3	119.469307533202410E-3	318.149066211803060E-3	148.869689336445430E-3	668.331661013143450E-3	14.838990099866447E-3
954.000000000000110E+0	595.556924539460850E-3	120.674132797774990E-3	315.549810581386150E-3	143.927099387237770E-3	666.420327518780000E-3	9.278638229347999E-3
955.000000000000110E+0	593.210011198555880E-3	123.407763712549370E-3	312.663687306668880E-3	137.847229058715440E-3	663.430960963872440E-3	3.275297278855146E-3
956.000000000000110E+0	591.091150498670780E-3	128.435831203424030E-3	310.187977004976470E-3	133.480952341250180E-3	661.149811727819060E-3	-1.324089358184389E-3
957.000000000000110E+0	590.526879438475260E-3	132.483061435390400E-3	308.808261130116830E-3	128.452907999884460E-3	659.443496482618240E-3	-7.505788266510390E-3
958.000000000000110E+0	589.981312634584980E-3	132.268318567787950E-3	307.847851200958870E-3	119.862598547545200E-3	657.552719113886240E-3	-14.537146395960251E-3
959.000000000000110E+0	588.669648582916590E-3	131.431821281868060E-3	306.795165159126250E-3	109.185757754976450E-3	655.609328462854690E-3	-21.435835037283000E-3
