Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
900.000000000000110E+0	743.744817463014680E-3	69.616107558425844E-3	479.345575834243530E-3	57.813922365258473E-3	760.532802910405370E-3	19.586571528018733E-3
901.000000000000110E+0	741.987205744910280E-3	70.867355567370616E-3	476.720016701150500E-3	58.606828145134356E-3	757.869807500517130E-3	20.900558146013746E-3
902.000000000000110E+0	741.003778175822860E-3	70.377246122169071E-3	473.911287756814680E-3	59.805312485974871E-3	756.980622160304040E-3	21.326999759369272E-3
903.000000000000110E+0	739.499078518906840E-3	70.275141619683415E-3	472.551060593679240E-3	60.079002379476762E-3	755.529971409971910E-3	21.016724045350342E-3
904.000000000000110E+0	738.935015575474700E-3	69.841102389069321E-3	469.001747625680810E-3	59.517402695528222E-3	753.703581160707010E-3	22.121012010685226E-3
905.000000000000110E+0	735.929440769182100E-3	67.332063735899492E-3	463.902040999848330E-3	60.647134363252315E-3	752.332783839821380E-3	22.731438174556012E-3
906.000000000000110E+0	731.645991525895820E-3	67.210415505989385E-3	460.581018059087580E-3	63.026965942117208E-3	750.038773807551240E-3	22.998465364502566E-3
907.000000000000110E+0	729.293534031367540E-3	67.653858708097814E-3	459.024197750755870E-3	63.162805381970791E-3	748.602515075917460E-3	22.513100433254052E-3
908.000000000000110E+0	725.623534515191570E-3	68.324721182696210E-3	456.420291625081080E-3	62.890600821422102E-3	745.880652345231380E-3	22.033305140726607E-3
909.000000000000110E+0	722.619252222989730E-3	68.764543214075283E-3	453.161542990759340E-3	63.636683258768353E-3	743.476595368323670E-3	22.417928655789870E-3
910.000000000000110E+0	720.330253006272510E-3	67.987744787261328E-3	449.589086620480640E-3	65.625616335574885E-3	741.318064540774420E-3	22.362455493096612E-3
911.000000000000110E+0	718.250823521381360E-3	68.041311381644126E-3	446.532354533606680E-3	67.579769598472977E-3	738.693935452753640E-3	23.451182741921480E-3
912.000000000000110E+0	716.031467536291990E-3	68.212254512204112E-3	444.127526370685980E-3	68.733130502218784E-3	736.323819108023140E-3	25.345576032076128E-3
913.000000000000110E+0	713.688033815155220E-3	68.084031043631602E-3	441.709514223692700E-3	68.649885400101696E-3	734.938037710145650E-3	25.682551043586861E-3
914.000000000000110E+0	712.227333878251320E-3	67.844664894911699E-3	438.832062533369650E-3	68.361224530345099E-3	732.951035913210540E-3	25.366952422509383E-3
915.000000000000110E+0	710.413758769617430E-3	67.839688829891387E-3	435.786808139556110E-3	68.100315715050944E-3	730.068629085675270E-3	26.340251309841703E-3
916.000000000000110E+0	708.391236618407300E-3	68.009924033727354E-3	432.380800243290120E-3	69.052600690612309E-3	726.692535000075910E-3	27.622523946062214E-3
917.000000000000110E+0	706.039857468205190E-3	66.825534970951742E-3	430.169336369215340E-3	70.307810375301857E-3	723.474604557123530E-3	28.082799863293498E-3
918.000000000000110E+0	702.500798198825050E-3	65.885639577342031E-3	427.686554841972210E-3	70.364619207760465E-3	720.358018944698420E-3	29.109562754451260E-3
919.000000000000110E+0	699.125164853798050E-3	66.600616008784058E-3	424.669545923563480E-3	70.695416281518972E-3	718.001950366351840E-3	30.295047776026054E-3
920.000000000000110E+0	697.623682252767830E-3	67.890676466654032E-3	422.151171695685170E-3	71.233934462141532E-3	715.040960693731350E-3	30.998552620954866E-3
921.000000000000110E+0	696.872896573524800E-3	67.747285168786878E-3	420.344729464034780E-3	71.112911350322716E-3	712.870441582803990E-3	32.942497236528569E-3
922.000000000000110E+0	694.300382682923160E-3	67.291796461066464E-3	418.103156279285960E-3	70.253634300734141E-3	711.906479679024980E-3	34.698162807926862E-3
923.000000000000110E+0	691.945495970313960E-3	66.997391518551816E-3	414.776195496698420E-3	69.526629689660710E-3	710.984975239421610E-3	35.503077637382349E-3
924.000000000000110E+0	689.233718538285190E-3	65.498909956663728E-3	410.958558140639090E-3	69.277364861001819E-3	709.699582420557310E-3	35.695314095970598E-3
925.000000000000110E+0	686.181944956384850E-3	65.310920255291477E-3	407.953558195207510E-3	68.601298756703677E-3	708.849034853498370E-3	36.247761946498619E-3
926.000000000000110E+0	684.266295433911710E-3	65.387718399669614E-3	405.224259740169010E-3	67.942031344924575E-3	708.344269033492240E-3	36.430937830469440E-3
927.000000000000110E+0	681.367423692565310E-3	64.495978849890501E-3	402.628195085124870E-3	67.779961425640897E-3	707.040489445310730E-3	35.770254531178498E-3
928.000000000000110E+0	677.319706212620390E-3	64.414177481557575E-3	398.400493900640200E-3	67.505163893317024E-3	703.337303319170990E-3	35.580223745407834E-3
929.000000000000110E+0	675.032625781970760E-3	64.594570337567020E-3	394.059437874912270E-3	67.956248808556385E-3	700.427238786459180E-3	37.975888724244379E-3
930.000000000000110E+0	673.123838458162150E-3	63.007785192529392E-3	391.323463753713850E-3	67.839840538373247E-3	699.362530823992020E-3	39.793108481379749E-3
931.000000000000110E+0	669.881622339273510E-3	62.641065575028174E-3	388.624202869645110E-3	66.906732861554616E-3	698.471833797493000E-3	40.544856300134352E-3
932.000000000000110E+0	667.373990702972210E-3	63.078120462392320E-3	384.430526616078900E-3	65.439846164648860E-3	697.824088288800940E-3	39.787454543459985E-3
933.000000000000110E+0	664.178365955630620E-3	62.009414775267349E-3	379.312527270138140E-3	64.840895258884507E-3	696.790491582023660E-3	38.562039421651997E-3
934.000000000000110E+0	660.238220552479940E-3	61.355468855153285E-3	375.249404644743990E-3	65.210370071669133E-3	694.942953224099600E-3	38.381301431411628E-3
935.000000000000110E+0	657.245362138908720E-3	61.870377021960722E-3	372.320009187603880E-3	66.005318201874871E-3	693.369403247037440E-3	39.789559321070679E-3
936.000000000000110E+0	654.741890892880040E-3	61.301333814114477E-3	370.128655010507570E-3	65.794936383316960E-3	692.947634182183860E-3	39.860902713881707E-3
937.000000000000110E+0	650.506104887284440E-3	59.652988498864912E-3	366.389943265754470E-3	63.972410040062933E-3	691.654276993007080E-3	38.404725785309991E-3
938.000000000000110E+0	645.713804682139900E-3	59.364288153139808E-3	361.776093360393900E-3	63.120520260342428E-3	690.364864195105560E-3	37.421849323236757E-3
939.000000000000110E+0	641.223607140922970E-3	60.151268285449470E-3	357.804759057138210E-3	63.212708336867304E-3	689.201729503102990E-3	36.054623540415998E-3
940.000000000000110E+0	636.936427619173350E-3	61.078970175896460E-3	353.739996614675700E-3	63.013279240963255E-3	687.104897765820290E-3	34.336957546964288E-3
941.000000000000110E+0	633.249544029729440E-3	61.289249779410887E-3	349.449207767864030E-3	61.954895981654094E-3	684.168201777333510E-3	32.971717892004399E-3
942.000000000000110E+0	629.944753056571160E-3	61.357151416011363E-3	345.653991725677010E-3	61.280085384336901E-3	682.089745313142150E-3	32.596460617757748E-3
943.000000000000110E+0	626.503305474532150E-3	61.868829935913062E-3	342.635574546999670E-3	60.714862554049023E-3	680.586238913027050E-3	31.622492122131952E-3
944.000000000000110E+0	622.316086118147930E-3	62.803187367146213E-3	338.620631306167490E-3	59.589858650924830E-3	677.866253165955500E-3	31.275252987017076E-3
945.000000000000110E+0	618.760695562719180E-3	63.824647022726000E-3	334.575150173238690E-3	58.880207505941279E-3	676.953039368724750E-3	31.105055990309473E-3
946.000000000000110E+0	616.033422726555150E-3	64.206781771265306E-3	331.835105081970230E-3	58.801383827170976E-3	677.244165056256060E-3	28.728789478073762E-3
947.000000000000110E+0	612.773677022703580E-3	64.642986115978782E-3	329.763969514864420E-3	58.539554859235607E-3	676.934332313343770E-3	26.394477545446729E-3
948.000000000000110E+0	608.665230209704310E-3	66.138596583228126E-3	327.847232880996710E-3	57.037587204392760E-3	676.358750685973400E-3	25.501489642892151E-3
