Freq (Hz)	Gxymic2/mic1_Real	Gxymic2/mic1_Imag	Gxymic3/mic1_Real	Gxymic3/mic1_Imag	Gxymic4/mic1_Real	Gxymic4/mic1_Imag
900.000000000000110E+0	3.044135673963189E-6	284.937617748981410E-9	1.961952366787730E-6	236.631289691978100E-9	3.112901150441283E-6	80.168877409950008E-9
901.000000000000110E+0	3.320342568649481E-6	317.126623742424920E-9	2.133296186086752E-6	262.262373260139010E-9	3.391446573901857E-6	93.529423675961000E-9
902.000000000000110E+0	3.610574836140353E-6	342.916353963943350E-9	2.309163927953007E-6	291.405319645891740E-9	3.688472319035364E-6	103.918179617349460E-9
903.000000000000110E+0	3.911297127865269E-6	371.693444335191490E-9	2.499250984846259E-6	317.748743758710910E-9	3.996159364722198E-6	111.161941667084080E-9
904.000000000000110E+0	4.259831985175506E-6	402.621821358913720E-9	2.703561990630318E-6	343.088247588136880E-9	4.345019443988638E-6	127.525236325816740E-9
905.000000000000110E+0	4.631832994744761E-6	423.778228100555230E-9	2.919640148097073E-6	381.692238241407030E-9	4.735094037693673E-6	143.068997763440600E-9
906.000000000000110E+0	5.005257747867294E-6	459.792654979408690E-9	3.150810231295844E-6	431.164119561004500E-9	5.131172632624335E-6	157.337327337924610E-9
907.000000000000110E+0	5.391264672341282E-6	500.127645975877560E-9	3.393252274651143E-6	466.919465435451400E-9	5.534052570517482E-6	166.428349910543780E-9
908.000000000000110E+0	5.798021197061589E-6	545.941749209213610E-9	3.646921041934230E-6	502.512836707821000E-9	5.960047285594618E-6	176.059722267583690E-9
909.000000000000110E+0	6.258567021598148E-6	595.566062059563130E-9	3.924712487519993E-6	551.140513384507750E-9	6.439342157657966E-6	194.164435006970190E-9
910.000000000000110E+0	6.761959223854646E-6	638.221643551175600E-9	4.220320997116093E-6	616.031782825519370E-9	6.959037651092229E-6	209.924966341858160E-9
911.000000000000110E+0	7.298873259262504E-6	691.436601121908860E-9	4.537561954497481E-6	686.730509694024760E-9	7.506620635431921E-6	238.311327394202110E-9
912.000000000000110E+0	7.874162927104970E-6	750.126817055037870E-9	4.883948971863846E-6	755.839442766526020E-9	8.097343842229282E-6	278.724983064790630E-9
913.000000000000110E+0	8.468694713990576E-6	807.892029132308580E-9	5.241347012521894E-6	814.602946427757350E-9	8.720906676050449E-6	304.753760673301100E-9
914.000000000000110E+0	9.099998394579742E-6	866.838876096874520E-9	5.606873451489408E-6	873.438309675360250E-9	9.364822518537498E-6	324.110337025452880E-9
915.000000000000110E+0	9.762074100440232E-6	932.211772552356410E-9	5.988271566895116E-6	935.785977629743970E-9	10.032126819233139E-6	361.950549665097110E-9
916.000000000000110E+0	10.446378483951089E-6	1.002916708163321E-6	6.376067438565819E-6	1.018278421622708E-6	10.716167191437812E-6	407.335386836561220E-9
917.000000000000110E+0	11.134909989530473E-6	1.053901290462596E-6	6.784108787012130E-6	1.108809470680817E-6	11.409819453384955E-6	442.890011850337020E-9
918.000000000000110E+0	11.835794771958643E-6	1.110047007001337E-6	7.205580264586040E-6	1.185489479967148E-6	12.136612048415959E-6	490.438727353038020E-9
919.000000000000110E+0	12.543203300654519E-6	1.194900582246530E-6	7.618872263709431E-6	1.268325811089838E-6	12.881856925694272E-6	543.531212984472090E-9
920.000000000000110E+0	13.276934457331468E-6	1.292072050651898E-6	8.034131240682580E-6	1.355682079384541E-6	13.608434938926753E-6	589.954715508733300E-9
921.000000000000110E+0	14.027995974826251E-6	1.363747461446693E-6	8.461500650094867E-6	1.431496349170660E-6	14.350133344392540E-6	663.134842555479150E-9
922.000000000000110E+0	14.728414990908940E-6	1.427482295101926E-6	8.869251952721952E-6	1.490295334655119E-6	15.101987825529254E-6	736.067513432105100E-9
923.000000000000110E+0	15.396374695661566E-6	1.490748837096003E-6	9.229086692157274E-6	1.547020537306853E-6	15.820095425020480E-6	789.977419587751180E-9
924.000000000000110E+0	16.029159306558774E-6	1.523274955740565E-6	9.557374701847580E-6	1.611135043224029E-6	16.505119708519636E-6	830.147638213035050E-9
925.000000000000110E+0	16.575049790686995E-6	1.577616203783753E-6	9.854233254605363E-6	1.657083719304029E-6	17.122529702500253E-6	875.579072639007090E-9
926.000000000000110E+0	17.072130271518276E-6	1.631393587738574E-6	10.110082961115684E-6	1.695109700204898E-6	17.672827382920490E-6	908.933274146885250E-9
927.000000000000110E+0	17.495809560792932E-6	1.656095263961071E-6	10.338469293384879E-6	1.740417234708680E-6	18.155067373656287E-6	918.492491845633170E-9
928.000000000000110E+0	17.827080989898159E-6	1.695383654614839E-6	10.485823382985170E-6	1.776722762299900E-6	18.511868151410545E-6	936.473023205739780E-9
929.000000000000110E+0	18.130909039838176E-6	1.734965443931195E-6	10.584004809924083E-6	1.825230397051098E-6	18.812970061614666E-6	1.020004959930224E-6
930.000000000000110E+0	18.351302709756225E-6	1.717774461513549E-6	10.668539021947011E-6	1.849498057396843E-6	19.066657829516578E-6	1.084875940513102E-6
931.000000000000110E+0	18.432271837680769E-6	1.723613710805952E-6	10.693165371661729E-6	1.840968096385332E-6	19.218926455235097E-6	1.115619232824037E-6
932.000000000000110E+0	18.413233811618847E-6	1.740361771138343E-6	10.606533350399579E-6	1.805501547704967E-6	19.253300806906612E-6	1.097754926380996E-6
933.000000000000110E+0	18.319549007326449E-6	1.710360606607037E-6	10.462202271598023E-6	1.788442281493183E-6	19.219061873084212E-6	1.063628494577125E-6
934.000000000000110E+0	18.125738750402011E-6	1.684412026989791E-6	10.301869356963097E-6	1.790245913470662E-6	19.078585990241105E-6	1.053699381192828E-6
935.000000000000110E+0	17.830893626162513E-6	1.678527038515624E-6	10.100832999177567E-6	1.790687257634798E-6	18.810789568673373E-6	1.079472246559799E-6
936.000000000000110E+0	17.436643474034440E-6	1.632535686302013E-6	9.856836863689053E-6	1.752174401003195E-6	18.454100722260325E-6	1.061547911091931E-6
937.000000000000110E+0	16.935152178163310E-6	1.552994553810605E-6	9.538471937858075E-6	1.665436099379216E-6	18.006418792778285E-6	999.822597958277870E-9
938.000000000000110E+0	16.350915677755002E-6	1.503236360789527E-6	9.160954798987809E-6	1.598348380686272E-6	17.481687669416494E-6	947.610627089946690E-9
