Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
900.000000000000110E+0	4.093251706036739E-6	2.284045722936593E-6	954.196855607167230E-9	2.369148614020754E-6
901.000000000000110E+0	4.475229101029940E-6	2.486290470281153E-6	1.032420736182849E-6	2.572377245685458E-6
902.000000000000110E+0	4.872868527322381E-6	2.699761903688418E-6	1.111835507921948E-6	2.794465850296057E-6
903.000000000000110E+0	5.289362414401826E-6	2.918656858858727E-6	1.200230326058591E-6	3.021639467495892E-6
904.000000000000110E+0	5.765004645503666E-6	3.175956833984443E-6	1.288507125817670E-6	3.277741974095735E-6
905.000000000000110E+0	6.294041280800677E-6	3.437338003163054E-6	1.377659756322629E-6	3.565708672472038E-6
906.000000000000110E+0	6.841310080949605E-6	3.693097190792277E-6	1.478456858655937E-6	3.852253395551689E-6
907.000000000000110E+0	7.392656353624588E-6	3.965761691370840E-6	1.587149749358419E-6	4.146633837868639E-6
908.000000000000110E+0	7.990797369705687E-6	4.244693823564510E-6	1.696244189142944E-6	4.449463070363338E-6
909.000000000000110E+0	8.661293453728278E-6	4.563697407820498E-6	1.813718247786423E-6	4.791947312966173E-6
910.000000000000110E+0	9.387549339094545E-6	4.914363364752610E-6	1.937938159138682E-6	5.163645471561905E-6
911.000000000000110E+0	10.162148745443133E-6	5.289539324758172E-6	2.072653247471639E-6	5.550755556576422E-6
912.000000000000110E+0	10.997095812495189E-6	5.689391221911367E-6	2.221121960569157E-6	5.969390375314424E-6
913.000000000000110E+0	11.866304564300932E-6	6.099114948729275E-6	2.371126183998574E-6	6.417220527399477E-6
914.000000000000110E+0	12.777024014200371E-6	6.540183888034232E-6	2.520227561200735E-6	6.872259121676681E-6
915.000000000000110E+0	13.741545302803806E-6	6.998430672379684E-6	2.673387339654735E-6	7.333780442409195E-6
916.000000000000110E+0	14.746747987451185E-6	7.468394573667131E-6	2.827267434812541E-6	7.798744589714701E-6
917.000000000000110E+0	15.771088754303845E-6	7.932194191738234E-6	2.996330953892413E-6	8.267270127405174E-6
918.000000000000110E+0	16.848220720301311E-6	8.387857857307007E-6	3.165224154968041E-6	8.757082454438262E-6
919.000000000000110E+0	17.941521894613073E-6	8.848967403614329E-6	3.325318712464666E-6	9.265801928462536E-6
920.000000000000110E+0	19.031825977071022E-6	9.350106691994275E-6	3.488265069174753E-6	9.748947909683059E-6
921.000000000000110E+0	20.130192343337989E-6	9.868253660296697E-6	3.658596787928819E-6	10.251692478056210E-6
922.000000000000110E+0	21.213567468621465E-6	10.322123267846679E-6	3.813050129088400E-6	10.776806198664832E-6
923.000000000000110E+0	22.251092760261123E-6	10.753446246821291E-6	3.935622971241376E-6	11.275966070596192E-6
924.000000000000110E+0	23.256691254372613E-6	11.147704843669240E-6	4.039368415634666E-6	11.743411658410441E-6
925.000000000000110E+0	24.155589658348870E-6	11.476590654909362E-6	4.133800258726054E-6	12.169123597264962E-6
926.000000000000110E+0	24.949657234552617E-6	11.788611168241505E-6	4.212071499358556E-6	12.551644038151849E-6
927.000000000000110E+0	25.677732732567331E-6	12.027996878762906E-6	4.280570143033524E-6	12.869314117872250E-6
928.000000000000110E+0	26.320240862069153E-6	12.183933509442800E-6	4.297566312984762E-6	13.053505413914649E-6
929.000000000000110E+0	26.859415026864863E-6	12.351073812716617E-6	4.294844428717212E-6	13.215919595175061E-6
930.000000000000110E+0	27.263095475346372E-6	12.461025350592807E-6	4.300379730963492E-6	13.377767604385906E-6
931.000000000000110E+0	27.515952726459160E-6	12.455516748353748E-6	4.278875985584444E-6	13.469245636024105E-6
932.000000000000110E+0	27.590713673678658E-6	12.398353271935380E-6	4.195697844543161E-6	13.479208635926231E-6
933.000000000000110E+0	27.582490212964732E-6	12.273603241359221E-6	4.084479555776558E-6	13.432783615649480E-6
934.000000000000110E+0	27.453685399147532E-6	12.070808980050008E-6	3.982555366165576E-6	13.299082228923051E-6
935.000000000000110E+0	27.129892463552191E-6	11.823191117899110E-6	3.879001943694389E-6	13.085950028656686E-6
936.000000000000110E+0	26.631480266854846E-6	11.516645083202329E-6	3.763672505892184E-6	12.830123486689747E-6
937.000000000000110E+0	26.034044608022014E-6	11.109160860759009E-6	3.601395082151180E-6	12.492711271962842E-6
938.000000000000110E+0	25.322487432739644E-6	10.647357337087903E-6	3.415146180414856E-6	12.104251308731771E-6
939.000000000000110E+0	24.530223973923691E-6	10.174790768800007E-6	3.238482427433272E-6	11.683720162760662E-6
940.000000000000110E+0	23.718769897832812E-6	9.710906832091872E-6	3.062156250188178E-6	11.225908007574632E-6
941.000000000000110E+0	22.916773043761361E-6	9.275824158352673E-6	2.886439933148701E-6	10.751937173369126E-6
942.000000000000110E+0	22.185708957560046E-6	8.887486118791488E-6	2.733987751012589E-6	10.345394645012246E-6
943.000000000000110E+0	21.579721812162448E-6	8.552780569401801E-6	2.612989923999438E-6	10.017255302101030E-6
944.000000000000110E+0	21.207435055897499E-6	8.296805641962239E-6	2.507034456521129E-6	9.765616630737989E-6
945.000000000000110E+0	21.090582036322184E-6	8.160755728090260E-6	2.434009446590675E-6	9.685490035651698E-6
946.000000000000110E+0	21.261950399077683E-6	8.156502791540090E-6	2.414765197416850E-6	9.769547329026149E-6
947.000000000000110E+0	21.786828832913771E-6	8.271811723938493E-6	2.443853751724852E-6	9.998776605007410E-6
948.000000000000110E+0	22.734299855968200E-6	8.521899470108928E-6	2.517530309905005E-6	10.414843879527220E-6
949.000000000000110E+0	24.117622725660550E-6	8.935320555685591E-6	2.622650773235495E-6	11.021364883938951E-6
950.000000000000110E+0	25.852217957154335E-6	9.488496456378782E-6	2.752898469516321E-6	11.748781979647327E-6
951.000000000000110E+0	27.848419884424798E-6	10.152606372808760E-6	2.928952725654002E-6	12.602154113292276E-6
952.000000000000110E+0	30.166641230676432E-6	10.884650267398033E-6	3.115555925445209E-6	13.574699782857338E-6
953.000000000000110E+0	32.739020544196687E-6	11.698773072870892E-6	3.313805297516667E-6	14.623446933766782E-6
954.000000000000110E+0	35.373160360245551E-6	12.546437282915608E-6	3.522165106777889E-6	15.709788357724064E-6
955.000000000000110E+0	38.045999133463646E-6	13.388315466603692E-6	3.719322901357914E-6	16.745590406065596E-6
956.000000000000110E+0	40.593211977934903E-6	14.182811516021512E-6	3.905740070408514E-6	17.744067211249995E-6
957.000000000000110E+0	42.878004467211681E-6	14.952503273182182E-6	4.088955504686557E-6	18.646174501134033E-6
958.000000000000110E+0	44.798325462129998E-6	15.593309256238962E-6	4.245550718438917E-6	19.369701883454891E-6
959.000000000000110E+0	46.271481225986988E-6	16.034546855814625E-6	4.355223275042776E-6	19.888574247335840E-6
960.000000000000110E+0	47.150130678199071E-6	16.328610042452890E-6	4.385312107266345E-6	20.144864319643328E-6
961.000000000000110E+0	47.484817612150477E-6	16.487024923190193E-6	4.362201034580551E-6	20.185199098430407E-6
962.000000000000110E+0	47.403202719622115E-6	16.480644574739593E-6	4.337810136704568E-6	20.029878516553061E-6
963.000000000000110E+0	47.011360268186866E-6	16.303092259755130E-6	4.309353656839806E-6	19.724103026931326E-6
964.000000000000110E+0	46.416935115970047E-6	16.049532198354774E-6	4.258054414210913E-6	19.338560414362974E-6
965.000000000000110E+0	45.737093907228483E-6	15.805296733553126E-6	4.189701370578776E-6	18.943580188251990E-6
966.000000000000110E+0	45.292199184750317E-6	15.586315691523144E-6	4.130602018710643E-6	18.708840082217811E-6
967.000000000000110E+0	45.439879252924771E-6	15.584376765818809E-6	4.135836788903312E-6	18.730327004504321E-6
968.000000000000110E+0	46.398741425618090E-6	15.904599240557260E-6	4.264654170845984E-6	19.069033169363886E-6
969.000000000000110E+0	48.361559165354034E-6	16.565063572881193E-6	4.533199763518698E-6	19.839705586618786E-6
970.000000000000110E+0	51.429114504602298E-6	17.597257212571606E-6	4.939094813196936E-6	21.104084229095930E-6
971.000000000000110E+0	55.530038669123132E-6	19.005090844882976E-6	5.485652730234633E-6	22.829767078297777E-6
972.000000000000110E+0	60.498523450070448E-6	20.696526835218720E-6	6.181348922257649E-6	24.908023499873135E-6
973.000000000000110E+0	65.818352448121062E-6	22.399580264618480E-6	6.998680095876511E-6	27.131260990832253E-6
974.000000000000110E+0	70.783325427159127E-6	23.911185765385742E-6	7.878225644325520E-6	29.292192031636439E-6
975.000000000000110E+0	74.696873735255646E-6	25.109553313810490E-6	8.801710656614547E-6	31.004396911110414E-6
976.000000000000110E+0	76.698664265929605E-6	25.685454984335637E-6	9.715082620055629E-6	31.892732733191680E-6
977.000000000000110E+0	76.159871835155976E-6	25.347470032160972E-6	10.456361738075325E-6	31.693533972630757E-6
978.000000000000110E+0	72.824105990135904E-6	23.967801315027664E-6	10.897523937245688E-6	30.213018835447955E-6
979.000000000000110E+0	66.786017320561537E-6	21.682297836657037E-6	11.002974170183595E-6	27.554735523655085E-6
980.000000000000110E+0	58.817527770474997E-6	18.736962541683099E-6	10.773802528975346E-6	24.073438447208449E-6
981.000000000000110E+0	49.991076953708064E-6	15.436931704190706E-6	10.274975416110230E-6	20.179446042454922E-6
982.000000000000110E+0	41.326808940409447E-6	12.204973991841843E-6	9.601362599660335E-6	16.336680072522132E-6
983.000000000000110E+0	33.734899283723327E-6	9.409286261366654E-6	8.894476301046023E-6	12.921694404154023E-6
984.000000000000110E+0	27.723626151366456E-6	7.197424971008392E-6	8.302378418937969E-6	10.077730813732395E-6
985.000000000000110E+0	23.351594674018203E-6	5.515623182811526E-6	7.869677062540880E-6	7.839672357343701E-6
986.000000000000110E+0	20.498140048985978E-6	4.283086757263486E-6	7.634350231421259E-6	6.126017143020124E-6
987.000000000000110E+0	18.925209751591549E-6	3.418383802392326E-6	7.622728970154339E-6	4.812645382484338E-6
988.000000000000110E+0	18.277679532719189E-6	2.797389187877380E-6	7.763724238563859E-6	3.797143576613259E-6
989.000000000000110E+0	18.290388364827140E-6	2.330378293716869E-6	7.967558565957257E-6	2.958318936697269E-6
990.000000000000110E+0	18.810393566248613E-6	2.003811986672595E-6	8.190532265995361E-6	2.245434047233090E-6
991.000000000000110E+0	19.645773559516213E-6	1.795294886963921E-6	8.388591456066147E-6	1.654766544430573E-6
992.000000000000110E+0	20.646409332216687E-6	1.650842126192828E-6	8.474288780310903E-6	1.167023786700461E-6
993.000000000000110E+0	21.624140051928488E-6	1.561980546641453E-6	8.412650358933052E-6	770.499803569019470E-9
994.000000000000110E+0	22.445036264899882E-6	1.514230642997348E-6	8.239634291070287E-6	471.693330777127710E-9
995.000000000000110E+0	23.039809381602675E-6	1.478109236375946E-6	7.948723818961669E-6	263.364843602016160E-9
996.000000000000110E+0	23.527507576747980E-6	1.471662978682827E-6	7.634139155450148E-6	128.091754931878000E-9
997.000000000000110E+0	24.089559892197474E-6	1.499112598637821E-6	7.396863062004512E-6	51.783943921261939E-9
998.000000000000110E+0	24.980524614644462E-6	1.561146355179726E-6	7.282346497952507E-6	13.386748494846228E-9
999.000000000000110E+0	26.472639735014542E-6	1.669020347256336E-6	7.345709219025382E-6	430.339517383542440E-12
1.000000000000000E+3	28.778088718626712E-6	1.842434468620993E-6	7.619693295487438E-6	5.524027932935062E-9
1.001000000000000E+3	32.099051568927275E-6	2.090516928114385E-6	8.146614375701690E-6	27.249117441571450E-9
