channel name	cDAQ6Mod1/ai0	cDAQ6Mod1/ai1	cDAQ6Mod1/ai2	cDAQ6Mod1/ai3
description				
x-axis units	Frequency-CB (Hz)	Frequency-CB (Hz)	Frequency-CB (Hz)	Frequency-CB (Hz)
spectrum type	Power [Magnitude^2]	Power [Magnitude^2]	Power [Magnitude^2]	Power [Magnitude^2]
linear/dB	linear	linear	linear	linear
window	1	1	1	1
window size	25600	25600	25600	25600
FFT size	25600	25600	25600	25600
engineering units	Pa	Pa	Pa	Pa
custom label	Pa	Pa	Pa	Pa
dB reference	2.000000E-5	2.000000E-5	2.000000E-5	2.000000E-5
peak units	rms	rms	rms	rms
weighting filter	Linear	Linear	Linear	Linear
spectral density?	False	False	False	False
unit label	Pa^2 rms|SV Units|dB rms ref 20.0E-6 Pa	Pa^2 rms|SV Units|dB rms ref 20.0E-6 Pa	Pa^2 rms|SV Units|dB rms ref 20.0E-6 Pa	Pa^2 rms|SV Units|dB rms ref 20.0E-6 Pa
spectrum skewed?	False	False	False	False
complimentary spectrum units	none	none	none	none
