Freq (Hz)	Gxymic2/mic1_Real	Gxymic2/mic1_Imag	Gxymic3/mic1_Real	Gxymic3/mic1_Imag	Gxymic4/mic1_Real	Gxymic4/mic1_Imag
900.000000000000110E+0	3.959641592952183E-9	1.043053086800726E-9	2.771024902985699E-9	534.616655871927820E-12	4.426695627982426E-9	118.069513851124660E-12
901.000000000000110E+0	3.343088913325710E-9	538.487919798076950E-12	2.203697876533880E-9	430.420258767406090E-12	3.039500540834047E-9	59.708114457290610E-12
902.000000000000110E+0	8.099109345771588E-9	687.078045282690470E-12	5.019498109849876E-9	558.238025751192820E-12	8.327040164042591E-9	403.754807588758690E-12
903.000000000000110E+0	26.047704345154287E-9	3.001299552852930E-9	16.877265762243624E-9	2.062390016637473E-9	26.979236795975941E-9	276.904983286924070E-12
904.000000000000110E+0	20.886051330896113E-9	2.211274061259499E-9	14.205309655090045E-9	1.551652445676481E-9	21.554673735570021E-9	980.627896026801200E-12
905.000000000000110E+0	13.631098465795590E-9	2.382901166752897E-9	9.039811688291778E-9	1.162358840231327E-9	14.414755645908908E-9	878.927796790759980E-12
906.000000000000110E+0	25.866120778240974E-9	2.812945381279048E-9	16.371452981485756E-9	2.633598840401278E-9	26.644687620952790E-9	967.293181283832260E-12
907.000000000000110E+0	6.054531338210209E-9	240.122755754752120E-12	3.988777082258415E-9	796.413904340792330E-12	6.641126074156354E-9	210.703342732879190E-12
908.000000000000110E+0	5.173920704447191E-9	746.101602511407840E-12	3.491395981353353E-9	527.580666347764780E-12	5.500763412871352E-9	-24.932040650482736E-12
909.000000000000110E+0	20.898898020541404E-9	2.919623198780778E-9	12.968702270630060E-9	1.500836429782957E-9	20.788776413001066E-9	1.420272303912988E-9
910.000000000000110E+0	31.538247789372453E-9	3.902028170485545E-9	18.933603825533211E-9	3.259729293682536E-9	31.136247310123886E-9	2.280066751646756E-9
911.000000000000110E+0	30.201055062183145E-9	2.803094139186680E-9	18.383062888271759E-9	3.425369688903951E-9	29.466897441805184E-9	1.048208709933940E-9
912.000000000000110E+0	22.119778886430753E-9	1.765441008466427E-9	13.021473734750456E-9	2.239332448915524E-9	21.119527380242359E-9	255.938173720307170E-12
913.000000000000110E+0	8.972776540686139E-9	994.364098449990430E-12	5.400734970886249E-9	833.458488000383850E-12	8.322695625383361E-9	-246.468975259339120E-12
914.000000000000110E+0	4.114775340517550E-9	94.322503572336173E-12	1.943937853313649E-9	-88.246805810223012E-12	3.743850930081916E-9	-228.143082171507920E-12
915.000000000000110E+0	3.039121670983579E-9	134.785776369319680E-12	1.578658597053688E-9	-14.687074292415756E-12	2.850264007285581E-9	79.816277357028088E-12
916.000000000000110E+0	4.702232669232325E-9	581.580793861364170E-12	3.002692044981823E-9	122.274474300227680E-12	4.966831171821507E-9	338.277744411488010E-12
917.000000000000110E+0	8.488171860525214E-9	808.104612155402190E-12	5.600176156004783E-9	907.344362190494900E-12	9.065555212543101E-9	101.892911787783540E-12
918.000000000000110E+0	5.880190287153382E-9	297.214160660440620E-12	3.867540761327262E-9	771.812560665024960E-12	6.311194989501540E-9	208.205622112150920E-12
919.000000000000110E+0	4.466031843217044E-9	609.617131853152730E-12	2.824351863926564E-9	712.175766763215780E-12	4.675995758341210E-9	101.244389116545400E-12
920.000000000000110E+0	7.574874683057334E-9	1.140654373805107E-9	4.361130753849730E-9	909.105896335319930E-12	7.915778988014370E-9	206.964893826759300E-12
921.000000000000110E+0	5.477952383318263E-9	338.742203595167480E-12	3.157179103544424E-9	547.327622140650740E-12	6.182955133529469E-9	-292.728093843561100E-12
922.000000000000110E+0	3.388243668633194E-9	369.438071759348590E-12	2.128933215304376E-9	357.877326765553150E-12	4.011214580058223E-9	15.053941914022824E-12
923.000000000000110E+0	1.577830413139635E-9	133.659039874930800E-12	930.772391909105120E-12	209.998394428312200E-12	1.600072092649545E-9	161.843828705619900E-12
