Freq (Hz)	Coh_mic1/mic2	Coh_mic3/mic2	Coh_mic4/mic2
900.000000000000110E+0	990.270911267696060E-3	986.047603776607380E-3	986.094920196308950E-3
901.000000000000110E+0	996.072596280831330E-3	990.430625434417620E-3	996.057430619203270E-3
902.000000000000110E+0	991.115951854026230E-3	984.351559930350280E-3	989.943978522514260E-3
903.000000000000110E+0	952.195784562582030E-3	919.745744809022160E-3	925.823486643749920E-3
904.000000000000110E+0	932.500911350766290E-3	868.315570408832000E-3	835.624323999520250E-3
905.000000000000110E+0	942.678134471355730E-3	888.082442497287960E-3	943.880165828654300E-3
906.000000000000110E+0	989.053752621289470E-3	985.777180253421200E-3	989.213706095181670E-3
907.000000000000110E+0	991.944613309161950E-3	975.019950463611560E-3	990.914469724935690E-3
908.000000000000110E+0	942.317492158818100E-3	898.488923655001330E-3	913.611387492877180E-3
909.000000000000110E+0	853.497467553598120E-3	833.209770916328530E-3	855.554731175679040E-3
910.000000000000110E+0	901.623585715420890E-3	820.770261460570190E-3	929.096689204569110E-3
911.000000000000110E+0	963.244777353744470E-3	940.826240067852650E-3	948.065111030918620E-3
912.000000000000110E+0	962.433290392796680E-3	936.237660236201140E-3	953.384589538582630E-3
913.000000000000110E+0	900.439148779326630E-3	845.986004769558650E-3	923.593862383386140E-3
914.000000000000110E+0	957.464482106626600E-3	941.330693198797030E-3	965.521170992730490E-3
915.000000000000110E+0	988.613836842461070E-3	978.361673989666670E-3	989.463942697656690E-3
916.000000000000110E+0	992.327524938846570E-3	983.163601554821080E-3	985.410377750057240E-3
917.000000000000110E+0	995.156823795861460E-3	984.498383722273270E-3	989.352530681659740E-3
918.000000000000110E+0	990.045258342501570E-3	985.728558020554810E-3	981.161989947667230E-3
919.000000000000110E+0	980.920895699699310E-3	973.811741520505420E-3	971.546890272550480E-3
920.000000000000110E+0	947.985245824876980E-3	896.737310752378280E-3	915.083721885671330E-3
921.000000000000110E+0	941.964164781057710E-3	819.806228788802270E-3	876.211580640674280E-3
922.000000000000110E+0	969.435744789898690E-3	940.564383696490650E-3	950.540922530855200E-3
923.000000000000110E+0	973.951479417877960E-3	955.529339472243280E-3	942.212291319020180E-3
924.000000000000110E+0	988.733969470827370E-3	961.425688964921200E-3	978.139629540337060E-3
925.000000000000110E+0	983.406305309564740E-3	929.172345896571270E-3	951.634841002118370E-3
926.000000000000110E+0	981.885794345385700E-3	931.365780001512380E-3	965.867897459957160E-3
927.000000000000110E+0	970.121169366220060E-3	921.849413449496110E-3	946.045638456639140E-3
928.000000000000110E+0	972.292309245500920E-3	945.944808681733250E-3	977.512355371822130E-3
929.000000000000110E+0	950.599117863504820E-3	881.258756805743060E-3	942.866912665865310E-3
