Freq (Hz)	mic1/mic2_Mod	mic1/mic2_Phase(rad)	mic3/mic2_Mod	mic3/mic2_Phase(rad)	mic4/mic2_Mod	mic4/mic2_Phase(rad)
900.000000000000110E+0	1.297772571172216E+0	-89.482999568698804E-3	646.536291934357020E-3	99.911359138084022E-3	1.017607907704313E+0	-59.113973628692598E-3
901.000000000000110E+0	1.354180940557524E+0	-94.562718270828391E-3	644.209045426492380E-3	54.585797751031534E-3	1.024805880010834E+0	-61.125084680708305E-3
902.000000000000110E+0	1.358449893968078E+0	-102.061312775744080E-3	641.495018129306650E-3	58.943929626616855E-3	998.387677984768680E-3	-53.247150817876510E-3
903.000000000000110E+0	1.270719636005260E+0	-126.424160099673640E-3	652.483278050700610E-3	30.375749268419690E-3	902.211470905627140E-3	-101.091265980237820E-3
904.000000000000110E+0	1.437371606868492E+0	-196.467329321400990E-3	730.195881897202640E-3	97.418452153561846E-3	973.452202366084650E-3	-145.311918952213600E-3
905.000000000000110E+0	1.414207746695171E+0	-170.579976598196210E-3	702.418595619357380E-3	25.009807186432798E-3	1.146608185214486E+0	-133.175722576406750E-3
906.000000000000110E+0	1.397253565276008E+0	-79.495895172694814E-3	620.064998095256840E-3	100.115520905044570E-3	1.047248205632429E+0	-35.598830848290151E-3
907.000000000000110E+0	1.378704517264280E+0	-61.939908657457229E-3	663.612158726749610E-3	140.822380546235300E-3	1.014772275830108E+0	-28.693218104814271E-3
908.000000000000110E+0	1.482045245291648E+0	-92.241265106906542E-3	736.668622394093140E-3	149.121246384512300E-3	1.035497105367384E+0	-161.528907635621860E-3
909.000000000000110E+0	1.406058763873568E+0	-83.112279278496376E-3	729.403692427287640E-3	176.338112709885860E-3	899.305771377140520E-3	-118.055084198557730E-3
910.000000000000110E+0	1.352598293168874E+0	-78.994719393185933E-3	635.637736638128390E-3	99.691385044864661E-3	938.770120934253270E-3	-90.919204894459121E-3
911.000000000000110E+0	1.389078015814547E+0	-114.071092849179130E-3	660.338912392457230E-3	42.324212362737139E-3	1.044711588744658E+0	-87.006128277494557E-3
912.000000000000110E+0	1.467384689019890E+0	-98.788245280364576E-3	734.886371490268140E-3	114.992380599064050E-3	1.073473671385616E+0	-31.797553119600669E-3
913.000000000000110E+0	1.505142056861582E+0	-98.995262311444496E-3	746.482700614312430E-3	128.748749357791210E-3	1.114940110423161E+0	-70.049613947201550E-3
914.000000000000110E+0	1.360931696081191E+0	-102.392634071695510E-3	653.276669073177160E-3	40.552096908491271E-3	1.017628859864529E+0	-77.077100045094687E-3
915.000000000000110E+0	1.445925318429748E+0	-70.074386870677005E-3	636.043928216765590E-3	58.071323951130460E-3	1.034987969907527E+0	-76.982717852658630E-3
916.000000000000110E+0	1.429916232332471E+0	-82.125949846709304E-3	615.540304948433260E-3	69.857909376744215E-3	1.037532800376299E+0	-46.309518391675283E-3
917.000000000000110E+0	1.393268101428873E+0	-92.770530387479733E-3	605.659486272649540E-3	44.860780650075621E-3	1.030087251370755E+0	-37.942377323162392E-3
918.000000000000110E+0	1.360142341268881E+0	-126.051581862418130E-3	603.571747140828510E-3	-31.030985196925050E-3	981.332624587510250E-3	-84.769365009343955E-3
919.000000000000110E+0	1.370296147811841E+0	-118.079571851734980E-3	589.190161494250520E-3	42.230543310210436E-3	978.163754536359510E-3	-91.189701541695659E-3
920.000000000000110E+0	1.344942339259746E+0	-39.633366446503497E-3	579.811286525586110E-3	9.288600143550783E-3	874.949426768430350E-3	51.453159075353846E-3
921.000000000000110E+0	1.428449978156679E+0	-115.921205327373820E-3	644.285044154151000E-3	33.304261273432854E-3	921.554522648820650E-3	-149.909520857374300E-3
922.000000000000110E+0	1.481283549015986E+0	-108.238289895457610E-3	666.995817887040210E-3	36.127444260813053E-3	1.097727329130864E+0	-86.437045866542120E-3
923.000000000000110E+0	1.485414716179261E+0	-119.317417176598870E-3	662.302309086596370E-3	94.296827470864694E-3	1.147245722553431E+0	-48.948111956971907E-3
924.000000000000110E+0	1.481955879176573E+0	-128.971300743606160E-3	656.923621942318130E-3	92.239131439634719E-3	1.091157922184388E+0	-8.857352871078712E-3
925.000000000000110E+0	1.519765678001525E+0	-44.448818982461460E-3	615.260910446892240E-3	84.186136571890197E-3	1.057990499718346E+0	-54.334679444807417E-3
926.000000000000110E+0	1.385007471569863E+0	-27.946001461433882E-3	553.412216133821850E-3	131.915837994473230E-3	987.468961434538220E-3	-80.637604961631540E-3
