Freq (Hz)	mic1/mic2_Real	mic1/mic2_Imag	mic3/mic2_Real	mic3/mic2_Imag	mic4/mic2_Real	mic4/mic2_Imag
900.000000000000110E+0	1.292580270266614E+0	-115.973666857750290E-3	643.312022357396820E-3	64.488903531261174E-3	1.015830429385415E+0	-60.119818337978387E-3
901.000000000000110E+0	1.348130835066284E+0	-127.864269101051250E-3	643.249538071772100E-3	35.147204437399805E-3	1.022891997226294E+0	-62.602345923956068E-3
902.000000000000110E+0	1.351380878855925E+0	-138.404604997346110E-3	640.380939822531860E-3	37.790345284613884E-3	996.972668498907090E-3	-53.136181816031906E-3
903.000000000000110E+0	1.260578155133058E+0	-160.222058814246170E-3	652.182282555666240E-3	19.816620707604576E-3	897.605345753203610E-3	-91.050433875775910E-3
904.000000000000110E+0	1.409719874782609E+0	-280.583340336907410E-3	726.733712294815540E-3	71.022090604471566E-3	963.192783048170130E-3	-140.956918862826130E-3
905.000000000000110E+0	1.393682613359836E+0	-240.067332286444500E-3	702.198929005999230E-3	17.565522329207592E-3	1.136455213137194E+0	-152.249397155295900E-3
906.000000000000110E+0	1.392840849928795E+0	-110.958967398527900E-3	616.960100616636200E-3	61.974479505526758E-3	1.046584699052103E+0	-37.272938043038689E-3
907.000000000000110E+0	1.376060626729134E+0	-85.342237437014398E-3	657.042998152162050E-3	93.142878360047615E-3	1.014354573093601E+0	-29.113087048896584E-3
908.000000000000110E+0	1.475744759807599E+0	-136.511951828378140E-3	728.493085404250730E-3	109.446259589837090E-3	1.022017570256807E+0	-166.536306283659370E-3
909.000000000000110E+0	1.401205277098292E+0	-116.726256247525150E-3	718.092596735637410E-3	127.956121541841190E-3	893.046232805794980E-3	-105.921180618474860E-3
910.000000000000110E+0	1.348380268552403E+0	-106.737032289174500E-3	632.481749496614180E-3	63.262696687265266E-3	934.892714443951720E-3	-85.234690346902245E-3
911.000000000000110E+0	1.380050321020661E+0	-158.110232021993370E-3	659.747555269431960E-3	27.939980953127105E-3	1.040759814595436E+0	-90.781672052575327E-3
912.000000000000110E+0	1.460230320490654E+0	-144.724692743718210E-3	730.032930992748350E-3	84.320215062994058E-3	1.072931030876108E+0	-34.128084347717927E-3
913.000000000000110E+0	1.497772835339303E+0	-148.758680597735590E-3	740.304303868928650E-3	95.843413908197894E-3	1.112205752007157E+0	-78.037266947299830E-3
914.000000000000110E+0	1.353803751847530E+0	-139.106013105029740E-3	652.739594900150990E-3	26.484478566365023E-3	1.014607550937802E+0	-78.358241488546088E-3
915.000000000000110E+0	1.442376720797536E+0	-101.239427979003330E-3	634.971770883981160E-3	36.915156804150882E-3	1.031922639498474E+0	-79.597512170968887E-3
916.000000000000110E+0	1.425096784317118E+0	-117.301265197355040E-3	614.038958075589170E-3	42.965392834874092E-3	1.036420467553672E+0	-48.030472541015029E-3
917.000000000000110E+0	1.387276908841021E+0	-129.068898870787120E-3	605.050146752814990E-3	27.161244935509497E-3	1.029345871156549E+0	-39.074582141364715E-3
918.000000000000110E+0	1.349350989570236E+0	-170.994431073705880E-3	603.281174188829650E-3	-18.726420266010312E-3	977.808883247563990E-3	-83.087351155052863E-3
919.000000000000110E+0	1.360754369639941E+0	-161.428244783177910E-3	588.664853169669320E-3	24.874425507993323E-3	974.099581520392110E-3	-89.074889674163521E-3
920.000000000000110E+0	1.343886157299624E+0	-53.290638501772493E-3	579.786274199479030E-3	5.385557755865912E-3	873.791499641678020E-3	44.999050616121937E-3
921.000000000000110E+0	1.418863161197113E+0	-165.217038750698100E-3	643.927765128229800E-3	21.453470993749616E-3	911.218915376635130E-3	-137.632941094508190E-3
922.000000000000110E+0	1.472615008017418E+0	-160.018719990060090E-3	666.560586349451140E-3	24.091612737165168E-3	1.093629122064127E+0	-94.766199111431804E-3
923.000000000000110E+0	1.474853592914722E+0	-176.815605952783200E-3	659.359930139566400E-3	62.360493485727912E-3	1.145871643788704E+0	-56.133090758633909E-3
924.000000000000110E+0	1.469647825974137E+0	-190.600355286922900E-3	654.131030814161680E-3	60.508177892050305E-3	1.091115120321719E+0	-9.664644384129296E-3
925.000000000000110E+0	1.518264626529148E+0	-67.529548064101552E-3	613.081926784750490E-3	51.735277846326519E-3	1.056429153763782E+0	-57.457293464068367E-3
