Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
900.000000000000110E+0	16.070633238703745E-9	9.542148824522586E-9	3.988508918186179E-9	9.880657464615006E-9
901.000000000000110E+0	51.267563691737870E-9	27.957025777354774E-9	11.602045533360728E-9	29.361111327052186E-9
902.000000000000110E+0	39.507415259708025E-9	21.409179077575695E-9	8.809668815695637E-9	21.339652785345301E-9
903.000000000000110E+0	6.836350967247528E-9	4.236286893733413E-9	1.800381275105339E-9	3.443160604314817E-9
904.000000000000110E+0	2.654726015874107E-9	1.286505777413898E-9	682.539222168025850E-12	1.209328983735815E-9
905.000000000000110E+0	4.467533589759326E-9	2.235731685686774E-9	1.099216023930823E-9	2.936889670362978E-9
906.000000000000110E+0	27.589068374616085E-9	14.131873320321743E-9	5.433152429111265E-9	15.498376826059186E-9
907.000000000000110E+0	21.007794812560849E-9	11.052109326339792E-9	4.866361426134606E-9	11.380813718029005E-9
908.000000000000110E+0	3.520292864373110E-9	1.604128182710732E-9	868.040515914145570E-12	1.716527831341425E-9
909.000000000000110E+0	2.401161396814212E-9	1.222182821313028E-9	644.855055466125250E-12	982.451652008022050E-12
910.000000000000110E+0	4.322388169610226E-9	2.368917580659462E-9	947.852144551100170E-12	2.084881522773000E-9
911.000000000000110E+0	8.156694094478690E-9	4.228761056160509E-9	1.842226515369500E-9	4.612083804187083E-9
912.000000000000110E+0	8.389398795243686E-9	3.897642927899937E-9	2.102670437482522E-9	4.488874347926258E-9
913.000000000000110E+0	5.500370563854888E-9	2.434616402214297E-9	1.347213420207843E-9	3.021675943439497E-9
914.000000000000110E+0	10.936067891466258E-9	5.907362983107810E-9	2.518785141480112E-9	6.115596558343209E-9
915.000000000000110E+0	26.231606753168250E-9	12.547216917882063E-9	5.075392939519790E-9	13.440203024281109E-9
916.000000000000110E+0	36.769759124944358E-9	17.983575107523326E-9	6.813303280516423E-9	19.357811275356193E-9
917.000000000000110E+0	45.937172592898643E-9	23.664505400469949E-9	8.680164973427599E-9	25.109208058446038E-9
918.000000000000110E+0	32.549949463393273E-9	17.595129400546784E-9	6.409554385543481E-9	16.942819032538873E-9
919.000000000000110E+0	15.437461109693267E-9	8.222185901090795E-9	2.853788647832650E-9	7.865384543050036E-9
920.000000000000110E+0	4.593582561503960E-9	2.541288389250298E-9	851.800986933416230E-12	1.941624063395218E-9
921.000000000000110E+0	4.537438679014845E-9	2.225710865550793E-9	914.841288526140310E-12	1.881985058932165E-9
922.000000000000110E+0	9.801671540086562E-9	4.468156307855063E-9	1.985943951115212E-9	5.380690205684264E-9
923.000000000000110E+0	9.768919464867378E-9	4.428194809784467E-9	1.941398109857011E-9	5.823109717660421E-9
924.000000000000110E+0	15.414512869191570E-9	7.018966893635443E-9	3.027854116842778E-9	8.355941161450942E-9
925.000000000000110E+0	12.744585328938217E-9	5.518268704260261E-9	2.086102786255115E-9	6.173046947710602E-9
926.000000000000110E+0	14.161038325230052E-9	7.382902736972586E-9	2.258269838654092E-9	7.196861015052177E-9
927.000000000000110E+0	14.521646541101907E-9	6.450712730598778E-9	2.798724415503273E-9	7.388082827066166E-9
928.000000000000110E+0	18.835273554427587E-9	8.666833098052824E-9	3.684429390507575E-9	10.194354696771085E-9
929.000000000000110E+0	9.988347179106104E-9	4.557587348540098E-9	2.001343896395374E-9	5.454316879883873E-9
930.000000000000110E+0	3.714213357511711E-9	1.505959924623328E-9	878.049801852919330E-12	1.725962309848002E-9
931.000000000000110E+0	2.603756661117319E-9	1.182366824267838E-9	467.865652743206380E-12	1.224683787971151E-9
932.000000000000110E+0	3.419353523769382E-9	1.640297145806073E-9	452.498187482519380E-12	1.996323086749768E-9
933.000000000000110E+0	7.972171940654852E-9	3.856442006139403E-9	1.301715639111500E-9	4.404302846228084E-9
934.000000000000110E+0	6.243575707850344E-9	2.930152046479146E-9	1.160275998576678E-9	3.017715119199860E-9
935.000000000000110E+0	15.850161300227991E-9	6.673828577517251E-9	2.174549071310916E-9	6.760597200414762E-9
936.000000000000110E+0	39.849790025511542E-9	17.601825239506300E-9	5.607391888610680E-9	18.246307854194411E-9
937.000000000000110E+0	35.072954350735920E-9	16.085949966251980E-9	5.153497741795626E-9	16.399963016421229E-9
938.000000000000110E+0	12.214889420830904E-9	5.443230241827470E-9	1.585032993937084E-9	5.447739530062344E-9
939.000000000000110E+0	11.931658797161049E-9	5.249894096534418E-9	1.597825122097435E-9	6.708155344743200E-9
940.000000000000110E+0	8.458336134472228E-9	3.375331250505829E-9	1.149586164984059E-9	4.739087187633812E-9
941.000000000000110E+0	5.951422897042982E-9	2.256440153835719E-9	887.310981795940970E-12	3.431951295559954E-9
942.000000000000110E+0	6.989916484620166E-9	2.835370006136951E-9	1.186865400145140E-9	3.503645630805862E-9
943.000000000000110E+0	5.583930737231378E-9	2.601371028534845E-9	836.038530645943590E-12	2.639830475003292E-9
944.000000000000110E+0	8.517911333604808E-9	3.598915704411062E-9	1.083088264080229E-9	3.593110888822658E-9
945.000000000000110E+0	3.514401848000265E-9	1.326831686694291E-9	814.276453878575560E-12	1.468969549769352E-9
946.000000000000110E+0	7.997591840649206E-9	3.033122197027841E-9	1.075032191488011E-9	3.173508776258323E-9
947.000000000000110E+0	6.682245544379636E-9	2.178189056497132E-9	742.099032884125230E-12	2.770193092887773E-9
948.000000000000110E+0	12.131777895715478E-9	4.091418623960226E-9	1.563888029488291E-9	5.542504621977014E-9
949.000000000000110E+0	17.064540857441791E-9	6.162861139299586E-9	1.641743462892345E-9	7.355909835737309E-9
950.000000000000110E+0	18.176257334373025E-9	7.113460976337942E-9	1.715626164723644E-9	7.831207553951240E-9
951.000000000000110E+0	5.779816659972579E-9	2.183134042327811E-9	681.084203534299440E-12	2.986255587538787E-9
952.000000000000110E+0	2.286895575962074E-9	776.536403075987300E-12	265.967671836061760E-12	1.066544996502949E-9
953.000000000000110E+0	2.730953200256294E-9	1.100540445617120E-9	265.550421635011230E-12	1.529902499076414E-9
954.000000000000110E+0	6.032743446937424E-9	2.530821758685943E-9	572.944153395924210E-12	2.228902795922691E-9
955.000000000000110E+0	5.944271402484121E-9	2.207499900334946E-9	633.849319726063330E-12	2.242097627975532E-9
956.000000000000110E+0	7.299655653759855E-9	2.737588849378624E-9	740.249637703503790E-12	2.862058041823770E-9
957.000000000000110E+0	17.110513322658223E-9	5.826128566512276E-9	1.707826264789135E-9	7.898509378087890E-9
958.000000000000110E+0	23.383626078354779E-9	8.127530151150684E-9	2.473936729222185E-9	11.875738754244333E-9
959.000000000000110E+0	31.317073681490928E-9	10.206423965004372E-9	3.172055021545088E-9	15.528493666348200E-9
960.000000000000110E+0	40.616477140094287E-9	14.809369715086945E-9	4.177978816753744E-9	17.441698500509503E-9
961.000000000000110E+0	31.223171183726746E-9	12.011126065672466E-9	3.105739587462923E-9	13.699585924083869E-9
962.000000000000110E+0	14.856514390741430E-9	6.227620904888436E-9	1.535213751774347E-9	6.716394653364470E-9
963.000000000000110E+0	6.633838286498812E-9	2.721755789739383E-9	824.305007370629320E-12	2.560948052916130E-9
964.000000000000110E+0	14.128950198154624E-9	5.169795073703693E-9	1.359280658051024E-9	5.478972058337993E-9
965.000000000000110E+0	37.824272729124772E-9	12.528625791387452E-9	3.116231496914677E-9	15.364143029669023E-9
966.000000000000110E+0	37.680912023593120E-9	12.838106812894229E-9	2.823529666589586E-9	15.016662068752691E-9
967.000000000000110E+0	35.105371180539108E-9	11.806160813360598E-9	3.337238733719966E-9	13.381554581213984E-9
968.000000000000110E+0	77.204192933186246E-9	27.790336191593857E-9	7.353862989245863E-9	29.546400048549798E-9
969.000000000000110E+0	48.035330606674020E-9	17.289354746200981E-9	4.695497306879590E-9	19.898879696975068E-9
970.000000000000110E+0	13.049410662922792E-9	4.508961088580544E-9	1.203173837063158E-9	5.729473375220250E-9
971.000000000000110E+0	14.247125556412894E-9	4.817747485302074E-9	1.551799060720877E-9	5.687674177031846E-9
972.000000000000110E+0	21.383782462388756E-9	7.392242363486615E-9	2.364192073121570E-9	9.315205340617368E-9
973.000000000000110E+0	22.737230775417722E-9	8.591634409771904E-9	3.160890360533097E-9	9.949602036356974E-9
