Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
20.000000000000004E+0	999.787949746938630E-3	999.178264627039960E-3	999.543568634120640E-3
21.000000000000004E+0	999.911400948110600E-3	999.737840244575020E-3	999.779874497249810E-3
22.000000000000004E+0	999.937993514444570E-3	999.789518355950980E-3	999.799141949781590E-3
23.000000000000004E+0	999.768715115995850E-3	999.053108122402670E-3	999.486788244865250E-3
24.000000000000004E+0	999.214506141498430E-3	999.311201131379720E-3	998.955901164853550E-3
25.000000000000004E+0	998.259653637340480E-3	996.504275003858850E-3	997.381375232725740E-3
26.000000000000004E+0	997.120798639097530E-3	991.500386173568500E-3	991.219917675016270E-3
27.000000000000004E+0	997.606683542049180E-3	991.336199093393430E-3	993.977033545680010E-3
28.000000000000004E+0	999.427882304708690E-3	995.040250017813040E-3	995.515285527545420E-3
29.000000000000004E+0	999.794381596648240E-3	997.276048566336560E-3	998.073002840964120E-3
30.000000000000004E+0	998.047643917185920E-3	997.908797126696000E-3	998.508536067034820E-3
31.000000000000004E+0	996.430152121942300E-3	995.048058009328500E-3	994.768416530031780E-3
32.000000000000007E+0	997.280301749920440E-3	996.941773234591770E-3	994.911895701866890E-3
33.000000000000007E+0	996.715822786620410E-3	998.580500044835890E-3	998.113353664685900E-3
34.000000000000007E+0	998.427026714774570E-3	998.568949325359670E-3	999.467284028862980E-3
35.000000000000007E+0	998.030084594195840E-3	998.699254252931490E-3	998.615781072901280E-3
36.000000000000007E+0	999.153976178805640E-3	998.800963824484020E-3	998.608444475480690E-3
37.000000000000007E+0	997.823444378604370E-3	997.382322800866920E-3	998.129142563454860E-3
38.000000000000007E+0	996.688801191739750E-3	995.958786250423220E-3	997.478861878855370E-3
39.000000000000007E+0	994.932047733640410E-3	996.626418428408380E-3	995.468205519228540E-3
40.000000000000007E+0	991.441158626675260E-3	990.170953602264040E-3	989.938830322965920E-3
41.000000000000007E+0	996.720759533058830E-3	994.192338924194670E-3	997.380822228820410E-3
42.000000000000007E+0	997.640250228323250E-3	996.065570088558450E-3	998.517249480845530E-3
43.000000000000007E+0	999.310627863113200E-3	997.734268418906220E-3	998.814630268581190E-3
44.000000000000007E+0	998.758386235135690E-3	997.059828486451690E-3	998.032390244364080E-3
45.000000000000007E+0	997.931587185831190E-3	997.166038006158660E-3	998.313527475008680E-3
46.000000000000007E+0	998.142642170220530E-3	994.656000466440650E-3	998.049349266211690E-3
47.000000000000007E+0	997.975569899270160E-3	994.387993421346870E-3	997.028874124917030E-3
48.000000000000007E+0	995.790277331153440E-3	989.713094144025530E-3	995.448520234935460E-3
49.000000000000007E+0	996.764901338087590E-3	995.996180687745540E-3	997.394779250177500E-3
50.000000000000007E+0	997.707860312919470E-3	997.654717377764230E-3	998.144089729113280E-3
51.000000000000007E+0	998.664032769494890E-3	997.510832455187680E-3	998.330450477189380E-3
52.000000000000007E+0	998.334986079439380E-3	991.537395835340510E-3	996.020718659426320E-3
53.000000000000007E+0	996.742913256367770E-3	994.274520956782480E-3	995.831531037718040E-3
54.000000000000007E+0	995.432646573260580E-3	994.650071107185400E-3	992.771847749095550E-3
55.000000000000007E+0	996.011456365822110E-3	992.772990289600420E-3	990.968869995058730E-3
56.000000000000007E+0	999.361213132287760E-3	997.429802123743990E-3	998.049248286594690E-3
57.000000000000007E+0	999.785656650838070E-3	998.884639734332060E-3	999.153492166004130E-3
58.000000000000007E+0	999.711396007116340E-3	998.502518426838790E-3	999.033546591775570E-3
59.000000000000007E+0	997.032789467105940E-3	995.359696014467500E-3	995.780663290475320E-3
60.000000000000007E+0	994.901375497872940E-3	994.589570500464480E-3	994.129597888222750E-3
61.000000000000007E+0	997.969260413571700E-3	995.529981832872220E-3	998.314192214026510E-3
62.000000000000007E+0	998.627970213193160E-3	994.735366756757890E-3	997.246589528336110E-3
63.000000000000007E+0	997.908048229203310E-3	993.052179462097560E-3	994.106646466736410E-3
64.000000000000014E+0	987.029894777913250E-3	985.060550536845490E-3	984.019491718377990E-3
65.000000000000014E+0	984.652630118163510E-3	986.078494923329110E-3	985.508802359146280E-3
66.000000000000014E+0	991.241075079910110E-3	978.035536484938790E-3	988.545072747082590E-3
67.000000000000014E+0	989.063987498151050E-3	954.138279825880060E-3	986.997023437813700E-3
68.000000000000014E+0	992.452940405978870E-3	972.606167756965400E-3	985.247213118815690E-3
69.000000000000014E+0	995.083478973232460E-3	980.796987412626000E-3	989.498712924295250E-3
70.000000000000014E+0	983.909477840053670E-3	959.684290213507540E-3	970.961622926284520E-3
71.000000000000014E+0	971.471631310645070E-3	956.021918002308850E-3	970.636374384753470E-3
72.000000000000014E+0	984.489938853976510E-3	980.823384763082060E-3	984.810763683865110E-3
73.000000000000014E+0	988.154640981529390E-3	985.571475773779350E-3	987.506238973273390E-3
74.000000000000014E+0	971.052086399516570E-3	969.459576082834060E-3	967.516178208977510E-3
75.000000000000014E+0	941.609401935983190E-3	950.236417993584600E-3	950.545618140915540E-3
76.000000000000014E+0	975.237983245898830E-3	972.339359472697670E-3	967.412724918224160E-3
77.000000000000014E+0	980.340087045602490E-3	972.851186704221660E-3	975.416699316519970E-3
78.000000000000014E+0	982.393890671549030E-3	966.916971327311580E-3	979.799154640779820E-3
79.000000000000014E+0	972.594339726158830E-3	941.513468948797840E-3	931.247992618687510E-3
80.000000000000014E+0	992.646253896752760E-3	988.300630128263630E-3	981.075204387274140E-3
81.000000000000014E+0	996.531579244778310E-3	987.117628502097940E-3	989.463708725692450E-3
82.000000000000014E+0	995.930300417659730E-3	975.854189956127720E-3	988.377172226863830E-3
83.000000000000014E+0	992.405145418218780E-3	982.845539051513510E-3	992.963398158818510E-3
84.000000000000014E+0	992.972555907084000E-3	989.093002709435790E-3	994.889969288814120E-3
85.000000000000014E+0	994.913569670590080E-3	982.405282802638720E-3	998.303206078779430E-3
86.000000000000014E+0	995.479335192607120E-3	986.943367079642140E-3	997.310082469986540E-3
87.000000000000014E+0	995.094554168493020E-3	988.652719955962820E-3	996.880039904074480E-3
88.000000000000014E+0	993.633252941097280E-3	980.429668033467320E-3	993.485311554593740E-3
