Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
20.000000000000004E+0	815.551530059059890E-3	351.355038353029610E-3	780.910069907065020E-3	5.551187428897961E-3	946.276879341507390E-3	56.759695302288478E-3
21.000000000000004E+0	825.736106570846280E-3	345.630991000901500E-3	780.474004314364310E-3	10.504149728197038E-3	950.644301963890940E-3	54.349864402481712E-3
22.000000000000004E+0	827.264608167343040E-3	336.393118962449610E-3	776.707738208578190E-3	7.531169874356865E-3	947.900532104915540E-3	48.090619302144158E-3
23.000000000000004E+0	835.887188271469240E-3	343.116151955505490E-3	772.787714023300150E-3	11.671044767925817E-3	942.747093763951050E-3	51.767111235226274E-3
24.000000000000004E+0	851.744284813672810E-3	326.470072714487190E-3	775.308195245716260E-3	14.632380415144225E-3	951.232459384395050E-3	47.690521431848452E-3
25.000000000000004E+0	864.120477749307220E-3	293.224367890424440E-3	797.570264484216530E-3	9.327210919328711E-3	962.906082445335040E-3	28.853273683567087E-3
26.000000000000004E+0	893.194671042471630E-3	294.002638963215430E-3	821.862754622272540E-3	13.078237538853902E-3	1.007702350665296E+0	30.749685842235860E-3
27.000000000000004E+0	912.748528801887730E-3	288.712626077272220E-3	890.381696534195410E-3	31.373389047455610E-3	1.096321683523390E+0	29.428970496694067E-3
28.000000000000004E+0	886.246371631313260E-3	270.634696522703780E-3	783.883696495190180E-3	-5.445175926556319E-3	967.924204494337140E-3	5.022423186244120E-3
29.000000000000004E+0	885.511824919687720E-3	275.803457668275520E-3	775.680752169272570E-3	-6.859667033526791E-3	957.403470650538430E-3	8.386656981589757E-3
30.000000000000004E+0	871.986146997992710E-3	277.753786553080470E-3	766.854648992833400E-3	17.056169364294726E-3	947.998894211119380E-3	32.009694885705778E-3
31.000000000000004E+0	912.874490975000730E-3	267.680905301282970E-3	792.859302849041160E-3	3.376824175756209E-3	978.725265587596430E-3	9.587663483002013E-3
32.000000000000007E+0	922.065648300002480E-3	245.675515323470070E-3	786.455701790853670E-3	-21.823840067962466E-3	966.436751247830020E-3	-28.144140076100829E-3
33.000000000000007E+0	920.649134911088130E-3	268.269242116210450E-3	777.185639696403530E-3	-8.676526481003416E-3	977.171494035409700E-3	-6.747263617969493E-3
34.000000000000007E+0	933.353346287398850E-3	251.066361500593190E-3	782.267913317315930E-3	14.447614711961607E-3	955.931730900735020E-3	-16.128953992722735E-3
35.000000000000007E+0	944.106148262308210E-3	252.419435657834370E-3	801.956149424567280E-3	21.386480455278252E-3	959.843411435468250E-3	-23.913741921308709E-3
36.000000000000007E+0	945.429470028807730E-3	218.267478211618430E-3	793.551994807675130E-3	6.423636673911794E-3	971.677116953185150E-3	-29.228865573522968E-3
37.000000000000007E+0	924.987382801949140E-3	201.475333776232250E-3	797.519630863278370E-3	6.994012123531146E-3	977.927672754542290E-3	-22.632208328613426E-3
38.000000000000007E+0	922.078519389680220E-3	198.418943853420400E-3	799.361250349829850E-3	-9.053511158496001E-6	969.589105448578900E-3	-40.093837419454409E-3
39.000000000000007E+0	950.068487054598010E-3	223.490682226760220E-3	806.305520157583170E-3	6.878485981595597E-3	1.006570584257080E+0	-50.884660760282974E-3
40.000000000000007E+0	920.702460151542000E-3	241.346088804184790E-3	776.207424885735800E-3	-1.746120997364164E-3	1.007033873289687E+0	18.447893308791301E-3
41.000000000000007E+0	926.457755591806870E-3	207.743293101033590E-3	793.480553222147280E-3	2.516711833396499E-3	981.626572556676070E-3	-6.707776703575628E-3
42.000000000000007E+0	927.420712793052600E-3	200.238648394463290E-3	796.157952034783010E-3	-17.413666028199836E-3	977.031616537432980E-3	-35.531852975588321E-3
43.000000000000007E+0	910.152903465216820E-3	201.087758668778480E-3	783.123648268935880E-3	-7.073782060525224E-3	971.725985743782550E-3	-40.867570604261820E-3
44.000000000000007E+0	908.545968301188940E-3	209.207540180655400E-3	761.341962122894180E-3	21.153827104454268E-3	966.038973552944100E-3	-30.359394391391417E-3
45.000000000000007E+0	925.276173712507030E-3	207.609972041955890E-3	790.860415871589620E-3	47.808317969587392E-3	964.096510209902170E-3	9.201575807185530E-3
46.000000000000007E+0	934.283168507757390E-3	194.757094959853800E-3	781.931768527506120E-3	29.911694875772117E-3	961.831954310415570E-3	-1.029934576602512E-3
47.000000000000007E+0	949.874256144614510E-3	182.074818810110390E-3	759.772692276080020E-3	18.109625094736938E-3	973.904719938732290E-3	-34.344815840701044E-3
48.000000000000007E+0	969.862451462717430E-3	171.118432082715990E-3	793.363335513272540E-3	17.297004363120649E-3	984.456741196761300E-3	-24.754435463851511E-3
49.000000000000007E+0	931.700896930707570E-3	169.962210314935770E-3	775.298672000025220E-3	3.074366227661093E-3	932.690259963586680E-3	-22.179675776956103E-3
50.000000000000007E+0	932.938428668421030E-3	168.878680405611410E-3	773.676305859963610E-3	10.703349652511416E-3	928.824165598091440E-3	-25.437118436559339E-3
51.000000000000007E+0	922.653803159233290E-3	155.641088781719810E-3	769.657687380601580E-3	5.170728081879232E-3	930.431737712106960E-3	-28.397751712618883E-3
52.000000000000007E+0	924.633186330822920E-3	144.570056073394380E-3	771.617178384484850E-3	-3.956402840420740E-3	922.367800455882180E-3	-6.810282668330126E-3
53.000000000000007E+0	941.730671325470170E-3	110.121350547752170E-3	812.936902507760630E-3	-51.486718151595119E-3	983.040764042233620E-3	-74.160280337281698E-3
54.000000000000007E+0	953.406024988832420E-3	120.752535185328290E-3	823.835472601644250E-3	-24.096785170943515E-3	1.002796349020763E+0	-74.244757509875262E-3
55.000000000000007E+0	965.202269720405010E-3	132.170355814046510E-3	823.181475954760320E-3	10.146088542945903E-3	996.228141162464160E-3	-49.115274671248439E-3
56.000000000000007E+0	949.678735973657260E-3	133.480963213025630E-3	797.544217227637910E-3	584.789824775050290E-6	978.644581708728590E-3	-29.454155447886921E-3
57.000000000000007E+0	949.861741425939600E-3	118.714035061795310E-3	797.255998206124580E-3	-9.241184246417934E-3	974.818896370400870E-3	-35.932312042243494E-3
