Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
20.000000000000004E+0	765.727212436827060E-3	280.688678637739220E-3	780.898037799821250E-3	4.334955898984233E-3	944.752995917244260E-3	53.681552526852791E-3
21.000000000000004E+0	776.903614230489150E-3	279.751482373880090E-3	780.430947067132560E-3	8.198065039805165E-3	949.240589760739770E-3	51.641955879850765E-3
22.000000000000004E+0	780.897567486849910E-3	273.067246332086290E-3	776.685711456122640E-3	5.849462623333585E-3	946.804634923761320E-3	45.567554813321282E-3
23.000000000000004E+0	787.164070928737190E-3	281.211872002731620E-3	772.735082643784540E-3	9.019035251143802E-3	941.484173070523790E-3	48.781499137355550E-3
24.000000000000004E+0	806.755403346151140E-3	273.155717283281580E-3	775.225197442597440E-3	11.344199630448783E-3	950.150929576938250E-3	45.347577780571496E-3
25.000000000000004E+0	827.237120331683840E-3	249.765783907712590E-3	797.535571680002440E-3	7.438998217148853E-3	962.505295105025030E-3	27.779137945788481E-3
26.000000000000004E+0	854.869151646866610E-3	258.834800483311420E-3	821.792469799203510E-3	10.748209927002815E-3	1.007225975160939E+0	30.981647752504709E-3
27.000000000000004E+0	874.970970511446010E-3	259.876273623177720E-3	889.943535780321370E-3	27.929709019823130E-3	1.095846975247359E+0	32.258961619574242E-3
28.000000000000004E+0	853.988252194047390E-3	236.931839025960990E-3	783.872075471278350E-3	-4.268363540514860E-3	967.911996704383210E-3	4.861304529599630E-3
29.000000000000004E+0	852.045420199288970E-3	241.142683882411610E-3	775.662502399600550E-3	-5.320869955016909E-3	957.369800875296110E-3	8.029320375490387E-3
30.000000000000004E+0	838.566202819210350E-3	239.095303270005360E-3	766.743107736898580E-3	13.078968609351576E-3	947.513266096525860E-3	30.339973576113351E-3
31.000000000000004E+0	880.364181815047610E-3	241.451327703925520E-3	792.854782389207150E-3	2.677341373565904E-3	978.680282108454040E-3	9.383544726171703E-3
32.000000000000007E+0	894.379016475362330E-3	224.257072716709390E-3	786.268422665158060E-3	-17.162121051562125E-3	966.054022802380840E-3	-27.195940686013942E-3
33.000000000000007E+0	887.718528229378580E-3	244.030006865551210E-3	777.156385791829880E-3	-6.743187175843208E-3	977.149250976961590E-3	-6.593183643553091E-3
34.000000000000007E+0	904.090897736509190E-3	231.879532636836970E-3	782.186271949978580E-3	11.301512236063169E-3	955.807394047090140E-3	-15.417510427621064E-3
35.000000000000007E+0	914.188376544391560E-3	235.788106947363550E-3	801.772756442944430E-3	17.149712118920350E-3	959.568973102996820E-3	-22.951259968415943E-3
36.000000000000007E+0	922.998278565962500E-3	204.721910315486450E-3	793.535622653092740E-3	5.097454640196690E-3	971.262081707003120E-3	-28.396976047329360E-3
