Freq (Hz)	Gxymic2/mic1_Real	Gxymic2/mic1_Imag	Gxymic3/mic1_Real	Gxymic3/mic1_Imag	Gxymic4/mic1_Real	Gxymic4/mic1_Imag
20.000000000000004E+0	85.661005563210163E-6	31.400313416837247E-6	87.331500933120120E-6	484.798509935843600E-9	105.675490269041900E-6	6.004558235002841E-6
21.000000000000004E+0	131.142354490435920E-6	47.222419098974684E-6	131.726338162207280E-6	1.383724071639421E-6	160.222523662999500E-6	8.716656859404325E-6
22.000000000000004E+0	106.393400846286780E-6	37.204051090209901E-6	105.811699356193430E-6	796.900948950223790E-9	128.988454547439180E-6	6.207921102276101E-6
23.000000000000004E+0	28.811404411733037E-6	10.292783002775924E-6	28.273154462100122E-6	329.992234702591500E-9	34.454895354052509E-6	1.785225387814870E-6
24.000000000000004E+0	11.050118999220457E-6	3.741410554894776E-6	10.618764096783989E-6	155.388885887547930E-9	13.012520815479582E-6	621.044806075184730E-9
25.000000000000004E+0	4.135434734207157E-6	1.248602211871601E-6	3.983442405271306E-6	37.155484975431376E-9	4.809533383579648E-6	138.809305254528930E-9
26.000000000000004E+0	2.347447375101192E-6	710.753302781922210E-9	2.250232687116402E-6	29.430755567327427E-9	2.757595035013118E-6	84.821916953820776E-9
27.000000000000004E+0	1.733048589327541E-6	514.735030739461810E-9	1.757140773093054E-6	55.145555337198803E-9	2.166575552884385E-6	63.778501182274126E-9
28.000000000000004E+0	4.060925699533428E-6	1.126669590203700E-6	3.719303424260202E-6	-20.252461631165730E-9	4.593631746372144E-6	23.071356581988853E-9
29.000000000000004E+0	8.301967562900644E-6	2.349591573597493E-6	7.548193581736393E-6	-51.778906830566090E-9	9.320165373562406E-6	78.166862656901635E-9
30.000000000000004E+0	3.326336361828086E-6	948.418143416157300E-9	3.041224268561321E-6	51.876666827712253E-9	3.759364605359357E-6	120.377230452369310E-9
31.000000000000004E+0	2.762915926398284E-6	757.765629887174810E-9	2.486548356886210E-6	8.396668521317846E-9	3.068901206764395E-6	29.424493637325414E-9
32.000000000000007E+0	2.464927801977571E-6	618.057314792503520E-9	2.166604326085743E-6	-47.291134481890212E-9	2.659296098963491E-6	-74.863369197680723E-9
33.000000000000007E+0	1.844519470187276E-6	507.050472260884560E-9	1.616302785519020E-6	-14.024245846589412E-9	2.031765180871351E-6	-13.709063323405736E-9
34.000000000000007E+0	3.198899860085516E-6	820.447818206940040E-9	2.767767626061360E-6	39.990422760209660E-9	3.383648023289069E-6	-54.579436199557774E-9
35.000000000000007E+0	2.248896789530802E-6	580.037036488969830E-9	1.973016830724359E-6	42.202320271922609E-9	2.361225850623073E-6	-56.476511705612766E-9
36.000000000000007E+0	2.054970448494136E-6	455.794431720087020E-9	1.766421507453303E-6	11.347006048205384E-9	2.161834603821465E-6	-63.205973567003774E-9
