Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
20.000000000000004E+0	111.880691082957780E-6	74.414565299937052E-6	68.227131620671375E-6	100.182433237413630E-6
21.000000000000004E+0	168.808797059384320E-6	115.100609828985890E-6	102.828133404705340E-6	152.556658869388740E-6
22.000000000000004E+0	136.249239363981560E-6	93.244446581335663E-6	82.195746785120418E-6	122.422041128515460E-6
23.000000000000004E+0	36.605757386357501E-6	25.576712915782435E-6	21.860984555824900E-6	32.534173091394283E-6
24.000000000000004E+0	13.702371580431833E-6	9.940635047902456E-6	8.236532913343624E-6	12.398494253319626E-6
25.000000000000004E+0	5.003449978862636E-6	3.736094280127652E-6	3.182776471162591E-6	4.639131423741049E-6
26.000000000000004E+0	2.749937245298244E-6	2.193886355697328E-6	1.857434342818389E-6	2.792408057306856E-6
27.000000000000004E+0	1.983068570259138E-6	1.652111640829478E-6	1.572106480560284E-6	2.383470475855490E-6
28.000000000000004E+0	4.756608791528468E-6	3.735995452970114E-6	2.922792699871672E-6	4.456336130214609E-6
29.000000000000004E+0	9.744575887927871E-6	7.641025826462546E-6	5.863111646723823E-6	8.932078539580318E-6
30.000000000000004E+0	3.970574772795199E-6	3.019062718596030E-6	2.334957675398499E-6	3.568361118616918E-6
31.000000000000004E+0	3.144000229071072E-6	2.620012258993676E-6	1.976387715807165E-6	3.011626993850613E-6
32.000000000000007E+0	2.759779497867195E-6	2.346374142226316E-6	1.706954308862936E-6	2.577617266721488E-6
33.000000000000007E+0	2.081243385088604E-6	1.764046360021551E-6	1.257106830798950E-6	1.987302879869317E-6
34.000000000000007E+0	3.541037437471495E-6	3.084767431292924E-6	2.166912273940682E-6	3.235819164813659E-6
35.000000000000007E+0	2.462420533463281E-6	2.194842967317472E-6	1.583664873195901E-6	2.268625408963690E-6
36.000000000000007E+0	2.227350266260110E-6	1.990887462346140E-6	1.402617125970622E-6	2.102966033131942E-6
37.000000000000007E+0	1.346907027606627E-6	1.152414518616113E-6	856.681990159396870E-9	1.288103349446492E-6
38.000000000000007E+0	1.042535722431471E-6	886.391454307419510E-9	666.155085938427470E-9	980.089433758339750E-9
39.000000000000007E+0	468.054771703048100E-9	422.477612911897330E-9	304.294920899841940E-9	474.223319578313060E-9
40.000000000000007E+0	231.606409303458700E-9	196.327510112963680E-9	139.538986945989790E-9	234.870044174435940E-9
41.000000000000007E+0	611.705679448141060E-9	525.040232888967210E-9	385.133595587350200E-9	589.432907404518230E-9
42.000000000000007E+0	854.345318675553230E-9	734.829224837475410E-9	541.539614117615550E-9	815.549714977125340E-9
43.000000000000007E+0	1.637158213737044E-6	1.356186189272416E-6	1.004039433803015E-6	1.545888377536640E-6
44.000000000000007E+0	1.368859276896734E-6	1.129932361333758E-6	793.446038746300960E-9	1.277461081480571E-6
45.000000000000007E+0	749.014188455609240E-9	641.257322180520600E-9	468.477618862189240E-9	696.194770719692750E-9
46.000000000000007E+0	681.754781841089160E-9	595.093035116642650E-9	416.833669581299680E-9	630.704865549313170E-9
47.000000000000007E+0	716.137288332662520E-9	646.142155935744050E-9	413.390230505226420E-9	679.247842088338340E-9
48.000000000000007E+0	407.666123828855580E-9	383.462574207557740E-9	256.588547143351290E-9	395.089637409876420E-9
49.000000000000007E+0	769.080410481571110E-9	667.611234870493070E-9	462.283169353943240E-9	669.030463873036370E-9
50.000000000000007E+0	1.089413623199175E-6	948.196166256684600E-9	652.094889307040190E-9	939.851933871714230E-9
51.000000000000007E+0	1.127093563551447E-6	959.483096649083430E-9	667.658708864521220E-9	975.727844492467320E-9
52.000000000000007E+0	559.890436067784720E-9	478.676052776147430E-9	333.348866393188430E-9	476.331815174575390E-9
53.000000000000007E+0	448.025411717089670E-9	397.333261795345300E-9	296.082503840719500E-9	432.956044859401300E-9
54.000000000000007E+0	487.739652114877320E-9	443.344753115270680E-9	331.028903549682840E-9	490.464793754419510E-9
55.000000000000007E+0	427.858150095077840E-9	398.597659212668230E-9	289.924739070599060E-9	424.627858901185380E-9
