Freq (Hz)	Gxymicro/hp_Real	Gxymicro/hp_Imag
20.000000000000004E+0	-1.888353071859616E-9	-4.686701598472083E-9
21.000000000000004E+0	-3.067208702100132E-9	12.966598195046764E-9
22.000000000000004E+0	4.195195343555027E-9	6.624971697475022E-9
23.000000000000004E+0	-98.884624677374952E-12	1.749801439810459E-9
24.000000000000004E+0	-823.546638754566510E-12	-1.973458910689749E-9
25.000000000000004E+0	-1.583294843203635E-9	-28.745421590184870E-12
26.000000000000004E+0	-11.546234165973294E-12	-286.462209017184410E-12
27.000000000000004E+0	241.071707956744920E-12	-441.571503047579790E-12
28.000000000000004E+0	352.452266375168040E-12	2.408340809282241E-9
29.000000000000004E+0	-63.219955027322172E-12	876.067447179417160E-12
30.000000000000004E+0	430.208229203363420E-12	-444.296886097227770E-12
31.000000000000004E+0	-512.589454797490090E-12	-1.133504799464714E-9
32.000000000000007E+0	3.834740075362096E-9	2.811430740033547E-9
33.000000000000007E+0	3.510399655804345E-9	820.442424450575120E-12
34.000000000000007E+0	-2.500228464200644E-9	-1.986443778103104E-9
35.000000000000007E+0	-6.064362245653878E-9	-605.969635387705810E-12
36.000000000000007E+0	817.452095134919800E-12	-2.072324595495009E-9
37.000000000000007E+0	2.189752342329718E-9	-3.996948235399404E-9
38.000000000000007E+0	911.838714344573500E-12	7.658294705049634E-9
39.000000000000007E+0	-2.659630767615447E-9	-8.898157658095156E-9
40.000000000000007E+0	-815.884236772191680E-12	228.839424794694710E-12
41.000000000000007E+0	2.763103647322410E-9	1.477887204049167E-9
42.000000000000007E+0	-472.094511424510070E-12	279.296749888522270E-12
43.000000000000007E+0	1.841810582504586E-9	582.658360296560240E-12
44.000000000000007E+0	962.412594747643390E-12	1.910913045492707E-9
45.000000000000007E+0	-2.574307472031530E-9	-1.336313571409590E-9
46.000000000000007E+0	1.404582720677153E-9	-359.755460920767360E-12
47.000000000000007E+0	2.999931287302110E-9	2.671904324676437E-9
48.000000000000007E+0	-3.015967234806310E-9	1.173000727978434E-9
49.000000000000007E+0	-596.731076263445280E-12	5.367599435220055E-9
50.000000000000007E+0	1.497097694663689E-9	-5.147656026257395E-9
51.000000000000007E+0	-664.931096305766750E-12	1.046677913999621E-9
52.000000000000007E+0	-2.949114430109714E-9	-2.617439122426270E-9
53.000000000000007E+0	-5.065318218683971E-9	3.619997390401504E-9
54.000000000000007E+0	3.313149593039191E-9	-335.437966895112830E-12
55.000000000000007E+0	2.374084509968504E-9	6.873154815630777E-9
56.000000000000007E+0	-1.326809135555400E-9	2.645038927224266E-9
57.000000000000007E+0	-8.464271528047178E-9	-8.395781685883593E-9
58.000000000000007E+0	-7.105122383658535E-9	-7.976018616566385E-9
59.000000000000007E+0	175.552284693047210E-12	-2.570852982381839E-9
60.000000000000007E+0	-3.530920238141265E-9	3.909267903859801E-9
