Freq (Hz)	micro/hp_Mod	micro/hp_Phase(rad)
20.000000000000004E+0	2.740067291902688E+0	8.542828259229765E+0
21.000000000000004E+0	2.894738712283845E+0	7.176611458016370E+0
22.000000000000004E+0	1.396345362359711E+0	6.799069451910750E+0
23.000000000000004E+0	777.493775811899050E-3	3.760697819275231E+0
24.000000000000004E+0	1.834347286516821E+0	4.156315044626293E+0
25.000000000000004E+0	660.277894124693290E-3	3.338079734380732E+0
26.000000000000004E+0	399.742303659807400E-3	4.087200271345079E+0
27.000000000000004E+0	223.141677810400420E-3	4.572661127981053E+0
28.000000000000004E+0	1.085769186966192E+0	5.898956410163980E+0
29.000000000000004E+0	180.762717960663070E-3	5.467371918465954E+0
30.000000000000004E+0	404.931224043976690E-3	6.381941133230386E+0
31.000000000000004E+0	302.985749370103640E-3	8.513580071575921E+0
32.000000000000007E+0	227.653772551951040E-3	6.776631073751104E+0
33.000000000000007E+0	219.113695788217070E-3	5.217360057602162E+0
34.000000000000007E+0	340.130580281853720E-3	7.080027129026183E+0
35.000000000000007E+0	251.800526720505290E-3	6.928621253243679E+0
36.000000000000007E+0	234.516986772608820E-3	7.497185027791709E+0
37.000000000000007E+0	1.972701480637559E+0	4.692715222459045E+0
38.000000000000007E+0	389.775317959185520E-3	6.848375229128106E+0
39.000000000000007E+0	528.112628332679690E-3	5.788475388110894E+0
40.000000000000007E+0	169.650045602635660E-3	8.265437497336050E+0
41.000000000000007E+0	248.228664589388860E-3	9.419275244276427E+0
42.000000000000007E+0	182.673636209778110E-3	8.551455248760796E+0
43.000000000000007E+0	104.506005034482030E-3	10.791716604113805E+0
44.000000000000007E+0	194.482280590174280E-3	10.991430679429241E+0
45.000000000000007E+0	106.196303949012350E-3	11.146844244948930E+0
46.000000000000007E+0	59.492636026531633E-3	11.862000434642676E+0
47.000000000000007E+0	225.924158885763730E-3	9.140068154737806E+0
48.000000000000007E+0	110.753440554367590E-3	6.746465072425670E+0
49.000000000000007E+0	155.943040773621780E-3	6.687030642883660E+0
50.000000000000007E+0	35.587974396833991E-3	9.057842749679240E+0
51.000000000000007E+0	96.783928537418004E-3	9.444341044435390E+0
52.000000000000007E+0	149.706351885616710E-3	9.715414349111644E+0
53.000000000000007E+0	100.425239262841800E-3	9.196551136187303E+0
54.000000000000007E+0	119.276210176252020E-3	8.325786724205331E+0
55.000000000000007E+0	112.222785630763970E-3	9.265333423522689E+0
56.000000000000007E+0	97.316384618179277E-3	10.134166390037857E+0
57.000000000000007E+0	86.561616672408456E-3	13.240041736821686E+0
58.000000000000007E+0	45.755956109023513E-3	11.179051602948382E+0
59.000000000000007E+0	123.278748394972650E-3	8.977806753308087E+0
60.000000000000007E+0	136.900486842796290E-3	10.340288755052546E+0
61.000000000000007E+0	43.238241335843780E-3	7.923240672769623E+0
62.000000000000007E+0	110.051607423875220E-3	9.362759315135381E+0
63.000000000000007E+0	71.033279199846922E-3	11.208803344720758E+0
64.000000000000014E+0	61.654892204079929E-3	10.899351447948398E+0
