Freq (Hz)	micro(Pa^2 )	hp(V^2 )
20.000000000000004E+0	39.876412381127753E-9	11.543985404267533E-9
21.000000000000004E+0	35.386487562274132E-9	12.793707222192516E-9
22.000000000000004E+0	36.194802200353690E-9	13.595660074696387E-9
23.000000000000004E+0	4.820240847059349E-9	13.926311969309710E-9
24.000000000000004E+0	5.645778410489174E-9	15.176937552063276E-9
25.000000000000004E+0	3.577848095810028E-9	16.410083425670531E-9
26.000000000000004E+0	1.954106250088890E-9	17.931874681772410E-9
27.000000000000004E+0	1.641982510611433E-9	19.640058620434827E-9
28.000000000000004E+0	2.444617326131793E-9	20.265872158634855E-9
29.000000000000004E+0	1.839215743061937E-9	23.014677380649219E-9
30.000000000000004E+0	2.386405189701305E-9	22.845332953117835E-9
31.000000000000004E+0	1.843018928979217E-9	26.499722958643623E-9
32.000000000000007E+0	811.975801740873900E-12	26.664886030720188E-9
33.000000000000007E+0	1.466841611482212E-9	28.697851929664256E-9
34.000000000000007E+0	5.549672235629967E-9	32.893432598878096E-9
35.000000000000007E+0	3.771426877982327E-9	34.317007724453741E-9
36.000000000000007E+0	2.318768046958304E-9	37.136380539607115E-9
37.000000000000007E+0	3.239353523063531E-9	39.972045819791011E-9
38.000000000000007E+0	937.704808243675220E-12	42.458210951347287E-9
39.000000000000007E+0	1.878975842156946E-9	47.242332890288776E-9
40.000000000000007E+0	1.658036731018546E-9	54.146050342350081E-9
41.000000000000007E+0	827.797161640001300E-12	57.357051943687111E-9
42.000000000000007E+0	349.791435629651610E-12	64.144919907643786E-9
43.000000000000007E+0	390.251154140902210E-12	70.080630551471823E-9
44.000000000000007E+0	622.468084534905260E-12	75.170233008398704E-9
45.000000000000007E+0	635.461139210211780E-12	80.159512328718360E-9
46.000000000000007E+0	1.142923031615070E-9	90.562402286994220E-9
47.000000000000007E+0	482.057125144939930E-12	99.065013884136869E-9
48.000000000000007E+0	260.891293515571960E-12	112.593469674514840E-9
49.000000000000007E+0	479.442849618005440E-12	125.155729616687430E-9
50.000000000000007E+0	380.594969064882590E-12	47.687023663303149E-9
51.000000000000007E+0	468.501426146916140E-12	147.458450350490150E-9
52.000000000000007E+0	776.292271542455780E-12	158.973905774470020E-9
53.000000000000007E+0	1.190039812331395E-9	169.521606955069140E-9
54.000000000000007E+0	881.668046891851080E-12	181.039546980614920E-9
