Freq (Hz)	Coh_micro/hp
20.000000000000004E+0	132.993832882775800E-3
21.000000000000004E+0	207.593610428214530E-3
22.000000000000004E+0	156.967577342195520E-3
23.000000000000004E+0	3.906758440141622E-3
24.000000000000004E+0	116.926696304576800E-3
25.000000000000004E+0	199.035746390926360E-3
26.000000000000004E+0	7.711250383091109E-3
27.000000000000004E+0	57.784658587261166E-3
28.000000000000004E+0	277.702071150209890E-3
29.000000000000004E+0	134.301790335409650E-3
30.000000000000004E+0	347.274240207721800E-3
31.000000000000004E+0	177.970948087712380E-3
32.000000000000007E+0	118.268350416864440E-3
33.000000000000007E+0	264.042941543554730E-3
34.000000000000007E+0	122.861601362196470E-3
35.000000000000007E+0	26.729292992602228E-3
36.000000000000007E+0	206.187719327955900E-3
37.000000000000007E+0	17.401913760448383E-3
38.000000000000007E+0	397.941233661957160E-3
39.000000000000007E+0	295.820509692185370E-3
40.000000000000007E+0	48.617439521913879E-3
41.000000000000007E+0	62.288310614294996E-3
42.000000000000007E+0	84.957209778458706E-3
43.000000000000007E+0	23.997254921490949E-3
44.000000000000007E+0	202.966905891308360E-3
45.000000000000007E+0	440.778985446617030E-3
46.000000000000007E+0	20.650877335665556E-3
47.000000000000007E+0	143.539376579540610E-3
48.000000000000007E+0	71.844962267850324E-3
49.000000000000007E+0	546.907935845006410E-3
50.000000000000007E+0	208.704415647444160E-3
51.000000000000007E+0	195.930267454465850E-3
52.000000000000007E+0	361.682026385432680E-3
53.000000000000007E+0	497.568299611254370E-3
54.000000000000007E+0	254.605234939577930E-3
55.000000000000007E+0	114.759667648467220E-3
56.000000000000007E+0	112.967879046051360E-3
57.000000000000007E+0	48.090391753195308E-3
58.000000000000007E+0	39.970325725831458E-3
59.000000000000007E+0	369.894621595201370E-3
60.000000000000007E+0	145.379615924100560E-3
61.000000000000007E+0	552.786276968170510E-3
62.000000000000007E+0	616.883553657703980E-3
63.000000000000007E+0	366.785842296157790E-3
64.000000000000014E+0	296.748184253780190E-3
65.000000000000014E+0	366.188699822184770E-3
66.000000000000014E+0	172.288891641285000E-3
67.000000000000014E+0	552.437123769435540E-3
68.000000000000014E+0	358.378852641420660E-3
69.000000000000014E+0	316.224925727808640E-3
70.000000000000014E+0	418.002664547150570E-3
71.000000000000014E+0	168.122179561999930E-3
72.000000000000014E+0	174.133750963720910E-3
73.000000000000014E+0	156.356384307904630E-3
74.000000000000014E+0	263.409715109330310E-3
75.000000000000014E+0	290.177560878698060E-3
76.000000000000014E+0	20.862291739326726E-3
77.000000000000014E+0	435.213056923365930E-3
78.000000000000014E+0	61.168463373659200E-3
79.000000000000014E+0	496.066809850913060E-3
80.000000000000014E+0	106.127355460896770E-3
81.000000000000014E+0	341.775908654442300E-3
82.000000000000014E+0	93.922114787974326E-3
83.000000000000014E+0	114.907815963952180E-3
84.000000000000014E+0	14.772720721108430E-3
85.000000000000014E+0	244.668332866493500E-3
86.000000000000014E+0	402.503407846070690E-3
87.000000000000014E+0	649.817650069666520E-3
88.000000000000014E+0	58.665508943763392E-3
89.000000000000014E+0	305.233013452886340E-3
90.000000000000014E+0	75.767011684870822E-3
91.000000000000014E+0	19.407112882723003E-3
92.000000000000014E+0	56.753430398019833E-3
93.000000000000014E+0	429.880756149026100E-3
94.000000000000014E+0	255.684612980785430E-3
95.000000000000014E+0	3.308014206977278E-3
96.000000000000014E+0	162.503550953583260E-3
97.000000000000014E+0	44.439999336522110E-3
98.000000000000014E+0	8.379879559964694E-3
99.000000000000014E+0	133.660959703978150E-3
100.000000000000010E+0	594.850489165740240E-3
101.000000000000010E+0	284.602162933368100E-3
102.000000000000010E+0	163.091636883355150E-3
103.000000000000010E+0	347.889731277044760E-3
104.000000000000010E+0	30.443260591603735E-3
105.000000000000010E+0	27.890444380233234E-3
106.000000000000010E+0	265.993707074593740E-3
107.000000000000010E+0	69.307319950947507E-3
108.000000000000010E+0	26.860961928916717E-3
109.000000000000010E+0	237.615884697504580E-3
110.000000000000010E+0	36.991618189084162E-3
111.000000000000010E+0	284.493765022978850E-3
112.000000000000010E+0	145.218634415894300E-3
113.000000000000010E+0	215.445675812903220E-3
114.000000000000010E+0	571.012696680362920E-3
115.000000000000010E+0	70.227020409005123E-3
116.000000000000010E+0	80.529612177480461E-3
117.000000000000010E+0	224.841392248370350E-3
118.000000000000010E+0	622.322446315308530E-3
119.000000000000010E+0	373.679032174403240E-3
120.000000000000010E+0	940.671974881486790E-3
121.000000000000010E+0	796.394750562651080E-3
122.000000000000010E+0	97.809176810841517E-3
123.000000000000010E+0	549.145230068421860E-3
124.000000000000010E+0	476.070857166698450E-3
125.000000000000010E+0	441.345095412432550E-3
126.000000000000010E+0	348.505878666601040E-3
127.000000000000010E+0	751.096621525215830E-3
128.000000000000030E+0	689.157657905635550E-3
129.000000000000030E+0	430.903964834089490E-3
130.000000000000030E+0	180.288041005714330E-3
131.000000000000030E+0	703.325810919952610E-3
132.000000000000030E+0	379.919522815407970E-3
133.000000000000030E+0	539.045279374164350E-3
134.000000000000030E+0	634.930816458928240E-3
135.000000000000030E+0	717.431386806115070E-3
136.000000000000030E+0	904.143533748336890E-3
137.000000000000030E+0	859.537032366008310E-3
138.000000000000030E+0	802.302092908513730E-3
139.000000000000030E+0	834.167608786826720E-3
140.000000000000030E+0	898.756423090190880E-3
141.000000000000030E+0	820.264351326767890E-3
142.000000000000030E+0	927.804735005403280E-3
143.000000000000030E+0	960.497015916332520E-3
144.000000000000030E+0	883.485541106442950E-3
145.000000000000030E+0	889.904623461532320E-3
146.000000000000030E+0	867.362114358604000E-3
147.000000000000030E+0	934.900928990553660E-3
148.000000000000030E+0	967.660664456780010E-3
149.000000000000030E+0	971.580200531973580E-3
150.000000000000030E+0	948.894157122643800E-3
151.000000000000030E+0	986.849160169021910E-3
152.000000000000030E+0	987.555196554017470E-3
153.000000000000030E+0	995.150760323431300E-3
154.000000000000030E+0	986.875833614578760E-3
155.000000000000030E+0	987.919616697079840E-3
156.000000000000030E+0	986.999212543199890E-3
157.000000000000030E+0	992.892154701792260E-3
158.000000000000030E+0	980.564539972364700E-3
159.000000000000030E+0	985.468445065054380E-3
160.000000000000030E+0	990.799781461197740E-3
161.000000000000030E+0	990.293362694403710E-3
162.000000000000030E+0	992.487865580552690E-3
163.000000000000030E+0	978.927748457839030E-3
164.000000000000030E+0	994.999311959198440E-3
165.000000000000030E+0	993.372133403821470E-3
166.000000000000030E+0	991.677908390071420E-3
167.000000000000030E+0	986.963634422087120E-3
168.000000000000030E+0	986.823269765247370E-3
169.000000000000030E+0	975.898108565617980E-3
170.000000000000030E+0	976.720046154491930E-3
171.000000000000030E+0	976.191397605976840E-3
172.000000000000030E+0	961.310419842816840E-3
173.000000000000030E+0	904.955984962047210E-3
174.000000000000030E+0	871.400451982553000E-3
175.000000000000030E+0	785.122008845962390E-3
176.000000000000030E+0	293.793076172537800E-3
177.000000000000030E+0	943.541510653217010E-3
178.000000000000030E+0	908.318900393374710E-3
179.000000000000030E+0	930.391448827677660E-3
180.000000000000030E+0	967.390417325847960E-3
181.000000000000030E+0	981.574297656982790E-3
182.000000000000030E+0	994.213169692031880E-3
183.000000000000030E+0	977.787307375450720E-3
184.000000000000030E+0	990.366192664350110E-3
185.000000000000030E+0	993.502977193065460E-3
186.000000000000030E+0	996.562539031489390E-3
187.000000000000030E+0	989.576705969694490E-3
188.000000000000030E+0	997.952192350954000E-3
189.000000000000030E+0	998.426851623088750E-3
190.000000000000030E+0	996.094211784833260E-3
191.000000000000030E+0	999.641143380597840E-3
192.000000000000030E+0	998.768190860417900E-3
193.000000000000030E+0	998.943402297390090E-3
194.000000000000030E+0	998.329186333849370E-3
195.000000000000030E+0	998.587623091047980E-3
196.000000000000030E+0	998.952490215911480E-3
197.000000000000030E+0	998.885379299854770E-3
198.000000000000030E+0	998.445779540508500E-3
199.000000000000030E+0	997.571345610570040E-3
200.000000000000030E+0	998.512238634302610E-3
201.000000000000030E+0	998.403253369973150E-3
202.000000000000030E+0	997.439947745528800E-3
