Freq (Hz)	micro/hp_Real	micro/hp_Imag
20.000000000000004E+0	-2.884615422567000E+0	-4.303741684859302E+0
21.000000000000004E+0	2.118599209224603E+0	4.835415743328682E+0
22.000000000000004E+0	-583.274788725087200E-3	339.114356026963880E-3
23.000000000000004E+0	-2.518070146720567E+0	-3.722411431334172E+0
24.000000000000004E+0	318.233877569337910E-3	-1.001473487162001E+0
25.000000000000004E+0	-3.234002176803153E+0	564.743787360125540E-3
26.000000000000004E+0	337.448217099848350E-3	-21.392947504201881E-3
27.000000000000004E+0	110.521903534407400E-3	346.967066612408780E-3
28.000000000000004E+0	167.388993838106900E-3	168.137813463568040E-3
29.000000000000004E+0	-13.634116792659721E-3	274.286289027352140E-3
30.000000000000004E+0	54.361574242529201E-3	197.951032097791140E-3
31.000000000000004E+0	-309.968830666315200E-3	-53.030162452741683E-3
32.000000000000007E+0	1.464381648731968E+0	-612.170651691251730E-3
33.000000000000007E+0	-103.360966033754800E-3	-276.276766255350530E-3
34.000000000000007E+0	307.420468008281270E-3	131.196589643411880E-3
35.000000000000007E+0	154.200746251323520E-3	-92.476919341340294E-3
36.000000000000007E+0	83.969550406087737E-3	-212.857900238983130E-3
37.000000000000007E+0	-294.577551220933710E-3	49.090247725721244E-3
38.000000000000007E+0	-340.446868401106110E-3	-4.671251464089823E-3
39.000000000000007E+0	-27.494146436672261E-3	255.631799487813670E-3
40.000000000000007E+0	-268.557713157665580E-3	322.432793125313640E-3
41.000000000000007E+0	-233.943261216804280E-3	187.708107202374820E-3
42.000000000000007E+0	62.456612096330674E-3	10.299757023416286E-3
43.000000000000007E+0	518.988815160413510E-3	-145.208642508177140E-3
44.000000000000007E+0	-8.669163490696618E-3	-106.925749714362740E-3
45.000000000000007E+0	77.803253837594996E-3	-13.085363417048110E-3
46.000000000000007E+0	-125.148989935657100E-3	131.130110667220110E-3
47.000000000000007E+0	70.197043531998196E-3	15.945729967274055E-3
48.000000000000007E+0	911.252620148897930E-6	64.120305014111076E-3
49.000000000000007E+0	-2.199710664764216E-3	125.725734807227650E-3
50.000000000000007E+0	-21.321524853577800E-3	52.567024276180062E-3
51.000000000000007E+0	47.706123660828700E-3	-48.615671005521666E-3
52.000000000000007E+0	149.130505927562050E-3	-275.772196059615840E-3
53.000000000000007E+0	-47.856170932901260E-3	65.397958774188955E-3
54.000000000000007E+0	87.245446827685993E-3	-37.759321917340806E-3
55.000000000000007E+0	-16.681347508911315E-3	79.117323435234810E-3
56.000000000000007E+0	23.113401502900498E-3	-57.616723857700995E-3
57.000000000000007E+0	-31.149250930778014E-3	-324.754263696027060E-3
58.000000000000007E+0	-75.147065306135241E-3	-49.042689737573725E-3
59.000000000000007E+0	-87.282033117291019E-3	-16.336020575951772E-3
60.000000000000007E+0	-86.016786984473848E-3	58.024285117543976E-3
61.000000000000007E+0	89.582869438554036E-3	5.520306220925072E-3
62.000000000000007E+0	-74.795581310613382E-3	9.588110416324484E-3
63.000000000000007E+0	13.987710709134427E-3	81.262247080459024E-3
64.000000000000014E+0	-324.573990663420300E-3	-43.291411550510903E-3
65.000000000000014E+0	84.274595845025280E-3	-118.855744028042970E-3
66.000000000000014E+0	-188.677260858290700E-3	-196.691291256338880E-3
67.000000000000014E+0	66.525747654857789E-3	-45.489524543356925E-3
68.000000000000014E+0	2.071555254362599E-3	-33.798337696504817E-3
69.000000000000014E+0	-63.567722938472640E-3	23.216545999842964E-3
70.000000000000014E+0	-37.529929902724107E-3	20.582730077869670E-3
71.000000000000014E+0	19.482909190503966E-3	62.118308484936706E-3
72.000000000000014E+0	28.766363491706349E-3	10.080787345457967E-3
73.000000000000014E+0	-53.935250096524501E-3	28.520921655388894E-3
74.000000000000014E+0	-24.289855010539239E-3	-129.721519385643750E-3
75.000000000000014E+0	16.414239062339811E-3	38.655289156461124E-3
76.000000000000014E+0	-28.667033907419041E-3	-698.390054483400660E-6
77.000000000000014E+0	-19.248877993568121E-3	38.751809542123421E-3
78.000000000000014E+0	-12.091422148493637E-3	-17.562387574831393E-3
79.000000000000014E+0	-14.677543218444137E-3	-10.402920482635162E-3
80.000000000000014E+0	-21.193628765153141E-3	-18.604398812940501E-3
81.000000000000014E+0	25.798146740520146E-3	-35.675638447911273E-3
82.000000000000014E+0	39.952106068474755E-3	46.860936293227261E-3
83.000000000000014E+0	-46.245912042751205E-3	-6.103451243093414E-3
84.000000000000014E+0	-37.826990598895625E-3	-24.038483497123023E-3
85.000000000000014E+0	-76.397324859226262E-3	-138.935435761243230E-3
86.000000000000014E+0	33.270179528020090E-3	20.209141653025904E-3
87.000000000000014E+0	34.375797299623062E-3	2.513415216151803E-3
88.000000000000014E+0	11.831979595641183E-3	-18.109966309208921E-3
89.000000000000014E+0	24.333607528469529E-3	2.406355442455495E-3
90.000000000000014E+0	-24.253448879777192E-3	23.928956461105433E-3
91.000000000000014E+0	108.747135403320890E-3	31.583056431872529E-3
92.000000000000014E+0	69.908058148485552E-3	65.465889275999084E-3
93.000000000000014E+0	-70.027946049433715E-3	-11.964613902291189E-3
94.000000000000014E+0	-32.774273646112517E-3	-252.798919746821730E-3
95.000000000000014E+0	59.724291667712689E-3	-41.838598236541971E-3
96.000000000000014E+0	-55.870030431888464E-3	-4.075926032530036E-3
97.000000000000014E+0	88.997094935358803E-3	112.581276507725120E-3
98.000000000000014E+0	-1.929685196701782E-3	-62.464021599546483E-3
99.000000000000014E+0	36.814460937591706E-3	41.797969993912845E-3
100.000000000000010E+0	22.247188382970285E-3	-62.188032812893305E-3
101.000000000000010E+0	15.560639201234978E-3	-29.649742735278650E-3
102.000000000000010E+0	-17.172011977202715E-3	-37.291474758686556E-3
103.000000000000010E+0	56.822814563721527E-3	-8.448349728867854E-3
104.000000000000010E+0	24.587262051823502E-3	23.166274061235354E-3
105.000000000000010E+0	-8.190061817818641E-3	-46.825541235582968E-3
106.000000000000010E+0	-235.681622332433310E-3	264.410605202981540E-3
107.000000000000010E+0	77.634117708671832E-3	122.817944786990350E-3
108.000000000000010E+0	174.887421563488600E-3	-143.490194948354880E-3
109.000000000000010E+0	-176.471566971168060E-3	88.117400769598633E-3
110.000000000000010E+0	-2.681412448172089E-3	29.010380666634871E-3
111.000000000000010E+0	9.440780636850494E-3	-22.215202293847280E-3
112.000000000000010E+0	4.250304007512559E-3	-14.592826405349892E-3
113.000000000000010E+0	16.862405562547454E-3	-14.525850293018810E-3
114.000000000000010E+0	9.698480189864500E-3	-6.000338713011190E-3
115.000000000000010E+0	9.712148402435099E-3	-13.072617299751326E-3
116.000000000000010E+0	8.546367339942960E-3	-2.433430431079341E-3
117.000000000000010E+0	-9.442242184171395E-3	-6.982193609377567E-3
118.000000000000010E+0	-103.444042202783120E-6	6.173885678524637E-3
119.000000000000010E+0	4.602314653614214E-3	3.275008250672791E-3
120.000000000000010E+0	14.570098808586814E-3	15.324526830746071E-3
121.000000000000010E+0	6.858563345736277E-3	761.691025087576760E-6
122.000000000000010E+0	11.519461170873432E-3	4.563212812433381E-3
123.000000000000010E+0	4.096674886552298E-3	1.229832118084920E-3
124.000000000000010E+0	4.481336694721030E-3	-1.818934657937665E-3
125.000000000000010E+0	5.102182741687753E-3	-1.724496943095149E-3
126.000000000000010E+0	2.548473658597231E-3	-2.629842236476965E-3
127.000000000000010E+0	5.489277625249883E-3	-1.196861307385963E-3
128.000000000000030E+0	3.307004558940663E-3	-1.540550105104074E-3
129.000000000000030E+0	2.871413346237495E-3	-2.360659877975277E-3
130.000000000000030E+0	2.462662478859257E-3	-1.133559528183585E-3
131.000000000000030E+0	2.390626928834548E-3	-2.163316478024872E-3
132.000000000000030E+0	3.132551005537188E-3	-2.130829479940147E-3
133.000000000000030E+0	1.102551156160088E-3	-3.583952082231972E-3
134.000000000000030E+0	2.621250836460740E-3	-3.560564809258174E-3
135.000000000000030E+0	2.072992018675968E-3	-3.559971517653914E-3
136.000000000000030E+0	1.307589996667682E-3	-3.729752537084432E-3
137.000000000000030E+0	664.726772918180880E-6	-4.497183497612730E-3
138.000000000000030E+0	-15.528346522649663E-6	-2.921416886437771E-3
139.000000000000030E+0	-369.835614534480110E-6	-2.258313593843122E-3
140.000000000000030E+0	196.627877756186070E-6	-2.115454878542236E-3
141.000000000000030E+0	-975.209793423150630E-6	-2.447357273311079E-3
142.000000000000030E+0	-527.038794855487060E-6	-2.511301757759848E-3
143.000000000000030E+0	-313.779193550623970E-6	-2.669910590262427E-3
144.000000000000030E+0	-821.560642231288370E-6	-2.257713364233475E-3
145.000000000000030E+0	-1.028144478768018E-3	-2.133972972026595E-3
146.000000000000030E+0	85.437579975343523E-6	-2.258440609918297E-3
147.000000000000030E+0	-1.883444235791697E-3	-759.952862807714320E-6
148.000000000000030E+0	1.081159912643824E-3	-2.895503648079368E-3
149.000000000000030E+0	-211.579416931485010E-6	1.533482805990495E-3
150.000000000000030E+0	1.074978417381507E-3	1.262233115242861E-3
151.000000000000030E+0	2.116560990489390E-3	846.348820478482490E-6
152.000000000000030E+0	2.864603253107455E-3	771.220229762977610E-6
153.000000000000030E+0	3.788633257210151E-3	-175.199359474331960E-6
154.000000000000030E+0	3.604850017206329E-3	-1.691586459672918E-3
155.000000000000030E+0	3.178989027353083E-3	-2.514611694360477E-3
156.000000000000030E+0	2.748553995188087E-3	-2.869062851988028E-3
157.000000000000030E+0	2.139020420533449E-3	-3.042500584215635E-3
158.000000000000030E+0	2.216762338389386E-3	-3.198125313596617E-3
159.000000000000030E+0	1.927594704599214E-3	-3.055712430657881E-3
160.000000000000030E+0	2.013154919934271E-3	-2.973449460975361E-3
161.000000000000030E+0	2.281326102932696E-3	-3.182771694312544E-3
162.000000000000030E+0	2.271794525835243E-3	-4.266975869826810E-3
163.000000000000030E+0	1.761835480990795E-3	-5.111489077109730E-3
164.000000000000030E+0	662.739661959336600E-6	-6.036339083608925E-3
165.000000000000030E+0	-1.341238950007892E-3	-5.928089378032199E-3
166.000000000000030E+0	-1.930537695831085E-3	-4.788976392091793E-3
167.000000000000030E+0	-2.024624878028484E-3	-3.572968481840414E-3
168.000000000000030E+0	-1.915251151622743E-3	-3.031866646585931E-3
169.000000000000030E+0	-1.022306235162774E-3	-2.691417356993425E-3
170.000000000000030E+0	-681.058893030847310E-6	-3.259786192119110E-3
171.000000000000030E+0	-1.152588241691953E-3	-2.895767019815814E-3
172.000000000000030E+0	-1.663019084962363E-3	-3.462880864459374E-3
173.000000000000030E+0	-2.228133326235304E-3	-3.132607435001955E-3
174.000000000000030E+0	-2.080043150492347E-3	-2.878966710968983E-3
175.000000000000030E+0	-3.461563550100240E-3	-3.078115439170559E-3
176.000000000000030E+0	-4.025204477422884E-3	-1.565934804244416E-3
177.000000000000030E+0	-2.993858161183301E-3	-455.698081212456450E-6
178.000000000000030E+0	-2.428002488375441E-3	729.541261207466360E-6
179.000000000000030E+0	-1.883364366984111E-3	472.135202027354360E-6
180.000000000000030E+0	-884.913164654851900E-6	899.662807890598240E-6
181.000000000000030E+0	-737.581857777027860E-6	6.326814673451693E-6
182.000000000000030E+0	-121.977083479996020E-6	-860.293485277026180E-6
183.000000000000030E+0	604.702362356181560E-6	-1.148861618631148E-3
184.000000000000030E+0	563.882054114031320E-6	-1.591403714816764E-3
185.000000000000030E+0	331.658951809431920E-6	-1.717329779479402E-3
186.000000000000030E+0	628.812117870426390E-6	-2.307215762522918E-3
187.000000000000030E+0	532.337301913163870E-6	-2.849509852461862E-3
