Freq (Hz)	micro/hp_Real	micro/hp_Imag
20.000000000000004E+0	8.794825538630493E+0	-1.496813479941507E+0
21.000000000000004E+0	-241.064908285698020E-3	-3.989511652747954E+0
22.000000000000004E+0	414.653237722475420E-3	1.195839193307219E+0
23.000000000000004E+0	1.955416549335671E+0	-241.860359596442780E-3
24.000000000000004E+0	1.747647210889201E+0	1.628819642993667E+0
25.000000000000004E+0	418.002365101118270E-3	657.034219074849490E-3
26.000000000000004E+0	320.919467903177440E-3	316.927557468574540E-3
27.000000000000004E+0	169.656530037259280E-3	235.544025352575600E-3
28.000000000000004E+0	-317.776469281043140E-3	-177.833352317369240E-3
29.000000000000004E+0	-159.084577315557970E-3	289.814881374020120E-3
30.000000000000004E+0	-4.118950348030688E+0	-2.184230875291544E+0
31.000000000000004E+0	101.071490251667090E-3	-95.743589904573712E-3
32.000000000000007E+0	151.151908293485630E-3	334.354727984041810E-3
33.000000000000007E+0	59.917872870832403E-3	-304.889916580056260E-3
34.000000000000007E+0	193.802523760255360E-3	298.965836971721020E-3
35.000000000000007E+0	134.894374130008380E-3	55.243239979880926E-3
36.000000000000007E+0	292.412705048851580E-3	-18.032713454104492E-3
37.000000000000007E+0	204.499812935790670E-3	394.483499021772770E-3
38.000000000000007E+0	-555.515486664704410E-3	796.486283361711230E-3
39.000000000000007E+0	36.937497660011392E-3	-143.187203928366260E-3
40.000000000000007E+0	61.392672438374520E-3	-298.984636262941420E-3
41.000000000000007E+0	-55.988405423510482E-3	111.214126534316560E-3
42.000000000000007E+0	190.741686621026500E-3	-55.009891555812533E-3
43.000000000000007E+0	62.358185055536537E-3	-103.877869140379150E-3
44.000000000000007E+0	52.879480404431412E-3	-58.325301107705792E-3
45.000000000000007E+0	71.915059423058994E-3	-73.890400076023113E-3
46.000000000000007E+0	-66.918123119709641E-3	50.087051048114548E-3
47.000000000000007E+0	-69.143024719212590E-3	-113.458464907155170E-3
48.000000000000007E+0	-58.644949457302566E-3	411.837530346252780E-6
49.000000000000007E+0	-76.583783880400810E-3	37.928138677723378E-3
50.000000000000007E+0	-43.917606939684106E-3	71.340909916035589E-3
51.000000000000007E+0	-53.833504392548810E-3	-44.778432462478868E-3
52.000000000000007E+0	-98.782251440062849E-3	-15.345751175115630E-3
53.000000000000007E+0	-38.402518107541077E-3	-137.462887317158500E-3
54.000000000000007E+0	-149.236580655570880E-3	-173.664059914700570E-3
55.000000000000007E+0	195.038080960609180E-3	303.367578157793580E-3
56.000000000000007E+0	-65.689475645627854E-3	26.509751114012395E-3
57.000000000000007E+0	-169.295680134447790E-3	245.311818973224850E-3
58.000000000000007E+0	-95.191805263111606E-3	4.948629035452796E-3
59.000000000000007E+0	36.016556990950473E-3	62.653852652431799E-3
60.000000000000007E+0	-63.830873521600454E-3	17.022075456201088E-3
61.000000000000007E+0	8.827115573137001E-3	-42.891848943646248E-3
62.000000000000007E+0	29.191015005673226E-3	-54.515810571906270E-3
63.000000000000007E+0	-164.004293564782690E-3	-548.483905094834690E-3
64.000000000000014E+0	-38.650438449720978E-3	-62.874647516640209E-3
65.000000000000014E+0	67.302000724685354E-3	-22.414619531348944E-3
66.000000000000014E+0	-14.924811088876831E-3	-57.184534039229386E-3
67.000000000000014E+0	36.459682166966413E-3	61.063856604878321E-3
68.000000000000014E+0	41.539827357204108E-3	-37.594374558246497E-3
69.000000000000014E+0	42.447487336522781E-3	-38.618382346704547E-3
70.000000000000014E+0	-2.009923403680414E-3	61.263587618365846E-3
71.000000000000014E+0	375.583767502375270E-3	-168.487145356518680E-3
72.000000000000014E+0	-134.926308346630220E-3	68.122216024554053E-3
73.000000000000014E+0	-21.005341422566021E-3	52.368982187445637E-3
74.000000000000014E+0	-40.653549060831809E-3	59.198375178510551E-3
