Freq (Hz)	Gxymicro/hp_Real	Gxymicro/hp_Imag
20.000000000000004E+0	6.988948207919307E-9	5.147191718995083E-9
21.000000000000004E+0	-2.787840912487396E-9	-21.530549088593688E-9
22.000000000000004E+0	5.170313639516352E-9	-1.545122275300747E-9
23.000000000000004E+0	-2.249804764799444E-9	-4.752293723328154E-9
24.000000000000004E+0	645.919773734765840E-12	-2.084901906169120E-9
25.000000000000004E+0	2.384387141146299E-9	6.254774552802460E-9
26.000000000000004E+0	3.730555851982776E-9	5.342201559480045E-9
27.000000000000004E+0	-1.795647754107407E-9	782.877582216562240E-12
28.000000000000004E+0	-1.103062852710557E-9	-2.236117310181558E-12
29.000000000000004E+0	-1.210791797500316E-9	293.499728746845730E-12
30.000000000000004E+0	-1.595581445800223E-9	710.013183638937410E-12
31.000000000000004E+0	273.633444288787170E-12	-2.942690778263214E-9
32.000000000000007E+0	-1.296559636699390E-9	-2.261134375812751E-9
33.000000000000007E+0	2.077589050605025E-9	-577.386729236912050E-12
34.000000000000007E+0	-1.966475541522074E-9	2.368705545576413E-9
35.000000000000007E+0	561.370130104159470E-12	1.271100627673555E-9
36.000000000000007E+0	3.452033803256851E-9	-2.182587303922434E-9
37.000000000000007E+0	4.031884852668830E-9	3.241950310958651E-9
38.000000000000007E+0	-10.254729774363879E-9	1.476741806241363E-9
39.000000000000007E+0	-1.891482240885184E-9	7.005645747182405E-9
40.000000000000007E+0	14.273526053552732E-12	2.256439742442934E-9
41.000000000000007E+0	-1.066887939953600E-9	-523.379533389942780E-12
42.000000000000007E+0	-3.618840014742469E-9	-1.862989986464495E-9
43.000000000000007E+0	838.739286977813820E-12	-4.576636162600906E-9
44.000000000000007E+0	1.162244776506311E-9	-2.890352694104931E-9
45.000000000000007E+0	1.200112362552821E-9	-1.496159670853061E-9
46.000000000000007E+0	-661.479723460880950E-12	1.119817176880702E-9
47.000000000000007E+0	-1.522054643299506E-9	4.358842777626361E-9
48.000000000000007E+0	-42.128782021963928E-12	1.657973715373608E-9
49.000000000000007E+0	1.672927578160965E-9	7.184454728565817E-9
50.000000000000007E+0	-2.598324366989337E-9	129.555634838908450E-12
51.000000000000007E+0	-470.643131549893920E-12	3.153806364535030E-9
52.000000000000007E+0	-944.094632199872300E-12	-7.536111620683148E-9
53.000000000000007E+0	498.695123553024580E-12	-9.190308097491263E-9
54.000000000000007E+0	-1.347894862630245E-9	-9.125352713629892E-9
55.000000000000007E+0	-3.841144105901632E-9	-2.571921660470035E-9
56.000000000000007E+0	-2.351387140398390E-9	9.380091269192988E-9
57.000000000000007E+0	882.904396309341150E-12	-2.073798424007398E-9
58.000000000000007E+0	-5.849769189631889E-9	4.752423802541601E-9
59.000000000000007E+0	-1.225982810263360E-9	-269.206664477805760E-12
60.000000000000007E+0	-1.722612007852441E-9	5.659561906232112E-9
61.000000000000007E+0	464.907414934003920E-12	-2.118458995244628E-9
62.000000000000007E+0	-1.834443785359300E-9	8.174723503264642E-9
63.000000000000007E+0	-5.354486568046137E-9	-2.729962395201102E-9
64.000000000000014E+0	-519.184493686383650E-12	13.977847675153546E-9
65.000000000000014E+0	3.988598038275966E-9	-1.853344775232613E-9
66.000000000000014E+0	10.416312108956888E-9	-1.442232115724649E-9
67.000000000000014E+0	2.086907301898341E-9	1.080662503446055E-9
68.000000000000014E+0	7.037206403325802E-9	-11.724474390619147E-9
69.000000000000014E+0	2.699868676572977E-9	6.092768236508307E-9
70.000000000000014E+0	-3.279321275323123E-9	5.137276053989910E-9
71.000000000000014E+0	-1.253278750746640E-9	-1.323729206377405E-9
72.000000000000014E+0	-5.570722570885760E-9	3.427848681032805E-9
73.000000000000014E+0	-2.480320545422355E-9	-16.211035866584466E-9
