Freq (Hz)	Coh_micro/hp
20.000000000000004E+0	141.595794256969030E-3
21.000000000000004E+0	90.504976543891502E-3
22.000000000000004E+0	112.564679008919850E-3
23.000000000000004E+0	276.322285452909930E-3
24.000000000000004E+0	99.218030361152412E-3
25.000000000000004E+0	547.056654795933460E-3
26.000000000000004E+0	461.090573799562090E-3
27.000000000000004E+0	356.172006814336310E-3
28.000000000000004E+0	69.374884385041441E-3
29.000000000000004E+0	312.160175507991630E-3
30.000000000000004E+0	238.979357895448640E-3
31.000000000000004E+0	420.768105955525990E-3
32.000000000000007E+0	429.771745379024460E-3
33.000000000000007E+0	211.922129592353600E-3
34.000000000000007E+0	129.601375364364530E-3
35.000000000000007E+0	614.904673718018380E-3
36.000000000000007E+0	389.958952997594640E-3
37.000000000000007E+0	10.950577935712271E-3
38.000000000000007E+0	101.106151937929590E-3
39.000000000000007E+0	202.885144965661650E-3
40.000000000000007E+0	527.344560536686550E-3
41.000000000000007E+0	68.839142468851658E-3
42.000000000000007E+0	424.694617300909240E-3
43.000000000000007E+0	458.037746453380690E-3
44.000000000000007E+0	423.693563354058560E-3
45.000000000000007E+0	63.182878520469846E-3
46.000000000000007E+0	119.253974098732330E-3
47.000000000000007E+0	45.725496625755299E-3
48.000000000000007E+0	322.979354612644320E-3
49.000000000000007E+0	650.140950774927060E-3
50.000000000000007E+0	179.806093133025310E-3
51.000000000000007E+0	552.385466184127650E-3
52.000000000000007E+0	123.475821059827700E-3
53.000000000000007E+0	808.787526967622350E-3
54.000000000000007E+0	300.222704005876030E-3
55.000000000000007E+0	369.881804142540960E-3
56.000000000000007E+0	296.907859925444830E-3
57.000000000000007E+0	165.226153703308340E-3
58.000000000000007E+0	322.580492194973920E-3
59.000000000000007E+0	28.654919869339223E-3
60.000000000000007E+0	509.431105310544810E-3
61.000000000000007E+0	278.428565700627020E-3
62.000000000000007E+0	434.206982783155890E-3
63.000000000000007E+0	341.187796200275230E-3
